7'梅西今天更多的是像中路靠                   7'开场7分钟，巴萨首次射门就取得领先
7'巴萨左路低平球送禁区内                   7'开场7分钟，巴萨首次射门就取得领先
7'这球落点送的不是很好                   7'开场7分钟，巴萨首次射门就取得领先
8'巴萨进球了！！                   7'开场7分钟，巴萨首次射门就取得领先
8'梅西中路突破吸引防守后分到禁区左路，内马尔禁区内接球后冷静推射远角得分！                   7'开场7分钟，巴萨首次射门就取得领先
8'内马尔这球打得很轻松                   7'开场7分钟，巴萨首次射门就取得领先
9'巴萨的突然发力也是马上取得进球                   7'开场7分钟，巴萨首次射门就取得领先
10'开场不到10分钟，巴萨1-0领先                   7'开场7分钟，巴萨首次射门就取得领先
10'这样对客场作战的阿贾克斯来说将会比较困难                   7'开场7分钟，巴萨首次射门就取得领先
10'刚刚巴萨的进球也是连续的一脚传递                   7'开场7分钟，巴萨首次射门就取得领先
11'这对防守球员来说要求非常的高                   11'第11分钟，阿尔巴左路低传，梅西在门前13米处左脚推射高出
11'巴萨左路进攻又来了                   11'第11分钟，阿尔巴左路低传，梅西在门前13米处左脚推射高出
11'底线的挑传送中路                   11'第11分钟，阿尔巴左路低传，梅西在门前13米处左脚推射高出
11'这球先被防守球员解围出来                   11'第11分钟，阿尔巴左路低传，梅西在门前13米处左脚推射高出
11'巴萨今天前场的连续一脚传球非常有侵略性                   11'第11分钟，阿尔巴左路低传，梅西在门前13米处左脚推射高出
11'巴萨右路下底起球送中路                   11'第11分钟，阿尔巴左路低传，梅西在门前13米处左脚推射高出
11'防守球员头球先顶了出来                   11'第11分钟，阿尔巴左路低传，梅西在门前13米处左脚推射高出
12'巴萨左路拿球到禁区内                   11'第11分钟，阿尔巴左路低传，梅西在门前13米处左脚推射高出
12'横敲送到点球点前沿                   11'第11分钟，阿尔巴左路低传，梅西在门前13米处左脚推射高出
12'梅西停球后直接打门                   11'第11分钟，阿尔巴左路低传，梅西在门前13米处左脚推射高出
12'这球打高了                   11'第11分钟，阿尔巴左路低传，梅西在门前13米处左脚推射高出
12'梅西没有掌控好                   11'第11分钟，阿尔巴左路低传，梅西在门前13米处左脚推射高出
12'这段时间，阿贾克斯很被动                   11'第11分钟，阿尔巴左路低传，梅西在门前13米处左脚推射高出
29'这球最后没有能够送过去                   29'第29分钟，梅西分球被内马尔漏过，佩德罗左侧距门13米处低射击中远门柱
29'比赛打到现在阿贾克斯还没有打门                   29'第29分钟，梅西分球被内马尔漏过，佩德罗左侧距门13米处低射击中远门柱
30'佩德罗禁区打门击中立柱！！                   29'第29分钟，梅西分球被内马尔漏过，佩德罗左侧距门13米处低射击中远门柱
30'内马尔中场断球给到梅西                   29'第29分钟，梅西分球被内马尔漏过，佩德罗左侧距门13米处低射击中远门柱
30'梅西得球后往中路走，禁区弧顶的分球给到左路                   29'第29分钟，梅西分球被内马尔漏过，佩德罗左侧距门13米处低射击中远门柱
30'内马尔前点故意一漏，佩德罗得球后小禁区角上打门击中立柱                   29'第29分钟，梅西分球被内马尔漏过，佩德罗左侧距门13米处低射击中远门柱
31'这球阿贾克斯的防线已经缴械投降了                   29'第29分钟，梅西分球被内马尔漏过，佩德罗左侧距门13米处低射击中远门柱
32'上半场比赛打了30分钟，场上的比分是巴萨2-0领先阿贾克斯                   29'第29分钟，梅西分球被内马尔漏过，佩德罗左侧距门13米处低射击中远门柱
32'内马尔左路带球突破被费尔特曼铲倒                   29'第29分钟，梅西分球被内马尔漏过，佩德罗左侧距门13米处低射击中远门柱
32'费尔特曼得到一张黄牌！                   29'第29分钟，梅西分球被内马尔漏过，佩德罗左侧距门13米处低射击中远门柱
39'内马尔前场拿球送中路                   39'第39分钟，伊涅斯塔突破对方整条防线，禁区右侧距门7米处挑射被西莱森托出远门柱
39'伊涅斯塔禁区内得球后挑射被西莱森碰了一下出了底线                   39'第39分钟，伊涅斯塔突破对方整条防线，禁区右侧距门7米处挑射被西莱森托出远门柱
40'这球要是进了，那将是非常精彩的                   39'第39分钟，伊涅斯塔突破对方整条防线，禁区右侧距门7米处挑射被西莱森托出远门柱
40'巴萨角球开出，威胁不是很大                   39'第39分钟，伊涅斯塔突破对方整条防线，禁区右侧距门7米处挑射被西莱森托出远门柱
40'伊涅斯塔刚刚的突破打门也是走了一个直线                   39'第39分钟，伊涅斯塔突破对方整条防线，禁区右侧距门7米处挑射被西莱森托出远门柱
40'阿贾克斯的防守啊，真是不敢多说                   39'第39分钟，伊涅斯塔突破对方整条防线，禁区右侧距门7米处挑射被西莱森托出远门柱
41'上半场40分钟了，阿贾克斯还是没有打门                   39'第39分钟，伊涅斯塔突破对方整条防线，禁区右侧距门7米处挑射被西莱森托出远门柱
41'西姆林禁区外围远射                   39'第39分钟，伊涅斯塔突破对方整条防线，禁区右侧距门7米处挑射被西莱森托出远门柱
42'这球是打偏了                   39'第39分钟，伊涅斯塔突破对方整条防线，禁区右侧距门7米处挑射被西莱森托出远门柱
42'阿贾克斯也是好不容易有了一脚打门                   39'第39分钟，伊涅斯塔突破对方整条防线，禁区右侧距门7米处挑射被西莱森托出远门柱
50'佩德罗禁区线上打门被西莱森扑出，球正好落在梅西脚下，但可惜梅西在得球的时候先越位了                   50'第50分钟，佩德罗禁区前沿推射被西莱森扑出，梅西在门前6米处推进，但越位在先
50'巴萨中场拿球被撞倒                   50'第50分钟，佩德罗禁区前沿推射被西莱森扑出，梅西在门前6米处推进，但越位在先
50'右路起球送禁区中路                   50'第50分钟，佩德罗禁区前沿推射被西莱森扑出，梅西在门前6米处推进，但越位在先
50'阿贾克斯连续两次将球解围                   50'第50分钟，佩德罗禁区前沿推射被西莱森扑出，梅西在门前6米处推进，但越位在先
51'梅西禁区前沿拿球送禁区里                   50'第50分钟，佩德罗禁区前沿推射被西莱森扑出，梅西在门前6米处推进，但越位在先
51'队友停球后准备打门被破坏                   50'第50分钟，佩德罗禁区前沿推射被西莱森扑出，梅西在门前6米处推进，但越位在先
52'而梅西这个时候插上拿球                   50'第50分钟，佩德罗禁区前沿推射被西莱森扑出，梅西在门前6米处推进，但越位在先
52'小范围的连续晃动到了小禁区角上                   50'第50分钟，佩德罗禁区前沿推射被西莱森扑出，梅西在门前6米处推进，但越位在先
52'打门是打在了边网上                   50'第50分钟，佩德罗禁区前沿推射被西莱森扑出，梅西在门前6米处推进，但越位在先
52'但梅西的这次突破还是非常精彩的                   50'第50分钟，佩德罗禁区前沿推射被西莱森扑出，梅西在门前6米处推进，但越位在先
55'禁区前沿分球到了右路                   55'第55分钟，安德森转移到右侧，范赖恩在门前12米处推射偏出近门柱
55'队友无人看防的打门打近角将球打偏                   55'第55分钟，安德森转移到右侧，范赖恩在门前12米处推射偏出近门柱
55'这次射门的是范赖恩                   55'第55分钟，安德森转移到右侧，范赖恩在门前12米处推射偏出近门柱
56'阿贾克斯换人，西姆林下，列德瓦尔德上！                   55'第55分钟，安德森转移到右侧，范赖恩在门前12米处推射偏出近门柱
56'下半场打了10分钟，比赛也是渐渐好看起来                   55'第55分钟，安德森转移到右侧，范赖恩在门前12米处推射偏出近门柱
57'内马尔中场拿球被侵犯                   55'第55分钟，安德森转移到右侧，范赖恩在门前12米处推射偏出近门柱
58'阿尔维斯右路底线突破被菲尔赫费尔踢倒                   55'第55分钟，安德森转移到右侧，范赖恩在门前12米处推射偏出近门柱
58'巴萨右路底线赢得任意球机会                   55'第55分钟，安德森转移到右侧，范赖恩在门前12米处推射偏出近门柱
58'任意球直接往后点转                   55'第55分钟，安德森转移到右侧，范赖恩在门前12米处推射偏出近门柱
58'这球是出了底线                   55'第55分钟，安德森转移到右侧，范赖恩在门前12米处推射偏出近门柱
58'还是想吊后角                   55'第55分钟，安德森转移到右侧，范赖恩在门前12米处推射偏出近门柱
58'巴萨这边也要准备调整了                   55'第55分钟，安德森转移到右侧，范赖恩在门前12米处推射偏出近门柱
60'伊涅斯塔左路带球分                   59'第59分钟，梅西右路任意球高出
60'队友插上后到了禁区内                   59'第59分钟，梅西右路任意球高出
60'横扫到中路被解围                   59'第59分钟，梅西右路任意球高出
61'巴萨换人，内马尔下，桑德罗-拉米雷斯上！                   59'第59分钟，梅西右路任意球高出
61'巴萨开始为国家德比留力了                   59'第59分钟，梅西右路任意球高出
62'阿贾克斯左路起球送禁区内                   59'第59分钟，梅西右路任意球高出
62'皮克解围险些自摆乌龙啊！！                   59'第59分钟，梅西右路任意球高出
62'阿贾克斯角球送中路                   59'第59分钟，梅西右路任意球高出
72'伊涅斯塔拿球将球横敲                   71'第71分钟，拉基蒂奇远射被西莱森得到
73'皮克中场争抢头球的时候头部跟对方撞了一下                   71'第71分钟，拉基蒂奇远射被西莱森得到
74'阿贾克斯换人，西格索尔松下，加齐上！                   71'第71分钟，拉基蒂奇远射被西莱森得到
74'皮克也是到场下接受治疗                   71'第71分钟，拉基蒂奇远射被西莱森得到
75'问题应该没有太大问题                   75'第75分钟，加齐传球，卡拉森打高
75'皮克在场边示意要求进场                   75'第75分钟，加齐传球，卡拉森打高
