1'裁判员一声哨响，上半场比赛开始                   1'双方谨慎开局，第1分钟打出高对抗，两队进攻中在紧逼下均出现失误
1'利物浦长传找到左路边路                   1'双方谨慎开局，第1分钟打出高对抗，两队进攻中在紧逼下均出现失误
1'传球失误了                   1'双方谨慎开局，第1分钟打出高对抗，两队进攻中在紧逼下均出现失误
2'曼城中场控球                    1'双方谨慎开局，第1分钟打出高对抗，两队进攻中在紧逼下均出现失误
2'传到右侧边路的斯特林                   1'双方谨慎开局，第1分钟打出高对抗，两队进攻中在紧逼下均出现失误
3'再横传到左路的阿奎罗                   1'双方谨慎开局，第1分钟打出高对抗，两队进攻中在紧逼下均出现失误
3'再找右路的斯特林 传大了                   1'双方谨慎开局，第1分钟打出高对抗，两队进攻中在紧逼下均出现失误
4'利物浦后场倒球                    1'双方谨慎开局，第1分钟打出高对抗，两队进攻中在紧逼下均出现失误
18'席尔瓦队阿诺德犯规 利物浦后场倒球                    18'利物浦第18分钟险些破门，萨拉赫同菲尔米诺踢墙配合后送出直传，马内12码处单刀捅射打中左侧立柱弹回，斯通斯大脚解围打中埃德森反弹向本方球门，斯通斯回身在门线上飞铲解围
19'利物浦的萨拉赫直塞向前给到马内                   18'利物浦第18分钟险些破门，萨拉赫同菲尔米诺踢墙配合后送出直传，马内12码处单刀捅射打中左侧立柱弹回，斯通斯大脚解围打中埃德森反弹向本方球门，斯通斯回身在门线上飞铲解围
19'马内禁区内打门 被立柱挡住                    18'利物浦第18分钟险些破门，萨拉赫同菲尔米诺踢墙配合后送出直传，马内12码处单刀捅射打中左侧立柱弹回，斯通斯大脚解围打中埃德森反弹向本方球门，斯通斯回身在门线上飞铲解围
20'斯通斯门前解围打到门将身上                    18'利物浦第18分钟险些破门，萨拉赫同菲尔米诺踢墙配合后送出直传，马内12码处单刀捅射打中左侧立柱弹回，斯通斯大脚解围打中埃德森反弹向本方球门，斯通斯回身在门线上飞铲解围
21'球弹向球门 但是被斯通斯解围                   18'利物浦第18分钟险些破门，萨拉赫同菲尔米诺踢墙配合后送出直传，马内12码处单刀捅射打中左侧立柱弹回，斯通斯大脚解围打中埃德森反弹向本方球门，斯通斯回身在门线上飞铲解围
21'曼城继续发起进攻                   18'利物浦第18分钟险些破门，萨拉赫同菲尔米诺踢墙配合后送出直传，马内12码处单刀捅射打中左侧立柱弹回，斯通斯大脚解围打中埃德森反弹向本方球门，斯通斯回身在门线上飞铲解围
41'球进了阿奎罗！！！                   40'曼城第40分钟取得领先，范戴克解围传中，贝纳尔多再次左路突破传中，阿圭罗前点停球摆脱洛夫伦后禁区左侧小角度射入上角
42'席尔瓦左侧下底传中 找到阿奎罗 阿奎罗零度角凌空抽射 将球打进                   40'曼城第40分钟取得领先，范戴克解围传中，贝纳尔多再次左路突破传中，阿圭罗前点停球摆脱洛夫伦后禁区左侧小角度射入上角
42'曼城1比0领先利物浦                   40'曼城第40分钟取得领先，范戴克解围传中，贝纳尔多再次左路突破传中，阿圭罗前点停球摆脱洛夫伦后禁区左侧小角度射入上角
