7'Andrea Belotti为都灵在左路,赢得一个任意球.                   7'赛前为7日去世的拉迪切默哀1分钟，双方队员均臂缠黑纱
7'AC米兰球员阿巴特拼抢犯规,对手获得控球权.                   7'赛前为7日去世的拉迪切默哀1分钟，双方队员均臂缠黑纱
8'黄牌！AC米兰球员阿巴特因为恶意犯规,被主裁判出示黄牌.                   7'赛前为7日去世的拉迪切默哀1分钟，双方队员均臂缠黑纱
10'都灵球员伊佐拼抢犯规,对手获得控球权.                   7'赛前为7日去世的拉迪切默哀1分钟，双方队员均臂缠黑纱
10'库特罗内为AC米兰在对方半场,赢得一个任意球.                   7'赛前为7日去世的拉迪切默哀1分钟，双方队员均臂缠黑纱
33'AC米兰球员伊瓜因大禁区外右脚射门,被防守球员封堵.给他传球的是罗德里格斯.                   33'AC米兰第33分钟才有首次射门，里卡多-罗德里格斯后场长传，伊瓜因带球突破没传给无人盯防的苏索，在门前20米处抽射被恩库卢封堵，库特罗内左侧距门9米处左脚小角度补射被西里古封出近角
33'射门!!!AC米兰球员库特罗内大禁区左侧左脚射门,被对方守门员横身扑出.                   33'AC米兰第33分钟才有首次射门，里卡多-罗德里格斯后场长传，伊瓜因带球突破没传给无人盯防的苏索，在门前20米处抽射被恩库卢封堵，库特罗内左侧距门9米处左脚小角度补射被西里古封出近角
33'西里古将球处理出底线,AC米兰获得角球.                   33'AC米兰第33分钟才有首次射门，里卡多-罗德里格斯后场长传，伊瓜因带球突破没传给无人盯防的苏索，在门前20米处抽射被恩库卢封堵，库特罗内左侧距门9米处左脚小角度补射被西里古封出近角
33'科菲将球处理出底线,AC米兰获得角球.                   33'AC米兰第33分钟才有首次射门，里卡多-罗德里格斯后场长传，伊瓜因带球突破没传给无人盯防的苏索，在门前20米处抽射被恩库卢封堵，库特罗内左侧距门9米处左脚小角度补射被西里古封出近角
34'AC米兰球员卡拉大禁区外左脚射门,被防守球员封堵.                   33'AC米兰第33分钟才有首次射门，里卡多-罗德里格斯后场长传，伊瓜因带球突破没传给无人盯防的苏索，在门前20米处抽射被恩库卢封堵，库特罗内左侧距门9米处左脚小角度补射被西里古封出近角
34'射门!!!AC米兰球员恰尔汉奥卢大禁区右侧左脚射门,被对方守门员横身扑出.                   33'AC米兰第33分钟才有首次射门，里卡多-罗德里格斯后场长传，伊瓜因带球突破没传给无人盯防的苏索，在门前20米处抽射被恩库卢封堵，库特罗内左侧距门9米处左脚小角度补射被西里古封出近角
35'都灵球员伊佐拼抢犯规,对手获得控球权.                   33'AC米兰第33分钟才有首次射门，里卡多-罗德里格斯后场长传，伊瓜因带球突破没传给无人盯防的苏索，在门前20米处抽射被恩库卢封堵，库特罗内左侧距门9米处左脚小角度补射被西里古封出近角
35'库特罗内为AC米兰在对方半场,赢得一个任意球.                   33'AC米兰第33分钟才有首次射门，里卡多-罗德里格斯后场长传，伊瓜因带球突破没传给无人盯防的苏索，在门前20米处抽射被恩库卢封堵，库特罗内左侧距门9米处左脚小角度补射被西里古封出近角
35'黄牌！都灵球员伊佐因为恶意犯规,被主裁判出示黄牌.                   33'AC米兰第33分钟才有首次射门，里卡多-罗德里格斯后场长传，伊瓜因带球突破没传给无人盯防的苏索，在门前20米处抽射被恩库卢封堵，库特罗内左侧距门9米处左脚小角度补射被西里古封出近角
49'都灵球员梅特拼抢犯规,对手获得控球权.                   48'上半时补时阶段第3分钟，伊瓜因禁区前沿被挡高出，恩库卢疑似手球，主裁判奥尔萨托到场边观看VAR回放，最终认定不是点球
49'凯西为AC米兰赢得一个任意球.                   48'上半时补时阶段第3分钟，伊瓜因禁区前沿被挡高出，恩库卢疑似手球，主裁判奥尔萨托到场边观看VAR回放，最终认定不是点球
50'安萨尔迪为都灵赢得一个任意球.                   48'上半时补时阶段第3分钟，伊瓜因禁区前沿被挡高出，恩库卢疑似手球，主裁判奥尔萨托到场边观看VAR回放，最终认定不是点球
50'AC米兰球员苏索拼抢犯规,对手获得控球权.                   48'上半时补时阶段第3分钟，伊瓜因禁区前沿被挡高出，恩库卢疑似手球，主裁判奥尔萨托到场边观看VAR回放，最终认定不是点球
87'AC米兰球员库特罗内大禁区中央尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是萨帕塔.                   87'AC米兰第87分钟错过绝杀机会，卡斯蒂列霍左路传中，萨帕塔争顶落到巴卡约科脚下，巴卡约科背身外脚背传球，萨帕塔顺势脚后跟妙传，库特罗内在门前9米处推射偏出右门柱
87'都灵球员安萨尔迪拼抢犯规,对手获得控球权.                   87'AC米兰第87分钟错过绝杀机会，卡斯蒂列霍左路传中，萨帕塔争顶落到巴卡约科脚下，巴卡约科背身外脚背传球，萨帕塔顺势脚后跟妙传，库特罗内在门前9米处推射偏出右门柱
87'苏索为AC米兰赢得一个任意球.                   87'AC米兰第87分钟错过绝杀机会，卡斯蒂列霍左路传中，萨帕塔争顶落到巴卡约科脚下，巴卡约科背身外脚背传球，萨帕塔顺势脚后跟妙传，库特罗内在门前9米处推射偏出右门柱
90'+1'都灵换人,贝伦格尔换下安萨尔迪                   87'AC米兰第87分钟错过绝杀机会，卡斯蒂列霍左路传中，萨帕塔争顶落到巴卡约科脚下，巴卡约科背身外脚背传球，萨帕塔顺势脚后跟妙传，库特罗内在门前9米处推射偏出右门柱
90'+1'都灵球员萨沙·卢基奇手球犯规,对手获得球权.                   87'AC米兰第87分钟错过绝杀机会，卡斯蒂列霍左路传中，萨帕塔争顶落到巴卡约科脚下，巴卡约科背身外脚背传球，萨帕塔顺势脚后跟妙传，库特罗内在门前9米处推射偏出右门柱
90'+3'AC米兰球员伊瓜因大禁区中央头球,被防守球员封堵.给他传球的是凯西.                   87'AC米兰第87分钟错过绝杀机会，卡斯蒂列霍左路传中，萨帕塔争顶落到巴卡约科脚下，巴卡约科背身外脚背传球，萨帕塔顺势脚后跟妙传，库特罗内在门前9米处推射偏出右门柱
90'+3'Nicolas Nkoulou将球处理出底线,AC米兰获得角球.                   87'AC米兰第87分钟错过绝杀机会，卡斯蒂列霍左路传中，萨帕塔争顶落到巴卡约科脚下，巴卡约科背身外脚背传球，萨帕塔顺势脚后跟妙传，库特罗内在门前9米处推射偏出右门柱
90'+3'埃纳为都灵赢得一个任意球.                   87'AC米兰第87分钟错过绝杀机会，卡斯蒂列霍左路传中，萨帕塔争顶落到巴卡约科脚下，巴卡约科背身外脚背传球，萨帕塔顺势脚后跟妙传，库特罗内在门前9米处推射偏出右门柱
90'+3'AC米兰球员罗德里格斯拼抢犯规,对手获得控球权.                   87'AC米兰第87分钟错过绝杀机会，卡斯蒂列霍左路传中，萨帕塔争顶落到巴卡约科脚下，巴卡约科背身外脚背传球，萨帕塔顺势脚后跟妙传，库特罗内在门前9米处推射偏出右门柱
90'+5'下半场结束,AC米兰 0-0 都灵                   87'AC米兰第87分钟错过绝杀机会，卡斯蒂列霍左路传中，萨帕塔争顶落到巴卡约科脚下，巴卡约科背身外脚背传球，萨帕塔顺势脚后跟妙传，库特罗内在门前9米处推射偏出右门柱
