7'阿扎尔接应，趟一步，禁区内起脚打门，被希顿拿到                   7'切尔西第7分钟取得领先，摩西反击中横传，佩德罗带球突破至12码处低射入网
7'切尔西近6战伯恩利取得4胜2平，伯恩利上次取胜切尔西还是1983年的乙级联赛                   7'切尔西第7分钟取得领先，摩西反击中横传，佩德罗带球突破至12码处低射入网
7'切尔西进球啦！！                   7'切尔西第7分钟取得领先，摩西反击中横传，佩德罗带球突破至12码处低射入网
7'佩德罗的进球！！                   7'切尔西第7分钟取得领先，摩西反击中横传，佩德罗带球突破至12码处低射入网
8'阿扎尔中场左路拿球，内切斜传右路找上来的摩西，摩西带球强突，禁区线上横传中路，佩德罗跟进停球一趟，接着一记捅射，打进！！                   7'切尔西第7分钟取得领先，摩西反击中横传，佩德罗带球突破至12码处低射入网
9'科斯塔前场逼抢，放倒了沃德，犯规                   7'切尔西第7分钟取得领先，摩西反击中横传，佩德罗带球突破至12码处低射入网
10'希顿大脚开后场球，直接踢到切尔西禁区，被库尔图瓦拿到                   7'切尔西第7分钟取得领先，摩西反击中横传，佩德罗带球突破至12码处低射入网
10'卡希尔后场拿球，分球左侧给到阿隆索                   7'切尔西第7分钟取得领先，摩西反击中横传，佩德罗带球突破至12码处低射入网
10'阿隆索再给中间的马蒂奇                   7'切尔西第7分钟取得领先，摩西反击中横传，佩德罗带球突破至12码处低射入网
10'马蒂奇过顶再找前插的阿隆索，可惜力量轻了点                   7'切尔西第7分钟取得领先，摩西反击中横传，佩德罗带球突破至12码处低射入网
24'马蒂奇再抢，踢翻了巴顿，犯规                   24'伯恩利第24分钟扳平比分，布拉迪25码处任意球直接射门，皮球绕过人墙入左上角，1-1
24'伯恩利获得前场中路的任意球机会！！                   24'伯恩利第24分钟扳平比分，布拉迪25码处任意球直接射门，皮球绕过人墙入左上角，1-1
24'伯恩利进球，1-1！！！                   24'伯恩利第24分钟扳平比分，布拉迪25码处任意球直接射门，皮球绕过人墙入左上角，1-1
25'布拉迪的任意球直接破门！！                   24'伯恩利第24分钟扳平比分，布拉迪25码处任意球直接射门，皮球绕过人墙入左上角，1-1
25'这球布拉迪的弧线很到位，圆月弯刀，越过人墙，钻进球门左上角                   24'伯恩利第24分钟扳平比分，布拉迪25码处任意球直接射门，皮球绕过人墙入左上角，1-1
26'库尔图瓦尽管做出了扑救动作，但鞭长莫及啊                   24'伯恩利第24分钟扳平比分，布拉迪25码处任意球直接射门，皮球绕过人墙入左上角，1-1
26'切尔西前场进攻，阿扎尔的强突，分球左侧给前插的阿隆索                   24'伯恩利第24分钟扳平比分，布拉迪25码处任意球直接射门，皮球绕过人墙入左上角，1-1
26'阿隆索下底遭遇逼抢，滑倒球出底线                   24'伯恩利第24分钟扳平比分，布拉迪25码处任意球直接射门，皮球绕过人墙入左上角，1-1
27'应该是切尔西的角球吧                   24'伯恩利第24分钟扳平比分，布拉迪25码处任意球直接射门，皮球绕过人墙入左上角，1-1
36'坎特直塞找佩德罗，佩德罗停球回传                   36'伯恩利第36分钟险些反超，巴顿直传，反越位成功的洛顿禁区右侧10码处单刀低射被库尔图瓦用腿挡出
36'马蒂奇禁区外的远射，打飞！！                   36'伯恩利第36分钟险些反超，巴顿直传，反越位成功的洛顿禁区右侧10码处单刀低射被库尔图瓦用腿挡出
36'伯恩利前场进攻，格雷禁区外拿球                   36'伯恩利第36分钟险些反超，巴顿直传，反越位成功的洛顿禁区右侧10码处单刀低射被库尔图瓦用腿挡出
36'斜塞身后，到禁区右侧                   36'伯恩利第36分钟险些反超，巴顿直传，反越位成功的洛顿禁区右侧10码处单刀低射被库尔图瓦用腿挡出
37'洛顿插上，面对库尔图瓦，起脚抽射，被挡，弹向后点                   36'伯恩利第36分钟险些反超，巴顿直传，反越位成功的洛顿禁区右侧10码处单刀低射被库尔图瓦用腿挡出
37'无人接应，球被切尔西球员解围                   36'伯恩利第36分钟险些反超，巴顿直传，反越位成功的洛顿禁区右侧10码处单刀低射被库尔图瓦用腿挡出
37'伯恩利反超的绝佳机会，可惜了！！                   36'伯恩利第36分钟险些反超，巴顿直传，反越位成功的洛顿禁区右侧10码处单刀低射被库尔图瓦用腿挡出
37'沃德左路拿球，强突后的斜传球到门前                   36'伯恩利第36分钟险些反超，巴顿直传，反越位成功的洛顿禁区右侧10码处单刀低射被库尔图瓦用腿挡出
38'库尔图瓦出击，稳稳将球拿到！！                   36'伯恩利第36分钟险些反超，巴顿直传，反越位成功的洛顿禁区右侧10码处单刀低射被库尔图瓦用腿挡出
38'洛顿前场抢断，分球给博伊德                   36'伯恩利第36分钟险些反超，巴顿直传，反越位成功的洛顿禁区右侧10码处单刀低射被库尔图瓦用腿挡出
38'博伊德拿球横切，禁区弧顶起左脚抽射                   36'伯恩利第36分钟险些反超，巴顿直传，反越位成功的洛顿禁区右侧10码处单刀低射被库尔图瓦用腿挡出
38'打在上来封堵的卡希尔身上弹出                   36'伯恩利第36分钟险些反超，巴顿直传，反越位成功的洛顿禁区右侧10码处单刀低射被库尔图瓦用腿挡出
