2'福克斯大力掷界外球到禁区，被破坏                   2'2分钟后，埃姆雷-詹横切后远射打飞
2'莱斯特前场再攻，马赫雷斯拿球横切                   2'2分钟后，埃姆雷-詹横切后远射打飞
2'马赫雷斯禁区弧顶左脚发炮，弧线球，差之毫厘啊！！！                   2'2分钟后，埃姆雷-詹横切后远射打飞
3'莫雷诺后场拿球，瓦尔迪上抢将球破坏出边线                   2'2分钟后，埃姆雷-詹横切后远射打飞
3'克莱恩右路的过顶直线球，被莱斯特球员解围出边线                   2'2分钟后，埃姆雷-詹横切后远射打飞
4'利物浦右路的斜传球到禁区，胡特转身回防                   2'2分钟后，埃姆雷-詹横切后远射打飞
4'在舒梅切尔没出来的情况下，只能转身大脚解围！！！                   2'2分钟后，埃姆雷-詹横切后远射打飞
4'埃姆雷-詹前场拿球，禁区尝试远射，打飞啦！！！                   2'2分钟后，埃姆雷-詹横切后远射打飞
5'马赫雷斯中场背身拿球，莫雷诺上抢，前者倒地                   2'2分钟后，埃姆雷-詹横切后远射打飞
5'裁判并未理会，利物浦的反击                   2'2分钟后，埃姆雷-詹横切后远射打飞
5'卢卡斯直塞球打身后，力量有点大，被舒梅切尔出击大脚破坏                   2'2分钟后，埃姆雷-詹横切后远射打飞
60'莱斯特这边的格雷已经站在场边，准备替补登场                   60'莱斯特城第60分钟打破僵局，马雷斯长传，瓦尔迪大禁区右上角外直接凌空抽射，皮球吊过米尼奥莱直入右上角
60'莱斯特进球啦！！！                   60'莱斯特城第60分钟打破僵局，马雷斯长传，瓦尔迪大禁区右上角外直接凌空抽射，皮球吊过米尼奥莱直入右上角
60'瓦尔迪，世界波！！！！                   60'莱斯特城第60分钟打破僵局，马雷斯长传，瓦尔迪大禁区右上角外直接凌空抽射，皮球吊过米尼奥莱直入右上角
62'马赫雷斯后场过顶长传打身后，瓦尔迪前插接应，球弹地而起，瓦尔迪禁区外凌空弹射，完美弧线，越过米尼奥莱直挂球门右上角死角！！                   60'莱斯特城第60分钟打破僵局，马雷斯长传，瓦尔迪大禁区右上角外直接凌空抽射，皮球吊过米尼奥莱直入右上角
62'一次完美的反击，完美的射门！！！                   60'莱斯特城第60分钟打破僵局，马雷斯长传，瓦尔迪大禁区右上角外直接凌空抽射，皮球吊过米尼奥莱直入右上角
63'马赫雷斯在后场过顶长传，瓦尔迪大禁区右上角靠外一点，凌空弹射破门，霸气！！                   60'莱斯特城第60分钟打破僵局，马雷斯长传，瓦尔迪大禁区右上角外直接凌空抽射，皮球吊过米尼奥莱直入右上角
63'莱斯特前场左路进攻，福克斯的直塞，被克莱恩挡出边线                   60'莱斯特城第60分钟打破僵局，马雷斯长传，瓦尔迪大禁区右上角外直接凌空抽射，皮球吊过米尼奥莱直入右上角
63'福克斯界外球大力掷到禁区，第一点被洛夫伦头球解围                   60'莱斯特城第60分钟打破僵局，马雷斯长传，瓦尔迪大禁区右上角外直接凌空抽射，皮球吊过米尼奥莱直入右上角
70'克莱恩往右路带，再传门前，埃姆雷-詹的凌空垫射，被舒梅切尔没收                   70'第70分钟，莱斯特城连续流畅配合，冈崎慎司禁区右侧在萨科和莫雷诺夹防下摔倒，裁判未予判罚
70'莱斯特前场进攻，冈崎慎司拿球强突，进入禁区摔倒啦                   70'第70分钟，莱斯特城连续流畅配合，冈崎慎司禁区右侧在萨科和莫雷诺夹防下摔倒，裁判未予判罚
70'裁判并未理会，球被利物浦球员 解围                   70'第70分钟，莱斯特城连续流畅配合，冈崎慎司禁区右侧在萨科和莫雷诺夹防下摔倒，裁判未予判罚
71'全场比赛70分钟，比分1-0，莱斯特领先！！！                   70'第70分钟，莱斯特城连续流畅配合，冈崎慎司禁区右侧在萨科和莫雷诺夹防下摔倒，裁判未予判罚
71'2-0！！！！                   70'第70分钟，莱斯特城连续流畅配合，冈崎慎司禁区右侧在萨科和莫雷诺夹防下摔倒，裁判未予判罚
72'瓦尔迪梅开二度！！！                   70'第70分钟，莱斯特城连续流畅配合，冈崎慎司禁区右侧在萨科和莫雷诺夹防下摔倒，裁判未予判罚
73'冈崎慎司禁区外拿球，起脚远射打在莫雷诺脚后跟变向到门前，瓦尔迪从洛夫伦身后插上一脚推射，打进！！！                   70'第70分钟，莱斯特城连续流畅配合，冈崎慎司禁区右侧在萨科和莫雷诺夹防下摔倒，裁判未予判罚
