2'[互动话题]双方比赛一开始就真刀真枪，请预测哪队先进球呢？A、申花 B、永昌 [qiangda]                   2'第2分钟王S自己带球切到中路后射门，球被石家庄后卫挡出界外
3'石家庄永昌长传球，上海申花队把球抢断下来                   2'第2分钟王S自己带球切到中路后射门，球被石家庄后卫挡出界外
3'上海申花队右路长传，对方把球破坏出边线                   2'第2分钟王S自己带球切到中路后射门，球被石家庄后卫挡出界外
4'后场石家庄永昌断球，长传前场右路，直接传出边线                   2'第2分钟王S自己带球切到中路后射门，球被石家庄后卫挡出界外
5'石家庄永昌李超首发啦，冯绍顺打替补                   2'第2分钟王S自己带球切到中路后射门，球被石家庄后卫挡出界外
5'上海申花队的机会啊！！！                   2'第2分钟王S自己带球切到中路后射门，球被石家庄后卫挡出界外
6'中场上海申花队断球，莫雷诺突破斜传，王赟停球突然打门！！被关震扑出！！                   6'第6分钟张璐抢下皮球，莫雷诺中路拿球吸引对方多人注意，莫雷诺随转移到左侧，王S起左脚劲射，关震把球拍出界外
7'角球发到禁区内，对方把球破坏出来                   6'第6分钟张璐抢下皮球，莫雷诺中路拿球吸引对方多人注意，莫雷诺随转移到左侧，王S起左脚劲射，关震把球拍出界外
7'李春郁后场得球，王赟抢球犯规                   6'第6分钟张璐抢下皮球，莫雷诺中路拿球吸引对方多人注意，莫雷诺随转移到左侧，王S起左脚劲射，关震把球拍出界外
7'李轶--t ：永昌拿回1分就是胜利[回复]本赛季石家庄永昌整体表现不错啊                   6'第6分钟张璐抢下皮球，莫雷诺中路拿球吸引对方多人注意，莫雷诺随转移到左侧，王S起左脚劲射，关震把球拍出界外
8'张璐右路横传，对方把球抢断下来                   6'第6分钟张璐抢下皮球，莫雷诺中路拿球吸引对方多人注意，莫雷诺随转移到左侧，王S起左脚劲射，关震把球拍出界外
8'苏祖中场右路拿球，对方逼抢，把球回传一下                   6'第6分钟张璐抢下皮球，莫雷诺中路拿球吸引对方多人注意，莫雷诺随转移到左侧，王S起左脚劲射，关震把球拍出界外
9'上海申花队把球转移到左路，交给高迪，对方抢球出边线                   6'第6分钟张璐抢下皮球，莫雷诺中路拿球吸引对方多人注意，莫雷诺随转移到左侧，王S起左脚劲射，关震把球拍出界外
9'界外球发出来，柏佳骏横传球，又被对方挡出边线                   6'第6分钟张璐抢下皮球，莫雷诺中路拿球吸引对方多人注意，莫雷诺随转移到左侧，王S起左脚劲射，关震把球拍出界外
46'上半场要补时 1 分钟                   46'本场比赛申花基本回到一个主力阵容设置，整体压迫性也显得非常紧凑，虽然石家庄努力要打出自己风格，但第1分钟很难推进到申花半场
46'没有吹卡希尔犯规                   46'本场比赛申花基本回到一个主力阵容设置，整体压迫性也显得非常紧凑，虽然石家庄努力要打出自己风格，但第1分钟很难推进到申花半场
46'因为李超受伤，主裁判吹停比赛                   46'本场比赛申花基本回到一个主力阵容设置，整体压迫性也显得非常紧凑，虽然石家庄努力要打出自己风格，但第1分钟很难推进到申花半场
46'双方中场坠球                   46'本场比赛申花基本回到一个主力阵容设置，整体压迫性也显得非常紧凑，虽然石家庄努力要打出自己风格，但第1分钟很难推进到申花半场
47'全场比赛结束，双方都没能破门得分，战成了0-0                   46'本场比赛申花基本回到一个主力阵容设置，整体压迫性也显得非常紧凑，虽然石家庄努力要打出自己风格，但第1分钟很难推进到申花半场
46'下半场比赛开始                   46'本场比赛申花基本回到一个主力阵容设置，整体压迫性也显得非常紧凑，虽然石家庄努力要打出自己风格，但第1分钟很难推进到申花半场
46'上海申花队右路横传禁区，对方把球顶出来                   46'本场比赛申花基本回到一个主力阵容设置，整体压迫性也显得非常紧凑，虽然石家庄努力要打出自己风格，但第1分钟很难推进到申花半场
46'上海申花队下半场一开始就发动快速进攻                   46'本场比赛申花基本回到一个主力阵容设置，整体压迫性也显得非常紧凑，虽然石家庄努力要打出自己风格，但第1分钟很难推进到申花半场
47'石家庄永昌攻到前场，直传到禁区内，邱盛炯出击没扑到球，皮球打在立柱上弹出来！！                   46'本场比赛申花基本回到一个主力阵容设置，整体压迫性也显得非常紧凑，虽然石家庄努力要打出自己风格，但第1分钟很难推进到申花半场
47'下半场一分钟，双方都有一些进攻机会！                   46'本场比赛申花基本回到一个主力阵容设置，整体压迫性也显得非常紧凑，虽然石家庄努力要打出自己风格，但第1分钟很难推进到申花半场
48'刚才是毛剑卿快速插上与邱盛炯直撞，把球挡出来，碰到后卫身上直奔球门，门柱帮了忙！                   46'本场比赛申花基本回到一个主力阵容设置，整体压迫性也显得非常紧凑，虽然石家庄努力要打出自己风格，但第1分钟很难推进到申花半场
48'上海申花队左路攻到前场，横传禁区，关震没收                   46'本场比赛申花基本回到一个主力阵容设置，整体压迫性也显得非常紧凑，虽然石家庄努力要打出自己风格，但第1分钟很难推进到申花半场
49'目前双方信心大增，都认为能拿三分！                   46'本场比赛申花基本回到一个主力阵容设置，整体压迫性也显得非常紧凑，虽然石家庄努力要打出自己风格，但第1分钟很难推进到申花半场
49'石家庄永昌传球到禁区内，对方挡了一下，跟上队员打门又被挡出来                   46'本场比赛申花基本回到一个主力阵容设置，整体压迫性也显得非常紧凑，虽然石家庄努力要打出自己风格，但第1分钟很难推进到申花半场
20'王赟左路横传禁区，卡希尔头球顶下来，王赟传球，高迪打门，被挡出来，卡希尔再抢球，越位啦！！                   20'第20分钟柏佳骏左路传球，禁区内卡希尔头球摆回，王S跟上射门没打上力量，高迪接力再射被关震下意识打出，卡希尔上抢结果被判越位
20'上海申花队这次是在对方门将连续轰炸！                   20'第20分钟柏佳骏左路传球，禁区内卡希尔头球摆回，王S跟上射门没打上力量，高迪接力再射被关震下意识打出，卡希尔上抢结果被判越位
22'李春郁受伤被抬出场外！！石家庄永昌要进行人员调整                   20'第20分钟柏佳骏左路传球，禁区内卡希尔头球摆回，王S跟上射门没打上力量，高迪接力再射被关震下意识打出，卡希尔上抢结果被判越位
22'高增翔上场，换下受伤的李春郁！                   20'第20分钟柏佳骏左路传球，禁区内卡希尔头球摆回，王S跟上射门没打上力量，高迪接力再射被关震下意识打出，卡希尔上抢结果被判越位
22'这个被动换人，对上海申花队来说可不是好消息                   20'第20分钟柏佳骏左路传球，禁区内卡希尔头球摆回，王S跟上射门没打上力量，高迪接力再射被关震下意识打出，卡希尔上抢结果被判越位
23'公婆图LosK线：永昌永昌，看到希望，带着三分回到石家庄！！！永昌加油！永昌加油！！？GOGOGOGO！！[回复]写得象首诗！希望双方打出精彩                   20'第20分钟柏佳骏左路传球，禁区内卡希尔头球摆回，王S跟上射门没打上力量，高迪接力再射被关震下意识打出，卡希尔上抢结果被判越位
23'上海申花队左路斜传禁区，对方顶出来                   20'第20分钟柏佳骏左路传球，禁区内卡希尔头球摆回，王S跟上射门没打上力量，高迪接力再射被关震下意识打出，卡希尔上抢结果被判越位
23'卡希尔在前场得球，乔罗抢球犯规                   20'第20分钟柏佳骏左路传球，禁区内卡希尔头球摆回，王S跟上射门没打上力量，高迪接力再射被关震下意识打出，卡希尔上抢结果被判越位
23'上海申花队得到任意球机会                   20'第20分钟柏佳骏左路传球，禁区内卡希尔头球摆回，王S跟上射门没打上力量，高迪接力再射被关震下意识打出，卡希尔上抢结果被判越位
23'刚才是莫雷诺在前场得球后被乔罗放倒                   20'第20分钟柏佳骏左路传球，禁区内卡希尔头球摆回，王S跟上射门没打上力量，高迪接力再射被关震下意识打出，卡希尔上抢结果被判越位
