1'上半场比赛开始                   1'开场不到1分钟，王永珀右路连续扣球摆脱防守后传中，莫德斯特抢点头球攻门顶偏
1'辽足开出皮球                   1'开场不到1分钟，王永珀右路连续扣球摆脱防守后传中，莫德斯特抢点头球攻门顶偏
1'王永珀右路传中，莫德斯特头球顶偏了                   1'开场不到1分钟，王永珀右路连续扣球摆脱防守后传中，莫德斯特抢点头球攻门顶偏
3'权健后场的传球，给出了边线                   1'开场不到1分钟，王永珀右路连续扣球摆脱防守后传中，莫德斯特抢点头球攻门顶偏
3'辽足给回后场，阿萨尼得球向前给                   1'开场不到1分钟，王永珀右路连续扣球摆脱防守后传中，莫德斯特抢点头球攻门顶偏
3'后场的起球，被权健拦截                   1'开场不到1分钟，王永珀右路连续扣球摆脱防守后传中，莫德斯特抢点头球攻门顶偏
4'张诚后场给到张璐脚下                   1'开场不到1分钟，王永珀右路连续扣球摆脱防守后传中，莫德斯特抢点头球攻门顶偏
4'孙可前场接球，越位了                   1'开场不到1分钟，王永珀右路连续扣球摆脱防守后传中，莫德斯特抢点头球攻门顶偏
10'权健获得前场右路定位球                   10'第10分钟，权健获得右路任意球机会，王永珀任意球给进去，阿萨尼顶到一点，莫德斯特禁区右侧小角度打门，被张振强扑出
10'王永珀任意球给进去，阿萨尼顶到一点                   10'第10分钟，权健获得右路任意球机会，王永珀任意球给进去，阿萨尼顶到一点，莫德斯特禁区右侧小角度打门，被张振强扑出
10'莫德斯特禁区右侧小角度打门，被张振强扑出                   10'第10分钟，权健获得右路任意球机会，王永珀任意球给进去，阿萨尼顶到一点，莫德斯特禁区右侧小角度打门，被张振强扑出
10'角球开到禁区，后点被权敬原拿到                   10'第10分钟，权健获得右路任意球机会，王永珀任意球给进去，阿萨尼顶到一点，莫德斯特禁区右侧小角度打门，被张振强扑出
11'张诚右路下底横传                   10'第10分钟，权健获得右路任意球机会，王永珀任意球给进去，阿萨尼顶到一点，莫德斯特禁区右侧小角度打门，被张振强扑出
11'阿萨尼大脚开出了界外                   10'第10分钟，权健获得右路任意球机会，王永珀任意球给进去，阿萨尼顶到一点，莫德斯特禁区右侧小角度打门，被张振强扑出
12'维特赛尔前场断球给到右路                   10'第10分钟，权健获得右路任意球机会，王永珀任意球给进去，阿萨尼顶到一点，莫德斯特禁区右侧小角度打门，被张振强扑出
13'王永珀右路45度传中，莫德斯特禁区内抢点破门                   10'第10分钟，权健获得右路任意球机会，王永珀任意球给进去，阿萨尼顶到一点，莫德斯特禁区右侧小角度打门，被张振强扑出
13'权健后场反击给到右路                   10'第10分钟，权健获得右路任意球机会，王永珀任意球给进去，阿萨尼顶到一点，莫德斯特禁区右侧小角度打门，被张振强扑出
14'郑达伦右路内切，横敲莫德斯特                   14'第14分钟，郑达伦右路内切横敲莫德斯特，莫德斯特禁区内打门踢呲了
14'莫德斯特禁区内打门，踢呲了                   14'第14分钟，郑达伦右路内切横敲莫德斯特，莫德斯特禁区内打门踢呲了
15'张诚右路传中，前点被解围出界外                   14'第14分钟，郑达伦右路内切横敲莫德斯特，莫德斯特禁区内打门踢呲了
16'辽足右路挑传，被大脚解围了                   14'第14分钟，郑达伦右路内切横敲莫德斯特，莫德斯特禁区内打门踢呲了
17'权健前场反抢断球，给到王永珀                   14'第14分钟，郑达伦右路内切横敲莫德斯特，莫德斯特禁区内打门踢呲了
17'维特塞尔挑传禁区内，被吕伟踢出来                   14'第14分钟，郑达伦右路内切横敲莫德斯特，莫德斯特禁区内打门踢呲了
23'孙可禁区前沿打门，被张振强没收                   23'第23分钟，糜昊伦左路连续过掉两名对方防守球员后送出倒三角传球，莫德斯特随即停球，埋伏身旁的郑达伦机敏跟上劲射破门
23'权健左路边线球                   23'第23分钟，糜昊伦左路连续过掉两名对方防守球员后送出倒三角传球，莫德斯特随即停球，埋伏身旁的郑达伦机敏跟上劲射破门
24'权健又进球了                   23'第23分钟，糜昊伦左路连续过掉两名对方防守球员后送出倒三角传球，莫德斯特随即停球，埋伏身旁的郑达伦机敏跟上劲射破门
25'权健左路突破倒三角，莫德斯特迎球没拿好，郑达伦跟进射门，打进上角                   23'第23分钟，糜昊伦左路连续过掉两名对方防守球员后送出倒三角传球，莫德斯特随即停球，埋伏身旁的郑达伦机敏跟上劲射破门
25'辽足后场给到阿萨尼，直接长传球，被拦截到了                   23'第23分钟，糜昊伦左路连续过掉两名对方防守球员后送出倒三角传球，莫德斯特随即停球，埋伏身旁的郑达伦机敏跟上劲射破门
26'刘奕鸣后场给到权敬原                   23'第23分钟，糜昊伦左路连续过掉两名对方防守球员后送出倒三角传球，莫德斯特随即停球，埋伏身旁的郑达伦机敏跟上劲射破门
27'杨帅回敲后场的张振强                   27'第27分钟，张振强后场处理球拖沓，权健队围抢断球后已经难觅射门空间，辽足逃过一劫
27'张振强禁区内要摆脱莫德斯特啊，差点被断啊                   27'第27分钟，张振强后场处理球拖沓，权健队围抢断球后已经难觅射门空间，辽足逃过一劫
28'角球开到禁区，莫德斯特头球被挡出底线                   27'第27分钟，张振强后场处理球拖沓，权健队围抢断球后已经难觅射门空间，辽足逃过一劫
28'角球继续，后点的压人犯规                   27'第27分钟，张振强后场处理球拖沓，权健队围抢断球后已经难觅射门空间，辽足逃过一劫
29'权健左路传球，后点郑达伦做中路                   27'第27分钟，张振强后场处理球拖沓，权健队围抢断球后已经难觅射门空间，辽足逃过一劫
29'王永珀禁区外围的打门，被挡出底线                   27'第27分钟，张振强后场处理球拖沓，权健队围抢断球后已经难觅射门空间，辽足逃过一劫
30'角球开到禁区，莫德斯特顶出底线                   27'第27分钟，张振强后场处理球拖沓，权健队围抢断球后已经难觅射门空间，辽足逃过一劫
32'权健获得右侧角球机会                   32'第32分钟，王永珀主罚右侧角球，刘奕鸣禁区中路得球劲射被阿萨尼飞身封出
33'角球开到前点，赵旭日头球被挡                   32'第32分钟，王永珀主罚右侧角球，刘奕鸣禁区中路得球劲射被阿萨尼飞身封出
33'刘奕鸣迎球再打，贝卡曼加封堵                   32'第32分钟，王永珀主罚右侧角球，刘奕鸣禁区中路得球劲射被阿萨尼飞身封出
34'角球开出来，裁判吹了郑达伦犯规                   32'第32分钟，王永珀主罚右侧角球，刘奕鸣禁区中路得球劲射被阿萨尼飞身封出
35'杨宇禁区右侧打门，被封堵了                   32'第32分钟，王永珀主罚右侧角球，刘奕鸣禁区中路得球劲射被阿萨尼飞身封出
35'鲍马尔还要去抢，被吹了越位                   32'第32分钟，王永珀主罚右侧角球，刘奕鸣禁区中路得球劲射被阿萨尼飞身封出
37'维特塞尔分球右侧                   37'第37分钟，王永珀禁区内横传被阿萨尼解围出底线，权健右侧角球开到后点，权敬源禁区内高高跃起头球争顶，埋伏门前的郑达伦在皮球飞行过程中右脚外脚背一垫，皮球再次入网，权健3-0领先
37'王永珀禁区右侧横传，阿萨尼大脚解围                   37'第37分钟，王永珀禁区内横传被阿萨尼解围出底线，权健右侧角球开到后点，权敬源禁区内高高跃起头球争顶，埋伏门前的郑达伦在皮球飞行过程中右脚外脚背一垫，皮球再次入网，权健3-0领先
38'权健右侧角球开到后点，头球攻门，郑达伦门前垫进球门                   37'第37分钟，王永珀禁区内横传被阿萨尼解围出底线，权健右侧角球开到后点，权敬源禁区内高高跃起头球争顶，埋伏门前的郑达伦在皮球飞行过程中右脚外脚背一垫，皮球再次入网，权健3-0领先
39'辽足有点很难过半场了啊                   37'第37分钟，王永珀禁区内横传被阿萨尼解围出底线，权健右侧角球开到后点，权敬源禁区内高高跃起头球争顶，埋伏门前的郑达伦在皮球飞行过程中右脚外脚背一垫，皮球再次入网，权健3-0领先
40'贝卡曼加前场断球，突入禁区右侧打门，稍稍偏出                   37'第37分钟，王永珀禁区内横传被阿萨尼解围出底线，权健右侧角球开到后点，权敬源禁区内高高跃起头球争顶，埋伏门前的郑达伦在皮球飞行过程中右脚外脚背一垫，皮球再次入网，权健3-0领先
42'维特塞尔左路被放倒                   42'第42分钟，辽足球员接连染黄，杨宇中场放倒王永珀吃到黄牌，胡延强也放倒维特塞尔随后吃到黄牌
43'裁判警告了一下杨宇                   42'第42分钟，辽足球员接连染黄，杨宇中场放倒王永珀吃到黄牌，胡延强也放倒维特塞尔随后吃到黄牌
43'杨宇中场放倒王永珀，吃到黄牌                   42'第42分钟，辽足球员接连染黄，杨宇中场放倒王永珀吃到黄牌，胡延强也放倒维特塞尔随后吃到黄牌
44'维特塞尔左路带球，被胡延强踢倒了                   42'第42分钟，辽足球员接连染黄，杨宇中场放倒王永珀吃到黄牌，胡延强也放倒维特塞尔随后吃到黄牌
44'胡延强吃到了黄牌                   42'第42分钟，辽足球员接连染黄，杨宇中场放倒王永珀吃到黄牌，胡延强也放倒维特塞尔随后吃到黄牌
45'杨帅后场回给门将                   42'第42分钟，辽足球员接连染黄，杨宇中场放倒王永珀吃到黄牌，胡延强也放倒维特塞尔随后吃到黄牌
45'张振强大脚开出来                   42'第42分钟，辽足球员接连染黄，杨宇中场放倒王永珀吃到黄牌，胡延强也放倒维特塞尔随后吃到黄牌
51'维特塞尔后场拿球给到左路的权敬原                   51'第51分钟，权健右路低平球斜传到了禁区里右侧肋部，郑达伦迎球打门被挡底线，全场右路角球开出到门前，禁区里阿萨尼手球犯规，裁判直接给了点球，莫德斯特主罚点球低射球门左侧，皮球飞奔入球门左侧而去，权健4-0领先辽足
51'辽足后场断球反击                   51'第51分钟，权健右路低平球斜传到了禁区里右侧肋部，郑达伦迎球打门被挡底线，全场右路角球开出到门前，禁区里阿萨尼手球犯规，裁判直接给了点球，莫德斯特主罚点球低射球门左侧，皮球飞奔入球门左侧而去，权健4-0领先辽足
52'辽足右路进攻，胡延强横敲，丢了                   51'第51分钟，权健右路低平球斜传到了禁区里右侧肋部，郑达伦迎球打门被挡底线，全场右路角球开出到门前，禁区里阿萨尼手球犯规，裁判直接给了点球，莫德斯特主罚点球低射球门左侧，皮球飞奔入球门左侧而去，权健4-0领先辽足
52'权健给到禁区右侧，郑达伦禁区右侧打门被封堵                   51'第51分钟，权健右路低平球斜传到了禁区里右侧肋部，郑达伦迎球打门被挡底线，全场右路角球开出到门前，禁区里阿萨尼手球犯规，裁判直接给了点球，莫德斯特主罚点球低射球门左侧，皮球飞奔入球门左侧而去，权健4-0领先辽足
53'点球                   51'第51分钟，权健右路低平球斜传到了禁区里右侧肋部，郑达伦迎球打门被挡底线，全场右路角球开出到门前，禁区里阿萨尼手球犯规，裁判直接给了点球，莫德斯特主罚点球低射球门左侧，皮球飞奔入球门左侧而去，权健4-0领先辽足
53'阿萨尼防守被吹了点球                   51'第51分钟，权健右路低平球斜传到了禁区里右侧肋部，郑达伦迎球打门被挡底线，全场右路角球开出到门前，禁区里阿萨尼手球犯规，裁判直接给了点球，莫德斯特主罚点球低射球门左侧，皮球飞奔入球门左侧而去，权健4-0领先辽足
54'莫德斯特点球破门                   51'第51分钟，权健右路低平球斜传到了禁区里右侧肋部，郑达伦迎球打门被挡底线，全场右路角球开出到门前，禁区里阿萨尼手球犯规，裁判直接给了点球，莫德斯特主罚点球低射球门左侧，皮球飞奔入球门左侧而去，权健4-0领先辽足
63'阿萨尼后场长传球，维特塞尔的顶回来                   63'随后一段时间双方波澜不惊都没有太好的进攻，第63分钟，维特塞尔挑传到点球点，莫德斯特头球争顶，禁区里左侧的张振强把球没收
63'杨宇再次长传，给出了界外                   63'随后一段时间双方波澜不惊都没有太好的进攻，第63分钟，维特塞尔挑传到点球点，莫德斯特头球争顶，禁区里左侧的张振强把球没收
65'糜昊伦左侧边线球掷出来                   63'随后一段时间双方波澜不惊都没有太好的进攻，第63分钟，维特塞尔挑传到点球点，莫德斯特头球争顶，禁区里左侧的张振强把球没收
65'右路45度吊禁区，球被阿萨尼顶出来                   63'随后一段时间双方波澜不惊都没有太好的进攻，第63分钟，维特塞尔挑传到点球点，莫德斯特头球争顶，禁区里左侧的张振强把球没收
66'鲍马尔禁区前沿突破，倒地了                   63'随后一段时间双方波澜不惊都没有太好的进攻，第63分钟，维特塞尔挑传到点球点，莫德斯特头球争顶，禁区里左侧的张振强把球没收
76'糜昊伦左路传中，被阿萨尼踢出边线                   76'第76分钟，权健继续进攻，维特塞尔横敲左侧，郑达伦加速小角度打门被封堵，随后张振强起身抱住皮球
77'维特塞尔横敲左侧，郑达伦加速小角度打门被封堵                   76'第76分钟，权健继续进攻，维特塞尔横敲左侧，郑达伦加速小角度打门被封堵，随后张振强起身抱住皮球
77'张振强起身抱住皮球                   76'第76分钟，权健继续进攻，维特塞尔横敲左侧，郑达伦加速小角度打门被封堵，随后张振强起身抱住皮球
