3'黄希扬左路传中，直接被池文一抱住                   3'比赛开始后杭州绿城率先开球，第3分钟，黄希扬左路传中，门前直接被池文一抱住
3'延边后场又是长传，河太均争顶                   3'比赛开始后杭州绿城率先开球，第3分钟，黄希扬左路传中，门前直接被池文一抱住
3'球被绿城球员控制住                   3'比赛开始后杭州绿城率先开球，第3分钟，黄希扬左路传中，门前直接被池文一抱住
4'延边后场断球打长传，河太均接球倚住后卫                   3'比赛开始后杭州绿城率先开球，第3分钟，黄希扬左路传中，门前直接被池文一抱住
4'进了禁区左侧，还是被对方抢先解围出了底线                   3'比赛开始后杭州绿城率先开球，第3分钟，黄希扬左路传中，门前直接被池文一抱住
5'尹比加兰角球开到中路，邹德海出击没收                   3'比赛开始后杭州绿城率先开球，第3分钟，黄希扬左路传中，门前直接被池文一抱住
5'陈柏良左路传中被挡出边线                   3'比赛开始后杭州绿城率先开球，第3分钟，黄希扬左路传中，门前直接被池文一抱住
5'进球啦                   3'比赛开始后杭州绿城率先开球，第3分钟，黄希扬左路传中，门前直接被池文一抱住
6'绿城左路传中，卡希尔中路插上头球攻门得手                   3'比赛开始后杭州绿城率先开球，第3分钟，黄希扬左路传中，门前直接被池文一抱住
5'尹比加兰角球开到中路，邹德海出击没收                   5'第5分钟，杭州绿城左路传中，前点谈杨漏过，中路跟进的卡希尔头球攻门得分，绿城1-0领先延边，取得梦幻开局
5'陈柏良左路传中被挡出边线                   5'第5分钟，杭州绿城左路传中，前点谈杨漏过，中路跟进的卡希尔头球攻门得分，绿城1-0领先延边，取得梦幻开局
5'进球啦                   5'第5分钟，杭州绿城左路传中，前点谈杨漏过，中路跟进的卡希尔头球攻门得分，绿城1-0领先延边，取得梦幻开局
6'绿城左路传中，卡希尔中路插上头球攻门得手                   5'第5分钟，杭州绿城左路传中，前点谈杨漏过，中路跟进的卡希尔头球攻门得分，绿城1-0领先延边，取得梦幻开局
7'崔仁争抢犯规吃到黄牌                   5'第5分钟，杭州绿城左路传中，前点谈杨漏过，中路跟进的卡希尔头球攻门得分，绿城1-0领先延边，取得梦幻开局
7'一脚踢到了陈柏良脸啊                   5'第5分钟，杭州绿城左路传中，前点谈杨漏过，中路跟进的卡希尔头球攻门得分，绿城1-0领先延边，取得梦幻开局
8'陈柏良经过短暂治疗，比赛继续                   5'第5分钟，杭州绿城左路传中，前点谈杨漏过，中路跟进的卡希尔头球攻门得分，绿城1-0领先延边，取得梦幻开局
10'河太均右侧倚住后卫低平球传中路                   10'第10分钟，延边前场断球，河太均外围远射被邹德海没收
10'球被后卫大脚解围出去                   10'第10分钟，延边前场断球，河太均外围远射被邹德海没收
10'延边前场断球，河太均外围远射被邹德海没收                   10'第10分钟，延边前场断球，河太均外围远射被邹德海没收
11'绿城右路传中，球被蹭到后点                   10'第10分钟，延边前场断球，河太均外围远射被邹德海没收
12'冯刚底线附近勾回到中路，被尼古拉解围                   10'第10分钟，延边前场断球，河太均外围远射被邹德海没收
13'崔仁右路内切横敲，球被拦截了                   10'第10分钟，延边前场断球，河太均外围远射被邹德海没收
13'绿城进攻不紧不慢                   10'第10分钟，延边前场断球，河太均外围远射被邹德海没收
13'冯刚右路传中，球被前点挡出                   10'第10分钟，延边前场断球，河太均外围远射被邹德海没收
14'河太均前沿给到尹比加兰                   14'第14分钟，杭州绿城角球之后迅速发动反击，加比奥内塔右路横敲中路，跟进的黄希扬张弓搭箭打出世界波
14'延边后场再起球，河太均蹭给左侧                   14'第14分钟，杭州绿城角球之后迅速发动反击，加比奥内塔右路横敲中路，跟进的黄希扬张弓搭箭打出世界波
14'斯蒂夫传中被挡出底线                   14'第14分钟，杭州绿城角球之后迅速发动反击，加比奥内塔右路横敲中路，跟进的黄希扬张弓搭箭打出世界波
15'尹比加兰角球找前点，被解围出去                   14'第14分钟，杭州绿城角球之后迅速发动反击，加比奥内塔右路横敲中路，跟进的黄希扬张弓搭箭打出世界波
15'加比奥内塔带球反击，右路横敲禁区前，黄希扬外围远射破门                   14'第14分钟，杭州绿城角球之后迅速发动反击，加比奥内塔右路横敲中路，跟进的黄希扬张弓搭箭打出世界波
16'非常漂亮的世界波                   14'第14分钟，杭州绿城角球之后迅速发动反击，加比奥内塔右路横敲中路，跟进的黄希扬张弓搭箭打出世界波
17'斯蒂夫左路拿球回敲                   14'第14分钟，杭州绿城角球之后迅速发动反击，加比奥内塔右路横敲中路，跟进的黄希扬张弓搭箭打出世界波
17'尹比加兰左路挑传，斯蒂夫停球回做                   14'第14分钟，杭州绿城角球之后迅速发动反击，加比奥内塔右路横敲中路，跟进的黄希扬张弓搭箭打出世界波
17'力量稍小，球被解围出去                   14'第14分钟，杭州绿城角球之后迅速发动反击，加比奥内塔右路横敲中路，跟进的黄希扬张弓搭箭打出世界波
18'绿城后场长传，池文一出击扑倒冯刚                   18'第18分钟，绿城后场长传，冯刚中路拿球，池文一出击扑倒冯刚，裁判给了绿城点球机会，并给池文一一张黄牌
18'裁判判了点球                   18'第18分钟，绿城后场长传，冯刚中路拿球，池文一出击扑倒冯刚，裁判给了绿城点球机会，并给池文一一张黄牌
19'池文一吃到一张黄牌                   18'第18分钟，绿城后场长传，冯刚中路拿球，池文一出击扑倒冯刚，裁判给了绿城点球机会，并给池文一一张黄牌
19'加比奥内塔点球骗过池文一轻松进网                   18'第18分钟，绿城后场长传，冯刚中路拿球，池文一出击扑倒冯刚，裁判给了绿城点球机会，并给池文一一张黄牌
20'20分钟打进三球了，对于延边来说非常艰难                   18'第18分钟，绿城后场长传，冯刚中路拿球，池文一出击扑倒冯刚，裁判给了绿城点球机会，并给池文一一张黄牌
21'斯蒂夫边路铲倒卡希尔                   18'第18分钟，绿城后场长传，冯刚中路拿球，池文一出击扑倒冯刚，裁判给了绿城点球机会，并给池文一一张黄牌
21'卡希尔接受队医治疗                   18'第18分钟，绿城后场长传，冯刚中路拿球，池文一出击扑倒冯刚，裁判给了绿城点球机会，并给池文一一张黄牌
22'绿城右路任意球传中，球被顶到外围                   22'第22分钟，加比奥内塔右路带球反击，内切后直接选择远射，球被池文一没收
22'延边右路传中，吴范锡头球顶出底线                   22'第22分钟，加比奥内塔右路带球反击，内切后直接选择远射，球被池文一没收
23'尹比加兰角球找前点，球被解围                   22'第22分钟，加比奥内塔右路带球反击，内切后直接选择远射，球被池文一没收
23'加比奥内塔右路带球反击，内切后直接选择远射，球被池文一没收                   22'第22分钟，加比奥内塔右路带球反击，内切后直接选择远射，球被池文一没收
24'延边右路传中，河太均头球攻门偏出                   22'第22分钟，加比奥内塔右路带球反击，内切后直接选择远射，球被池文一没收
24'延边换人，金承大替下尼古拉                   22'第22分钟，加比奥内塔右路带球反击，内切后直接选择远射，球被池文一没收
25'崔民后场定位球给到禁区前，被顶到外围                   22'第22分钟，加比奥内塔右路带球反击，内切后直接选择远射，球被池文一没收
24'延边右路传中，河太均头球攻门偏出                   24'第24分钟，延边队换人，金承大替下尼古拉
24'延边换人，金承大替下尼古拉                   24'第24分钟，延边队换人，金承大替下尼古拉
25'崔民后场定位球给到禁区前，被顶到外围                   24'第24分钟，延边队换人，金承大替下尼古拉
26'卡希尔中场犯规                   24'第24分钟，延边队换人，金承大替下尼古拉
27'延边前场断球，崔仁右路传中，河太均后点头球攻门被邹德海抱住                   24'第24分钟，延边队换人，金承大替下尼古拉
