8'射门!!!曼城球员米尔纳大禁区外左脚射门,被对方守门员横身扑出.给他传球的是内格雷多.                   8'第8分钟，内格雷多传球，米尔纳禁区前劲射被曼诺内得到
21'进球啦！！！桑德兰球员巴德兹利大禁区左侧右脚射门,球从右下角飞进球门,球进了!助攻的是布朗. 桑德兰 1-0 曼城.                   21'桑德兰第21分钟取得领先，前曼联中卫布朗长传，米尔纳防守时摔倒，前曼联青训后卫巴德斯利禁区左侧小角度破门
26'黄牌！曼城球员哈维-加西亚因为恶意犯规,被主裁判出示黄牌.                   26'第26分钟，哈维-加西亚对史蒂文-弗莱彻犯规被罚黄牌
28'布朗将球处理出底线,曼城获得角球.                   26'第26分钟，哈维-加西亚对史蒂文-弗莱彻犯规被罚黄牌
29'塞鲁斯特卡将球处理出底线,曼城获得角球.                   26'第26分钟，哈维-加西亚对史蒂文-弗莱彻犯规被罚黄牌
29'曼城球员纳斯里大禁区外右脚射门,被防守球员封堵.                   26'第26分钟，哈维-加西亚对史蒂文-弗莱彻犯规被罚黄牌
32'曼城球员阿圭罗小禁区右侧尝试头球,可惜皮球稍稍偏出了右球门.给他传球的是科拉罗夫.                   32'曼城第32分钟险些扳平比分，纳斯里直传，科拉罗夫禁区左侧边缘传中，阿圭罗远点4码处头球攻门偏出近角
34'曼城球员内格雷多大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.                   32'曼城第32分钟险些扳平比分，纳斯里直传，科拉罗夫禁区左侧边缘传中，阿圭罗远点4码处头球攻门偏出近角
35'弗莱彻为桑德兰在对方半场,赢得一个任意球.                   32'曼城第32分钟险些扳平比分，纳斯里直传，科拉罗夫禁区左侧边缘传中，阿圭罗远点4码处头球攻门偏出近角
35'曼城球员哈维-加西亚拼抢犯规,对手获得控球权.                   32'曼城第32分钟险些扳平比分，纳斯里直传，科拉罗夫禁区左侧边缘传中，阿圭罗远点4码处头球攻门偏出近角
50'曼城球员纳瓦斯大禁区中央左脚射门,被防守球员封堵.给他传球的是阿圭罗.                   50'第50分钟，阿圭罗突入禁区左侧回传，纳瓦斯10码处射门被巴德斯利封堵，曼诺内随即没收
50'曼城球员纳瓦斯大禁区中央右脚射门,被防守球员封堵.                   50'第50分钟，阿圭罗突入禁区左侧回传，纳瓦斯10码处射门被巴德斯利封堵，曼诺内随即没收
53'寄诚庸为桑德兰赢得一个任意球.                   50'第50分钟，阿圭罗突入禁区左侧回传，纳瓦斯10码处射门被巴德斯利封堵，曼诺内随即没收
53'曼城球员纳瓦斯拼抢犯规,对手获得控球权.                   50'第50分钟，阿圭罗突入禁区左侧回传，纳瓦斯10码处射门被巴德斯利封堵，曼诺内随即没收
62'曼城球员米尔纳大禁区外尝试右脚射门,可惜皮球高出右上角球门.给他传球的是纳斯里.                   62'第62分钟，纳斯里回传，米尔纳25码处劲射打中亚亚-图雷偏出底线
63'曼城球员纳斯里一脚直塞球给内格雷多,但是边裁举旗显示后者已经越位.                   62'第62分钟，纳斯里回传，米尔纳25码处劲射打中亚亚-图雷偏出底线
65'贾凯里尼将球处理出底线,曼城获得角球.                   62'第62分钟，纳斯里回传，米尔纳25码处劲射打中亚亚-图雷偏出底线
65'曼城球员纳瓦斯大禁区外右脚射门,被防守球员封堵.                   62'第62分钟，纳斯里回传，米尔纳25码处劲射打中亚亚-图雷偏出底线
71'曼城换人,哲科换下内格雷多                   71'第71分钟，哲科和萨巴莱塔分别换下内格雷多和里查兹
71'曼城换人,萨巴莱塔换下理查兹                   71'第71分钟，哲科和萨巴莱塔分别换下内格雷多和里查兹
72'射门!!!曼城球员哲科大禁区外左脚射门,被对方守门员横身扑出.给他传球的是纳斯里.                   71'第71分钟，哲科和萨巴莱塔分别换下内格雷多和里查兹
72'曼城球员阿圭罗大禁区中央尝试左脚射门,可惜皮球稍稍偏出了左球门.                   71'第71分钟，哲科和萨巴莱塔分别换下内格雷多和里查兹
72'桑德兰换人,加德纳换下贾凯里尼                   71'第71分钟，哲科和萨巴莱塔分别换下内格雷多和里查兹
73'加德纳为桑德兰在对方半场,赢得一个任意球.                   71'第71分钟，哲科和萨巴莱塔分别换下内格雷多和里查兹
73'曼城球员德米凯利斯拼抢犯规,对手获得控球权.                   71'第71分钟，哲科和萨巴莱塔分别换下内格雷多和里查兹
73'寄诚庸为桑德兰在对方半场,赢得一个任意球.                   71'第71分钟，哲科和萨巴莱塔分别换下内格雷多和里查兹
73'曼城球员亚亚-图雷拼抢犯规,对手获得控球权.                   71'第71分钟，哲科和萨巴莱塔分别换下内格雷多和里查兹
78'巴德兹利将球处理出底线,曼城获得角球.                   78'第78分钟，纳斯里开出角球，莱斯科特头球攻门偏出
78'曼城球员莱斯科特大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是纳斯里.                   78'第78分钟，纳斯里开出角球，莱斯科特头球攻门偏出
78'S-拉尔森将球处理出底线,曼城获得角球.                   78'第78分钟，纳斯里开出角球，莱斯科特头球攻门偏出
80'塞鲁斯特卡将球处理出底线,曼城获得角球.                   78'第78分钟，纳斯里开出角球，莱斯科特头球攻门偏出
80'曼城球员哲科大禁区中央尝试头球,可惜皮球稍稍偏出了右球门.给他传球的是科拉罗夫.                   78'第78分钟，纳斯里开出角球，莱斯科特头球攻门偏出
50'曼城球员纳瓦斯大禁区中央左脚射门,被防守球员封堵.给他传球的是阿圭罗.                   47'2分钟后，阿圭罗回带，科拉罗夫左路25码处抽射打在边网
50'曼城球员纳瓦斯大禁区中央右脚射门,被防守球员封堵.                   47'2分钟后，阿圭罗回带，科拉罗夫左路25码处抽射打在边网
