3'姜至鹏左路给到叶楚贵，叶楚贵不停球，直接敲给插上的卢琳                   3'开场第3分钟，汪嵩主罚前场左侧任意球旋至门前，姜宁甩头攻门稍稍打偏
3'卢琳左侧突破被郑涛放倒在地                   3'开场第3分钟，汪嵩主罚前场左侧任意球旋至门前，姜宁甩头攻门稍稍打偏
3'郑涛也是一向以球风彪悍著称                   3'开场第3分钟，汪嵩主罚前场左侧任意球旋至门前，姜宁甩头攻门稍稍打偏
4'汪嵩主罚，左路圆月弯刀把球给到禁区之内，姜宁插上，头球一蹭偏了                   3'开场第3分钟，汪嵩主罚前场左侧任意球旋至门前，姜宁甩头攻门稍稍打偏
4'富力左路断球，汪嵩和卢琳连续的配合，最后卢琳把球碰出边线                   3'开场第3分钟，汪嵩主罚前场左侧任意球旋至门前，姜宁甩头攻门稍稍打偏
4'叶楚贵左路接应，杨善平紧跟把球破坏                   3'开场第3分钟，汪嵩主罚前场左侧任意球旋至门前，姜宁甩头攻门稍稍打偏
5'富力后场控制一下节奏，于洋还是选择走左路                   3'开场第3分钟，汪嵩主罚前场左侧任意球旋至门前，姜宁甩头攻门稍稍打偏
5'姜至鹏带球助攻上来，和叶楚贵做撞墙配合                   3'开场第3分钟，汪嵩主罚前场左侧任意球旋至门前，姜宁甩头攻门稍稍打偏
5'杨善平在身后侵犯了叶楚贵，犯规                   3'开场第3分钟，汪嵩主罚前场左侧任意球旋至门前，姜宁甩头攻门稍稍打偏
6'还是汪嵩主罚，定位球直接送入禁区，秦升前点头球解围出边线                   3'开场第3分钟，汪嵩主罚前场左侧任意球旋至门前，姜宁甩头攻门稍稍打偏
6'富力连续的进攻                   3'开场第3分钟，汪嵩主罚前场左侧任意球旋至门前，姜宁甩头攻门稍稍打偏
6'右路把球吊到辽宁队禁区，卢琳在争，点球点附近想直接来个倒钩，没有踢上                   3'开场第3分钟，汪嵩主罚前场左侧任意球旋至门前，姜宁甩头攻门稍稍打偏
16'郑涛右路找波利，卢琳一记滑铲把球挡出                   16'第16分钟，富力长传找叶楚贵，叶楚贵和郑涛在右路纠缠在一起两人双双倒地，裁判没有吹罚
16'富力一记长传，找前面的叶楚贵                   16'第16分钟，富力长传找叶楚贵，叶楚贵和郑涛在右路纠缠在一起两人双双倒地，裁判没有吹罚
17'叶楚贵和郑涛在右路纠缠到一起                   16'第16分钟，富力长传找叶楚贵，叶楚贵和郑涛在右路纠缠在一起两人双双倒地，裁判没有吹罚
17'两人双双倒地，裁判没有吹犯规                   16'第16分钟，富力长传找叶楚贵，叶楚贵和郑涛在右路纠缠在一起两人双双倒地，裁判没有吹罚
