22'角球开出到后点，莫蒂的头球摆渡，结果直接顶出了底线                   22'第22分钟，埃斯皮尼奥开出角球，莫蒂远点小角度头球攻门打在边网
23'皇马后场传球失误，卢多戈雷茨的反击                   22'第22分钟，埃斯皮尼奥开出角球，莫蒂远点小角度头球攻门打在边网
23'卢多戈雷茨左路45度斜传球到禁区，第一点被皇马球员解围                   22'第22分钟，埃斯皮尼奥开出角球，莫蒂远点小角度头球攻门打在边网
23'伊斯科拿球反击，中路突进后分给右侧的贝尔                   22'第22分钟，埃斯皮尼奥开出角球，莫蒂远点小角度头球攻门打在边网
23'贝尔拿球斜传找前插的C罗，C罗摔倒在了禁区                   22'第22分钟，埃斯皮尼奥开出角球，莫蒂远点小角度头球攻门打在边网
24'这次主裁判不会判罚了，球权被卢多戈雷茨控制                   22'第22分钟，埃斯皮尼奥开出角球，莫蒂远点小角度头球攻门打在边网
24'卢多戈雷茨后场失误，皇马反击                   22'第22分钟，埃斯皮尼奥开出角球，莫蒂远点小角度头球攻门打在边网
24'C罗禁区内背身拿球，转身，一扣，被莫蒂放倒在地                   22'第22分钟，埃斯皮尼奥开出角球，莫蒂远点小角度头球攻门打在边网
24'皇马再次获得点球机会！！！                   22'第22分钟，埃斯皮尼奥开出角球，莫蒂远点小角度头球攻门打在边网
25'C罗主罚，右脚抽射左侧死角，打进！！！                   22'第22分钟，埃斯皮尼奥开出角球，莫蒂远点小角度头球攻门打在边网
25'这球也是相当危险啊，斯托扬诺夫又判断对了方向，可惜C罗的打门角度太刁啦                   22'第22分钟，埃斯皮尼奥开出角球，莫蒂远点小角度头球攻门打在边网
26'伊斯科中场逼抢中，身后放铲铲倒了埃斯皮尼奥                   26'第26分钟，伊利亚拉门迪传球，埃尔南德斯禁区右侧的射门被封堵
26'埃尔南德斯中路拿球，强突进入禁区直接打门，被挡回                   26'第26分钟，伊利亚拉门迪传球，埃尔南德斯禁区右侧的射门被封堵
27'贝尔拿球，往右边路走，转身横传到门前                   26'第26分钟，伊利亚拉门迪传球，埃尔南德斯禁区右侧的射门被封堵
27'第一点再被卢多戈雷茨球员解围                   26'第26分钟，伊利亚拉门迪传球，埃尔南德斯禁区右侧的射门被封堵
28'迪亚科夫前场逼抢中被吹犯规                   26'第26分钟，伊利亚拉门迪传球，埃尔南德斯禁区右侧的射门被封堵
28'迪亚科夫被主裁判出示了黄牌警告！！！                   26'第26分钟，伊利亚拉门迪传球，埃尔南德斯禁区右侧的射门被封堵
29'开场25分钟，皇马赢得了两次点球，这让现场的球迷很不满，嘘声四起                   26'第26分钟，伊利亚拉门迪传球，埃尔南德斯禁区右侧的射门被封堵
29'莫德里奇禁区弧顶挑传找马塞洛                   26'第26分钟，伊利亚拉门迪传球，埃尔南德斯禁区右侧的射门被封堵
