1'裁判哨响！上半场开始了！                   1'曼城第1分钟试图控制比赛，但里昂凭借严密防守与英超冠军周旋
1'里昂率先开球！                   1'曼城第1分钟试图控制比赛，但里昂凭借严密防守与英超冠军周旋
1'里昂身穿橙色球衣！                   1'曼城第1分钟试图控制比赛，但里昂凭借严密防守与英超冠军周旋
1'曼城身穿天蓝色球衣！                   1'曼城第1分钟试图控制比赛，但里昂凭借严密防守与英超冠军周旋
3'大卫-席尔瓦分左侧斯特林！                   1'曼城第1分钟试图控制比赛，但里昂凭借严密防守与英超冠军周旋
3'回传球被解围了！                   1'曼城第1分钟试图控制比赛，但里昂凭借严密防守与英超冠军周旋
3'德佩反抢右侧突破传中！                   1'曼城第1分钟试图控制比赛，但里昂凭借严密防守与英超冠军周旋
3'球被挡出了边线！                   1'曼城第1分钟试图控制比赛，但里昂凭借严密防守与英超冠军周旋
4'京多安中场逼抢犯规了！                   1'曼城第1分钟试图控制比赛，但里昂凭借严密防守与英超冠军周旋
26'奥亚尔中路推进！横传失误了！                   26'里昂第26分钟取得领先，曼城中场传接球失误，费基尔同奥亚尔踢墙配合后左路突破传中，德尔夫远点漏球失误，科尔内特小禁区右上角外射入远角
26'但是京多安也失误了！                   26'里昂第26分钟取得领先，曼城中场传接球失误，费基尔同奥亚尔踢墙配合后左路突破传中，德尔夫远点漏球失误，科尔内特小禁区右上角外射入远角
26'费基尔左侧得球突破传中！                   26'里昂第26分钟取得领先，曼城中场传接球失误，费基尔同奥亚尔踢墙配合后左路突破传中，德尔夫远点漏球失误，科尔内特小禁区右上角外射入远角
26'德尔夫解围踢空了！                   26'里昂第26分钟取得领先，曼城中场传接球失误，费基尔同奥亚尔踢墙配合后左路突破传中，德尔夫远点漏球失误，科尔内特小禁区右上角外射入远角
26'后点科尔内凌空扫射！                   26'里昂第26分钟取得领先，曼城中场传接球失误，费基尔同奥亚尔踢墙配合后左路突破传中，德尔夫远点漏球失误，科尔内特小禁区右上角外射入远角
26'GOOOOOOOOOOOOOOAL！                   26'里昂第26分钟取得领先，曼城中场传接球失误，费基尔同奥亚尔踢墙配合后左路突破传中，德尔夫远点漏球失误，科尔内特小禁区右上角外射入远角
28'斯通斯长传前场左侧！被断了！                   26'里昂第26分钟取得领先，曼城中场传接球失误，费基尔同奥亚尔踢墙配合后左路突破传中，德尔夫远点漏球失误，科尔内特小禁区右上角外射入远角
28'恩东贝莱反击推进被犯规了！                   26'里昂第26分钟取得领先，曼城中场传接球失误，费基尔同奥亚尔踢墙配合后左路突破传中，德尔夫远点漏球失误，科尔内特小禁区右上角外射入远角
28'洛佩斯交给右侧拉斐尔！斜传中路险些失误！                   26'里昂第26分钟取得领先，曼城中场传接球失误，费基尔同奥亚尔踢墙配合后左路突破传中，德尔夫远点漏球失误，科尔内特小禁区右上角外射入远角
29'费基尔得球推进！中路分左侧奥亚尔！                   26'里昂第26分钟取得领先，曼城中场传接球失误，费基尔同奥亚尔踢墙配合后左路突破传中，德尔夫远点漏球失误，科尔内特小禁区右上角外射入远角
29'横传中路失误了！大卫-席尔瓦的抢断！                   26'里昂第26分钟取得领先，曼城中场传接球失误，费基尔同奥亚尔踢墙配合后左路突破传中，德尔夫远点漏球失误，科尔内特小禁区右上角外射入远角
29'埃德森交给沃克！交给费尔南迪尼奥！                   26'里昂第26分钟取得领先，曼城中场传接球失误，费基尔同奥亚尔踢墙配合后左路突破传中，德尔夫远点漏球失误，科尔内特小禁区右上角外射入远角
41'沃克右侧下底传中！球偏出了底线！                   40'第40分钟，热苏斯突入禁区在拉斐尔防守下摔倒，裁判拒绝判罚点球
42'科尔内右侧传中到后点！                   40'第40分钟，热苏斯突入禁区在拉斐尔防守下摔倒，裁判拒绝判罚点球
42'奥亚尔横传中路！                   40'第40分钟，热苏斯突入禁区在拉斐尔防守下摔倒，裁判拒绝判罚点球
42'恩东贝莱抽射被挡出！                   40'第40分钟，热苏斯突入禁区在拉斐尔防守下摔倒，裁判拒绝判罚点球
42'曼城反击！热苏斯中路推进！                   40'第40分钟，热苏斯突入禁区在拉斐尔防守下摔倒，裁判拒绝判罚点球
43'分右侧费尔南迪尼奥！挑传禁区左侧斯特林！                   40'第40分钟，热苏斯突入禁区在拉斐尔防守下摔倒，裁判拒绝判罚点球
43'斯特林直塞禁区！球被洛佩斯没收了！                   40'第40分钟，热苏斯突入禁区在拉斐尔防守下摔倒，裁判拒绝判罚点球
43'拉波尔特后场推进！横传费尔南迪尼奥！失误了！                   40'第40分钟，热苏斯突入禁区在拉斐尔防守下摔倒，裁判拒绝判罚点球
43'分右侧费尔南迪尼奥！挑传禁区左侧斯特林！                   43'里昂第43分钟扩大比分，曼城后场再次丢球，费基尔禁区弧边缘低射右下角入网，2-0
43'斯特林直塞禁区！球被洛佩斯没收了！                   43'里昂第43分钟扩大比分，曼城后场再次丢球，费基尔禁区弧边缘低射右下角入网，2-0
43'拉波尔特后场推进！横传费尔南迪尼奥！失误了！                   43'里昂第43分钟扩大比分，曼城后场再次丢球，费基尔禁区弧边缘低射右下角入网，2-0
44'费基尔得球中路反击！左脚低射右下角！                   43'里昂第43分钟扩大比分，曼城后场再次丢球，费基尔禁区弧边缘低射右下角入网，2-0
44'GOOOOOOOOOOOOOOAL！！！                   43'里昂第43分钟扩大比分，曼城后场再次丢球，费基尔禁区弧边缘低射右下角入网，2-0
45'拉波尔特回传斯通斯！分右侧沃克！                   43'里昂第43分钟扩大比分，曼城后场再次丢球，费基尔禁区弧边缘低射右下角入网，2-0
45'回传拉波尔特！短传德尔夫！                   43'里昂第43分钟扩大比分，曼城后场再次丢球，费基尔禁区弧边缘低射右下角入网，2-0
45'德尔夫长传前场右侧伯纳多-席尔瓦！                   43'里昂第43分钟扩大比分，曼城后场再次丢球，费基尔禁区弧边缘低射右下角入网，2-0
45'脚后跟分底线京多安！传中被挡出底线！                   43'里昂第43分钟扩大比分，曼城后场再次丢球，费基尔禁区弧边缘低射右下角入网，2-0
46'曼城右侧角球！给到后点被头球解围了！                   43'里昂第43分钟扩大比分，曼城后场再次丢球，费基尔禁区弧边缘低射右下角入网，2-0
46'裁判哨响！下半场开始了！                   43'里昂第43分钟扩大比分，曼城后场再次丢球，费基尔禁区弧边缘低射右下角入网，2-0
46'曼城中场开球！                   43'里昂第43分钟扩大比分，曼城后场再次丢球，费基尔禁区弧边缘低射右下角入网，2-0
46'德尔夫横传大卫-席尔瓦！挑传左侧斯特林！                   43'里昂第43分钟扩大比分，曼城后场再次丢球，费基尔禁区弧边缘低射右下角入网，2-0
67'门迪直传给费基尔！反击被斯通斯铲断！                   67'曼城第67分钟扳回一城，萨内连过2人后突入禁区左侧回传，贝尔纳多12码处斜射右下角入网，1-2
67'大卫-席尔瓦分左侧萨内！左侧突破禁区！                   67'曼城第67分钟扳回一城，萨内连过2人后突入禁区左侧回传，贝尔纳多12码处斜射右下角入网，1-2
67'底线回传伯纳多-席尔瓦！左脚扫射右下角！                   67'曼城第67分钟扳回一城，萨内连过2人后突入禁区左侧回传，贝尔纳多12码处斜射右下角入网，1-2
67'GOOOOOOOOOOOAL！                   67'曼城第67分钟扳回一城，萨内连过2人后突入禁区左侧回传，贝尔纳多12码处斜射右下角入网，1-2
68'费尔南迪尼奥分左侧德尔夫！给边路萨内！                   67'曼城第67分钟扳回一城，萨内连过2人后突入禁区左侧回传，贝尔纳多12码处斜射右下角入网，1-2
68'横传阿圭罗！分左侧伯纳多-席尔瓦！                   67'曼城第67分钟扳回一城，萨内连过2人后突入禁区左侧回传，贝尔纳多12码处斜射右下角入网，1-2
