2'埃弗顿在自己后场控球                   2'第2分钟，拜恩斯掷出界外球，奥斯曼大禁区左上角外凌空抽射擦右侧立柱偏出
2'埃弗顿后场大家长传到禁区里，卢卡库接应把球拿住                   2'第2分钟，拜恩斯掷出界外球，奥斯曼大禁区左上角外凌空抽射擦右侧立柱偏出
2'卢卡库把球回敲给队友时，球被阿森纳后卫碰出解围                   2'第2分钟，拜恩斯掷出界外球，奥斯曼大禁区左上角外凌空抽射擦右侧立柱偏出
3'界外球掷出，奥斯曼胸部停球后撩起一脚射门，球稍稍偏出！！！                   2'第2分钟，拜恩斯掷出界外球，奥斯曼大禁区左上角外凌空抽射擦右侧立柱偏出
3'球在空中划出一道诡异的弧线，险些破门啊                   2'第2分钟，拜恩斯掷出界外球，奥斯曼大禁区左上角外凌空抽射擦右侧立柱偏出
4'阿森纳也是在左边路推进，波多尔斯基带球突进到禁区角上，一脚冷射，球也是稍稍偏出远门柱                   2'第2分钟，拜恩斯掷出界外球，奥斯曼大禁区左上角外凌空抽射擦右侧立柱偏出
4'开场后双方各自一脚远射，掀开了今天的进攻潮                   2'第2分钟，拜恩斯掷出界外球，奥斯曼大禁区左上角外凌空抽射擦右侧立柱偏出
4'巴恩斯在左边路拿球，往前传递时，球被萨尼亚碰出界外                   2'第2分钟，拜恩斯掷出界外球，奥斯曼大禁区左上角外凌空抽射擦右侧立柱偏出
5'阿森纳把球转移到左侧，埃弗顿也是对拿球球员逼得很紧                   2'第2分钟，拜恩斯掷出界外球，奥斯曼大禁区左上角外凌空抽射擦右侧立柱偏出
5'阿森纳缺少传递的空间啊                   2'第2分钟，拜恩斯掷出界外球，奥斯曼大禁区左上角外凌空抽射擦右侧立柱偏出
5'阿森纳只能把球踢回到自己后场控制                   2'第2分钟，拜恩斯掷出界外球，奥斯曼大禁区左上角外凌空抽射擦右侧立柱偏出
5'阿森纳打的也是非常耐心，前场没有机会就把球留在后场控制                   2'第2分钟，拜恩斯掷出界外球，奥斯曼大禁区左上角外凌空抽射擦右侧立柱偏出
6'罗西基中场拿球，把球交给弗拉米尼                   6'第6分钟，拜恩斯直传，奈史密斯禁区左侧错过射门机会，但卢卡库在中路错过他的传球，奥斯曼禁区右侧的射门被封堵
6'阿森纳还是把球转移到左侧边路                   6'第6分钟，拜恩斯直传，奈史密斯禁区左侧错过射门机会，但卢卡库在中路错过他的传球，奥斯曼禁区右侧的射门被封堵
6'波多尔斯基边路斜传禁区，可惜后点没有接应队友                   6'第6分钟，拜恩斯直传，奈史密斯禁区左侧错过射门机会，但卢卡库在中路错过他的传球，奥斯曼禁区右侧的射门被封堵
7'双方现在势均力敌，没有太好的机会                   6'第6分钟，拜恩斯直传，奈史密斯禁区左侧错过射门机会，但卢卡库在中路错过他的传球，奥斯曼禁区右侧的射门被封堵
7'埃弗顿左边路推进，直塞到禁区里，卢卡库接球后没人防守，横敲到点球点时，队友跑过了！！！                   6'第6分钟，拜恩斯直传，奈史密斯禁区左侧错过射门机会，但卢卡库在中路错过他的传球，奥斯曼禁区右侧的射门被封堵
8'奥斯曼前场逼抢飞铲萨尼亚，自己眼角也开口出血了！！                   6'第6分钟，拜恩斯直传，奈史密斯禁区左侧错过射门机会，但卢卡库在中路错过他的传球，奥斯曼禁区右侧的射门被封堵
8'奥斯曼为此也付出一张黄牌的代价                   6'第6分钟，拜恩斯直传，奈史密斯禁区左侧错过射门机会，但卢卡库在中路错过他的传球，奥斯曼禁区右侧的射门被封堵
8'刚才时奈史密斯接应，传中给卢卡库时跑过了                   6'第6分钟，拜恩斯直传，奈史密斯禁区左侧错过射门机会，但卢卡库在中路错过他的传球，奥斯曼禁区右侧的射门被封堵
9'奥斯曼被队医扶出了球场进入休息室，是不是要进行缝针啊                   6'第6分钟，拜恩斯直传，奈史密斯禁区左侧错过射门机会，但卢卡库在中路错过他的传球，奥斯曼禁区右侧的射门被封堵
9'波多尔斯基禁区前沿拿球，射门被后卫挡出，左侧队友处在了越位位置                   6'第6分钟，拜恩斯直传，奈史密斯禁区左侧错过射门机会，但卢卡库在中路错过他的传球，奥斯曼禁区右侧的射门被封堵
9'奥斯曼被队医扶出了球场进入休息室，是不是要进行缝针啊                   9'第9分钟，罗西基传球，波多尔斯基禁区左侧的射门被封堵
9'波多尔斯基禁区前沿拿球，射门被后卫挡出，左侧队友处在了越位位置                   9'第9分钟，罗西基传球，波多尔斯基禁区左侧的射门被封堵
10'奥斯曼估计不能坚持了，埃弗顿换上了巴克利                   9'第9分钟，罗西基传球，波多尔斯基禁区左侧的射门被封堵
10'巴恩斯带上了队长袖标                   9'第9分钟，罗西基传球，波多尔斯基禁区左侧的射门被封堵
10'上半场10分钟了，场上比分0-0                   9'第9分钟，罗西基传球，波多尔斯基禁区左侧的射门被封堵
11'奈史密斯中场拿球，送出直塞球到禁区里，可惜卢卡库没有跟进                   9'第9分钟，罗西基传球，波多尔斯基禁区左侧的射门被封堵
11'弗拉米尼中路带球突破，禁区外距门26米左右，一脚大力抽射，被霍华德没收！                   9'第9分钟，罗西基传球，波多尔斯基禁区左侧的射门被封堵
11'这次射门打的稍微正了一些！                   9'第9分钟，罗西基传球，波多尔斯基禁区左侧的射门被封堵
12'奈史密斯把球转移给左边路队友                   9'第9分钟，罗西基传球，波多尔斯基禁区左侧的射门被封堵
12'巴恩斯和禁区外的米拉拉斯2过2配合，可惜边裁举旗示意巴恩斯前插越位了！                   9'第9分钟，罗西基传球，波多尔斯基禁区左侧的射门被封堵
14'奈史密斯中场逼抢把阿特塔飞铲倒地！裁判居然没有出示黄牌                   14'埃弗顿第14分钟取得领先，拜恩斯左路传中，摆脱蒙雷亚尔防守的卢卡库15码处低射被斯泽斯尼用腿勉强挡出，奈史密斯14码处补射入右下角
14'这个时候温格也起身叫板裁判了                   14'埃弗顿第14分钟取得领先，拜恩斯左路传中，摆脱蒙雷亚尔防守的卢卡库15码处低射被斯泽斯尼用腿勉强挡出，奈史密斯14码处补射入右下角
14'罗西基左边路拿球，转身敲给波多尔斯基                   14'埃弗顿第14分钟取得领先，拜恩斯左路传中，摆脱蒙雷亚尔防守的卢卡库15码处低射被斯泽斯尼用腿勉强挡出，奈史密斯14码处补射入右下角
14'埃弗顿后卫拦截后回传给霍华德力量稍小，险些失误                   14'埃弗顿第14分钟取得领先，拜恩斯左路传中，摆脱蒙雷亚尔防守的卢卡库15码处低射被斯泽斯尼用腿勉强挡出，奈史密斯14码处补射入右下角
14'奈史密斯进球！！！埃弗顿1-0                   14'埃弗顿第14分钟取得领先，拜恩斯左路传中，摆脱蒙雷亚尔防守的卢卡库15码处低射被斯泽斯尼用腿勉强挡出，奈史密斯14码处补射入右下角
15'巴恩斯左边路地平球传中到门前，卢卡斯包抄到位倚住蒙雷尔，推射被斯泽斯尼用脚挡出，跟进的奈史密斯补射把球打进！！！                   14'埃弗顿第14分钟取得领先，拜恩斯左路传中，摆脱蒙雷亚尔防守的卢卡库15码处低射被斯泽斯尼用腿勉强挡出，奈史密斯14码处补射入右下角
16'阿森纳危险了啊。                   14'埃弗顿第14分钟取得领先，拜恩斯左路传中，摆脱蒙雷亚尔防守的卢卡库15码处低射被斯泽斯尼用腿勉强挡出，奈史密斯14码处补射入右下角
16'上半场刚刚打到15分钟，主队埃弗顿1-0领先了                   14'埃弗顿第14分钟取得领先，拜恩斯左路传中，摆脱蒙雷亚尔防守的卢卡库15码处低射被斯泽斯尼用腿勉强挡出，奈史密斯14码处补射入右下角
17'卡索拉左边路传中被后卫挡了一下，波多尔斯基禁区里拿球，转身射门被后卫挡住！！！                   14'埃弗顿第14分钟取得领先，拜恩斯左路传中，摆脱蒙雷亚尔防守的卢卡库15码处低射被斯泽斯尼用腿勉强挡出，奈史密斯14码处补射入右下角
17'埃弗顿后卫前仆后继啊，防守很有层次                   14'埃弗顿第14分钟取得领先，拜恩斯左路传中，摆脱蒙雷亚尔防守的卢卡库15码处低射被斯泽斯尼用腿勉强挡出，奈史密斯14码处补射入右下角
20'阿森纳前场组织不够犀利啊，没有人能传出致命一击                   20'第20分钟，麦卡锡禁区右侧劲射打中奈史密斯偏转后被斯泽斯尼没收
20'比赛马上来到20分钟了                   20'第20分钟，麦卡锡禁区右侧劲射打中奈史密斯偏转后被斯泽斯尼没收
20'埃弗顿会连胜第六场吗？                   20'第20分钟，麦卡锡禁区右侧劲射打中奈史密斯偏转后被斯泽斯尼没收
21'巴恩斯左边路接应，传中球到门前，居然没人碰到，好险，只要有人碰到这个球就危险了                   20'第20分钟，麦卡锡禁区右侧劲射打中奈史密斯偏转后被斯泽斯尼没收
21'埃弗顿另一侧继续低平球传中，人丛中有人碰到一下改变了皮球运行轨迹，好在斯泽斯尼反应很快把球没收                   20'第20分钟，麦卡锡禁区右侧劲射打中奈史密斯偏转后被斯泽斯尼没收
22'萨尼亚在右边路推进到前场，斜传到门前，接应的吉鲁用脚一垫，偏出球门！                   20'第20分钟，麦卡锡禁区右侧劲射打中奈史密斯偏转后被斯泽斯尼没收
22'卡索拉也回到左边路防守，把球碰出了边线                   20'第20分钟，麦卡锡禁区右侧劲射打中奈史密斯偏转后被斯泽斯尼没收
23'看看温格如何来调整，阿森纳现在显得有些运转不灵                   20'第20分钟，麦卡锡禁区右侧劲射打中奈史密斯偏转后被斯泽斯尼没收
24'维尔马伦压过中场，把球传给左边路的波多尔斯基                   24'第24分钟，弗拉米尼禁区前丢球，米拉拉斯20码处低射正入斯泽斯尼下怀
24'波多尔斯基下底传中到后点，卡索拉包抄慢了半步                   24'第24分钟，弗拉米尼禁区前丢球，米拉拉斯20码处低射正入斯泽斯尼下怀
24'埃弗顿后场长传找到卢卡库，球被后卫拦截                   24'第24分钟，弗拉米尼禁区前丢球，米拉拉斯20码处低射正入斯泽斯尼下怀
24'阿森纳后卫后场铲断失误！！！把球铲给了奈史密斯，远射打的太正被门将扑住                   24'第24分钟，弗拉米尼禁区前丢球，米拉拉斯20码处低射正入斯泽斯尼下怀
25'比赛打到现在埃弗顿显得更加积极一些                   24'第24分钟，弗拉米尼禁区前丢球，米拉拉斯20码处低射正入斯泽斯尼下怀
25'阿森纳的打法不能说不积极，但打的很辛苦                   24'第24分钟，弗拉米尼禁区前丢球，米拉拉斯20码处低射正入斯泽斯尼下怀
25'埃弗顿的防守贴的很紧！                   24'第24分钟，弗拉米尼禁区前丢球，米拉拉斯20码处低射正入斯泽斯尼下怀
26'主裁判把巴恩斯叫到身前，口头警告了他，刚才一次铲抢动作过大                   24'第24分钟，弗拉米尼禁区前丢球，米拉拉斯20码处低射正入斯泽斯尼下怀
27'巴恩斯后场长传反击，球被维尔马伦把球破坏出边线                   24'第24分钟，弗拉米尼禁区前丢球，米拉拉斯20码处低射正入斯泽斯尼下怀
27'弗拉米尼中场分球到左侧，一脚不知所谓的传球，传出了边线                   24'第24分钟，弗拉米尼禁区前丢球，米拉拉斯20码处低射正入斯泽斯尼下怀
34'弗拉米尼前场拼抢时把球碰出了边线                   34'埃弗顿第34分钟扩大比分，米拉拉斯斜传，卢卡库连过蒙雷亚尔和维尔马伦后16码处射入左下角，2-0
34'卢卡库进球！！！2-0                   34'埃弗顿第34分钟扩大比分，米拉拉斯斜传，卢卡库连过蒙雷亚尔和维尔马伦后16码处射入左下角，2-0
35'埃弗顿中场米拉拉斯转移到右侧，卢卡库拿球后横向突破内切到禁区里，大力抽射远角得分！！！                   34'埃弗顿第34分钟扩大比分，米拉拉斯斜传，卢卡库连过蒙雷亚尔和维尔马伦后16码处射入左下角，2-0
