9'都灵球员巴塞利大禁区外尝试右脚射门,可惜皮球偏出球门.给他传球的是法尔克.                   9'开场9分钟，雅各-法尔克禁区右侧回做，巴塞利在门前18米处凌空勾射高出，随后他在禁区前沿左脚低射，汉达诺维奇脱手后拿到
48'国际米兰球员加格里亚迪尼大禁区外左脚射门,被防守球员封堵.                   48'下半时开始3分钟，长友佑都左路内切斜传，贝西诺在门前9米处顶出弹地球又被西里古神勇封出右下角
49'射门!!!国际米兰球员维奇诺大禁区中央头球,被对方守门员横身扑出.给他传球的是长友佑都.                   48'下半时开始3分钟，长友佑都左路内切斜传，贝西诺在门前9米处顶出弹地球又被西里古神勇封出右下角
49'西里古将球处理出底线,国际米兰获得角球.                   48'下半时开始3分钟，长友佑都左路内切斜传，贝西诺在门前9米处顶出弹地球又被西里古神勇封出右下角
50'安萨尔迪将球处理出底线,国际米兰获得角球.                   48'下半时开始3分钟，长友佑都左路内切斜传，贝西诺在门前9米处顶出弹地球又被西里古神勇封出右下角
59'进球啦！！！都灵球员法尔克大禁区外左脚射门,球从右下角飞进球门,球进了!助攻的是德西尔维斯特里. 国际米兰 0-1 都灵.                   59'都灵第59分钟取得领先
61'国际米兰球员长友佑都一脚直塞球给伊卡尔迪,但是边裁举旗显示后者已经越位.                   59'都灵第59分钟取得领先
61'都灵球员西里古被主裁判出示了一张黄牌.                   59'都灵第59分钟取得领先
62'国际米兰球员伊卡尔迪大禁区右侧尝试右脚射门,可惜皮球高出右上角球门.给他传球的是坎德雷瓦.                   59'都灵第59分钟取得领先
79'进球啦！！！国际米兰球员埃德大禁区中央右脚射门,球从左上角飞进球门,球进了!助攻的是伊卡尔迪. 国际米兰 1-1 都灵.                   79'国米第79分钟追平比分
80'利亚伊奇为都灵赢得一个任意球.                   79'国米第79分钟追平比分
80'国际米兰球员德安布罗西奥拼抢犯规,对手获得控球权.                   79'国米第79分钟追平比分
82'布尔迪索将球处理出底线,国际米兰获得角球.                   79'国米第79分钟追平比分
82'都灵换人,尼昂换下法尔克                   79'国米第79分钟追平比分
88'国际米兰球员维奇诺大禁区外右脚射门,命中门柱横梁.给他传球的是埃德.                   88'国米第88分钟险些上演绝杀
88'黄牌！都灵球员阿库瓦因为恶意犯规,被主裁判出示黄牌.                   88'国米第88分钟险些上演绝杀
89'都灵换人,贝伦格尔换下利亚伊奇                   88'国米第88分钟险些上演绝杀
90'+3'尼昂为都灵在对方半场,赢得一个任意球.                   88'国米第88分钟险些上演绝杀
90'+3'国际米兰球员博尔加-巴雷罗拼抢犯规,对手获得控球权.                   88'国米第88分钟险些上演绝杀
90'+3'都灵球员安萨尔迪一脚直塞球给Andrea Belotti,但是边裁举旗显示后者已经越位.                   88'国米第88分钟险些上演绝杀
90'+4'都灵球员巴塞利一脚直塞球给Andrea Belotti,但是边裁举旗显示后者已经越位.                   88'国米第88分钟险些上演绝杀
90'+5'下半场结束,国际米兰 1-1 都灵                   88'国米第88分钟险些上演绝杀
