1'上半场比赛开始！！                   1'赫罗纳第1分钟连续利用传中制造威胁，本泽马禁区防守时疑似手球，裁判未予理会
1'首先由主队赫罗纳开球，从画面的右侧向左进攻！！                   1'赫罗纳第1分钟连续利用传中制造威胁，本泽马禁区防守时疑似手球，裁判未予理会
1'穆涅萨前场左路拿球，卡塞米罗回防断球                   1'赫罗纳第1分钟连续利用传中制造威胁，本泽马禁区防守时疑似手球，裁判未予理会
2'克罗斯中场拿球，横传伊斯科                   1'赫罗纳第1分钟连续利用传中制造威胁，本泽马禁区防守时疑似手球，裁判未予理会
2'伊斯科再给右路的阿什拉夫                   1'赫罗纳第1分钟连续利用传中制造威胁，本泽马禁区防守时疑似手球，裁判未予理会
2'阿什拉夫面对逼抢，回传后场给瓦拉内                   1'赫罗纳第1分钟连续利用传中制造威胁，本泽马禁区防守时疑似手球，裁判未予理会
2'瓦拉内直塞给到中线位置的莫德里奇                   1'赫罗纳第1分钟连续利用传中制造威胁，本泽马禁区防守时疑似手球，裁判未予理会
3'莫德里奇的过顶长传打身后                   1'赫罗纳第1分钟连续利用传中制造威胁，本泽马禁区防守时疑似手球，裁判未予理会
3'力量稍大，索拉出击，抢在C罗之前将球控制                   1'赫罗纳第1分钟连续利用传中制造威胁，本泽马禁区防守时疑似手球，裁判未予理会
4'伊斯科中场逼抢，身后拉人犯规                   1'赫罗纳第1分钟连续利用传中制造威胁，本泽马禁区防守时疑似手球，裁判未予理会
4'赫罗纳右路的直塞球给到波图格斯                   1'赫罗纳第1分钟连续利用传中制造威胁，本泽马禁区防守时疑似手球，裁判未予理会
4'波图格斯拿球强突，拉莫斯的补防                   1'赫罗纳第1分钟连续利用传中制造威胁，本泽马禁区防守时疑似手球，裁判未予理会
35'阿代左路拿球，单挑阿什拉夫                   35'赫罗纳第35分钟险些扳平，阿达伊传中，波尔图头球吊门击中右侧立柱内侧弹地后滑门而出
35'没机会，调整两下，直接传中到门前                   35'赫罗纳第35分钟险些扳平，阿达伊传中，波尔图头球吊门击中右侧立柱内侧弹地后滑门而出
36'波图格斯的头球后蹭，击中远端立柱内侧弹回                   35'赫罗纳第35分钟险些扳平，阿达伊传中，波尔图头球吊门击中右侧立柱内侧弹地后滑门而出
36'波图格斯跟进再补，被瓦拉内赶紧出脚解围                   35'赫罗纳第35分钟险些扳平，阿达伊传中，波尔图头球吊门击中右侧立柱内侧弹地后滑门而出
37'列拉右路拿球，强突后送出直塞打身后                   35'赫罗纳第35分钟险些扳平，阿达伊传中，波尔图头球吊门击中右侧立柱内侧弹地后滑门而出
37'波图格斯前插接应，卡西利亚出击，将球拿到                   35'赫罗纳第35分钟险些扳平，阿达伊传中，波尔图头球吊门击中右侧立柱内侧弹地后滑门而出
38'格拉尼尔中圈拿球，分球右路给列拉                   35'赫罗纳第35分钟险些扳平，阿达伊传中，波尔图头球吊门击中右侧立柱内侧弹地后滑门而出
38'列拉内切没机会，横传给拉米雷斯                   35'赫罗纳第35分钟险些扳平，阿达伊传中，波尔图头球吊门击中右侧立柱内侧弹地后滑门而出
38'拉米雷斯再给左侧的加西亚                   35'赫罗纳第35分钟险些扳平，阿达伊传中，波尔图头球吊门击中右侧立柱内侧弹地后滑门而出
38'加西亚分球阿代，阿代的传中，伊斯科手球违例                   35'赫罗纳第35分钟险些扳平，阿达伊传中，波尔图头球吊门击中右侧立柱内侧弹地后滑门而出
50'莫德里奇中场拿球，分球左侧给马塞洛                   50'第50分钟，本泽马混战中12码处蝎子摆尾脚后跟凌空吊射被阿达伊在门线前解围
50'马塞洛拿球被放倒，出球给到莫德里奇                   50'第50分钟，本泽马混战中12码处蝎子摆尾脚后跟凌空吊射被阿达伊在门线前解围
50'有利原则，莫德里奇左路强突                   50'第50分钟，本泽马混战中12码处蝎子摆尾脚后跟凌空吊射被阿达伊在门线前解围
50'再给跟进的伊斯科，伊斯科再找莫德里奇                   50'第50分钟，本泽马混战中12码处蝎子摆尾脚后跟凌空吊射被阿达伊在门线前解围
51'贝尔纳尔多回防将球解围出边线                   50'第50分钟，本泽马混战中12码处蝎子摆尾脚后跟凌空吊射被阿达伊在门线前解围
51'马塞洛左路的传中到禁区                   50'第50分钟，本泽马混战中12码处蝎子摆尾脚后跟凌空吊射被阿达伊在门线前解围
51'本泽马的脚后跟垫射，被防守球员在门线上解围                   50'第50分钟，本泽马混战中12码处蝎子摆尾脚后跟凌空吊射被阿达伊在门线前解围
52'阿代前场左路拿球，强突横传                   50'第50分钟，本泽马混战中12码处蝎子摆尾脚后跟凌空吊射被阿达伊在门线前解围
52'拉莫斯禁区内将球拦截                   50'第50分钟，本泽马混战中12码处蝎子摆尾脚后跟凌空吊射被阿达伊在门线前解围
52'拉莫斯后场拿球，波图格斯上抢                   50'第50分钟，本泽马混战中12码处蝎子摆尾脚后跟凌空吊射被阿达伊在门线前解围
52'拉莫斯转身回带，差点失误，赶紧出球给卡西利亚                   50'第50分钟，本泽马混战中12码处蝎子摆尾脚后跟凌空吊射被阿达伊在门线前解围
53'赫罗纳的中场过顶长传                   50'第50分钟，本泽马混战中12码处蝎子摆尾脚后跟凌空吊射被阿达伊在门线前解围
53'阿代前插接应，边裁举旗，阿代越位在先                   50'第50分钟，本泽马混战中12码处蝎子摆尾脚后跟凌空吊射被阿达伊在门线前解围
58'贝塞拉右路拿球，强突到中线，被拉莫斯放倒在地                   58'赫罗纳第58分钟凭借争议球反超，格拉内尔直传，斯图亚尼禁区左侧小角度射门被卡西利亚勉强扑出，马菲奥禁区右侧传射，明显处在越位位置的波尔图脚后跟妙射破门，2-1
58'C罗目前已经完成4次射门，斯图亚尼2次射门！！                   58'赫罗纳第58分钟凭借争议球反超，格拉内尔直传，斯图亚尼禁区左侧小角度射门被卡西利亚勉强扑出，马菲奥禁区右侧传射，明显处在越位位置的波尔图脚后跟妙射破门，2-1
58'赫罗纳再进一个，反超比分！！                   58'赫罗纳第58分钟凭借争议球反超，格拉内尔直传，斯图亚尼禁区左侧小角度射门被卡西利亚勉强扑出，马菲奥禁区右侧传射，明显处在越位位置的波尔图脚后跟妙射破门，2-1
59'波图格斯！！                   58'赫罗纳第58分钟凭借争议球反超，格拉内尔直传，斯图亚尼禁区左侧小角度射门被卡西利亚勉强扑出，马菲奥禁区右侧传射，明显处在越位位置的波尔图脚后跟妙射破门，2-1
60'格拉尼尔左路斜传球到禁区，斯图亚尼的打门被挡出，贝塞拉禁区右侧上来，再打，门前的波图格斯脚后跟一垫，打进！                   58'赫罗纳第58分钟凭借争议球反超，格拉内尔直传，斯图亚尼禁区左侧小角度射门被卡西利亚勉强扑出，马菲奥禁区右侧传射，明显处在越位位置的波尔图脚后跟妙射破门，2-1
60'不过慢镜头回放显示，波图格斯这个球越位在先了！！                   58'赫罗纳第58分钟凭借争议球反超，格拉内尔直传，斯图亚尼禁区左侧小角度射门被卡西利亚勉强扑出，马菲奥禁区右侧传射，明显处在越位位置的波尔图脚后跟妙射破门，2-1
60'全场比赛60分钟，皇马客场1-2落后赫罗纳！！                   58'赫罗纳第58分钟凭借争议球反超，格拉内尔直传，斯图亚尼禁区左侧小角度射门被卡西利亚勉强扑出，马菲奥禁区右侧传射，明显处在越位位置的波尔图脚后跟妙射破门，2-1
61'C罗前场左路拿球，强突下底                   58'赫罗纳第58分钟凭借争议球反超，格拉内尔直传，斯图亚尼禁区左侧小角度射门被卡西利亚勉强扑出，马菲奥禁区右侧传射，明显处在越位位置的波尔图脚后跟妙射破门，2-1
61'倒三角回传到门前，第一点被防守球员解围                   58'赫罗纳第58分钟凭借争议球反超，格拉内尔直传，斯图亚尼禁区左侧小角度射门被卡西利亚勉强扑出，马菲奥禁区右侧传射，明显处在越位位置的波尔图脚后跟妙射破门，2-1
83'裁判没表示，球被贝塞拉解围                   83'第83分钟，伊斯科直传，卢卡斯12码处单刀推射入网因越位在先被判无效
83'伊斯科外围拿球，直塞身后找巴斯克斯                   83'第83分钟，伊斯科直传，卢卡斯12码处单刀推射入网因越位在先被判无效
83'边裁举旗，巴斯克斯的越位在先！！                   83'第83分钟，伊斯科直传，卢卡斯12码处单刀推射入网因越位在先被判无效
83'目前为止，赫罗纳越位1次，皇马越位4次！！                   83'第83分钟，伊斯科直传，卢卡斯12码处单刀推射入网因越位在先被判无效
84'阿森西奥小禁区左侧的抽射，被索拉倒地没收                   83'第83分钟，伊斯科直传，卢卡斯12码处单刀推射入网因越位在先被判无效
85'纳乔的防守，掀翻了斯图亚尼，犯规！                   83'第83分钟，伊斯科直传，卢卡斯12码处单刀推射入网因越位在先被判无效
85'阿代出现了抽筋，队医进场简单治疗                   83'第83分钟，伊斯科直传，卢卡斯12码处单刀推射入网因越位在先被判无效
86'阿代慢慢离场，走的太慢了，裁判过来直接出示了黄牌！！                   83'第83分钟，伊斯科直传，卢卡斯12码处单刀推射入网因越位在先被判无效
