46'进球啦！！！AC米兰球员尼昂大禁区外左脚射门,球从右下角飞进球门,球进了!助攻的是博纳文图拉. 切沃 0-2 AC米兰.                   46'第1分钟，苏索和比尔萨先后尝试远射
49'切沃球员伊兹科大禁区外右脚射门,被防守球员封堵.给他传球的是卡斯特罗.                   46'第1分钟，苏索和比尔萨先后尝试远射
90'AC米兰球员多纳鲁马一脚直塞球给巴卡,但是边裁举旗显示后者已经越位.                   90'AC米兰第45分钟取得领先
90'+1'切沃球员卡恰托雷拼抢犯规,对手获得控球权.                   90'AC米兰第45分钟取得领先
90'+1'博纳文图拉为AC米兰赢得一个任意球.                   90'AC米兰第45分钟取得领先
90'+1'黄牌！切沃球员卡恰托雷因为恶意犯规,被主裁判出示黄牌.                   90'AC米兰第45分钟取得领先
90'+4'AC米兰球员巴卡大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是波利.                   90'AC米兰第45分钟取得领先
90'+4'切沃球员达伊内利自摆乌龙,切沃 1-3 AC米兰                   90'AC米兰第45分钟取得领先
90'+6'下半场结束,切沃 1-3 AC米兰                   90'AC米兰第45分钟取得领先
49'切沃球员伊兹科大禁区外右脚射门,被防守球员封堵.给他传球的是卡斯特罗.                   49'补时第4分钟，博纳文图拉中场直传被断，但波利抢断分到左侧，巴卡左路内切遭到两人逼抢，但还是将球控住距门19米处外脚背射门，球打在达伊内利身体上强烈变线滚进右下角，3比1
50'戈比为切沃赢得一个任意球.                   49'补时第4分钟，博纳文图拉中场直传被断，但波利抢断分到左侧，巴卡左路内切遭到两人逼抢，但还是将球控住距门19米处外脚背射门，球打在达伊内利身体上强烈变线滚进右下角，3比1
50'AC米兰球员拉帕杜拉拼抢犯规,对手获得控球权.                   49'补时第4分钟，博纳文图拉中场直传被断，但波利抢断分到左侧，巴卡左路内切遭到两人逼抢，但还是将球控住距门19米处外脚背射门，球打在达伊内利身体上强烈变线滚进右下角，3比1
52'帕莱塔将球处理出底线,切沃获得角球.                   49'补时第4分钟，博纳文图拉中场直传被断，但波利抢断分到左侧，巴卡左路内切遭到两人逼抢，但还是将球控住距门19米处外脚背射门，球打在达伊内利身体上强烈变线滚进右下角，3比1
