2'库克后场横传阿克                   2'开场仅2分钟，艾比传球，弗雷泽禁区左侧的射门被阿利松扑出
2'回给门将博鲁茨                   2'开场仅2分钟，艾比传球，弗雷泽禁区左侧的射门被阿利松扑出
2'弗雷泽禁区左侧大力抽射                   2'开场仅2分钟，艾比传球，弗雷泽禁区左侧的射门被阿利松扑出
2'阿利松反应及时，侧身扑出去                   2'开场仅2分钟，艾比传球，弗雷泽禁区左侧的射门被阿利松扑出
2'伯恩茅斯抢开局，压迫的非常凶啊                   2'开场仅2分钟，艾比传球，弗雷泽禁区左侧的射门被阿利松扑出
3'马蒂普后场得球横传范戴克                   2'开场仅2分钟，艾比传球，弗雷泽禁区左侧的射门被阿利松扑出
3'罗伯逊接球，还不着急                   2'开场仅2分钟，艾比传球，弗雷泽禁区左侧的射门被阿利松扑出
3'范戴克长传给到右路，萨拉赫挑传                   2'开场仅2分钟，艾比传球，弗雷泽禁区左侧的射门被阿利松扑出
3'禁区中路阿克一脚解围                   2'开场仅2分钟，艾比传球，弗雷泽禁区左侧的射门被阿利松扑出
4'法比尼奥中场得球，给到左侧                   2'开场仅2分钟，艾比传球，弗雷泽禁区左侧的射门被阿利松扑出
4'菲尔米诺带球挑传，凯塔接球被解围                   2'开场仅2分钟，艾比传球，弗雷泽禁区左侧的射门被阿利松扑出
5'法比尼奥后场组织进攻                   2'开场仅2分钟，艾比传球，弗雷泽禁区左侧的射门被阿利松扑出
5'挑传给到右路萨拉赫                   2'开场仅2分钟，艾比传球，弗雷泽禁区左侧的射门被阿利松扑出
5'内切到弧顶外，斜传左路被挡出                   2'开场仅2分钟，艾比传球，弗雷泽禁区左侧的射门被阿利松扑出
5'马蒂普接球，给到中圈范戴克                   2'开场仅2分钟，艾比传球，弗雷泽禁区左侧的射门被阿利松扑出
5'继续外围组织                   2'开场仅2分钟，艾比传球，弗雷泽禁区左侧的射门被阿利松扑出
24'法比尼奥挑传到右路，米尔纳插上垫中路                   24'利物浦第24分钟取得领先，米尔纳右路传中，马内小禁区前头球破门
24'被里科挡出底线                   24'利物浦第24分钟取得领先，米尔纳右路传中，马内小禁区前头球破门
24'米尔纳右路给到前点，被头球顶出                   24'利物浦第24分钟取得领先，米尔纳右路传中，马内小禁区前头球破门
24'外围的再次起球，马内头球顶进了啊                   24'利物浦第24分钟取得领先，米尔纳右路传中，马内小禁区前头球破门
24'利物浦进球啦                   24'利物浦第24分钟取得领先，米尔纳右路传中，马内小禁区前头球破门
25'凯塔外围分球到右路，米尔纳起球传中被马内顶进                   24'利物浦第24分钟取得领先，米尔纳右路传中，马内小禁区前头球破门
25'刚刚这个进球，稍稍值得商榷，马内有点越位嫌疑                   24'利物浦第24分钟取得领先，米尔纳右路传中，马内小禁区前头球破门
26'米尔纳后场解围后，被里科干倒                   24'利物浦第24分钟取得领先，米尔纳右路传中，马内小禁区前头球破门
26'里科吃到了黄牌                   24'利物浦第24分钟取得领先，米尔纳右路传中，马内小禁区前头球破门
33'马蒂普后场长传球，越过防守球员                   33'利物浦第33分钟扩大比分，罗伯逊直传，维纳尔杜姆禁区左肋10码处右脚外脚背凌空吊射远角入网，2-0
33'菲尔米诺插上胸部停球，准备射门之际被门将拦截                   33'利物浦第33分钟扩大比分，罗伯逊直传，维纳尔杜姆禁区左肋10码处右脚外脚背凌空吊射远角入网，2-0
34'这球进了                   33'利物浦第33分钟扩大比分，罗伯逊直传，维纳尔杜姆禁区左肋10码处右脚外脚背凌空吊射远角入网，2-0
34'伟大的诗人杜牧                   33'利物浦第33分钟扩大比分，罗伯逊直传，维纳尔杜姆禁区左肋10码处右脚外脚背凌空吊射远角入网，2-0
35'罗伯逊外围左侧45度挑传，禁区左侧维纳尔杜姆接球挑射越过门将坠入球网                   33'利物浦第33分钟扩大比分，罗伯逊直传，维纳尔杜姆禁区左肋10码处右脚外脚背凌空吊射远角入网，2-0
35'四两拨千斤啊                   33'利物浦第33分钟扩大比分，罗伯逊直传，维纳尔杜姆禁区左肋10码处右脚外脚背凌空吊射远角入网，2-0
48'库克禁区内争抢，被吹了犯规                   48'利物浦第48分钟几近锁定胜局，凯塔直传，菲尔米诺脚后跟妙传，萨拉赫10码处低射左下角入网，3-0
48'米尔纳后场界外球掷出来                   48'利物浦第48分钟几近锁定胜局，凯塔直传，菲尔米诺脚后跟妙传，萨拉赫10码处低射左下角入网，3-0
48'萨拉赫终于进球啦                   48'利物浦第48分钟几近锁定胜局，凯塔直传，菲尔米诺脚后跟妙传，萨拉赫10码处低射左下角入网，3-0
49'马内中线横传，凯塔挑传到右路，菲尔米诺插上得球磕球回做，萨拉赫插上趟走推射破门                   48'利物浦第48分钟几近锁定胜局，凯塔直传，菲尔米诺脚后跟妙传，萨拉赫10码处低射左下角入网，3-0
50'米尔纳后场回传，阿利松大脚开出去                   48'利物浦第48分钟几近锁定胜局，凯塔直传，菲尔米诺脚后跟妙传，萨拉赫10码处低射左下角入网，3-0
51'伯恩茅斯只有进攻一条路了                   48'利物浦第48分钟几近锁定胜局，凯塔直传，菲尔米诺脚后跟妙传，萨拉赫10码处低射左下角入网，3-0
51'弗雷泽左路传中，被解围出去                   48'利物浦第48分钟几近锁定胜局，凯塔直传，菲尔米诺脚后跟妙传，萨拉赫10码处低射左下角入网，3-0
51'伊比禁区内强行射门，被阿利松打出去                   48'利物浦第48分钟几近锁定胜局，凯塔直传，菲尔米诺脚后跟妙传，萨拉赫10码处低射左下角入网，3-0
