4'瓦伦西亚中路进攻，转移到左侧，格德斯没有拿到球                   4'开场仅4分钟，加亚传球，格德斯左路内切后射远角被特尔施特根扑出
4'瓦伦西亚中路进攻，前场逼抢非常积极                   4'开场仅4分钟，加亚传球，格德斯左路内切后射远角被特尔施特根扑出
5'格德斯假装传中，突然分球到左路！可惜大了一点                   4'开场仅4分钟，加亚传球，格德斯左路内切后射远角被特尔施特根扑出
5'格德斯！漂亮啊！禁区左侧的一脚大力抽射，特尔施特根奋力把球扑出了！、                   4'开场仅4分钟，加亚传球，格德斯左路内切后射远角被特尔施特根扑出
5'开场之后，瓦伦西亚打得积极主动！                   4'开场仅4分钟，加亚传球，格德斯左路内切后射远角被特尔施特根扑出
6'小白中场控球！传给了梅西，梅西连续突破！                   4'开场仅4分钟，加亚传球，格德斯左路内切后射远角被特尔施特根扑出
6'梅西再次前趟的时候，丢球失误了！                   4'开场仅4分钟，加亚传球，格德斯左路内切后射远角被特尔施特根扑出
7'梅西再次反击！调整一下节奏，走中路！给了小白，没机会！                   4'开场仅4分钟，加亚传球，格德斯左路内切后射远角被特尔施特根扑出
7'右路的罗贝托再传中路，巴萨传控开始了                   4'开场仅4分钟，加亚传球，格德斯左路内切后射远角被特尔施特根扑出
7'小白底线传中，苏亚雷斯接到球，靠后了一点，没有机会打门                   4'开场仅4分钟，加亚传球，格德斯左路内切后射远角被特尔施特根扑出
15'漂亮！苏亚雷斯传给前插的阿尔巴！后者杀到禁区，小角度打门，被门将扑出！                   15'巴萨第15分钟取得领先，库蒂尼奥直传，苏亚雷斯反插至小禁区边缘单刀捅射右下角入网
15'这球都以为阿尔巴要回传，结果他直接射门了                   15'巴萨第15分钟取得领先，库蒂尼奥直传，苏亚雷斯反插至小禁区边缘单刀捅射右下角入网
15'进球了！！！苏亚雷斯！！                   15'巴萨第15分钟取得领先，库蒂尼奥直传，苏亚雷斯反插至小禁区边缘单刀捅射右下角入网
16'苏亚雷斯面对瓦伦西亚已经联赛进了10个球！                   15'巴萨第15分钟取得领先，库蒂尼奥直传，苏亚雷斯反插至小禁区边缘单刀捅射右下角入网
16'苏亚雷斯与库蒂尼奥的配合！库蒂尼奥禁区线上斜传到禁区正面，苏亚雷斯从两人中间钻出去！拿球就射！漂亮！                   15'巴萨第15分钟取得领先，库蒂尼奥直传，苏亚雷斯反插至小禁区边缘单刀捅射右下角入网
17'苏亚雷斯打进了联赛的第23个进球，排在射手榜第二位                   15'巴萨第15分钟取得领先，库蒂尼奥直传，苏亚雷斯反插至小禁区边缘单刀捅射右下角入网
18'梅西来了！吊传到禁区线上保利尼奥!禁区内一片混乱                   15'巴萨第15分钟取得领先，库蒂尼奥直传，苏亚雷斯反插至小禁区边缘单刀捅射右下角入网
18'最终瓦伦西亚后卫把球碰出了禁区                   15'巴萨第15分钟取得领先，库蒂尼奥直传，苏亚雷斯反插至小禁区边缘单刀捅射右下角入网
51'梅西中路想给苏亚雷斯，真给了过来                   51'巴萨第51分钟扩大比分，库蒂尼奥开出角球，乌姆蒂蒂前点小禁区边缘头球攻门被内托扑入近角，2-0
51'进球！！！！乌姆蒂蒂！！                   51'巴萨第51分钟扩大比分，库蒂尼奥开出角球，乌姆蒂蒂前点小禁区边缘头球攻门被内托扑入近角，2-0
52'巴萨左侧的角球开出来！乌姆蒂蒂前点甩开了两位防守球员，甩头砸门！命中！！                   51'巴萨第51分钟扩大比分，库蒂尼奥开出角球，乌姆蒂蒂前点小禁区边缘头球攻门被内托扑入近角，2-0
