15'进球啦！！！女王公园球员巴尔加斯大禁区外右脚射门,球从左下角飞进球门,球进了!助攻的是Charlie Austin. 西布朗 0-1 女王公园.                   15'第15分钟，奥斯丁头球摆渡，瓦尔加斯25码处射出反弹球入左下角
43'进球啦！！！女王公园球员萨莫拉大禁区右侧左脚射门,球从左下角飞进球门,球进了!助攻的是菲利普斯. 西布朗 0-3 女王公园.                   43'第43分钟，马修-菲利普斯传球，萨莫拉禁区右侧在莱斯科特紧逼下吊射远角入网
44'巴顿将球处理出底线,西布朗获得角球.                   43'第43分钟，马修-菲利普斯传球，萨莫拉禁区右侧在莱斯科特紧逼下吊射远角入网
45'西布朗球员麦考利大禁区中央尝试头球,可惜皮球稍稍偏出了右球门.给他传球的是加德纳.                   43'第43分钟，马修-菲利普斯传球，萨莫拉禁区右侧在莱斯科特紧逼下吊射远角入网
45'+1'女王公园球员萨莫拉大禁区外左脚射门,被防守球员封堵.                   43'第43分钟，马修-菲利普斯传球，萨莫拉禁区右侧在莱斯科特紧逼下吊射远角入网
45'+2'巴顿为女王公园赢得一个任意球.                   43'第43分钟，马修-菲利普斯传球，萨莫拉禁区右侧在莱斯科特紧逼下吊射远角入网
45'+2'西布朗球员斯瑟格农拼抢犯规,对手获得控球权.                   43'第43分钟，马修-菲利普斯传球，萨莫拉禁区右侧在莱斯科特紧逼下吊射远角入网
45'+2'黄牌！西布朗球员斯瑟格农因为恶意犯规,被主裁判出示黄牌.                   43'第43分钟，马修-菲利普斯传球，萨莫拉禁区右侧在莱斯科特紧逼下吊射远角入网
45'+3'女王公园巴顿受伤倒地,比赛暂停                   43'第43分钟，马修-菲利普斯传球，萨莫拉禁区右侧在莱斯科特紧逼下吊射远角入网
45'+3'暂停结束,球员们重新开始比赛.                   43'第43分钟，马修-菲利普斯传球，萨莫拉禁区右侧在莱斯科特紧逼下吊射远角入网
45'+4'Charlie Austin为女王公园在左路,赢得一个任意球.                   43'第43分钟，马修-菲利普斯传球，萨莫拉禁区右侧在莱斯科特紧逼下吊射远角入网
45'+4'西布朗球员贝尔德拼抢犯规,对手获得控球权.                   43'第43分钟，马修-菲利普斯传球，萨莫拉禁区右侧在莱斯科特紧逼下吊射远角入网
45'+5'上半场结束,西布朗 0-3 女王公园,稍事休息,我们一会来看看下半场两队的表现.                   43'第43分钟，马修-菲利普斯传球，萨莫拉禁区右侧在莱斯科特紧逼下吊射远角入网
45'西布朗换人,阿尼切贝换下斯瑟格农                   43'第43分钟，马修-菲利普斯传球，萨莫拉禁区右侧在莱斯科特紧逼下吊射远角入网
46'西布朗球员迈希尔一脚直塞球给布朗-埃德耶,但是边裁举旗显示后者已经越位.                   43'第43分钟，马修-菲利普斯传球，萨莫拉禁区右侧在莱斯科特紧逼下吊射远角入网
84'西布朗球员穆隆布因为在场上斗殴,被裁判直接红牌罚下.                   84'第84分钟，西布朗替补出场的穆卢姆布同乔伊-巴顿争执中动手被红牌罚下
84'女王公园巴顿受伤倒地,比赛暂停                   84'第84分钟，西布朗替补出场的穆卢姆布同乔伊-巴顿争执中动手被红牌罚下
85'暂停结束,球员们重新开始比赛.                   84'第84分钟，西布朗替补出场的穆卢姆布同乔伊-巴顿争执中动手被红牌罚下
86'女王公园球员桑德罗拼抢犯规,对手获得控球权.                   84'第84分钟，西布朗替补出场的穆卢姆布同乔伊-巴顿争执中动手被红牌罚下
86'阿尼切贝为西布朗在对方半场,赢得一个任意球.                   84'第84分钟，西布朗替补出场的穆卢姆布同乔伊-巴顿争执中动手被红牌罚下
