1'上半场比赛开始                   1'双方第1分钟均以高压逼抢限制对手
1'首先由主队毕尔巴鄂竞技开球，从画面的左侧向右进攻                   1'双方第1分钟均以高压逼抢限制对手
1'毕尔巴鄂后场过顶球，可惜前插的穆尼亚因被吹越位在先                   1'双方第1分钟均以高压逼抢限制对手
2'毕尔巴鄂竞技中场抢断，反击中，阿杜里斯的远射，打偏                   1'双方第1分钟均以高压逼抢限制对手
3'伊劳拉右路拿球，克罗斯上抢拦截                   1'双方第1分钟均以高压逼抢限制对手
3'伊劳拉原地反抢，身后拉倒了克罗斯，犯规                   1'双方第1分钟均以高压逼抢限制对手
4'比赛开始后，毕尔巴鄂的进攻积极性很高啊                   1'双方第1分钟均以高压逼抢限制对手
4'麦克里科前场拿球，斜传球直接出了底线                   1'双方第1分钟均以高压逼抢限制对手
26'瓦拉内后场拿球，过顶想给前插的贝尔，可惜直接出了底线                   26'毕尔巴鄂第26分钟取得领先，尼科右路斜传，阿杜里斯12码处抢在佩佩之前强力冲顶入网，这是他本赛季第10粒联赛入球
26'伊斯科前场中路拿球，转身分球给到贝尔                   26'毕尔巴鄂第26分钟取得领先，尼科右路斜传，阿杜里斯12码处抢在佩佩之前强力冲顶入网，这是他本赛季第10粒联赛入球
26'贝尔再给C罗，C罗背身拿球，回做想给贝尔，被断啦                   26'毕尔巴鄂第26分钟取得领先，尼科右路斜传，阿杜里斯12码处抢在佩佩之前强力冲顶入网，这是他本赛季第10粒联赛入球
26'毕尔巴鄂的反击，麦克里科的传球                   26'毕尔巴鄂第26分钟取得领先，尼科右路斜传，阿杜里斯12码处抢在佩佩之前强力冲顶入网，这是他本赛季第10粒联赛入球
27'毕尔巴鄂进球啦！！！                   26'毕尔巴鄂第26分钟取得领先，尼科右路斜传，阿杜里斯12码处抢在佩佩之前强力冲顶入网，这是他本赛季第10粒联赛入球
27'阿杜里斯的抢点攻门，角度非常刁钻的头球！！！                   26'毕尔巴鄂第26分钟取得领先，尼科右路斜传，阿杜里斯12码处抢在佩佩之前强力冲顶入网，这是他本赛季第10粒联赛入球
28'麦克里科前场右路拿球，斜传球到禁区，阿杜里斯后排插上，力压佩佩头球攻门，顶进球门右上死角，卡西鞭长莫及！！！                   26'毕尔巴鄂第26分钟取得领先，尼科右路斜传，阿杜里斯12码处抢在佩佩之前强力冲顶入网，这是他本赛季第10粒联赛入球
29'皇马前场进攻，伊斯科禁区外挑传禁区打身后                   26'毕尔巴鄂第26分钟取得领先，尼科右路斜传，阿杜里斯12码处抢在佩佩之前强力冲顶入网，这是他本赛季第10粒联赛入球
29'贝尔插上迎球一脚劲射，被伊拉佐兹倒地挡出                   26'毕尔巴鄂第26分钟取得领先，尼科右路斜传，阿杜里斯12码处抢在佩佩之前强力冲顶入网，这是他本赛季第10粒联赛入球
61'皇马前场进攻，马塞洛的直塞球到禁区                   61'皇马第61分钟错失良机，本泽马禁区左侧12码处单刀射门被伊莱索斯及时出击封出
62'本泽马前插，伊拉佐兹出击抢在本泽马之前滑铲解围出边线                   61'皇马第61分钟错失良机，本泽马禁区左侧12码处单刀射门被伊莱索斯及时出击封出
62'克罗斯左路拿球，德马科斯上抢犯规                   61'皇马第61分钟错失良机，本泽马禁区左侧12码处单刀射门被伊莱索斯及时出击封出
62'皇马获得前场左路的任意球机会                   61'皇马第61分钟错失良机，本泽马禁区左侧12码处单刀射门被伊莱索斯及时出击封出
63'克罗斯任意球斜传禁区，伊拉佐兹出击，在C罗头球顶将球打出                   61'皇马第61分钟错失良机，本泽马禁区左侧12码处单刀射门被伊莱索斯及时出击封出
64'贝尼亚特中场拿球，出球打在了侧身躲闪的克罗斯左胳膊上                   61'皇马第61分钟错失良机，本泽马禁区左侧12码处单刀射门被伊莱索斯及时出击封出
64'毕尔巴鄂竞技换人：14号苏塞塔上，换下19号穆尼亚因                   61'皇马第61分钟错失良机，本泽马禁区左侧12码处单刀射门被伊莱索斯及时出击封出
76'皇马再次换人：16号卢卡斯-席尔瓦上，换下8号克罗斯                   76'毕尔巴鄂第76分钟险些扩大比分，阿杜里斯10码处力压佩佩冲顶，皮球击中左侧立柱外侧弹出
77'贝尔左路拿球强突，古尔佩吉上抢，阻挡犯规                   76'毕尔巴鄂第76分钟险些扩大比分，阿杜里斯10码处力压佩佩冲顶，皮球击中左侧立柱外侧弹出
77'古尔佩吉被主裁判出示了黄牌警告！！！                   76'毕尔巴鄂第76分钟险些扩大比分，阿杜里斯10码处力压佩佩冲顶，皮球击中左侧立柱外侧弹出
77'这样毕尔巴鄂竞技防线上的古尔佩吉和埃切塔都有黄牌在身                   76'毕尔巴鄂第76分钟险些扩大比分，阿杜里斯10码处力压佩佩冲顶，皮球击中左侧立柱外侧弹出
78'苏塞塔前场左路拿球，卡瓦哈尔身后上抢，将球破坏出边线                   76'毕尔巴鄂第76分钟险些扩大比分，阿杜里斯10码处力压佩佩冲顶，皮球击中左侧立柱外侧弹出
79'赫塞后场背身拿球，麦克里科上抢放倒赫塞，犯规                   76'毕尔巴鄂第76分钟险些扩大比分，阿杜里斯10码处力压佩佩冲顶，皮球击中左侧立柱外侧弹出
79'皇马再次换人：本泽马下，换上埃尔南德斯                   76'毕尔巴鄂第76分钟险些扩大比分，阿杜里斯10码处力压佩佩冲顶，皮球击中左侧立柱外侧弹出
84'麦克里科右路拿球，强突时自己将球趟出了边线                   83'皇马第83分钟险些扳平，卢卡斯-席尔瓦传球，贝尔左路50码外远程吊射打中左侧立柱弹回，埃尔南德斯错过头球补射机会，赫塞禁区边缘内的射门被埃特谢塔挡出
84'下半场40分钟了，比分依旧是1-0，皇马落后                   83'皇马第83分钟险些扳平，卢卡斯-席尔瓦传球，贝尔左路50码外远程吊射打中左侧立柱弹回，埃尔南德斯错过头球补射机会，赫塞禁区边缘内的射门被埃特谢塔挡出
85'麦克里科后场回防马塞洛，马塞洛强突时甩手推倒了麦克里科                   83'皇马第83分钟险些扳平，卢卡斯-席尔瓦传球，贝尔左路50码外远程吊射打中左侧立柱弹回，埃尔南德斯错过头球补射机会，赫塞禁区边缘内的射门被埃特谢塔挡出
85'马塞洛被主裁判出示了黄牌警告！！！                   83'皇马第83分钟险些扳平，卢卡斯-席尔瓦传球，贝尔左路50码外远程吊射打中左侧立柱弹回，埃尔南德斯错过头球补射机会，赫塞禁区边缘内的射门被埃特谢塔挡出
