26'苏宁左路的任意球机会                   26'第26分钟，佩莱禁区前沿做球，塔尔德利远射破门
26'没有制造威胁                   26'第26分钟，佩莱禁区前沿做球，塔尔德利远射破门
26'吉尔交给郑铮                   26'第26分钟，佩莱禁区前沿做球，塔尔德利远射破门
26'直传，吴兴涵交给塔尔德利                   26'第26分钟，佩莱禁区前沿做球，塔尔德利远射破门
26'交给佩莱                   26'第26分钟，佩莱禁区前沿做球，塔尔德利远射破门
26'佩莱回做，塔尔德利弧顶外炮弹式射门，球进了！                   26'第26分钟，佩莱禁区前沿做球，塔尔德利远射破门
27'这球是贴着立柱内侧入网                   26'第26分钟，佩莱禁区前沿做球，塔尔德利远射破门
28'在球队的组织性方面，鲁能确实做得比对方好不少                   26'第26分钟，佩莱禁区前沿做球，塔尔德利远射破门
28'进攻相当有条理性                   26'第26分钟，佩莱禁区前沿做球，塔尔德利远射破门
28'球员拿球无论传或者切的目的性都很强                   26'第26分钟，佩莱禁区前沿做球，塔尔德利远射破门
28'张弛右路传中被解围                   26'第26分钟，佩莱禁区前沿做球，塔尔德利远射破门
29'拉米雷斯长传前场左路，给大了，球出底线                   26'第26分钟，佩莱禁区前沿做球，塔尔德利远射破门
67'戴琳放铲铲空了                   67'第67分钟，王彤吃到第二张黄牌，被红牌罚下
67'马丁内斯带球内切，王彤铲倒了马丁内斯！                   67'第67分钟，王彤吃到第二张黄牌，被红牌罚下
67'王彤吃到第二张黄牌变红牌被罚出场！                   67'第67分钟，王彤吃到第二张黄牌，被红牌罚下
67'苏宁获得一个对方禁区边缘的任意球机会                   67'第67分钟，王彤吃到第二张黄牌，被红牌罚下
68'特谢拉直接旋球门了，打高                   67'第67分钟，王彤吃到第二张黄牌，被红牌罚下
68'塔尔德利接应回传被断了                   67'第67分钟，王彤吃到第二张黄牌，被红牌罚下
69'陶源带球上来，郑铮将球铲出边线                   67'第67分钟，王彤吃到第二张黄牌，被红牌罚下
69'马丁内斯的带球，被蒿俊闵拦截                   67'第67分钟，王彤吃到第二张黄牌，被红牌罚下
69'曹海清左路上来了，交给特谢拉                   67'第67分钟，王彤吃到第二张黄牌，被红牌罚下
69'急停，交给拉米雷斯，一让                   67'第67分钟，王彤吃到第二张黄牌，被红牌罚下
69'谢鹏飞打门击中了拉米雷斯，拉米雷斯再打，打了冲天炮                   67'第67分钟，王彤吃到第二张黄牌，被红牌罚下
70'不过也是越位在先了                   67'第67分钟，王彤吃到第二张黄牌，被红牌罚下
70'吴兴涵左路下底传中，被李昂顶走                   67'第67分钟，王彤吃到第二张黄牌，被红牌罚下
53'张晓彬将球踢出边线                   53'第8分钟，江苏苏宁打出快速反击，后卫解围失误形成混乱，拉米雷斯禁区外远射偏出
53'塔尔德利控球交给蒿俊闵                   53'第8分钟，江苏苏宁打出快速反击，后卫解围失误形成混乱，拉米雷斯禁区外远射偏出
53'分左侧的吴兴涵                   53'第8分钟，江苏苏宁打出快速反击，后卫解围失误形成混乱，拉米雷斯禁区外远射偏出
53'刘彬彬接应交给塔尔德利，传中太低了                   53'第8分钟，江苏苏宁打出快速反击，后卫解围失误形成混乱，拉米雷斯禁区外远射偏出
53'被解围                   53'第8分钟，江苏苏宁打出快速反击，后卫解围失误形成混乱，拉米雷斯禁区外远射偏出
54'李松益断球交给吉尔                   53'第8分钟，江苏苏宁打出快速反击，后卫解围失误形成混乱，拉米雷斯禁区外远射偏出
54'蒿俊闵接应组织，转移到左路的郑铮                   53'第8分钟，江苏苏宁打出快速反击，后卫解围失误形成混乱，拉米雷斯禁区外远射偏出
54'塔尔德利护球交给佩莱                   53'第8分钟，江苏苏宁打出快速反击，后卫解围失误形成混乱，拉米雷斯禁区外远射偏出
54'回传给蒿俊闵                   53'第8分钟，江苏苏宁打出快速反击，后卫解围失误形成混乱，拉米雷斯禁区外远射偏出
54'蒿俊闵的转移，球直接飞出底线                   53'第8分钟，江苏苏宁打出快速反击，后卫解围失误形成混乱，拉米雷斯禁区外远射偏出
54'脚法没有掌握好                   53'第8分钟，江苏苏宁打出快速反击，后卫解围失误形成混乱，拉米雷斯禁区外远射偏出
54'镜头给到了马加特，胸有成竹的样子                   53'第8分钟，江苏苏宁打出快速反击，后卫解围失误形成混乱，拉米雷斯禁区外远射偏出
55'特谢拉护球交给拉米雷斯，分边给了吉翔，球被断了                   53'第8分钟，江苏苏宁打出快速反击，后卫解围失误形成混乱，拉米雷斯禁区外远射偏出
55'塔尔德利分边给了刘彬彬                   53'第8分钟，江苏苏宁打出快速反击，后卫解围失误形成混乱，拉米雷斯禁区外远射偏出
55'传中，被吉翔将球顶出底线                   53'第8分钟，江苏苏宁打出快速反击，后卫解围失误形成混乱，拉米雷斯禁区外远射偏出
55'这是张晓彬的头球解围                   53'第8分钟，江苏苏宁打出快速反击，后卫解围失误形成混乱，拉米雷斯禁区外远射偏出
56'鲁能的角球，蒿俊闵传中球出底线                   53'第8分钟，江苏苏宁打出快速反击，后卫解围失误形成混乱，拉米雷斯禁区外远射偏出
56'塔尔德利接应回传给蒿俊闵                   53'第8分钟，江苏苏宁打出快速反击，后卫解围失误形成混乱，拉米雷斯禁区外远射偏出
56'蒿俊闵过人，分给刘彬彬，传中，三点包抄，全部都没有顶到球                   53'第8分钟，江苏苏宁打出快速反击，后卫解围失误形成混乱，拉米雷斯禁区外远射偏出
56'张思鹏发门球，戴琳顶到第一点                   53'第8分钟，江苏苏宁打出快速反击，后卫解围失误形成混乱，拉米雷斯禁区外远射偏出
56'周云长传上来被拦截                   53'第8分钟，江苏苏宁打出快速反击，后卫解围失误形成混乱，拉米雷斯禁区外远射偏出
61'马丁内斯护球被绊倒                   61'第16分钟，江苏苏宁边路弧线球传中，无人防守的拉米雷斯禁区内抢点头球攻门稍稍高出
61'拉米雷斯快发任意球                   61'第16分钟，江苏苏宁边路弧线球传中，无人防守的拉米雷斯禁区内抢点头球攻门稍稍高出
61'交给了谢鹏飞                   61'第16分钟，江苏苏宁边路弧线球传中，无人防守的拉米雷斯禁区内抢点头球攻门稍稍高出
61'张晓彬右路直传交给了陶源，内切被郑铮绊倒                   61'第16分钟，江苏苏宁边路弧线球传中，无人防守的拉米雷斯禁区内抢点头球攻门稍稍高出
62'特谢拉斜传，郑铮头球解围                   61'第16分钟，江苏苏宁边路弧线球传中，无人防守的拉米雷斯禁区内抢点头球攻门稍稍高出
62'塔尔德利接应分给刘彬彬                   61'第16分钟，江苏苏宁边路弧线球传中，无人防守的拉米雷斯禁区内抢点头球攻门稍稍高出
62'刘彬彬转移球，直接交给了张思鹏                   61'第16分钟，江苏苏宁边路弧线球传中，无人防守的拉米雷斯禁区内抢点头球攻门稍稍高出
62'拉米雷斯长传左侧，马丁内斯拿球回做给特谢拉                   61'第16分钟，江苏苏宁边路弧线球传中，无人防守的拉米雷斯禁区内抢点头球攻门稍稍高出
62'回给马丁内斯横传，拉米雷斯挑传，戴琳倒钩解围                   61'第16分钟，江苏苏宁边路弧线球传中，无人防守的拉米雷斯禁区内抢点头球攻门稍稍高出
63'谢鹏飞交给李昂                   61'第16分钟，江苏苏宁边路弧线球传中，无人防守的拉米雷斯禁区内抢点头球攻门稍稍高出
63'佩莱横传被拉米雷斯拦截出边线                   61'第16分钟，江苏苏宁边路弧线球传中，无人防守的拉米雷斯禁区内抢点头球攻门稍稍高出
64'塔尔德利分右侧的刘彬彬                   61'第16分钟，江苏苏宁边路弧线球传中，无人防守的拉米雷斯禁区内抢点头球攻门稍稍高出
64'内切被曹海清将球铲出底线                   61'第16分钟，江苏苏宁边路弧线球传中，无人防守的拉米雷斯禁区内抢点头球攻门稍稍高出
64'蒿俊闵过来主罚                   61'第16分钟，江苏苏宁边路弧线球传中，无人防守的拉米雷斯禁区内抢点头球攻门稍稍高出
64'传前点被马丁内斯解围                   61'第16分钟，江苏苏宁边路弧线球传中，无人防守的拉米雷斯禁区内抢点头球攻门稍稍高出
65'拉米雷斯长传右侧，李松益将球破坏出边线                   65'第20分钟，山东鲁能换人调整，伤愈复出的郑铮换下刘洋，这是郑铮时隔329天再次出现在中超赛场
65'张晓彬的直传，被郑铮解围                   65'第20分钟，山东鲁能换人调整，伤愈复出的郑铮换下刘洋，这是郑铮时隔329天再次出现在中超赛场
66'周云头球回传，有点短了，张思鹏冲出禁区将球踢出边线                   65'第20分钟，山东鲁能换人调整，伤愈复出的郑铮换下刘洋，这是郑铮时隔329天再次出现在中超赛场
66'张思鹏发门球                   65'第20分钟，山东鲁能换人调整，伤愈复出的郑铮换下刘洋，这是郑铮时隔329天再次出现在中超赛场
66'被顶一下                   65'第20分钟，山东鲁能换人调整，伤愈复出的郑铮换下刘洋，这是郑铮时隔329天再次出现在中超赛场
66'刘彬彬右路的推进被断球了                   65'第20分钟，山东鲁能换人调整，伤愈复出的郑铮换下刘洋，这是郑铮时隔329天再次出现在中超赛场
66'谢鹏飞过了塔尔德利分给马丁内斯                   65'第20分钟，山东鲁能换人调整，伤愈复出的郑铮换下刘洋，这是郑铮时隔329天再次出现在中超赛场
67'戴琳放铲铲空了                   65'第20分钟，山东鲁能换人调整，伤愈复出的郑铮换下刘洋，这是郑铮时隔329天再次出现在中超赛场
67'马丁内斯带球内切，王彤铲倒了马丁内斯！                   65'第20分钟，山东鲁能换人调整，伤愈复出的郑铮换下刘洋，这是郑铮时隔329天再次出现在中超赛场
