1'上半场比赛开始了                   1'双方第1分钟拼抢激烈，比赛频频被犯规所打断
1'上半场是由客场作战的曼联开球                   1'双方第1分钟拼抢激烈，比赛频频被犯规所打断
1'一开场就有人受伤？                   1'双方第1分钟拼抢激烈，比赛频频被犯规所打断
1'阿奎罗！                   1'双方第1分钟拼抢激烈，比赛频频被犯规所打断
1'还好，自己站了起来                   1'双方第1分钟拼抢激烈，比赛频频被犯规所打断
1'不过看他的跑动还是有些酿跄，应该问题不大                   1'双方第1分钟拼抢激烈，比赛频频被犯规所打断
2'两队这个赛季的防守都不好                   1'双方第1分钟拼抢激烈，比赛频频被犯规所打断
2'曼城就不说了，之前有过连续10多场比赛丢球了                   1'双方第1分钟拼抢激烈，比赛频频被犯规所打断
2'而曼联相信大家也都了解，只比曼城少丢了一个球                   1'双方第1分钟拼抢激烈，比赛频频被犯规所打断
3'拉斐尔助攻上来，他的传中质量不高                   1'双方第1分钟拼抢激烈，比赛频频被犯规所打断
3'曼城重新控制住皮球                   1'双方第1分钟拼抢激烈，比赛频频被犯规所打断
3'席尔瓦带球被鲁尼从身后撞倒                   1'双方第1分钟拼抢激烈，比赛频频被犯规所打断
3'小胖又在中场放倒了图雷                   1'双方第1分钟拼抢激烈，比赛频频被犯规所打断
4'开场就这么火爆啊                   1'双方第1分钟拼抢激烈，比赛频频被犯规所打断
4'小胖需要控制下自己的脾气了                   1'双方第1分钟拼抢激烈，比赛频频被犯规所打断
4'阿特金森也是对他进行了口头警告                   1'双方第1分钟拼抢激烈，比赛频频被犯规所打断
4'瓦伦西亚把球断下，曼联的中路反击                   1'双方第1分钟拼抢激烈，比赛频频被犯规所打断
61'特维斯禁区右侧的攻门被德赫亚扑了一下，跟上的席尔瓦再打！还是被扑出                   61'曼联第16分钟取得领先，范佩西胸部停球策动反击，阿什利-扬快速突破传球，鲁尼16码处低射，巴里未能拦截，皮球缓缓滚入左下角，乔-哈特毫无反应
61'而亚亚图雷推射了球门远角，德赫亚也毫无办法了                   61'曼联第16分钟取得领先，范佩西胸部停球策动反击，阿什利-扬快速突破传球，鲁尼16码处低射，巴里未能拦截，皮球缓缓滚入左下角，乔-哈特毫无反应
61'其实之前杨的进球慢动作回放来看他并没有越位                   61'曼联第16分钟取得领先，范佩西胸部停球策动反击，阿什利-扬快速突破传球，鲁尼16码处低射，巴里未能拦截，皮球缓缓滚入左下角，乔-哈特毫无反应
61'在远端的右后卫萨巴莱塔还拖在后面，跟杨是平行的                   61'曼联第16分钟取得领先，范佩西胸部停球策动反击，阿什利-扬快速突破传球，鲁尼16码处低射，巴里未能拦截，皮球缓缓滚入左下角，乔-哈特毫无反应
62'特维斯被里奥放倒在地，曼城的角球                   61'曼联第16分钟取得领先，范佩西胸部停球策动反击，阿什利-扬快速突破传球，鲁尼16码处低射，巴里未能拦截，皮球缓缓滚入左下角，乔-哈特毫无反应
62'抱歉是曼城的定位球                   61'曼联第16分钟取得领先，范佩西胸部停球策动反击，阿什利-扬快速突破传球，鲁尼16码处低射，巴里未能拦截，皮球缓缓滚入左下角，乔-哈特毫无反应
62'游客9219: 杨那个球到底越位没  只回放一次  没看清楚  ---确实是个误判，没有越位                   61'曼联第16分钟取得领先，范佩西胸部停球策动反击，阿什利-扬快速突破传球，鲁尼16码处低射，巴里未能拦截，皮球缓缓滚入左下角，乔-哈特毫无反应
62'距离球门有些远，席尔瓦来处理                   61'曼联第16分钟取得领先，范佩西胸部停球策动反击，阿什利-扬快速突破传球，鲁尼16码处低射，巴里未能拦截，皮球缓缓滚入左下角，乔-哈特毫无反应
63'打了个战术                   61'曼联第16分钟取得领先，范佩西胸部停球策动反击，阿什利-扬快速突破传球，鲁尼16码处低射，巴里未能拦截，皮球缓缓滚入左下角，乔-哈特毫无反应
63'阿奎罗底线回传被断了                   61'曼联第16分钟取得领先，范佩西胸部停球策动反击，阿什利-扬快速突破传球，鲁尼16码处低射，巴里未能拦截，皮球缓缓滚入左下角，乔-哈特毫无反应
