4'费迪南德将球处理出底线,曼城获得角球.                   4'第4分钟，纳斯里开出角球，哲科小禁区边缘头球攻门偏出后点
4'曼城球员哲科大禁区中央尝试头球,可惜皮球稍稍偏出了右球门.给他传球的是纳斯里.                   4'第4分钟，纳斯里开出角球，哲科小禁区边缘头球攻门偏出后点
16'曼城球员特维斯小禁区左侧右脚射门,被防守球员封堵.给他传球的是席尔瓦.                   16'曼城第16分钟最终凭借第7次角球取得领先，席尔瓦开出右侧角球，特维斯远点小禁区边缘扫射被萨莫拉挡出，亚亚-图雷10码处抽射，格林扑挡后皮球入网
16'进球啦！！！曼城球员亚亚-图雷大禁区中央左脚射门,球从右上角飞进球门,球进了! 曼城 1-0 皇家巡游者.                   16'曼城第16分钟最终凭借第7次角球取得领先，席尔瓦开出右侧角球，特维斯远点小禁区边缘扫射被萨莫拉挡出，亚亚-图雷10码处抽射，格林扑挡后皮球入网
17'皇家巡游者球员法比奥拼抢犯规,对手获得控球权.                   16'曼城第16分钟最终凭借第7次角球取得领先，席尔瓦开出右侧角球，特维斯远点小禁区边缘扫射被萨莫拉挡出，亚亚-图雷10码处抽射，格林扑挡后皮球入网
17'席尔瓦为曼城在右路,赢得一个任意球.                   16'曼城第16分钟最终凭借第7次角球取得领先，席尔瓦开出右侧角球，特维斯远点小禁区边缘扫射被萨莫拉挡出，亚亚-图雷10码处抽射，格林扑挡后皮球入网
19'安德鲁-约翰逊为皇家巡游者赢得一个任意球.                   16'曼城第16分钟最终凭借第7次角球取得领先，席尔瓦开出右侧角球，特维斯远点小禁区边缘扫射被萨莫拉挡出，亚亚-图雷10码处抽射，格林扑挡后皮球入网
19'曼城球员克拉罗夫拼抢犯规,对手获得控球权.                   16'曼城第16分钟最终凭借第7次角球取得领先，席尔瓦开出右侧角球，特维斯远点小禁区边缘扫射被萨莫拉挡出，亚亚-图雷10码处抽射，格林扑挡后皮球入网
24'射门!!!皇家巡游者球员格拉内罗大禁区外左脚射门,被对方守门员横身扑出.给他传球的是朴智星.                   24'女王公园巡游者首次射门出现在第24分钟，朴智星传球，格拉内罗的射门被乔-哈特轻松得到
27'射门!!!曼城球员席尔瓦大禁区中央右脚射门,被对方守门员横身扑出.                   24'女王公园巡游者首次射门出现在第24分钟，朴智星传球，格拉内罗的射门被乔-哈特轻松得到
27'曼城球员纳斯里球门右侧小角度右脚射门,被防守球员封堵.                   24'女王公园巡游者首次射门出现在第24分钟，朴智星传球，格拉内罗的射门被乔-哈特轻松得到
27'费迪南德将球处理出底线,曼城获得角球.                   24'女王公园巡游者首次射门出现在第24分钟，朴智星传球，格拉内罗的射门被乔-哈特轻松得到
27'曼城球员特维斯一脚直塞球给莱斯科特,但是边裁举旗显示后者已经越位.                   24'女王公园巡游者首次射门出现在第24分钟，朴智星传球，格拉内罗的射门被乔-哈特轻松得到
34'曼城球员席尔瓦大禁区中央右脚射门,被防守球员封堵.给他传球的是克拉罗夫.                   34'第34分钟，曼城快速反击，科拉罗夫左路斜传，席尔瓦稍显迟疑，最后在禁区边缘内的射门被法比奥飞身铲堵
36'朴智星为皇家巡游者赢得一个任意球.                   34'第34分钟，曼城快速反击，科拉罗夫左路斜传，席尔瓦稍显迟疑，最后在禁区边缘内的射门被法比奥飞身铲堵
36'曼城球员萨巴莱塔拼抢犯规,对手获得控球权.                   34'第34分钟，曼城快速反击，科拉罗夫左路斜传，席尔瓦稍显迟疑，最后在禁区边缘内的射门被法比奥飞身铲堵
37'皇家巡游者球员萨莫拉拼抢犯规,对手获得控球权.                   34'第34分钟，曼城快速反击，科拉罗夫左路斜传，席尔瓦稍显迟疑，最后在禁区边缘内的射门被法比奥飞身铲堵
37'克拉罗夫为曼城赢得一个任意球.                   34'第34分钟，曼城快速反击，科拉罗夫左路斜传，席尔瓦稍显迟疑，最后在禁区边缘内的射门被法比奥飞身铲堵
40'曼城球员特维斯手球犯规,对手获得球权.                   40'第40分钟，曼城反击，尼尔森中圈铲倒哲科，新西兰后卫被裁判福伊口头警告
42'萨巴莱塔将球处理出底线,皇家巡游者获得角球.                   40'第40分钟，曼城反击，尼尔森中圈铲倒哲科，新西兰后卫被裁判福伊口头警告
43'皇家巡游者球员赖特-菲利普斯大禁区外右脚射门,被防守球员封堵.                   40'第40分钟，曼城反击，尼尔森中圈铲倒哲科，新西兰后卫被裁判福伊口头警告
47'射门!!!曼城球员特维斯大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是哲科.                   47'第47分钟，哲科传球，特维斯禁区右侧低射被格林扑出
49'皇家巡游者费迪南德受伤倒地,比赛暂停                   47'第47分钟，哲科传球，特维斯禁区右侧低射被格林扑出
57'皇家巡游者球员萨莫拉大禁区中央尝试头球,可惜皮球高出右上角球门.给他传球的是法比奥.                   57'第57分钟，法比奥左路传中，萨莫拉远点8码处力压2人头球攻门偏出近角
59'射门!!!皇家巡游者球员安德鲁-约翰逊大禁区左侧右脚射门,被对方守门员横身扑出.                   57'第57分钟，法比奥左路传中，萨莫拉远点8码处力压2人头球攻门偏出近角
59'进球啦！！！皇家巡游者球员萨莫拉小禁区右侧头球,球从右下角飞进球门,球进了! 曼城 1-1 皇家巡游者.                   57'第57分钟，法比奥左路传中，萨莫拉远点8码处力压2人头球攻门偏出近角
61'进球啦！！！曼城球员哲科球门线跟前头球,球从左下角飞进球门,球进了!助攻的是特维斯. 曼城 2-1 皇家巡游者.                   61'曼城第61分钟再度领先，特维斯禁区左侧传中，哲科前点4码处抢在尼尔森之前头球破门，2-1
47'射门!!!曼城球员特维斯大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是哲科.                   47'2分钟后，朴智星传球，赖特-菲利普斯禁区右侧的射门又被科拉罗夫挡出
49'皇家巡游者费迪南德受伤倒地,比赛暂停                   47'2分钟后，朴智星传球，赖特-菲利普斯禁区右侧的射门又被科拉罗夫挡出
74'曼城球员哲科大禁区外左脚射门,被防守球员封堵.给他传球的是纳斯里.                   74'第74分钟，罗德维尔飞铲格拉内罗被罚黄牌
74'格拉内罗为皇家巡游者赢得一个任意球.                   74'第74分钟，罗德维尔飞铲格拉内罗被罚黄牌
74'曼城球员罗德维尔拼抢犯规,对手获得控球权.                   74'第74分钟，罗德维尔飞铲格拉内罗被罚黄牌
74'黄牌！曼城球员罗德维尔因为恶意犯规,被主裁判出示黄牌.                   74'第74分钟，罗德维尔飞铲格拉内罗被罚黄牌
75'曼城换人,科洛-图雷换下萨巴莱塔                   74'第74分钟，罗德维尔飞铲格拉内罗被罚黄牌
75'孔帕尼将球处理出底线,皇家巡游者获得角球.                   74'第74分钟，罗德维尔飞铲格拉内罗被罚黄牌
76'皇家巡游者球员奥努哈小禁区右侧尝试头球,可惜皮球偏出球门.给他传球的是格拉内罗.                   74'第74分钟，罗德维尔飞铲格拉内罗被罚黄牌
76'皇家巡游者球员尼尔森大禁区中央尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是奥努哈.                   74'第74分钟，罗德维尔飞铲格拉内罗被罚黄牌
77'朴智星为皇家巡游者在左路,赢得一个任意球.                   74'第74分钟，罗德维尔飞铲格拉内罗被罚黄牌
77'曼城球员孔帕尼拼抢犯规,对手获得控球权.                   74'第74分钟，罗德维尔飞铲格拉内罗被罚黄牌
