4'皇家巡游者球员格拉内罗拼抢犯规,对手获得控球权.                   1'曼城第1分钟逐渐占据主动
4'特维斯为曼城在对方半场,赢得一个任意球.                   1'曼城第1分钟逐渐占据主动
20'曼城球员萨巴莱塔大禁区中央头球,命中门柱横梁.给他传球的是席尔瓦.                   20'曼城第20分钟险些破门，席尔瓦突入禁区左侧传中，萨巴莱塔10码处鱼跃冲顶憾中横梁弹回，巴里传球，阿圭罗禁区弧内的扫射偏出
20'曼城球员阿奎罗大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是巴里.                   20'曼城第20分钟险些破门，席尔瓦突入禁区左侧传中，萨巴莱塔10码处鱼跃冲顶憾中横梁弹回，巴里传球，阿圭罗禁区弧内的扫射偏出
20'格拉内罗为皇家巡游者在对方半场,赢得一个任意球.                   20'曼城第20分钟险些破门，席尔瓦突入禁区左侧传中，萨巴莱塔10码处鱼跃冲顶憾中横梁弹回，巴里传球，阿圭罗禁区弧内的扫射偏出
20'曼城球员萨巴莱塔拼抢犯规,对手获得控球权.                   20'曼城第20分钟险些破门，席尔瓦突入禁区左侧传中，萨巴莱塔10码处鱼跃冲顶憾中横梁弹回，巴里传球，阿圭罗禁区弧内的扫射偏出
22'曼城球员哈维-加西亚尝试右脚射门,可惜皮球稍稍偏出了左球门.                   20'曼城第20分钟险些破门，席尔瓦突入禁区左侧传中，萨巴莱塔10码处鱼跃冲顶憾中横梁弹回，巴里传球，阿圭罗禁区弧内的扫射偏出
25'皇家巡游者球员雷米大禁区右侧右脚射门,被防守球员封堵.给他传球的是格拉内罗.                   25'第25分钟，格拉内罗快速开出任意球，雷米禁区右侧的射门打在哈维-加西亚的脚后跟上滑门而出
25'哈维-加西亚将球处理出底线,皇家巡游者获得角球.                   25'第25分钟，格拉内罗快速开出任意球，雷米禁区右侧的射门打在哈维-加西亚的脚后跟上滑门而出
26'曼城球员米尔纳手球犯规,对手获得球权.                   25'第25分钟，格拉内罗快速开出任意球，雷米禁区右侧的射门打在哈维-加西亚的脚后跟上滑门而出
27'皇家巡游者球员格拉内罗拼抢犯规,对手获得控球权.                   25'第25分钟，格拉内罗快速开出任意球，雷米禁区右侧的射门打在哈维-加西亚的脚后跟上滑门而出
27'萨巴莱塔为曼城在右路,赢得一个任意球.                   25'第25分钟，格拉内罗快速开出任意球，雷米禁区右侧的射门打在哈维-加西亚的脚后跟上滑门而出
39'射门!!!皇家巡游者球员塔拉布特大禁区中央左脚射门,被对方守门员横身扑出.给他传球的是格拉内罗.                   39'女王公园巡游者第39分钟险些破门，格拉内罗传球，塔拉布特突入禁区左肋10码处的单刀射门被乔-哈特扑出
40'皇家巡游者球员姆比亚拼抢犯规,对手获得控球权.                   39'女王公园巡游者第39分钟险些破门，格拉内罗传球，塔拉布特突入禁区左肋10码处的单刀射门被乔-哈特扑出
40'克里希为曼城赢得一个任意球.                   39'女王公园巡游者第39分钟险些破门，格拉内罗传球，塔拉布特突入禁区左肋10码处的单刀射门被乔-哈特扑出
40'曼城克里希受伤倒地,比赛暂停                   39'女王公园巡游者第39分钟险些破门，格拉内罗传球，塔拉布特突入禁区左肋10码处的单刀射门被乔-哈特扑出
40'黄牌！皇家巡游者球员姆比亚因为恶意犯规,被主裁判出示黄牌.                   39'女王公园巡游者第39分钟险些破门，格拉内罗传球，塔拉布特突入禁区左肋10码处的单刀射门被乔-哈特扑出
41'暂停结束,球员们重新开始比赛.                   39'女王公园巡游者第39分钟险些破门，格拉内罗传球，塔拉布特突入禁区左肋10码处的单刀射门被乔-哈特扑出
42'射门!!!曼城球员巴里大禁区中央左脚射门,被对方守门员横身扑出.给他传球的是特维斯.                   39'女王公园巡游者第39分钟险些破门，格拉内罗传球，塔拉布特突入禁区左肋10码处的单刀射门被乔-哈特扑出
42'射门!!!曼城球员巴里大禁区中央左脚射门,被对方守门员横身扑出.给他传球的是特维斯.                   42'第42分钟，巴里前场断球，特维斯禁区左侧传中，巴里禁区边缘内的左脚射门被塞萨尔漂亮扑出
43'塞萨尔将球处理出底线,曼城获得角球.                   42'第42分钟，巴里前场断球，特维斯禁区左侧传中，巴里禁区边缘内的左脚射门被塞萨尔漂亮扑出
43'塔拉布特为皇家巡游者赢得一个任意球.                   42'第42分钟，巴里前场断球，特维斯禁区左侧传中，巴里禁区边缘内的左脚射门被塞萨尔漂亮扑出
43'曼城球员萨巴莱塔拼抢犯规,对手获得控球权.                   42'第42分钟，巴里前场断球，特维斯禁区左侧传中，巴里禁区边缘内的左脚射门被塞萨尔漂亮扑出
44'曼城球员纳斯里大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是特维斯.                   42'第42分钟，巴里前场断球，特维斯禁区左侧传中，巴里禁区边缘内的左脚射门被塞萨尔漂亮扑出
45'+2'上半场结束,皇家巡游者 0-0 曼城,稍事休息,我们一会来看看下半场两队的表现.                   42'第42分钟，巴里前场断球，特维斯禁区左侧传中，巴里禁区边缘内的左脚射门被塞萨尔漂亮扑出
54'格拉内罗将球处理出底线,曼城获得角球.                   53'第53分钟，席尔瓦边路对德里报复性踢人动作逃脱处罚
54'皇家巡游者球员奥努哈拼抢犯规,对手获得控球权.                   53'第53分钟，席尔瓦边路对德里报复性踢人动作逃脱处罚
54'阿奎罗为曼城在对方半场,赢得一个任意球.                   53'第53分钟，席尔瓦边路对德里报复性踢人动作逃脱处罚
56'希尔为皇家巡游者赢得一个任意球.                   53'第53分钟，席尔瓦边路对德里报复性踢人动作逃脱处罚
56'曼城球员特维斯拼抢犯规,对手获得控球权.                   53'第53分钟，席尔瓦边路对德里报复性踢人动作逃脱处罚
61'曼城球员阿奎罗大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是克里希.                   61'第61分钟，克里希传球，阿圭罗30码处远射偏出
61'塔拉布特为皇家巡游者在对方半场,赢得一个任意球.                   61'第61分钟，克里希传球，阿圭罗30码处远射偏出
61'曼城球员萨巴莱塔拼抢犯规,对手获得控球权.                   61'第61分钟，克里希传球，阿圭罗30码处远射偏出
63'皇家巡游者球员雷米大禁区左侧尝试右脚射门,可惜皮球偏出球门.给他传球的是塔拉布特.                   61'第61分钟，克里希传球，阿圭罗30码处远射偏出
63'曼城球员巴里被主裁判出示了一张黄牌.                   61'第61分钟，克里希传球，阿圭罗30码处远射偏出
69'塞萨尔将球处理出底线,曼城获得角球.                   67'第67分钟，米尔纳突破送出直传，但哲科12码处错过皮球
69'射门!!!曼城球员席尔瓦大禁区左侧左脚射门,被对方守门员横身扑出.给他传球的是阿奎罗.                   67'第67分钟，米尔纳突破送出直传，但哲科12码处错过皮球
69'塞萨尔将球处理出底线,曼城获得角球.                   69'第69分钟，席尔瓦同阿圭罗踢墙配合后禁区左侧15码处抽射被塞萨尔稳稳没收
69'射门!!!曼城球员席尔瓦大禁区左侧左脚射门,被对方守门员横身扑出.给他传球的是阿奎罗.                   69'第69分钟，席尔瓦同阿圭罗踢墙配合后禁区左侧15码处抽射被塞萨尔稳稳没收
71'希尔将球处理出底线,曼城获得角球.                   69'第69分钟，席尔瓦同阿圭罗踢墙配合后禁区左侧15码处抽射被塞萨尔稳稳没收
71'曼城球员哲科球门线跟前尝试头球,可惜皮球高出球门.给他传球的是席尔瓦.                   69'第69分钟，席尔瓦同阿圭罗踢墙配合后禁区左侧15码处抽射被塞萨尔稳稳没收
73'曼城球员阿奎罗大禁区中央尝试右脚射门,可惜皮球高出球门.给他传球的是萨巴莱塔.                   73'第73分钟，米尔纳直传，萨巴莱塔禁区右侧头球回摆，阿圭罗15码处凌空抽射高出
74'曼城换人,罗德维尔换下特维斯                   73'第73分钟，米尔纳直传，萨巴莱塔禁区右侧头球回摆，阿圭罗15码处凌空抽射高出
75'射门!!!曼城球员米尔纳大禁区右侧左脚射门,被对方守门员横身扑出.给他传球的是席尔瓦.                   73'第73分钟，米尔纳直传，萨巴莱塔禁区右侧头球回摆，阿圭罗15码处凌空抽射高出
75'皇家巡游者姆比亚受伤倒地,比赛暂停                   73'第73分钟，米尔纳直传，萨巴莱塔禁区右侧头球回摆，阿圭罗15码处凌空抽射高出
76'暂停结束,球员们重新开始比赛.                   73'第73分钟，米尔纳直传，萨巴莱塔禁区右侧头球回摆，阿圭罗15码处凌空抽射高出
74'曼城换人,罗德维尔换下特维斯                   74'第74分钟，雷米突入禁区右侧在莱斯科特防守下摔倒，裁判未予判罚
75'射门!!!曼城球员米尔纳大禁区右侧左脚射门,被对方守门员横身扑出.给他传球的是席尔瓦.                   74'第74分钟，雷米突入禁区右侧在莱斯科特防守下摔倒，裁判未予判罚
75'皇家巡游者姆比亚受伤倒地,比赛暂停                   74'第74分钟，雷米突入禁区右侧在莱斯科特防守下摔倒，裁判未予判罚
76'暂停结束,球员们重新开始比赛.                   74'第74分钟，雷米突入禁区右侧在莱斯科特防守下摔倒，裁判未予判罚
77'姆比亚为皇家巡游者在对方半场,赢得一个任意球.                   74'第74分钟，雷米突入禁区右侧在莱斯科特防守下摔倒，裁判未予判罚
77'曼城球员巴里拼抢犯规,对手获得控球权.                   74'第74分钟，雷米突入禁区右侧在莱斯科特防守下摔倒，裁判未予判罚
79'皇家巡游者球员格拉内罗大禁区外尝试右脚射门,可惜皮球高出球门.                   78'第78分钟，巴里禁区前阻挡姆比亚犯规，但前皇马中场格拉内罗25码处任意球直接射门高出
85'曼城球员席尔瓦大禁区左侧左脚射门,被防守球员封堵.给他传球的是哲科.                   85'第85分钟，哲科禁区左侧回传，席尔瓦的射门又被尼尔森封堵
86'曼城换人,辛克莱尔换下米尔纳                   85'第85分钟，哲科禁区左侧回传，席尔瓦的射门又被尼尔森封堵
86'雷米为皇家巡游者在右路,赢得一个任意球.                   85'第85分钟，哲科禁区左侧回传，席尔瓦的射门又被尼尔森封堵
86'曼城球员克里希拼抢犯规,对手获得控球权.                   85'第85分钟，哲科禁区左侧回传，席尔瓦的射门又被尼尔森封堵
88'曼城球员哲科大禁区中央尝试左脚射门,可惜皮球稍稍偏出了左球门.给他传球的是罗德维尔.                   85'第85分钟，哲科禁区左侧回传，席尔瓦的射门又被尼尔森封堵
