4'博阿滕中场带球被小胡安放倒                   4'开场4分钟，蒙塔里在瓜林脚下断球，距门22米处左脚低射偏出右门柱
4'阿巴特右路拿球将球横向转移                   4'开场4分钟，蒙塔里在瓜林脚下断球，距门22米处左脚低射偏出右门柱
5'禁区外围蒙塔里的一脚低射将球打偏                   4'开场4分钟，蒙塔里在瓜林脚下断球，距门22米处左脚低射偏出右门柱
5'萨内蒂后场拿球通过了中场                   4'开场4分钟，蒙塔里在瓜林脚下断球，距门22米处左脚低射偏出右门柱
6'卡萨诺左侧禁区边缘一脚搓射近角被阿比亚蒂得到                   4'开场4分钟，蒙塔里在瓜林脚下断球，距门22米处左脚低射偏出右门柱
6'两队开场后打得都比较谨慎                   4'开场4分钟，蒙塔里在瓜林脚下断球，距门22米处左脚低射偏出右门柱
6'阿巴特前场右路突破被断                   4'开场4分钟，蒙塔里在瓜林脚下断球，距门22米处左脚低射偏出右门柱
6'国米发动快速反击，结果在中场被抢断                   4'开场4分钟，蒙塔里在瓜林脚下断球，距门22米处左脚低射偏出右门柱
6'卡萨诺左侧禁区边缘一脚搓射近角被阿比亚蒂得到                   6'第6分钟，德希利奥与沙拉维配合后突入禁区左侧，在门前13米处抽射偏出近门柱
6'两队开场后打得都比较谨慎                   6'第6分钟，德希利奥与沙拉维配合后突入禁区左侧，在门前13米处抽射偏出近门柱
6'阿巴特前场右路突破被断                   6'第6分钟，德希利奥与沙拉维配合后突入禁区左侧，在门前13米处抽射偏出近门柱
6'国米发动快速反击，结果在中场被抢断                   6'第6分钟，德希利奥与沙拉维配合后突入禁区左侧，在门前13米处抽射偏出近门柱
8'沙拉维左路送直塞给到禁区内，德希利奥禁区内得球一脚劲射打近角打偏！                   6'第6分钟，德希利奥与沙拉维配合后突入禁区左侧，在门前13米处抽射偏出近门柱
9'长友佑都右路带球突破到禁区被断                   6'第6分钟，德希利奥与沙拉维配合后突入禁区左侧，在门前13米处抽射偏出近门柱
9'拉诺齐亚后场拿球给到边路                   6'第6分钟，德希利奥与沙拉维配合后突入禁区左侧，在门前13米处抽射偏出近门柱
15'德希利奥后场被摆脱，国米的边路低平球送到禁区内效果并不理想                   15'AC米兰第15分钟错过机会，德希利奥左路传中，博阿腾前点铲空，巴洛特利中路距门7米处也没停好球
16'德希利奥左路传球送到禁区内，前点博阿滕的抢点没有踢到，而后点巴洛特利的停球显得有些太突然                   15'AC米兰第15分钟错过机会，德希利奥左路传中，博阿腾前点铲空，巴洛特利中路距门7米处也没停好球
17'米兰左路斜传球往禁区送，球被国米顶了出来                   15'AC米兰第15分钟错过机会，德希利奥左路传中，博阿腾前点铲空，巴洛特利中路距门7米处也没停好球
17'中场阿巴特防守卡萨诺的时候犯规了                   15'AC米兰第15分钟错过机会，德希利奥左路传中，博阿腾前点铲空，巴洛特利中路距门7米处也没停好球
17'坎比亚索任意球快发，帕拉西奥禁区内小角度打远角打偏                   15'AC米兰第15分钟错过机会，德希利奥左路传中，博阿腾前点铲空，巴洛特利中路距门7米处也没停好球
18'博阿滕右路低平球送到禁区内，拉诺齐亚抢先一脚将球解围                   15'AC米兰第15分钟错过机会，德希利奥左路传中，博阿腾前点铲空，巴洛特利中路距门7米处也没停好球
21'米兰进球了！！！                   21'第21分钟，AC米兰前场抢断，博阿滕得球准确塞到两名后卫之间的空档，沙拉维禁区左侧距门13米处右脚外外脚背弹射入近角，1比0
21'沙拉维！！                   21'第21分钟，AC米兰前场抢断，博阿滕得球准确塞到两名后卫之间的空档，沙拉维禁区左侧距门13米处右脚外外脚背弹射入近角，1比0
22'博阿滕前场得球送直塞给到禁区内，沙拉维插上后一脚弹射打球门近角破门！                   21'第21分钟，AC米兰前场抢断，博阿滕得球准确塞到两名后卫之间的空档，沙拉维禁区左侧距门13米处右脚外外脚背弹射入近角，1比0
23'小胡安后场大范围给到右路                   21'第21分钟，AC米兰前场抢断，博阿滕得球准确塞到两名后卫之间的空档，沙拉维禁区左侧距门13米处右脚外外脚背弹射入近角，1比0
23'卡萨诺前场得球摆脱后一脚远射稍稍打偏                   21'第21分钟，AC米兰前场抢断，博阿滕得球准确塞到两名后卫之间的空档，沙拉维禁区左侧距门13米处右脚外外脚背弹射入近角，1比0
24'阿巴特右路带球被国米破坏出边线                   21'第21分钟，AC米兰前场抢断，博阿滕得球准确塞到两名后卫之间的空档，沙拉维禁区左侧距门13米处右脚外外脚背弹射入近角，1比0
24'萨帕塔中场拿球给到边路                   21'第21分钟，AC米兰前场抢断，博阿滕得球准确塞到两名后卫之间的空档，沙拉维禁区左侧距门13米处右脚外外脚背弹射入近角，1比0
27'长友佑都后场拿球出现了失误                   27'第27分钟，沙拉维右侧开出角球，巴洛特利在门前7米处大力头槌被汉达诺维奇封出
27'米兰右路的进攻再造角球机会                   27'第27分钟，沙拉维右侧开出角球，巴洛特利在门前7米处大力头槌被汉达诺维奇封出
28'沙拉维角球给到中路，巴洛特利头球攻门被汉达诺维奇在门线上扑了出来！！                   27'第27分钟，沙拉维右侧开出角球，巴洛特利在门前7米处大力头槌被汉达诺维奇封出
28'巴洛特利这球顶的有力道，汉达诺维奇是扑的精彩                   27'第27分钟，沙拉维右侧开出角球，巴洛特利在门前7米处大力头槌被汉达诺维奇封出
29'巴洛特利门前抢点的铲射再被汉达诺维奇扑出！！                   27'第27分钟，沙拉维右侧开出角球，巴洛特利在门前7米处大力头槌被汉达诺维奇封出
30'巴洛特利很气愤的踢了一脚门柱！                   27'第27分钟，沙拉维右侧开出角球，巴洛特利在门前7米处大力头槌被汉达诺维奇封出
33'死球的情况下，主裁判补给了蒙塔里一张黄牌！                   33'第33分钟，阿巴特右路斜传，蒙塔里前插头球被汉达诺维奇没收
33'蒙塔里禁区内突然插上后头球被汉达诺维奇得到                   33'第33分钟，阿巴特右路斜传，蒙塔里前插头球被汉达诺维奇没收
