3'拜仁慕尼黑球员里贝里大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.                   3'开场3分钟，克罗斯左侧任意球被顶到后点，里贝里禁区边缘抽射偏出近门柱
4'胡梅尔斯为多特蒙德赢得一个任意球.                   3'开场3分钟，克罗斯左侧任意球被顶到后点，里贝里禁区边缘抽射偏出近门柱
4'拜仁慕尼黑球员曼朱基奇拼抢犯规,对手获得控球权.                   3'开场3分钟，克罗斯左侧任意球被顶到后点，里贝里禁区边缘抽射偏出近门柱
4'多特蒙德球员莱万多夫斯基拼抢犯规,对手获得控球权.                   3'开场3分钟，克罗斯左侧任意球被顶到后点，里贝里禁区边缘抽射偏出近门柱
4'丹特为拜仁慕尼黑赢得一个任意球.                   3'开场3分钟，克罗斯左侧任意球被顶到后点，里贝里禁区边缘抽射偏出近门柱
13'拜仁慕尼黑球员克罗斯大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是里贝里.                   13'第13分钟，里贝里右路塞球，克罗斯在门前27米处抽射偏出近门柱
14'多特蒙德球员施梅尔策拼抢犯规,对手获得控球权.                   13'第13分钟，里贝里右路塞球，克罗斯在门前27米处抽射偏出近门柱
14'穆勒为拜仁慕尼黑在对方半场,赢得一个任意球.                   13'第13分钟，里贝里右路塞球，克罗斯在门前27米处抽射偏出近门柱
15'苏伯蒂奇为多特蒙德赢得一个任意球.                   13'第13分钟，里贝里右路塞球，克罗斯在门前27米处抽射偏出近门柱
15'拜仁慕尼黑球员哈维-马丁内斯拼抢犯规,对手获得控球权.                   13'第13分钟，里贝里右路塞球，克罗斯在门前27米处抽射偏出近门柱
16'拜仁慕尼黑球员穆勒大禁区右侧左脚射门,被防守球员封堵.                   13'第13分钟，里贝里右路塞球，克罗斯在门前27米处抽射偏出近门柱
25'多特蒙德球员本德尔大禁区外尝试右脚射门,可惜皮球高出右上角球门.给他传球的是格策.                   25'第25分钟，格策右路内切横传，斯文-本德在门前27米处弧线球偏出右门柱
26'莱万多夫斯基为多特蒙德在对方半场,赢得一个任意球.                   25'第25分钟，格策右路内切横传，斯文-本德在门前27米处弧线球偏出右门柱
26'拜仁慕尼黑球员阿拉巴拼抢犯规,对手获得控球权.                   25'第25分钟，格策右路内切横传，斯文-本德在门前27米处弧线球偏出右门柱
28'胡梅尔斯为多特蒙德赢得一个任意球.                   25'第25分钟，格策右路内切横传，斯文-本德在门前27米处弧线球偏出右门柱
28'拜仁慕尼黑球员曼朱基奇拼抢犯规,对手获得控球权.                   25'第25分钟，格策右路内切横传，斯文-本德在门前27米处弧线球偏出右门柱
52'格策为多特蒙德在对方半场,赢得一个任意球.                   52'第52分钟，罗伊斯中路快开任意球吊入禁区，胡梅尔斯反越位点球点凌空扫射没打上力量，诺伊尔扑出左门柱
52'拜仁慕尼黑球员哈维-马丁内斯危险动作,对手获得控球权.                   52'第52分钟，罗伊斯中路快开任意球吊入禁区，胡梅尔斯反越位点球点凌空扫射没打上力量，诺伊尔扑出左门柱
52'布拉什奇科夫斯基为多特蒙德在对方半场,赢得一个任意球.                   52'第52分钟，罗伊斯中路快开任意球吊入禁区，胡梅尔斯反越位点球点凌空扫射没打上力量，诺伊尔扑出左门柱
52'拜仁慕尼黑球员施魏因斯泰格拼抢犯规,对手获得控球权.                   52'第52分钟，罗伊斯中路快开任意球吊入禁区，胡梅尔斯反越位点球点凌空扫射没打上力量，诺伊尔扑出左门柱
52'射门!!!多特蒙德球员胡梅尔斯球门线跟前右脚射门,被对方守门员横身扑出.给他传球的是罗伊斯.                   52'第52分钟，罗伊斯中路快开任意球吊入禁区，胡梅尔斯反越位点球点凌空扫射没打上力量，诺伊尔扑出左门柱
52'诺伊尔将球处理出底线,多特蒙德获得角球.                   52'第52分钟，罗伊斯中路快开任意球吊入禁区，胡梅尔斯反越位点球点凌空扫射没打上力量，诺伊尔扑出左门柱
53'多特蒙德球员罗伊斯大禁区中央尝试头球,可惜皮球偏出球门.给他传球的是皮什切克.                   52'第52分钟，罗伊斯中路快开任意球吊入禁区，胡梅尔斯反越位点球点凌空扫射没打上力量，诺伊尔扑出左门柱
54'射门!!!拜仁慕尼黑球员曼朱基奇大禁区外右脚射门,被对方守门员横身扑出.给他传球的是里贝里.                   52'第52分钟，罗伊斯中路快开任意球吊入禁区，胡梅尔斯反越位点球点凌空扫射没打上力量，诺伊尔扑出左门柱
