27'塔尔德利前场右路得球，横传！金敬道横传禁区！吴兴涵抢点没能顶到！                   27'第27分钟，王彤边路弧线球传中，佩莱头球破门
27'吴兴涵回传球，鲁能泰山队将球转移到右路进攻                   27'第27分钟，王彤边路弧线球传中，佩莱头球破门
27'刘军帅中路带了一步，回传一下再分到右路！                   27'第27分钟，王彤边路弧线球传中，佩莱头球破门
27'鲁能泰山队进球啦！！佩莱！1-0                   27'第27分钟，王彤边路弧线球传中，佩莱头球破门
28'王彤右路强突下底横传，佩莱头球顶门，顶到了对方后卫身上变线入网！！！                   27'第27分钟，王彤边路弧线球传中，佩莱头球破门
29'后场鲁能泰山队得球，左路直传球，被唐佳庶把球控下来                   27'第27分钟，王彤边路弧线球传中，佩莱头球破门
29'重庆斯威队长传球到前场右路，陈雷没能停好，球出边线                   27'第27分钟，王彤边路弧线球传中，佩莱头球破门
30'陈雷右路接球，横传一脚！再接费尔南迪尼奥的回传球                   27'第27分钟，王彤边路弧线球传中，佩莱头球破门
30'陈雷回传中场！重新组织进攻！                   27'第27分钟，王彤边路弧线球传中，佩莱头球破门
30'重庆斯威队斜传禁区，吉尔抢先把球破坏出来！吴兴涵抢球出底线                   27'第27分钟，王彤边路弧线球传中，佩莱头球破门
30'角球机会                   27'第27分钟，王彤边路弧线球传中，佩莱头球破门
48'费尔南迪尼奥发任意球到禁区内！！卡尔德克头球顶门 ，出底线                   48'开场3分钟，山东鲁能打出默契配合，佩莱拿球分边，金敬道得球再送出直塞，吴兴涵快速插上突破后卫防守后小角度射门，球被邓小飞用腿挡出底线
48'上半场比赛结束，鲁能泰山队1-0领先重庆斯威队！！                   48'开场3分钟，山东鲁能打出默契配合，佩莱拿球分边，金敬道得球再送出直塞，吴兴涵快速插上突破后卫防守后小角度射门，球被邓小飞用腿挡出底线
48'佩莱直传球，对方后卫失误，塔尔德利得球突破唐佳庶，挑射破门！！！                   48'开场3分钟，山东鲁能打出默契配合，佩莱拿球分边，金敬道得球再送出直塞，吴兴涵快速插上突破后卫防守后小角度射门，球被邓小飞用腿挡出底线
48'开局不错啊！                   48'开场3分钟，山东鲁能打出默契配合，佩莱拿球分边，金敬道得球再送出直塞，吴兴涵快速插上突破后卫防守后小角度射门，球被邓小飞用腿挡出底线
48'重庆斯威队攻到前场，传球失误                   48'开场3分钟，山东鲁能打出默契配合，佩莱拿球分边，金敬道得球再送出直塞，吴兴涵快速插上突破后卫防守后小角度射门，球被邓小飞用腿挡出底线
49'王大雷大脚开球过中场！直接出边线                   48'开场3分钟，山东鲁能打出默契配合，佩莱拿球分边，金敬道得球再送出直塞，吴兴涵快速插上突破后卫防守后小角度射门，球被邓小飞用腿挡出底线
49'后场刘宇得球，左路直传，交给吴庆                   48'开场3分钟，山东鲁能打出默契配合，佩莱拿球分边，金敬道得球再送出直塞，吴兴涵快速插上突破后卫防守后小角度射门，球被邓小飞用腿挡出底线
49'吴庆是重庆斯威队的老人啦！                   48'开场3分钟，山东鲁能打出默契配合，佩莱拿球分边，金敬道得球再送出直塞，吴兴涵快速插上突破后卫防守后小角度射门，球被邓小飞用腿挡出底线
50'重庆斯威队传中球，被破坏出底线                   48'开场3分钟，山东鲁能打出默契配合，佩莱拿球分边，金敬道得球再送出直塞，吴兴涵快速插上突破后卫防守后小角度射门，球被邓小飞用腿挡出底线
50'费尔南迪尼奥发角球到禁区内，被破坏出来！                   48'开场3分钟，山东鲁能打出默契配合，佩莱拿球分边，金敬道得球再送出直塞，吴兴涵快速插上突破后卫防守后小角度射门，球被邓小飞用腿挡出底线
