3'AC米兰球员L-阿德里亚诺拼抢犯规,对手获得控球权.                   1'第1分钟，埃利拉倒卡利尼奇，被黄牌警告
3'托莫维奇为佛罗伦萨在对方半场,赢得一个任意球.                   1'第1分钟，埃利拉倒卡利尼奇，被黄牌警告
4'贝尔托拉奇为AC米兰赢得一个任意球.                   1'第1分钟，埃利拉倒卡利尼奇，被黄牌警告
4'佛罗伦萨球员尔纳尔德希奇拼抢犯规,对手获得控球权.                   1'第1分钟，埃利拉倒卡利尼奇，被黄牌警告
20'射门!!!佛罗伦萨球员卡利尼奇大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是伊利西奇.                   20'AC米兰第20分钟险些失球，伊利契奇中线送出过顶球，卡利尼奇单刀突入禁区距门13米处推射被迭戈-洛佩斯伸腿挡出
20'佛罗伦萨球员伊利西奇大禁区外左脚射门,被防守球员封堵.给他传球的是尔纳尔德希奇.                   20'AC米兰第20分钟险些失球，伊利契奇中线送出过顶球，卡利尼奇单刀突入禁区距门13米处推射被迭戈-洛佩斯伸腿挡出
21'佛罗伦萨球员马科斯-阿隆索大禁区左侧尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是巴德尔吉.                   20'AC米兰第20分钟险些失球，伊利契奇中线送出过顶球，卡利尼奇单刀突入禁区距门13米处推射被迭戈-洛佩斯伸腿挡出
22'巴卡为AC米兰在对方半场,赢得一个任意球.                   20'AC米兰第20分钟险些失球，伊利契奇中线送出过顶球，卡利尼奇单刀突入禁区距门13米处推射被迭戈-洛佩斯伸腿挡出
22'佛罗伦萨球员博尔加-巴雷罗拼抢犯规,对手获得控球权.                   20'AC米兰第20分钟险些失球，伊利契奇中线送出过顶球，卡利尼奇单刀突入禁区距门13米处推射被迭戈-洛佩斯伸腿挡出
23'博纳文图拉为AC米兰在对方半场,赢得一个任意球.                   20'AC米兰第20分钟险些失球，伊利契奇中线送出过顶球，卡利尼奇单刀突入禁区距门13米处推射被迭戈-洛佩斯伸腿挡出
23'佛罗伦萨球员博尔加-巴雷罗拼抢犯规,对手获得控球权.                   20'AC米兰第20分钟险些失球，伊利契奇中线送出过顶球，卡利尼奇单刀突入禁区距门13米处推射被迭戈-洛佩斯伸腿挡出
53'射门!!!佛罗伦萨球员伊利西奇大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是尔纳尔德希奇.                   53'下半时开始8分钟，贝尔纳代斯基直传，伊利契奇在门前8米处单刀推射，但又被迭戈-洛佩斯身体封出
53'射门!!!佛罗伦萨球员吉尔伯托大禁区右侧右脚射门,被对方守门员横身扑出.                   53'下半时开始8分钟，贝尔纳代斯基直传，伊利契奇在门前8米处单刀推射，但又被迭戈-洛佩斯身体封出
54'AC米兰球员L-阿德里亚诺拼抢犯规,对手获得控球权.                   53'下半时开始8分钟，贝尔纳代斯基直传，伊利契奇在门前8米处单刀推射，但又被迭戈-洛佩斯身体封出
54'冈萨洛为佛罗伦萨赢得一个任意球.                   53'下半时开始8分钟，贝尔纳代斯基直传，伊利契奇在门前8米处单刀推射，但又被迭戈-洛佩斯身体封出
55'AC米兰球员罗马尼奥利犯规,致使对方获得点球.                   53'下半时开始8分钟，贝尔纳代斯基直传，伊利契奇在门前8米处单刀推射，但又被迭戈-洛佩斯身体封出
55'点球,伊利西奇在禁区内被侵犯,佛罗伦萨获得点球.                   53'下半时开始8分钟，贝尔纳代斯基直传，伊利契奇在门前8米处单刀推射，但又被迭戈-洛佩斯身体封出
55'黄牌！AC米兰球员罗马尼奥利因为恶意犯规,被主裁判出示黄牌.                   53'下半时开始8分钟，贝尔纳代斯基直传，伊利契奇在门前8米处单刀推射，但又被迭戈-洛佩斯身体封出
56'进球啦！！！佛罗伦萨球员伊利西奇左脚射门,球从右下角飞进球门,球进了! 佛罗伦萨 2-0 AC米兰.                   53'下半时开始8分钟，贝尔纳代斯基直传，伊利契奇在门前8米处单刀推射，但又被迭戈-洛佩斯身体封出
87'AC米兰球员博纳文图拉大禁区中央尝试右脚射门,可惜皮球高出球门.给他传球的是诺切里诺.                   87'第87分钟，诺切里诺个人突破分球，博纳文图拉禁区左侧推射高出
87'佛罗伦萨球员阿斯托里一脚直塞球给M-费尔南德斯,但是边裁举旗显示后者已经越位.                   87'第87分钟，诺切里诺个人突破分球，博纳文图拉禁区左侧推射高出
90'+2'AC米兰球员萨帕塔拼抢犯规,对手获得控球权.                   87'第87分钟，诺切里诺个人突破分球，博纳文图拉禁区左侧推射高出
90'+2'博尔加-巴雷罗为佛罗伦萨赢得一个任意球.                   87'第87分钟，诺切里诺个人突破分球，博纳文图拉禁区左侧推射高出
90'+3'德希利奥为AC米兰赢得一个任意球.                   87'第87分钟，诺切里诺个人突破分球，博纳文图拉禁区左侧推射高出
90'+3'佛罗伦萨球员卡利尼奇拼抢犯规,对手获得控球权.                   87'第87分钟，诺切里诺个人突破分球，博纳文图拉禁区左侧推射高出
90'+4'佛罗伦萨吉尔伯托受伤倒地,比赛暂停                   87'第87分钟，诺切里诺个人突破分球，博纳文图拉禁区左侧推射高出
90'+4'暂停结束,球员们重新开始比赛.                   87'第87分钟，诺切里诺个人突破分球，博纳文图拉禁区左侧推射高出
90'+5'AC米兰球员博纳文图拉大禁区外右脚射门,被防守球员封堵.给他传球的是德容.                   87'第87分钟，诺切里诺个人突破分球，博纳文图拉禁区左侧推射高出
90'+5'下半场结束,佛罗伦萨 2-0 AC米兰                   87'第87分钟，诺切里诺个人突破分球，博纳文图拉禁区左侧推射高出
