4'佩德罗被放倒了~                   4'第4分钟，梅西大禁区右上角外任意球直接射门稍稍高出
4'马图伊迪伸腿绊倒了佩德罗被吹了犯规                   4'第4分钟，梅西大禁区右上角外任意球直接射门稍稍高出
4'巴萨获得了一个禁区右上角的定位球机会                   4'第4分钟，梅西大禁区右上角外任意球直接射门稍稍高出
4'梅西跟内马尔站在球前                   4'第4分钟，梅西大禁区右上角外任意球直接射门稍稍高出
4'梅西直接射门~~~~                   4'第4分钟，梅西大禁区右上角外任意球直接射门稍稍高出
5'球绕过人墙之后还是高出了横梁                   4'第4分钟，梅西大禁区右上角外任意球直接射门稍稍高出
5'苏牙背身拿球失误了~                   4'第4分钟，梅西大禁区右上角外任意球直接射门稍稍高出
5'马斯切拉诺的及时反抢将球断了回来                   4'第4分钟，梅西大禁区右上角外任意球直接射门稍稍高出
6'开场这几分钟大巴黎完全处于守势                   4'第4分钟，梅西大禁区右上角外任意球直接射门稍稍高出
7'布斯克茨出球之后被小卢卡斯放倒                   4'第4分钟，梅西大禁区右上角外任意球直接射门稍稍高出
7'裁判给了巴萨前场定位球                   4'第4分钟，梅西大禁区右上角外任意球直接射门稍稍高出
7'马蒂厄助攻上来~横传苏亚雷斯                   4'第4分钟，梅西大禁区右上角外任意球直接射门稍稍高出
7'后咋并没有能够将球拿到                   4'第4分钟，梅西大禁区右上角外任意球直接射门稍稍高出
7'伊布边路带球~禁区钱的横传被皮克上抢断走                   4'第4分钟，梅西大禁区右上角外任意球直接射门稍稍高出
19'梅西~~~                   19'巴萨第19分钟扳平比分，马斯切拉诺长传，苏亚雷斯禁区左侧小角度传中，梅西小禁区右侧铲射破门，1-1
19'Gooooooooooooooooooal~~~~~~                   19'巴萨第19分钟扳平比分，马斯切拉诺长传，苏亚雷斯禁区左侧小角度传中，梅西小禁区右侧铲射破门，1-1
19'巴萨突然中场长传制造了机会                   19'巴萨第19分钟扳平比分，马斯切拉诺长传，苏亚雷斯禁区左侧小角度传中，梅西小禁区右侧铲射破门，1-1
20'苏牙接到了马斯切拉诺的长传反越位底线左脚横敲~~~梅西拍马赶到门前铲射空门~~~                   19'巴萨第19分钟扳平比分，马斯切拉诺长传，苏亚雷斯禁区左侧小角度传中，梅西小禁区右侧铲射破门，1-1
20'苏牙又助攻了                   19'巴萨第19分钟扳平比分，马斯切拉诺长传，苏亚雷斯禁区左侧小角度传中，梅西小禁区右侧铲射破门，1-1
20'这是要当队内助攻王的节奏？                   19'巴萨第19分钟扳平比分，马斯切拉诺长传，苏亚雷斯禁区左侧小角度传中，梅西小禁区右侧铲射破门，1-1
21'饭犯反: 巴黎这后防 真是---也是集体梦游了...                   19'巴萨第19分钟扳平比分，马斯切拉诺长传，苏亚雷斯禁区左侧小角度传中，梅西小禁区右侧铲射破门，1-1
22'好吧，梅西打破了自己保持的欧冠最多进球纪录...                   19'巴萨第19分钟扳平比分，马斯切拉诺长传，苏亚雷斯禁区左侧小角度传中，梅西小禁区右侧铲射破门，1-1
22'每一个进球都是一个新的纪录                   19'巴萨第19分钟扳平比分，马斯切拉诺长传，苏亚雷斯禁区左侧小角度传中，梅西小禁区右侧铲射破门，1-1
22'伊涅斯塔给苏牙的直传~苏牙停球大了                   19'巴萨第19分钟扳平比分，马斯切拉诺长传，苏亚雷斯禁区左侧小角度传中，梅西小禁区右侧铲射破门，1-1
22'大巴黎的反击                   19'巴萨第19分钟扳平比分，马斯切拉诺长传，苏亚雷斯禁区左侧小角度传中，梅西小禁区右侧铲射破门，1-1
22'球被断了                   19'巴萨第19分钟扳平比分，马斯切拉诺长传，苏亚雷斯禁区左侧小角度传中，梅西小禁区右侧铲射破门，1-1
23'梅西内切~被后卫从身后铲向门前                   23'第23分钟，西里古解围失误，苏亚雷斯禁区左侧的射门被范德维尔挡出
23'西里古不敢拿手抱球                   23'第23分钟，西里古解围失误，苏亚雷斯禁区左侧的射门被范德维尔挡出
23'解围的时候也失误了~                   23'第23分钟，西里古解围失误，苏亚雷斯禁区左侧的射门被范德维尔挡出
