1'上半场比赛开始！！                   1'比赛第1分钟就具有开放性
1'身穿深色球衣的皇马的开球，从画面的左侧向右进攻！                   1'比赛第1分钟就具有开放性
1'拉莫斯后场大脚长传到前场                   1'比赛第1分钟就具有开放性
1'希奥瓦斯抢先头球解围！！                   1'比赛第1分钟就具有开放性
2'莱加内斯中场失误，皇马的左路反击！！                   1'比赛第1分钟就具有开放性
2'马塞洛拿球强突，被回防的曼多瓦尼破坏出边线                   1'比赛第1分钟就具有开放性
2'希奥瓦斯后场拿球，面对逼抢，回传埃雷林                   1'比赛第1分钟就具有开放性
3'莱加内斯前场的进攻，希奥瓦斯斜传球到禁区                   1'比赛第1分钟就具有开放性
3'纳乔倒地解围，没能踢远                   1'比赛第1分钟就具有开放性
4'球到了齐曼诺夫斯基脚下，左路横切                   1'比赛第1分钟就具有开放性
4'到了中路，起脚打门，被拉莫斯挡出！！                   1'比赛第1分钟就具有开放性
4'皇马的反击，莫拉塔前场拿球，进入禁区，左脚低射远角，打偏！                   1'比赛第1分钟就具有开放性
15'莱加内斯右路的进攻，巴斯汀扎边路传中到门前                   15'皇马第15分钟取得领先，阿森西奥中场拦截抢断后突入禁区左侧传中，J罗近距离破门
15'达尼洛补防过来，倒勾解围！！                   15'皇马第15分钟取得领先，阿森西奥中场拦截抢断后突入禁区左侧传中，J罗近距离破门
15'卢西亚诺外围拿球，再突，打门，被挡出                   15'皇马第15分钟取得领先，阿森西奥中场拦截抢断后突入禁区左侧传中，J罗近距离破门
15'皇马的反击，阿森西奥拿球！！                   15'皇马第15分钟取得领先，阿森西奥中场拦截抢断后突入禁区左侧传中，J罗近距离破门
15'1-0！！！皇马进球！！                   15'皇马第15分钟取得领先，阿森西奥中场拦截抢断后突入禁区左侧传中，J罗近距离破门
16'J罗推射空门，建功！！                   15'皇马第15分钟取得领先，阿森西奥中场拦截抢断后突入禁区左侧传中，J罗近距离破门
17'J罗后场拿球，分球左侧给阿森西奥，阿森西奥直塞找莫拉塔，被破坏，球又到了阿森西奥脚下，单骑闯关，进入禁区，面对回防球员和出击的门将，横传中路，J罗跟进推射空门得手！                   15'皇马第15分钟取得领先，阿森西奥中场拦截抢断后突入禁区左侧传中，J罗近距离破门
18'达尼洛右路拿球，慢慢悠悠横切，左脚抽射                   15'皇马第15分钟取得领先，阿森西奥中场拦截抢断后突入禁区左侧传中，J罗近距离破门
18'击中立柱弹回，被挡出底线！！                   15'皇马第15分钟取得领先，阿森西奥中场拦截抢断后突入禁区左侧传中，J罗近距离破门
