4'裁判将桑德兰的布朗直接红牌罚下.                   4'第4分钟，前曼联中卫布朗禁区弧内铲倒单刀突破的隆格被红牌直接罚下
5'射门!!!胡尔城球员霍德斯通大禁区外右脚射门,被对方守门员横身扑出.                   4'第4分钟，前曼联中卫布朗禁区弧内铲倒单刀突破的隆格被红牌直接罚下
6'胡尔城球员梅勒拼抢犯规,对手获得控球权.                   4'第4分钟，前曼联中卫布朗禁区弧内铲倒单刀突破的隆格被红牌直接罚下
6'巴德兹利为桑德兰赢得一个任意球.                   4'第4分钟，前曼联中卫布朗禁区弧内铲倒单刀突破的隆格被红牌直接罚下
7'胡尔城球员罗塞尼奥尔拼抢犯规,对手获得控球权.                   4'第4分钟，前曼联中卫布朗禁区弧内铲倒单刀突破的隆格被红牌直接罚下
7'博里尼为桑德兰赢得一个任意球.                   4'第4分钟，前曼联中卫布朗禁区弧内铲倒单刀突破的隆格被红牌直接罚下
31'胡尔城球员朗大禁区外左脚射门,命中门柱横梁.给他传球的是利维摩尔.                   31'隆格第31分钟远射打中左侧立柱
32'射门!!!胡尔城球员耶拉维奇大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是梅勒.                   31'隆格第31分钟远射打中左侧立柱
32'桑德兰球员约翰逊大禁区右侧右脚射门,被防守球员封堵.给他传球的是Liam Bridcutt.                   31'隆格第31分钟远射打中左侧立柱
33'桑德兰球员约翰逊拼抢犯规,对手获得控球权.                   31'隆格第31分钟远射打中左侧立柱
33'菲格罗亚为胡尔城赢得一个任意球.                   31'隆格第31分钟远射打中左侧立柱
62'桑德兰球员Santiago Vergini拼抢犯规,对手获得控球权.                   62'第62分钟，菲格罗亚左路远射被封堵，冬窗650万镑新援耶拉维奇10码处头球攻门入网
62'朗为胡尔城赢得一个任意球.                   62'第62分钟，菲格罗亚左路远射被封堵，冬窗650万镑新援耶拉维奇10码处头球攻门入网
62'胡尔城球员菲格罗亚大禁区外左脚射门,被防守球员封堵.给他传球的是霍德斯通.                   62'第62分钟，菲格罗亚左路远射被封堵，冬窗650万镑新援耶拉维奇10码处头球攻门入网
62'进球啦！！！胡尔城球员耶拉维奇大禁区中央头球,球从右上角飞进球门,球进了! 桑德兰 0-2 胡尔城.                   62'第62分钟，菲格罗亚左路远射被封堵，冬窗650万镑新援耶拉维奇10码处头球攻门入网
64'Santiago Vergini为桑德兰赢得一个任意球.                   62'第62分钟，菲格罗亚左路远射被封堵，冬窗650万镑新援耶拉维奇10码处头球攻门入网
64'胡尔城球员朗拼抢犯规,对手获得控球权.                   62'第62分钟，菲格罗亚左路远射被封堵，冬窗650万镑新援耶拉维奇10码处头球攻门入网
