1'上半场比赛开始                   1'第1分钟，瓦伦西亚在禁区角上射门没有打上力量，皮球 被杨智没收
1'首先由身穿绿衣绿裤的国安开球                   1'第1分钟，瓦伦西亚在禁区角上射门没有打上力量，皮球 被杨智没收
1'国安中场传球失误，泰达的反击                   1'第1分钟，瓦伦西亚在禁区角上射门没有打上力量，皮球 被杨智没收
2'瓦伦西亚前场拿球，进入禁区，稍有犹豫，趟球过大，被杨智拿到                   1'第1分钟，瓦伦西亚在禁区角上射门没有打上力量，皮球 被杨智没收
2'格隆前场拿球，面对泰达两人的围抢，强突球丢啦                   1'第1分钟，瓦伦西亚在禁区角上射门没有打上力量，皮球 被杨智没收
2'开局来看，双方没有要收的意思啊，都攻的很主动                   1'第1分钟，瓦伦西亚在禁区角上射门没有打上力量，皮球 被杨智没收
3'泰达前场进攻，帕尔塔鲁和瓦伦西亚的配合，默契不足啊                   1'第1分钟，瓦伦西亚在禁区角上射门没有打上力量，皮球 被杨智没收
3'不过周海滨不示弱，前场抢断，直接来脚远射                   1'第1分钟，瓦伦西亚在禁区角上射门没有打上力量，皮球 被杨智没收
4'球打在上来封堵的国安球员身上弹回                   1'第1分钟，瓦伦西亚在禁区角上射门没有打上力量，皮球 被杨智没收
6'格隆前场背身拿球，李玮峰身后上抢被吹犯规                   6'第6分钟，在李玮峰防守下格隆倒地，他躺在地上有一个多余的蹬腿动作，双方几乎形成冲突
6'李玮峰和格隆为这次争抢发生了点小摩擦                   6'第6分钟，在李玮峰防守下格隆倒地，他躺在地上有一个多余的蹬腿动作，双方几乎形成冲突
6'好在裁判和队友上来及时，将双方拉开                   6'第6分钟，在李玮峰防守下格隆倒地，他躺在地上有一个多余的蹬腿动作，双方几乎形成冲突
7'张稀哲前场中路拿球，准备直塞，被泰达球员挡出                   6'第6分钟，在李玮峰防守下格隆倒地，他躺在地上有一个多余的蹬腿动作，双方几乎形成冲突
7'李本舰的中场过顶长传，力量稍大，直接到了杨智的控制区                   6'第6分钟，在李玮峰防守下格隆倒地，他躺在地上有一个多余的蹬腿动作，双方几乎形成冲突
7'乌塔卡前场和周挺的配合，李玮峰一个滑铲，将球铲出边线                   6'第6分钟，在李玮峰防守下格隆倒地，他躺在地上有一个多余的蹬腿动作，双方几乎形成冲突
8'今天这火爆程度，从场上队员的火爆踢法一目了然啊                   6'第6分钟，在李玮峰防守下格隆倒地，他躺在地上有一个多余的蹬腿动作，双方几乎形成冲突
8'张辛昕左路拿球，强突时被白岳峰将球怕破坏出边线                   6'第6分钟，在李玮峰防守下格隆倒地，他躺在地上有一个多余的蹬腿动作，双方几乎形成冲突
9'杨运中前场拿球，安德烈齐尼奥的身后上抢犯规                   6'第6分钟，在李玮峰防守下格隆倒地，他躺在地上有一个多余的蹬腿动作，双方几乎形成冲突
9'国安获得前场的任意球机会                   6'第6分钟，在李玮峰防守下格隆倒地，他躺在地上有一个多余的蹬腿动作，双方几乎形成冲突
9'徐云龙任意球斜传禁区，张稀哲头球后蹭                   6'第6分钟，在李玮峰防守下格隆倒地，他躺在地上有一个多余的蹬腿动作，双方几乎形成冲突
9'格隆插上垫射，宗磊出击干扰，前者将球垫飞                   6'第6分钟，在李玮峰防守下格隆倒地，他躺在地上有一个多余的蹬腿动作，双方几乎形成冲突
12'泰达中场的抢断，白岳峰右路强突后的吊门，直接出了底线                   12'第12分钟，帕尔塔鲁放倒格隆，邵佳一主罚禁区角上的任意球， 皮球被曹阳在第一点顶出
12'格隆前场右路拿球，帕尔塔鲁回防中身后拉人犯规                   12'第12分钟，帕尔塔鲁放倒格隆，邵佳一主罚禁区角上的任意球， 皮球被曹阳在第一点顶出
12'送给国安一个位置不错的任意球机会                   12'第12分钟，帕尔塔鲁放倒格隆，邵佳一主罚禁区角上的任意球， 皮球被曹阳在第一点顶出
13'在大禁区右上角的位置，邵佳一主罚                   12'第12分钟，帕尔塔鲁放倒格隆，邵佳一主罚禁区角上的任意球， 皮球被曹阳在第一点顶出
13'邵佳一任意球斜传禁区，第一点被泰达球员解围                   12'第12分钟，帕尔塔鲁放倒格隆，邵佳一主罚禁区角上的任意球， 皮球被曹阳在第一点顶出
13'接着国安再传过顶找乌塔卡，边裁举旗                   12'第12分钟，帕尔塔鲁放倒格隆，邵佳一主罚禁区角上的任意球， 皮球被曹阳在第一点顶出
13'乌塔卡越位在先，球权还给泰达                   12'第12分钟，帕尔塔鲁放倒格隆，邵佳一主罚禁区角上的任意球， 皮球被曹阳在第一点顶出
14'国安后场的过顶长传，利马在格隆之前头球回顶给到宗磊                   12'第12分钟，帕尔塔鲁放倒格隆，邵佳一主罚禁区角上的任意球， 皮球被曹阳在第一点顶出
15'格隆右路拿球，强突时趟球出边线                   12'第12分钟，帕尔塔鲁放倒格隆，邵佳一主罚禁区角上的任意球， 皮球被曹阳在第一点顶出
15'安德烈齐尼奥中圈拿球，张辛昕的防守拉人犯规                   12'第12分钟，帕尔塔鲁放倒格隆，邵佳一主罚禁区角上的任意球， 皮球被曹阳在第一点顶出
15'王新欣前场拿球，回传给到帕尔塔鲁                   12'第12分钟，帕尔塔鲁放倒格隆，邵佳一主罚禁区角上的任意球， 皮球被曹阳在第一点顶出
18'曹阳左路的过顶长传给到前插的安德烈齐尼奥                   18'第18分钟，“烈鸟”安德烈奇尼 奥在左路连续过人，最后沿底线往里抹时摔倒，主裁判未予理会
18'安德烈齐尼奥左路拿球，面对杨运，一个穿裆底线内切                   18'第18分钟，“烈鸟”安德烈奇尼 奥在左路连续过人，最后沿底线往里抹时摔倒，主裁判未予理会
19'两人相撞后安德烈齐尼奥倒地，裁判没有表示                   18'第18分钟，“烈鸟”安德烈奇尼 奥在左路连续过人，最后沿底线往里抹时摔倒，主裁判未予理会
19'国安的球权反击，邵佳一前场强突也摔倒了，裁判也是无表示                   18'第18分钟，“烈鸟”安德烈奇尼 奥在左路连续过人，最后沿底线往里抹时摔倒，主裁判未予理会
20'李本舰前场拿球，左路横切，直塞给到安德烈齐尼奥                   18'第18分钟，“烈鸟”安德烈奇尼 奥在左路连续过人，最后沿底线往里抹时摔倒，主裁判未予理会
20'安德烈齐尼奥禁区弧顶分左侧给王新欣                   18'第18分钟，“烈鸟”安德烈奇尼 奥在左路连续过人，最后沿底线往里抹时摔倒，主裁判未予理会
20'王新欣稍作调整，直接起左脚抽射，打偏                   18'第18分钟，“烈鸟”安德烈奇尼 奥在左路连续过人，最后沿底线往里抹时摔倒，主裁判未予理会
21'利马后场过顶斜传给到安德烈齐尼奥                   18'第18分钟，“烈鸟”安德烈奇尼 奥在左路连续过人，最后沿底线往里抹时摔倒，主裁判未予理会
20'李本舰前场拿球，左路横切，直塞给到安德烈齐尼奥                   20'第20分钟，天津队中路连续配合，王新欣禁区前沿射门打偏
20'安德烈齐尼奥禁区弧顶分左侧给王新欣                   20'第20分钟，天津队中路连续配合，王新欣禁区前沿射门打偏
20'王新欣稍作调整，直接起左脚抽射，打偏                   20'第20分钟，天津队中路连续配合，王新欣禁区前沿射门打偏
21'利马后场过顶斜传给到安德烈齐尼奥                   20'第20分钟，天津队中路连续配合，王新欣禁区前沿射门打偏
22'安德烈齐尼奥头球摆渡找前插的白岳峰                   20'第20分钟，天津队中路连续配合，王新欣禁区前沿射门打偏
22'杨运及时回防将球拦截，大脚解围                   20'第20分钟，天津队中路连续配合，王新欣禁区前沿射门打偏
22'泰达的前场进攻，赢得左侧角球机会                   20'第20分钟，天津队中路连续配合，王新欣禁区前沿射门打偏
22'安德烈齐尼奥主罚，开到前点，被国安球员解围                   20'第20分钟，天津队中路连续配合，王新欣禁区前沿射门打偏
23'安德烈齐尼奥左路拿球再传，利马头球                   20'第20分钟，天津队中路连续配合，王新欣禁区前沿射门打偏
28'任意球距离球门32米，安德烈齐尼奥主罚                   28'第28分钟，邵佳一踢倒断球的 李本舰，烈鸟32米开外任意球被人墙一蹭，杨智双拳将球击出
28'安德烈齐尼奥任意球直接攻门，杨智门线上将球打出                   28'第28分钟，邵佳一踢倒断球的 李本舰，烈鸟32米开外任意球被人墙一蹭，杨智双拳将球击出
29'泰达后场控球，面对逼抢倒脚寻求进攻机会                   28'第28分钟，邵佳一踢倒断球的 李本舰，烈鸟32米开外任意球被人墙一蹭，杨智双拳将球击出
29'泰达中线位置的过顶长传找瓦伦西亚                   28'第28分钟，邵佳一踢倒断球的 李本舰，烈鸟32米开外任意球被人墙一蹭，杨智双拳将球击出
30'差点单刀啊，好在杨智出击及时，在大禁区线上将球收入怀中                   28'第28分钟，邵佳一踢倒断球的 李本舰，烈鸟32米开外任意球被人墙一蹭，杨智双拳将球击出
30'国安右路的进攻，赢得任意球机会                   28'第28分钟，邵佳一踢倒断球的 李本舰，烈鸟32米开外任意球被人墙一蹭，杨智双拳将球击出
30'周挺任意球斜传禁区，第一点被泰达球员解围                   28'第28分钟，邵佳一踢倒断球的 李本舰，烈鸟32米开外任意球被人墙一蹭，杨智双拳将球击出
31'泰达的反击，瓦伦西亚被回防的国安球员放倒在地                   28'第28分钟，邵佳一踢倒断球的 李本舰，烈鸟32米开外任意球被人墙一蹭，杨智双拳将球击出
31'郎征的正面放铲，很凶狠啊                   28'第28分钟，邵佳一踢倒断球的 李本舰，烈鸟32米开外任意球被人墙一蹭，杨智双拳将球击出
31'上半场32分钟了，比分还是0-0                   28'第28分钟，邵佳一踢倒断球的 李本舰，烈鸟32米开外任意球被人墙一蹭，杨智双拳将球击出
33'天津队门前连续的三脚打门，混战中瓦伦西亚左脚怒射直接得分                   33'第33分钟，瓦伦西亚右路利用速度摆脱徐云龙下底传中，国安队禁区内 一片慌乱，周海滨外围抽射，烈鸟脚后跟一磕被杨智挡出，帕尔塔鲁跟上再射杨智再次挡出，但瓦伦西亚眼疾脚 快左脚爆射将球打入网底
35'泰达右路进攻，王新欣禁区右侧横传，周海滨的传球，安德烈齐尼奥脚后跟弹射被杨智封堵，帕尔塔鲁跟上再打被杨智再封，瓦伦西亚跟上直接左脚抽射得分                   33'第33分钟，瓦伦西亚右路利用速度摆脱徐云龙下底传中，国安队禁区内 一片慌乱，周海滨外围抽射，烈鸟脚后跟一磕被杨智挡出，帕尔塔鲁跟上再射杨智再次挡出，但瓦伦西亚眼疾脚 快左脚爆射将球打入网底
35'国安的前场进攻，格隆拿球强突                   33'第33分钟，瓦伦西亚右路利用速度摆脱徐云龙下底传中，国安队禁区内 一片慌乱，周海滨外围抽射，烈鸟脚后跟一磕被杨智挡出，帕尔塔鲁跟上再射杨智再次挡出，但瓦伦西亚眼疾脚 快左脚爆射将球打入网底
35'球出底线前回传门前，邵佳一的跟上打门踢偏                   33'第33分钟，瓦伦西亚右路利用速度摆脱徐云龙下底传中，国安队禁区内 一片慌乱，周海滨外围抽射，烈鸟脚后跟一磕被杨智挡出，帕尔塔鲁跟上再射杨智再次挡出，但瓦伦西亚眼疾脚 快左脚爆射将球打入网底
36'周海滨中场的过顶球找王新欣，张辛昕将球破坏出边线                   33'第33分钟，瓦伦西亚右路利用速度摆脱徐云龙下底传中，国安队禁区内 一片慌乱，周海滨外围抽射，烈鸟脚后跟一磕被杨智挡出，帕尔塔鲁跟上再射杨智再次挡出，但瓦伦西亚眼疾脚 快左脚爆射将球打入网底
35'泰达右路进攻，王新欣禁区右侧横传，周海滨的传球，安德烈齐尼奥脚后跟弹射被杨智封堵，帕尔塔鲁跟上再打被杨智再封，瓦伦西亚跟上直接左脚抽射得分                   35'第35分钟，格隆利用速度高速突到底线倒三角回传，皮球被后卫挡了一下之后邵佳一右脚 凌空射门打高
35'国安的前场进攻，格隆拿球强突                   35'第35分钟，格隆利用速度高速突到底线倒三角回传，皮球被后卫挡了一下之后邵佳一右脚 凌空射门打高
35'球出底线前回传门前，邵佳一的跟上打门踢偏                   35'第35分钟，格隆利用速度高速突到底线倒三角回传，皮球被后卫挡了一下之后邵佳一右脚 凌空射门打高
36'周海滨中场的过顶球找王新欣，张辛昕将球破坏出边线                   35'第35分钟，格隆利用速度高速突到底线倒三角回传，皮球被后卫挡了一下之后邵佳一右脚 凌空射门打高
37'帕尔塔鲁的界外球直接扔到禁区找瓦伦西亚，徐云龙力压瓦伦西亚将球顶出底线                   35'第35分钟，格隆利用速度高速突到底线倒三角回传，皮球被后卫挡了一下之后邵佳一右脚 凌空射门打高
37'泰达获得右侧角球机会，安德烈齐尼奥主罚                   35'第35分钟，格隆利用速度高速突到底线倒三角回传，皮球被后卫挡了一下之后邵佳一右脚 凌空射门打高
37'泰达任意球开出到后点，杨智出击将球拿到                   35'第35分钟，格隆利用速度高速突到底线倒三角回传，皮球被后卫挡了一下之后邵佳一右脚 凌空射门打高
38'李玮峰争抢这个落点时自己也是重重的摔倒在地上                   35'第35分钟，格隆利用速度高速突到底线倒三角回传，皮球被后卫挡了一下之后邵佳一右脚 凌空射门打高
40'泰达的前场进攻再次赢的任意球机会                   40'第40分钟， 烈鸟任意球发到后点被后卫顶出，王新欣禁区外直接凌空大力轰门再次被后卫顶出
40'距离球门38米，在右边路                   40'第40分钟， 烈鸟任意球发到后点被后卫顶出，王新欣禁区外直接凌空大力轰门再次被后卫顶出
40'安德烈齐尼奥任意球斜传禁区，国安的解围                   40'第40分钟， 烈鸟任意球发到后点被后卫顶出，王新欣禁区外直接凌空大力轰门再次被后卫顶出
41'马季奇拿球，直塞给到格隆                   40'第40分钟， 烈鸟任意球发到后点被后卫顶出，王新欣禁区外直接凌空大力轰门再次被后卫顶出
41'格隆边路拿球，人球分过，力量稍大，被回防的曹阳控制                   40'第40分钟， 烈鸟任意球发到后点被后卫顶出，王新欣禁区外直接凌空大力轰门再次被后卫顶出
42'李玮峰前场拿球，面对逼抢，回传利马重新组织                   40'第40分钟， 烈鸟任意球发到后点被后卫顶出，王新欣禁区外直接凌空大力轰门再次被后卫顶出
42'泰达本场比赛获胜奖金翻翻，400万啊                   40'第40分钟， 烈鸟任意球发到后点被后卫顶出，王新欣禁区外直接凌空大力轰门再次被后卫顶出
43'邵佳一前场拿球，禁区外带球强突下底传中，可惜直接传出了底线                   40'第40分钟， 烈鸟任意球发到后点被后卫顶出，王新欣禁区外直接凌空大力轰门再次被后卫顶出
43'上半场已经接近尾声，比分1-0，主队泰达领先                   40'第40分钟， 烈鸟任意球发到后点被后卫顶出，王新欣禁区外直接凌空大力轰门再次被后卫顶出
44'国安前场右路的传球，第一点被泰达球员解围                   44'第44分钟，格隆接长传杀入禁区 ，宗垒及时出击准确地扑救将球摁在身下
45'泰达后场抢断反击，瓦伦西亚左路拿球单挑徐云龙                   44'第44分钟，格隆接长传杀入禁区 ，宗垒及时出击准确地扑救将球摁在身下
45'徐云龙后退中和回防的队友形成夹击，瓦伦西亚只能将球回传                   44'第44分钟，格隆接长传杀入禁区 ，宗垒及时出击准确地扑救将球摁在身下
45'曹阳左路的传中，帕尔塔鲁没能顶到                   44'第44分钟，格隆接长传杀入禁区 ，宗垒及时出击准确地扑救将球摁在身下
45'国安的反击，后场过顶长传，格隆前插接应                   44'第44分钟，格隆接长传杀入禁区 ，宗垒及时出击准确地扑救将球摁在身下
46'宗磊出击，在格隆脚下，将球收入自己怀中                   44'第44分钟，格隆接长传杀入禁区 ，宗垒及时出击准确地扑救将球摁在身下
46'上半场补时1分钟                   44'第44分钟，格隆接长传杀入禁区 ，宗垒及时出击准确地扑救将球摁在身下
46'邵佳一右路拿球强突，面对利马的防守，趟球出了边线                   44'第44分钟，格隆接长传杀入禁区 ，宗垒及时出击准确地扑救将球摁在身下
47'格隆左路和张辛昕的配合，可惜后者直传被白岳峰挡出了边线                   44'第44分钟，格隆接长传杀入禁区 ，宗垒及时出击准确地扑救将球摁在身下
46'下半场比赛开始                   44'第44分钟，格隆接长传杀入禁区 ，宗垒及时出击准确地扑救将球摁在身下
46'身穿白衣白裤的泰达开球，从右向左进攻                   44'第44分钟，格隆接长传杀入禁区 ，宗垒及时出击准确地扑救将球摁在身下
46'国安左路的进攻，张辛昕的斜传球到门前                   44'第44分钟，格隆接长传杀入禁区 ，宗垒及时出击准确地扑救将球摁在身下
47'格隆的插上倒地捅射，宗磊出击将球收入怀中                   44'第44分钟，格隆接长传杀入禁区 ，宗垒及时出击准确地扑救将球摁在身下
47'格隆中线位置身后上抢，踢倒了李玮峰                   44'第44分钟，格隆接长传杀入禁区 ，宗垒及时出击准确地扑救将球摁在身下
46'宗磊出击，在格隆脚下，将球收入自己怀中                   46'第46分钟，格隆接斜长传头球往后一蹭，乌塔卡抢点铲射被宗垒没收
