4'张琳芃左路拿球，尤里回防放铲，球最后碰到张琳芃出边线                   4'第4分钟，人和左路传中引出威胁攻势，尤里头球攻门稍稍偏出
5'哎呀，人和的好机会啊                   4'第4分钟，人和左路传中引出威胁攻势，尤里头球攻门稍稍偏出
5'人和左路传中到禁区，尤里的甩头攻门，顶偏了一点点                   4'第4分钟，人和左路传中引出威胁攻势，尤里头球攻门稍稍偏出
6'开场几分钟来看，人和的准备很充足，进攻上也很有威胁啊                   4'第4分钟，人和左路传中引出威胁攻势，尤里头球攻门稍稍偏出
6'陈杰中场抢断，直塞打身后，可惜没有队友前插啊                   4'第4分钟，人和左路传中引出威胁攻势，尤里头球攻门稍稍偏出
6'埃尔克森右路拿球，内切后的横传，被人和球员拦截                   4'第4分钟，人和左路传中引出威胁攻势，尤里头球攻门稍稍偏出
7'人和的反击，可惜朱宝杰的分球，直接出了边线                   4'第4分钟，人和左路传中引出威胁攻势，尤里头球攻门稍稍偏出
7'桑托斯回撤中圈接应，金英权身后上抢，踢翻了桑托斯，犯规                   4'第4分钟，人和左路传中引出威胁攻势，尤里头球攻门稍稍偏出
7'人和获得中圈内的任意球机会，陈杰主罚                   4'第4分钟，人和左路传中引出威胁攻势，尤里头球攻门稍稍偏出
14'郑智遭遇夹击，回传想再给保利尼奥，直接出边线                   14'第14分钟，人和取得入球——人和中场右侧任意球长传恒大禁区，于睿与防守球员奋力争顶令皮球高高弹起，桑托斯凌空抽射破门
14'人和进球啦！！！                   14'第14分钟，人和取得入球——人和中场右侧任意球长传恒大禁区，于睿与防守球员奋力争顶令皮球高高弹起，桑托斯凌空抽射破门
14'桑托斯！！                   14'第14分钟，人和取得入球——人和中场右侧任意球长传恒大禁区，于睿与防守球员奋力争顶令皮球高高弹起，桑托斯凌空抽射破门
15'保利尼奥左路的防守，放倒尤里，给了人和任意球机会                   14'第14分钟，人和取得入球——人和中场右侧任意球长传恒大禁区，于睿与防守球员奋力争顶令皮球高高弹起，桑托斯凌空抽射破门
