31'鲁能泰山队进球啦！西塞！1-0                   31'第31分钟，蒿俊闵送出过顶球，西塞小角度爆射破门
32'王彤左路斜传禁区！西塞刷地插上，胸部停球！抬脚怒射！球进！                   31'第31分钟，蒿俊闵送出过顶球，西塞小角度爆射破门
32'中场贵州恒丰队断球，塔尔德利抢断回传                   31'第31分钟，蒿俊闵送出过顶球，西塞小角度爆射破门
32'耶拉维奇右路进攻！郑铮铲球，皮球打在耶拉维奇腿上出底线                   31'第31分钟，蒿俊闵送出过顶球，西塞小角度爆射破门
34'塔尔德利后场断球！左路直传球丢啦                   31'第31分钟，蒿俊闵送出过顶球，西塞小角度爆射破门
34'贵州恒丰队左路斜传禁区！被破坏出来                   31'第31分钟，蒿俊闵送出过顶球，西塞小角度爆射破门
87'贵州恒丰队进球啦！耶拉维奇！2-1                   87'第87分钟，王帆后点倒三角回传，耶拉维奇推射破门
87'贵州恒丰队左路斜传禁区！吉尔拉了奥伦加一把，球到右路，王帆横传球，耶拉维奇抢点打门球进！                   87'第87分钟，王帆后点倒三角回传，耶拉维奇推射破门
88'鲁能泰山队长传前场，对方回顶门王卓                   87'第87分钟，王帆后点倒三角回传，耶拉维奇推射破门
88'后场鲁能泰山队得球，分到左路                   87'第87分钟，王帆后点倒三角回传，耶拉维奇推射破门
89'蒿蒿俊闵左路挑传球，刘彬彬越位                   87'第87分钟，王帆后点倒三角回传，耶拉维奇推射破门
89'鲁能泰山队长传球到前场，王卓出击没收                   87'第87分钟，王帆后点倒三角回传，耶拉维奇推射破门
89'下半场要补时5分钟                   87'第87分钟，王帆后点倒三角回传，耶拉维奇推射破门
90'看鲁能泰山队能否再进一球！                   87'第87分钟，王帆后点倒三角回传，耶拉维奇推射破门
50'贵州恒丰队快速进攻，逼得角球机会                   50'第5分钟，山东鲁能获得角球机会，蒿俊闵弧线球传中，戴琳禁区内头球攻门稍稍高出横梁
50'战术角球发出来，切里右路传球，被吴兴涵挡出！                   50'第5分钟，山东鲁能获得角球机会，蒿俊闵弧线球传中，戴琳禁区内头球攻门稍稍高出横梁
50'角球发到禁区内，没有威胁！被破坏出来                   50'第5分钟，山东鲁能获得角球机会，蒿俊闵弧线球传中，戴琳禁区内头球攻门稍稍高出横梁
50'切里前场右路得球，横带突然打门，打在边网上                   50'第5分钟，山东鲁能获得角球机会，蒿俊闵弧线球传中，戴琳禁区内头球攻门稍稍高出横梁
51'王大雷大脚开球过中场，对方开回来                   50'第5分钟，山东鲁能获得角球机会，蒿俊闵弧线球传中，戴琳禁区内头球攻门稍稍高出横梁
51'切里右路突破，郑铮将球破坏                   50'第5分钟，山东鲁能获得角球机会，蒿俊闵弧线球传中，戴琳禁区内头球攻门稍稍高出横梁
52'球已经出界，塔尔德利到场边拿球扔出！吃到了黄牌                   50'第5分钟，山东鲁能获得角球机会，蒿俊闵弧线球传中，戴琳禁区内头球攻门稍稍高出横梁
53'中场王彤抢球犯规                   50'第5分钟，山东鲁能获得角球机会，蒿俊闵弧线球传中，戴琳禁区内头球攻门稍稍高出横梁
53'任意球发到禁区内，鲁能泰山队断球反击                   50'第5分钟，山东鲁能获得角球机会，蒿俊闵弧线球传中，戴琳禁区内头球攻门稍稍高出横梁
53'到中场又丢啦！                   50'第5分钟，山东鲁能获得角球机会，蒿俊闵弧线球传中，戴琳禁区内头球攻门稍稍高出横梁
53'下半场贵州恒丰队明显加强了进攻                   50'第5分钟，山东鲁能获得角球机会，蒿俊闵弧线球传中，戴琳禁区内头球攻门稍稍高出横梁
69'李松益上场，换下李海龙                   68'第23分钟，郑铮再次主罚任意球，吉尔后点头球攻门被门将没收
71'贵州恒丰队长传球到前场，塔尔德利抢断                   68'第23分钟，郑铮再次主罚任意球，吉尔后点头球攻门被门将没收
69'李松益上场，换下李海龙                   69'第24分钟，切里拿球内切，晃过一名防守队员后大力低射，造成王大雷扑球脱手，但王大雷第二反应极快，抢在补射球员之前将球没收
71'贵州恒丰队长传球到前场，塔尔德利抢断                   69'第24分钟，切里拿球内切，晃过一名防守队员后大力低射，造成王大雷扑球脱手，但王大雷第二反应极快，抢在补射球员之前将球没收
72'蒿俊闵左路带球突破传球，被闵俊麟破坏出边线                   69'第24分钟，切里拿球内切，晃过一名防守队员后大力低射，造成王大雷扑球脱手，但王大雷第二反应极快，抢在补射球员之前将球没收
77'贵州恒丰队长传球，王大雷出禁区大脚解围                   76'第31分钟，山东鲁能打破僵局，蒿俊闵送出过顶球撕开贵州智诚防线，西塞反越位成功停球后直面门将，小角度爆射打入上角，山东鲁能1-0领先
77'双方你来我往，节奏不快！                   76'第31分钟，山东鲁能打破僵局，蒿俊闵送出过顶球撕开贵州智诚防线，西塞反越位成功停球后直面门将，小角度爆射打入上角，山东鲁能1-0领先
77'贵州恒丰队进球啦！梁学铭！1-1                   76'第31分钟，山东鲁能打破僵局，蒿俊闵送出过顶球撕开贵州智诚防线，西塞反越位成功停球后直面门将，小角度爆射打入上角，山东鲁能1-0领先
78'神奇换人啊！                   76'第31分钟，山东鲁能打破僵局，蒿俊闵送出过顶球撕开贵州智诚防线，西塞反越位成功停球后直面门将，小角度爆射打入上角，山东鲁能1-0领先
78'吴兴涵后场失误！被断，王帆右路横传禁区！梁学铭打门球进！                   76'第31分钟，山东鲁能打破僵局，蒿俊闵送出过顶球撕开贵州智诚防线，西塞反越位成功停球后直面门将，小角度爆射打入上角，山东鲁能1-0领先
79'两名刚刚上场的队员配合把球打进！                   76'第31分钟，山东鲁能打破僵局，蒿俊闵送出过顶球撕开贵州智诚防线，西塞反越位成功停球后直面门将，小角度爆射打入上角，山东鲁能1-0领先
