1'上半场比赛开始！                   1'第1分钟，拜仁试图从边路打开缺口，贝尔纳特表现活跃
1'首先开球的是波尔图                   1'第1分钟，拜仁试图从边路打开缺口，贝尔纳特表现活跃
1'波尔图前场拿球被断                   1'第1分钟，拜仁试图从边路打开缺口，贝尔纳特表现活跃
2'埃克托-埃雷拉反抢的时候犯规                   1'第1分钟，拜仁试图从边路打开缺口，贝尔纳特表现活跃
2'拜仁长传转移到边路                   1'第1分钟，拜仁试图从边路打开缺口，贝尔纳特表现活跃
2'格策这边没有拿到                   1'第1分钟，拜仁试图从边路打开缺口，贝尔纳特表现活跃
2'拜仁禁区前沿挑传到里面                   1'第1分钟，拜仁试图从边路打开缺口，贝尔纳特表现活跃
2'乱战中，波尔图将球解围                   1'第1分钟，拜仁试图从边路打开缺口，贝尔纳特表现活跃
2'拜仁前场还在拿球，给到了右路                   1'第1分钟，拜仁试图从边路打开缺口，贝尔纳特表现活跃
2'拉姆右路拿球选择了回敲                   1'第1分钟，拜仁试图从边路打开缺口，贝尔纳特表现活跃
3'波尔图断球后尝试打反击                   1'第1分钟，拜仁试图从边路打开缺口，贝尔纳特表现活跃
3'往右路转移的时候传大了                   1'第1分钟，拜仁试图从边路打开缺口，贝尔纳特表现活跃
3'卡塞米罗后场滑铲的时候手球了                   1'第1分钟，拜仁试图从边路打开缺口，贝尔纳特表现活跃
3'拜仁这边任意球快发                   1'第1分钟，拜仁试图从边路打开缺口，贝尔纳特表现活跃
4'右路下底传中到了禁区内                   1'第1分钟，拜仁试图从边路打开缺口，贝尔纳特表现活跃
4'这球没有什么威胁，法比亚诺将球拿到                   1'第1分钟，拜仁试图从边路打开缺口，贝尔纳特表现活跃
14'拜仁进球了！！                   14'拜仁第14分钟取得领先
14'蒂亚戈！！                   14'拜仁第14分钟取得领先
15'拜仁左路起球送禁区内，蒂亚戈前点头槌攻门顶近角将球打进，这球顶的很有力量！                   14'拜仁第14分钟取得领先
16'波尔图中场附近获得任意球                   14'拜仁第14分钟取得领先
16'任意球打禁区内，拜仁这边冒顶了                   14'拜仁第14分钟取得领先
16'但波尔图这边抢点的人并不多                   14'拜仁第14分钟取得领先
