9'罗本内切交给莱万多夫斯基回给罗德                   9'第9分钟，罗本左路挑传，罗德前插距门8米处左脚半凌空推射被哈特扑出
9'罗德斜传门前，莱万多夫斯基后插上一脚捅射被乔哈特用身体封堵出来                   9'第9分钟，罗本左路挑传，罗德前插距门8米处左脚半凌空推射被哈特扑出
10'拜仁尽管非全力出战但已经足够将比赛主动权控制在自己脚下                   9'第9分钟，罗本左路挑传，罗德前插距门8米处左脚半凌空推射被哈特扑出
10'拉菲尼亚右路套上，交给罗本，罗本再送过顶被曼加拉顶出来                   9'第9分钟，罗本左路挑传，罗德前插距门8米处左脚半凌空推射被哈特扑出
11'中场是抢不过，罗本又来了，调整一下突然一脚低射打近角，球稍稍偏出左立柱                   9'第9分钟，罗本左路挑传，罗德前插距门8米处左脚半凌空推射被哈特扑出
12'费尔南迪奥长传对方禁区前沿，阿圭罗去争顶，争不过呀                   9'第9分钟，罗本左路挑传，罗德前插距门8米处左脚半凌空推射被哈特扑出
12'罗本回接交给拉菲尼亚                   9'第9分钟，罗本左路挑传，罗德前插距门8米处左脚半凌空推射被哈特扑出
12'莱万多夫斯基中路过渡分到左路的贝尔纳特                   9'第9分钟，罗本左路挑传，罗德前插距门8米处左脚半凌空推射被哈特扑出
80'拜仁换人，31号小猪施魏因斯泰格替下了7号里贝里                   80'第35分钟，纳瓦斯回做，兰帕德重炮偏出左门角
81'这样小猪在本赛季欧冠首次亮相                   80'第35分钟，纳瓦斯回做，兰帕德重炮偏出左门角
81'阿圭罗前场接球转身送后卫身后，兰帕德越位                   80'第35分钟，纳瓦斯回做，兰帕德重炮偏出左门角
83'曼城在中场不断倒脚，孔帕尼也压过半场                   80'第35分钟，纳瓦斯回做，兰帕德重炮偏出左门角
83'曼城缺乏一个能突破的点                   80'第35分钟，纳瓦斯回做，兰帕德重炮偏出左门角
90'纳瓦斯右路的直塞没有塞过去                   90'拜仁第45分钟反超比分
91'下半场补时3分钟                   90'拜仁第45分钟反超比分
91'阿圭罗禁区前沿断球，再进一球，反超了                   90'拜仁第45分钟反超比分
91'阿圭罗上演帽子戏法！！！                   90'拜仁第45分钟反超比分
92'萨巴莱塔右路长传到禁区前沿，约维蒂奇头球摆渡下来，博阿滕解围慢了，阿圭罗上抢成功面对诺伊尔闪身推射球门右下角成功                   90'拜仁第45分钟反超比分
92'阿圭罗因为庆祝太过激动吃到黄牌                   90'拜仁第45分钟反超比分
93'不过暂时不管这些了，曼城看到了全取三分的希望                   90'拜仁第45分钟反超比分
93'这几分钟是风云突变                   90'拜仁第45分钟反超比分
50'萨尼亚右路的挑传，纳瓦斯越位                   50'下半时开始5分钟，纳斯里直传禁区右侧，纳瓦斯在门前9米处小角度低射被诺伊尔封出底线
50'纳斯里中场背身接球转身送直传                   50'下半时开始5分钟，纳斯里直传禁区右侧，纳瓦斯在门前9米处小角度低射被诺伊尔封出底线
51'纳瓦斯插上禁区右侧打门被诺伊尔封堵出底线                   50'下半时开始5分钟，纳斯里直传禁区右侧，纳瓦斯在门前9米处小角度低射被诺伊尔封出底线
51'纳斯里角球发到禁区，丹特一头顶出禁区                   50'下半时开始5分钟，纳斯里直传禁区右侧，纳瓦斯在门前9米处小角度低射被诺伊尔封出底线
51'纳斯里禁区右侧下底传中，莱万多夫斯基回防胸部断球                   50'下半时开始5分钟，纳斯里直传禁区右侧，纳瓦斯在门前9米处小角度低射被诺伊尔封出底线
52'纳斯里左路也有机会，进了禁区回给兰帕德                   50'下半时开始5分钟，纳斯里直传禁区右侧，纳瓦斯在门前9米处小角度低射被诺伊尔封出底线
52'兰帕德马上敲给禁区左犄角上的米尔纳                   50'下半时开始5分钟，纳斯里直传禁区右侧，纳瓦斯在门前9米处小角度低射被诺伊尔封出底线
