22'马罗内为萨索洛赢得一个任意球.                   20'第20分钟，科斯塔开出任意球，波齐小禁区左侧头球破门
22'桑普多利亚球员科斯蒂奇拼抢犯规,对手获得控球权.                   20'第20分钟，科斯塔开出任意球，波齐小禁区左侧头球破门
22'射门!!!萨索洛球员马纳内利大禁区外右脚射门,被对方守门员横身扑出.                   20'第20分钟，科斯塔开出任意球，波齐小禁区左侧头球破门
23'桑普多利亚球员根佐格洛大禁区外右脚射门,被防守球员封堵.                   20'第20分钟，科斯塔开出任意球，波齐小禁区左侧头球破门
49'进球啦！！！萨索洛球员贝拉尔迪大禁区中央左脚射门,球从右下角飞进球门,球进了!助攻的是隆吉. 桑普多利亚 1-1 萨索洛.                   49'第49分钟，隆吉左路传中，贝拉尔迪左脚推射扳平
51'桑普多利亚球员安德烈-科斯塔犯规,致使对方获得点球.                   49'第49分钟，隆吉左路传中，贝拉尔迪左脚推射扳平
51'点球,贝拉尔迪在禁区内被侵犯,萨索洛获得点球.                   49'第49分钟，隆吉左路传中，贝拉尔迪左脚推射扳平
51'桑普多利亚球员安德烈-科斯塔因为恶意犯规,被裁判直接红牌罚下.                   49'第49分钟，隆吉左路传中，贝拉尔迪左脚推射扳平
52'进球啦！！！萨索洛球员贝拉尔迪左脚射门,球从右下角飞进球门,球进了! 桑普多利亚 1-2 萨索洛.                   49'第49分钟，隆吉左路传中，贝拉尔迪左脚推射扳平
63'进球啦！！！萨索洛球员弗洛雷斯大禁区中央右脚射门,球从左上角飞进球门,球进了! 桑普多利亚 1-3 萨索洛.                   63'第63分钟，弗洛雷斯精准射门入左下角，3比1
64'萨索洛换人,米西罗利换下马苏西                   63'第63分钟，弗洛雷斯精准射门入左下角，3比1
65'进球啦！！！桑普多利亚球员埃德尔球门线跟前右脚射门,球从中路飞进球门,球进了!助攻的是波齐. 桑普多利亚 2-3 萨索洛.                   63'第63分钟，弗洛雷斯精准射门入左下角，3比1
65'桑普多利亚球员波齐拼抢犯规,对手获得控球权.                   63'第63分钟，弗洛雷斯精准射门入左下角，3比1
65'阿切尔比为萨索洛赢得一个任意球.                   63'第63分钟，弗洛雷斯精准射门入左下角，3比1
66'桑普多利亚换人,索里亚诺换下科斯蒂奇                   63'第63分钟，弗洛雷斯精准射门入左下角，3比1
81'桑普多利亚球员德西尔维斯特里球门线跟前头球,命中门柱横梁.给他传球的是沃佐雷克.                   81'第81分钟，埃德尔左侧开出角球，德西尔维斯特里头球击中横梁后左脚补进，3比3
81'进球啦！！！桑普多利亚球员德西尔维斯特里球门线跟前左脚射门,球从中路飞进球门,球进了! 桑普多利亚 3-3 萨索洛.                   81'第81分钟，埃德尔左侧开出角球，德西尔维斯特里头球击中横梁后左脚补进，3比3
82'桑普多利亚球员索里亚诺拼抢犯规,对手获得控球权.                   81'第81分钟，埃德尔左侧开出角球，德西尔维斯特里头球击中横梁后左脚补进，3比3
82'马罗内为萨索洛在对方半场,赢得一个任意球.                   81'第81分钟，埃德尔左侧开出角球，德西尔维斯特里头球击中横梁后左脚补进，3比3
83'桑普多利亚球员佩塔尼亚拼抢犯规,对手获得控球权.                   81'第81分钟，埃德尔左侧开出角球，德西尔维斯特里头球击中横梁后左脚补进，3比3
83'比安科为萨索洛赢得一个任意球.                   81'第81分钟，埃德尔左侧开出角球，德西尔维斯特里头球击中横梁后左脚补进，3比3
84'埃德尔为桑普多利亚在左路,赢得一个任意球.                   81'第81分钟，埃德尔左侧开出角球，德西尔维斯特里头球击中横梁后左脚补进，3比3
84'萨索洛球员安泰拼抢犯规,对手获得控球权.                   81'第81分钟，埃德尔左侧开出角球，德西尔维斯特里头球击中横梁后左脚补进，3比3
