1'上半场开始了，纽卡率先开球                   1'切尔西第1分钟占据主动，马蒂奇任意球混战中禁区边缘外射门稍稍偏出
1'纽卡从画面左侧向右侧进攻，切尔西反之                   1'切尔西第1分钟占据主动，马蒂奇任意球混战中禁区边缘外射门稍稍偏出
1'纽卡一路向后，给到门将埃利奥特                   1'切尔西第1分钟占据主动，马蒂奇任意球混战中禁区边缘外射门稍稍偏出
1'科斯塔箭步疾驰拼抢积极，埃利奥特大脚给出                   1'切尔西第1分钟占据主动，马蒂奇任意球混战中禁区边缘外射门稍稍偏出
2'米神中场头球回点给蒂奥特                   1'切尔西第1分钟占据主动，马蒂奇任意球混战中禁区边缘外射门稍稍偏出
2'裁判哨响，米神争顶犯规                   1'切尔西第1分钟占据主动，马蒂奇任意球混战中禁区边缘外射门稍稍偏出
2'科斯塔带上面具，训练中鼻梁骨折，保护一下                   1'切尔西第1分钟占据主动，马蒂奇任意球混战中禁区边缘外射门稍稍偏出
3'小法大脚送出定位球，禁区内纽卡解围不利索啊                   1'切尔西第1分钟占据主动，马蒂奇任意球混战中禁区边缘外射门稍稍偏出
3'马蒂奇外围来一脚，踢偏了                   1'切尔西第1分钟占据主动，马蒂奇任意球混战中禁区边缘外射门稍稍偏出
3'特里回敲库尔图瓦，切尔西控制节奏                   1'切尔西第1分钟占据主动，马蒂奇任意球混战中禁区边缘外射门稍稍偏出
3'库尔图瓦长传发动进攻                   1'切尔西第1分钟占据主动，马蒂奇任意球混战中禁区边缘外射门稍稍偏出
3'科斯塔拉拽犯规                   1'切尔西第1分钟占据主动，马蒂奇任意球混战中禁区边缘外射门稍稍偏出
4'阿伦斯回给科洛奇尼                   1'切尔西第1分钟占据主动，马蒂奇任意球混战中禁区边缘外射门稍稍偏出
4'纽卡后场传递要丢，蒂奥特犯规了                   1'切尔西第1分钟占据主动，马蒂奇任意球混战中禁区边缘外射门稍稍偏出
4'切尔西右路任意球给入禁区，没有造成威胁                   1'切尔西第1分钟占据主动，马蒂奇任意球混战中禁区边缘外射门稍稍偏出
9'谢尔维来主罚                   9'第9分钟，阿伦斯横传扬马特被佩德罗拦截，前巴萨边锋禁区边缘外单刀射出反弹球入左下角，2-0
9'球速非常快，但线路比较低，前点被解围                   9'第9分钟，阿伦斯横传扬马特被佩德罗拦截，前巴萨边锋禁区边缘外单刀射出反弹球入左下角，2-0
9'切尔西反击来也                   9'第9分钟，阿伦斯横传扬马特被佩德罗拦截，前巴萨边锋禁区边缘外单刀射出反弹球入左下角，2-0
9'切尔西再来一球，这次是佩德罗                   9'第9分钟，阿伦斯横传扬马特被佩德罗拦截，前巴萨边锋禁区边缘外单刀射出反弹球入左下角，2-0
10'此时此刻值得来杯嘉士伯                   9'第9分钟，阿伦斯横传扬马特被佩德罗拦截，前巴萨边锋禁区边缘外单刀射出反弹球入左下角，2-0
11'切尔西把球解围出来，后场阿伦斯横传扬马特失误被佩德罗直接断下，佩德罗单刀直入，禁区内冷静的大力推射远角，绕过埃利奥特准确进入左下角                   9'第9分钟，阿伦斯横传扬马特被佩德罗拦截，前巴萨边锋禁区边缘外单刀射出反弹球入左下角，2-0
11'佩德罗打的非常冷静，射门时机非常好，再慢一步阿伦斯就要追上来了                   9'第9分钟，阿伦斯横传扬马特被佩德罗拦截，前巴萨边锋禁区边缘外单刀射出反弹球入左下角，2-0
11'切尔西无比梦幻的开局啊                   9'第9分钟，阿伦斯横传扬马特被佩德罗拦截，前巴萨边锋禁区边缘外单刀射出反弹球入左下角，2-0
12'镜头也是给到失误的阿伦斯                   9'第9分钟，阿伦斯横传扬马特被佩德罗拦截，前巴萨边锋禁区边缘外单刀射出反弹球入左下角，2-0
