1'上半场由马竞中圈开球                   1'开场不到1分钟，胡安弗兰传球，萨乌尔禁区右侧劲射被没收
1'多特蒙德控球                   1'开场不到1分钟，胡安弗兰传球，萨乌尔禁区右侧劲射被没收
1'托普拉克交给皮什切克                   1'开场不到1分钟，胡安弗兰传球，萨乌尔禁区右侧劲射被没收
1'普利西奇回传给托普拉克                   1'开场不到1分钟，胡安弗兰传球，萨乌尔禁区右侧劲射被没收
1'转移到左侧，球被断了                   1'开场不到1分钟，胡安弗兰传球，萨乌尔禁区右侧劲射被没收
2'但马上被德兰尼反断                   1'开场不到1分钟，胡安弗兰传球，萨乌尔禁区右侧劲射被没收
2'德兰尼的推进，胡安弗兰阻挡犯规                   1'开场不到1分钟，胡安弗兰传球，萨乌尔禁区右侧劲射被没收
2'德兰尼回传给阿坎吉                   1'开场不到1分钟，胡安弗兰传球，萨乌尔禁区右侧劲射被没收
2'交给托普拉克，直传又失误                   1'开场不到1分钟，胡安弗兰传球，萨乌尔禁区右侧劲射被没收
2'科雷亚的中路直传被拦截                   1'开场不到1分钟，胡安弗兰传球，萨乌尔禁区右侧劲射被没收
2'托普拉克回传给布尔基                   1'开场不到1分钟，胡安弗兰传球，萨乌尔禁区右侧劲射被没收
2'长传上来，埃尔南德斯头球顶到中场                   1'开场不到1分钟，胡安弗兰传球，萨乌尔禁区右侧劲射被没收
3'德兰尼送左侧，给深了                   1'开场不到1分钟，胡安弗兰传球，萨乌尔禁区右侧劲射被没收
3'吉梅内斯交给托马斯，长传前场                   1'开场不到1分钟，胡安弗兰传球，萨乌尔禁区右侧劲射被没收
3'格列兹曼得球斜塞，被托普拉克拦截                   1'开场不到1分钟，胡安弗兰传球，萨乌尔禁区右侧劲射被没收
3'罗伊斯控球分右侧的普利西奇                   1'开场不到1分钟，胡安弗兰传球，萨乌尔禁区右侧劲射被没收
3'内切送中路                   1'开场不到1分钟，胡安弗兰传球，萨乌尔禁区右侧劲射被没收
3'帕科做球，给得不好                   1'开场不到1分钟，胡安弗兰传球，萨乌尔禁区右侧劲射被没收
4'吉梅内斯控球交给罗德里                   1'开场不到1分钟，胡安弗兰传球，萨乌尔禁区右侧劲射被没收
4'转移给埃尔南德斯，长传上来                   1'开场不到1分钟，胡安弗兰传球，萨乌尔禁区右侧劲射被没收
4'科雷亚得球与托马斯做二过一，被阿坎吉大脚解围                   1'开场不到1分钟，胡安弗兰传球，萨乌尔禁区右侧劲射被没收
33'科雷亚护球回传给胡安弗兰                   33'马竞第33分钟打破僵局，萨乌尔分球左路，菲利佩突入禁区左侧回传，萨乌尔12码处第一时间劲射入网
