5'尤西雷右路接球，在对方逼抢下回传给大雷                   5'开场5分钟，山东鲁能掷出边线球，刘彬彬得球内切远射，球被防守队员挡出
6'佩莱左路传球交给刘彬彬，对方破坏出边线                   5'开场5分钟，山东鲁能掷出边线球，刘彬彬得球内切远射，球被防守队员挡出
6'张弛发出界外球，蒙蒂略突破打门被挡出                   5'开场5分钟，山东鲁能掷出边线球，刘彬彬得球内切远射，球被防守队员挡出
8'鲁能泰山队攻到前场，二过一配合没有成功                   5'开场5分钟，山东鲁能掷出边线球，刘彬彬得球内切远射，球被防守队员挡出
8'伊斯梅洛夫将球断下来                   5'开场5分钟，山东鲁能掷出边线球，刘彬彬得球内切远射，球被防守队员挡出
15'奥尔西奇发任意球直接打门，被王大雷扑住                   15'第15分钟，王大雷手抛球送出妙传，刘彬彬利用速度摆脱防守形成单刀，张笑非在禁区外犯规未能阻挡刘彬彬，但范晓东补位将刘彬彬挡倒在地，刘彬彬错失进球良机
15'王大雷大力手抛球，刘彬彬接球带到禁区内直面门将，祎凡出击将球住！                   15'第15分钟，王大雷手抛球送出妙传，刘彬彬利用速度摆脱防守形成单刀，张笑非在禁区外犯规未能阻挡刘彬彬，但范晓东补位将刘彬彬挡倒在地，刘彬彬错失进球良机
15'王大雷的视野真好！看到刘彬彬后就是快速扔球发动反击！                   15'第15分钟，王大雷手抛球送出妙传，刘彬彬利用速度摆脱防守形成单刀，张笑非在禁区外犯规未能阻挡刘彬彬，但范晓东补位将刘彬彬挡倒在地，刘彬彬错失进球良机
16'彬彬坐在了地上！受伤了！                   15'第15分钟，王大雷手抛球送出妙传，刘彬彬利用速度摆脱防守形成单刀，张笑非在禁区外犯规未能阻挡刘彬彬，但范晓东补位将刘彬彬挡倒在地，刘彬彬错失进球良机
16'范晓冬的防守非常到位，前插 到了刘彬彬的前面！                   15'第15分钟，王大雷手抛球送出妙传，刘彬彬利用速度摆脱防守形成单刀，张笑非在禁区外犯规未能阻挡刘彬彬，但范晓东补位将刘彬彬挡倒在地，刘彬彬错失进球良机
17'鲁能泰山队这次反击太有威胁了！如果不是范晓冬回来的快，又要破门了！                   15'第15分钟，王大雷手抛球送出妙传，刘彬彬利用速度摆脱防守形成单刀，张笑非在禁区外犯规未能阻挡刘彬彬，但范晓东补位将刘彬彬挡倒在地，刘彬彬错失进球良机
17'后场鲁能泰山队断球，右路长传球出界                   15'第15分钟，王大雷手抛球送出妙传，刘彬彬利用速度摆脱防守形成单刀，张笑非在禁区外犯规未能阻挡刘彬彬，但范晓东补位将刘彬彬挡倒在地，刘彬彬错失进球良机
18'刘彬彬前场左路接球回传，蒙蒂略斜传禁区，被头球顶出                   15'第15分钟，王大雷手抛球送出妙传，刘彬彬利用速度摆脱防守形成单刀，张笑非在禁区外犯规未能阻挡刘彬彬，但范晓东补位将刘彬彬挡倒在地，刘彬彬错失进球良机
18'佩莱接球，外围一脚远射，稍稍偏了一点！                   15'第15分钟，王大雷手抛球送出妙传，刘彬彬利用速度摆脱防守形成单刀，张笑非在禁区外犯规未能阻挡刘彬彬，但范晓东补位将刘彬彬挡倒在地，刘彬彬错失进球良机
18'张弛左路带球到前场                   15'第15分钟，王大雷手抛球送出妙传，刘彬彬利用速度摆脱防守形成单刀，张笑非在禁区外犯规未能阻挡刘彬彬，但范晓东补位将刘彬彬挡倒在地，刘彬彬错失进球良机
18'刘彬彬前场左路接球回传，蒙蒂略斜传禁区，被头球顶出                   18'第18分钟，山东鲁能中场传中，齐天羽禁区内头球摆渡，佩莱不停球直接凌空抽射偏出
18'佩莱接球，外围一脚远射，稍稍偏了一点！                   18'第18分钟，山东鲁能中场传中，齐天羽禁区内头球摆渡，佩莱不停球直接凌空抽射偏出
18'张弛左路带球到前场                   18'第18分钟，山东鲁能中场传中，齐天羽禁区内头球摆渡，佩莱不停球直接凌空抽射偏出
19'张弛强突下底，对方护球出底线                   18'第18分钟，山东鲁能中场传中，齐天羽禁区内头球摆渡，佩莱不停球直接凌空抽射偏出
19'张弛在接球，回传交给吉尔，再转移到右路进攻                   18'第18分钟，山东鲁能中场传中，齐天羽禁区内头球摆渡，佩莱不停球直接凌空抽射偏出
20'赵明剑右路斜传禁区！象是直接打门啊，祎凡没收                   18'第18分钟，山东鲁能中场传中，齐天羽禁区内头球摆渡，佩莱不停球直接凌空抽射偏出
21'长春亚泰队右路长传进攻，戴琳将球开出边线                   18'第18分钟，山东鲁能中场传中，齐天羽禁区内头球摆渡，佩莱不停球直接凌空抽射偏出
21'界外球发出来，蒙蒂略后场断球                   18'第18分钟，山东鲁能中场传中，齐天羽禁区内头球摆渡，佩莱不停球直接凌空抽射偏出
30'张弛左路带球一直到前场，横向突破突然一脚打门！偏出！                   30'第30分钟，山东鲁能发动反击，张弛边路拿球内切突破到禁区线附近时突然起脚远射，球稍稍偏出击中边网
