9'国际米兰球员胡安大禁区外尝试左脚射门,可惜皮球偏出球门.给他传球的是拉诺齐亚.                   9'开场9分钟，胡安在门前30米处左脚抽射高出横梁
10'埃尔纳内斯为拉齐奥在对方半场,赢得一个任意球.                   9'开场9分钟，胡安在门前30米处左脚抽射高出横梁
10'国际米兰球员库兹曼诺维奇拼抢犯规,对手获得控球权.                   9'开场9分钟，胡安在门前30米处左脚抽射高出横梁
10'拉齐奥球员迪亚斯一脚直塞球给克洛泽,但是边裁举旗显示后者已经越位.                   9'开场9分钟，胡安在门前30米处左脚抽射高出横梁
21'拉齐奥球员迪亚斯拼抢犯规,对手获得控球权.                   21'第21分钟，坎德雷瓦前场抢断形成单刀，但胡安高速回追将球截下，国米也打出反击，迪亚斯背后拉扯瓜林，被黄牌警告，阿尔瓦雷斯左脚任意球稍偏出右门角
21'瓜林为国际米兰在对方半场,赢得一个任意球.                   21'第21分钟，坎德雷瓦前场抢断形成单刀，但胡安高速回追将球截下，国米也打出反击，迪亚斯背后拉扯瓜林，被黄牌警告，阿尔瓦雷斯左脚任意球稍偏出右门角
21'黄牌！拉齐奥球员迪亚斯因为恶意犯规,被主裁判出示黄牌.                   21'第21分钟，坎德雷瓦前场抢断形成单刀，但胡安高速回追将球截下，国米也打出反击，迪亚斯背后拉扯瓜林，被黄牌警告，阿尔瓦雷斯左脚任意球稍偏出右门角
22'国际米兰球员阿尔瓦雷斯大禁区外尝试左脚射门,可惜皮球偏出球门.                   21'第21分钟，坎德雷瓦前场抢断形成单刀，但胡安高速回追将球截下，国米也打出反击，迪亚斯背后拉扯瓜林，被黄牌警告，阿尔瓦雷斯左脚任意球稍偏出右门角
23'克洛泽为拉齐奥在对方半场,赢得一个任意球.                   21'第21分钟，坎德雷瓦前场抢断形成单刀，但胡安高速回追将球截下，国米也打出反击，迪亚斯背后拉扯瓜林，被黄牌警告，阿尔瓦雷斯左脚任意球稍偏出右门角
23'国际米兰球员胡安拼抢犯规,对手获得控球权.                   21'第21分钟，坎德雷瓦前场抢断形成单刀，但胡安高速回追将球截下，国米也打出反击，迪亚斯背后拉扯瓜林，被黄牌警告，阿尔瓦雷斯左脚任意球稍偏出右门角
24'比亚瓦为拉齐奥在对方半场,赢得一个任意球.                   21'第21分钟，坎德雷瓦前场抢断形成单刀，但胡安高速回追将球截下，国米也打出反击，迪亚斯背后拉扯瓜林，被黄牌警告，阿尔瓦雷斯左脚任意球稍偏出右门角
24'国际米兰球员瓜林拼抢犯规,对手获得控球权.                   21'第21分钟，坎德雷瓦前场抢断形成单刀，但胡安高速回追将球截下，国米也打出反击，迪亚斯背后拉扯瓜林，被黄牌警告，阿尔瓦雷斯左脚任意球稍偏出右门角
33'拉齐奥球员埃尔纳内斯大禁区中央尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是卢利奇.                   33'第33分钟，卢利奇禁区左侧头球回点，埃尔纳内斯在门前12米处左脚抽射被挡出右门柱
33'拉诺齐亚将球处理出底线,拉齐奥获得角球.                   33'第33分钟，卢利奇禁区左侧头球回点，埃尔纳内斯在门前12米处左脚抽射被挡出右门柱
33'拉齐奥球员冈萨雷斯拼抢犯规,对手获得控球权.                   33'第33分钟，卢利奇禁区左侧头球回点，埃尔纳内斯在门前12米处左脚抽射被挡出右门柱
33'胡安为国际米兰赢得一个任意球.                   33'第33分钟，卢利奇禁区左侧头球回点，埃尔纳内斯在门前12米处左脚抽射被挡出右门柱
34'埃尔纳内斯为拉齐奥赢得一个任意球.                   33'第33分钟，卢利奇禁区左侧头球回点，埃尔纳内斯在门前12米处左脚抽射被挡出右门柱
34'国际米兰球员坎比亚索拼抢犯规,对手获得控球权.                   33'第33分钟，卢利奇禁区左侧头球回点，埃尔纳内斯在门前12米处左脚抽射被挡出右门柱
35'射门!!!拉齐奥球员坎德雷瓦右侧远离球门处小角度右脚射门,被对方守门员横身扑出.                   33'第33分钟，卢利奇禁区左侧头球回点，埃尔纳内斯在门前12米处左脚抽射被挡出右门柱
36'卢利奇为拉齐奥在左路,赢得一个任意球.                   33'第33分钟，卢利奇禁区左侧头球回点，埃尔纳内斯在门前12米处左脚抽射被挡出右门柱
36'国际米兰球员瓜林拼抢犯规,对手获得控球权.                   33'第33分钟，卢利奇禁区左侧头球回点，埃尔纳内斯在门前12米处左脚抽射被挡出右门柱
36'黄牌！国际米兰球员瓜林因为恶意犯规,被主裁判出示黄牌.                   33'第33分钟，卢利奇禁区左侧头球回点，埃尔纳内斯在门前12米处左脚抽射被挡出右门柱
