8'战术角球被解围                   8'蓝军第8分钟扩大比分，威廉开出角球，奇克小禁区边缘凌空垫射入网，2-0
8'赞帕科斯塔右侧推进，下底传中                   8'蓝军第8分钟扩大比分，威廉开出角球，奇克小禁区边缘凌空垫射入网，2-0
8'打在黄衣球员身上出底线                   8'蓝军第8分钟扩大比分，威廉开出角球，奇克小禁区边缘凌空垫射入网，2-0
8'切尔西右侧的角球                   8'蓝军第8分钟扩大比分，威廉开出角球，奇克小禁区边缘凌空垫射入网，2-0
8'镜头对准了吉鲁                   8'蓝军第8分钟扩大比分，威廉开出角球，奇克小禁区边缘凌空垫射入网，2-0
8'威廉发前点                   8'蓝军第8分钟扩大比分，威廉开出角球，奇克小禁区边缘凌空垫射入网，2-0
8'吉鲁头球一蹭，球进了！                   8'蓝军第8分钟扩大比分，威廉开出角球，奇克小禁区边缘凌空垫射入网，2-0
9'再看一下进球过程                   8'蓝军第8分钟扩大比分，威廉开出角球，奇克小禁区边缘凌空垫射入网，2-0
9'威廉发前点，吉鲁抢前点，伸脚，但其实没有碰到球                   8'蓝军第8分钟扩大比分，威廉开出角球，奇克小禁区边缘凌空垫射入网，2-0
10'而是身旁的奇克伸脚轻轻一勾打进远角！                   8'蓝军第8分钟扩大比分，威廉开出角球，奇克小禁区边缘凌空垫射入网，2-0
10'进球的是奇克！                   8'蓝军第8分钟扩大比分，威廉开出角球，奇克小禁区边缘凌空垫射入网，2-0
10'奇克已经梅开二度                   8'蓝军第8分钟扩大比分，威廉开出角球，奇克小禁区边缘凌空垫射入网，2-0
10'不到10分钟，切尔西已经2：0领先                   8'蓝军第8分钟扩大比分，威廉开出角球，奇克小禁区边缘凌空垫射入网，2-0
11'赫莱布分边                   8'蓝军第8分钟扩大比分，威廉开出角球，奇克小禁区边缘凌空垫射入网，2-0
11'倒回后卫线                   8'蓝军第8分钟扩大比分，威廉开出角球，奇克小禁区边缘凌空垫射入网，2-0
11'长传上来                   8'蓝军第8分钟扩大比分，威廉开出角球，奇克小禁区边缘凌空垫射入网，2-0
11'凯帕轻松没收                   8'蓝军第8分钟扩大比分，威廉开出角球，奇克小禁区边缘凌空垫射入网，2-0
11'交给法布雷加斯，长传到禁区前沿                   8'蓝军第8分钟扩大比分，威廉开出角球，奇克小禁区边缘凌空垫射入网，2-0
11'佩德罗已经插上，可惜没有将球粘下来                   8'蓝军第8分钟扩大比分，威廉开出角球，奇克小禁区边缘凌空垫射入网，2-0
53'但慢镜看德拉贡有推人动作                   53'第53分钟，奇克反击中直传，佩德罗突入禁区左侧回敲，奇克20码处弧线球射入右下角完成帽子戏法，3-0
53'镜头还给到了底线裁判                   53'第53分钟，奇克反击中直传，佩德罗突入禁区左侧回敲，奇克20码处弧线球射入右下角完成帽子戏法，3-0
