2'切尔西的进攻，威廉拿球，过顶球找科斯塔                   2'开场仅2分钟，马内传球，斯图里奇禁区前劲射险些被库尔图瓦扑救后漏入大门
3'第一点被洛夫伦头球解围出来！！                   2'开场仅2分钟，马内传球，斯图里奇禁区前劲射险些被库尔图瓦扑救后漏入大门
3'利物浦的反击，斯图里奇前场拿球                   2'开场仅2分钟，马内传球，斯图里奇禁区前劲射险些被库尔图瓦扑救后漏入大门
4'斯图里奇弧顶横切，起左脚打门，库尔图瓦扑球脱手                   2'开场仅2分钟，马内传球，斯图里奇禁区前劲射险些被库尔图瓦扑救后漏入大门
4'好在反应及时，转身将球拿到！                   2'开场仅2分钟，马内传球，斯图里奇禁区前劲射险些被库尔图瓦扑救后漏入大门
4'这个失误，差点造成失球啊，库尔图瓦得小心                   2'开场仅2分钟，马内传球，斯图里奇禁区前劲射险些被库尔图瓦扑救后漏入大门
17'维纳尔杜姆左路拿球强突，伊万上抢犯规                   17'利物浦第17分钟取得领先，库蒂尼奥左路传中，反越位成功的洛夫伦小禁区边缘第一时间凌空垫射入网
17'这球是个吃牌的动作，不过裁判手下留情了                   17'利物浦第17分钟取得领先，库蒂尼奥左路传中，反越位成功的洛夫伦小禁区边缘第一时间凌空垫射入网
17'利物浦进球啦！！                   17'利物浦第17分钟取得领先，库蒂尼奥左路传中，反越位成功的洛夫伦小禁区边缘第一时间凌空垫射入网
17'洛夫伦的进球！！                   17'利物浦第17分钟取得领先，库蒂尼奥左路传中，反越位成功的洛夫伦小禁区边缘第一时间凌空垫射入网
18'利物浦快发任意球，左路斜传到后点，洛夫伦插上无人防守，推射建功！                   17'利物浦第17分钟取得领先，库蒂尼奥左路传中，反越位成功的洛夫伦小禁区边缘第一时间凌空垫射入网
20'上半场19分钟，客场作战的利物浦领先啦！！                   17'利物浦第17分钟取得领先，库蒂尼奥左路传中，反越位成功的洛夫伦小禁区边缘第一时间凌空垫射入网
36'上半场35分钟，比分0-1，客场作战的利物浦领先                   36'利物浦第36分钟扩大比分，卡希尔草率解围，亨德森30码处射入右上角，2-0
36'利物浦左路的进攻，被伊万将球解围出边线                   36'利物浦第36分钟扩大比分，卡希尔草率解围，亨德森30码处射入右上角，2-0
36'米尔纳发界外球，时间有点慢，现场嘘声四起！                   36'利物浦第36分钟扩大比分，卡希尔草率解围，亨德森30码处射入右上角，2-0
37'2-0！！！！                   36'利物浦第36分钟扩大比分，卡希尔草率解围，亨德森30码处射入右上角，2-0
37'亨德森的世界波！！                   36'利物浦第36分钟扩大比分，卡希尔草率解围，亨德森30码处射入右上角，2-0
38'利物浦左路传中，卡希尔解围球没能顶远，亨德森外围拿球，直接起脚远射，直接钻进球门右上死角！！                   36'利物浦第36分钟扩大比分，卡希尔草率解围，亨德森30码处射入右上角，2-0
38'这个进球，绝对的死角啊！！！                   36'利物浦第36分钟扩大比分，卡希尔草率解围，亨德森30码处射入右上角，2-0
38'切尔西前场进攻，赢得右侧角球机会                   36'利物浦第36分钟扩大比分，卡希尔草率解围，亨德森30码处射入右上角，2-0
38'威廉主罚，开出到禁区，第一点被后卫解围出底线                   36'利物浦第36分钟扩大比分，卡希尔草率解围，亨德森30码处射入右上角，2-0
38'切尔西的左侧角球，威廉开出，路易斯头球，被挡出底线                   36'利物浦第36分钟扩大比分，卡希尔草率解围，亨德森30码处射入右上角，2-0
38'切尔西继续左侧角球，威廉开出到前点，被防守球员解围                   36'利物浦第36分钟扩大比分，卡希尔草率解围，亨德森30码处射入右上角，2-0
61'维纳尔杜姆分球找克莱因，克莱因的传中，被路易斯拦截                   61'切尔西第61分钟扳回一城，马蒂奇突破分球后直插，阿扎尔直传，马蒂奇突入禁区左侧下底传中，迭戈-科斯塔前点近距离垫射破门，1-2
61'1-2！！！                   61'切尔西第61分钟扳回一城，马蒂奇突破分球后直插，阿扎尔直传，马蒂奇突入禁区左侧下底传中，迭戈-科斯塔前点近距离垫射破门，1-2
61'科斯塔的进球，联赛第五球！！                   61'切尔西第61分钟扳回一城，马蒂奇突破分球后直插，阿扎尔直传，马蒂奇突入禁区左侧下底传中，迭戈-科斯塔前点近距离垫射破门，1-2
62'阿扎尔左路拿球，斜塞禁区给插上的马蒂奇，马蒂奇下底倒三角回传，科斯塔跟进垫射，打进！                   61'切尔西第61分钟扳回一城，马蒂奇突破分球后直插，阿扎尔直传，马蒂奇突入禁区左侧下底传中，迭戈-科斯塔前点近距离垫射破门，1-2
63'阿扎尔前场左路拿球，强突被上抢的克莱因放倒在地                   61'切尔西第61分钟扳回一城，马蒂奇突破分球后直插，阿扎尔直传，马蒂奇突入禁区左侧下底传中，迭戈-科斯塔前点近距离垫射破门，1-2
63'切尔西获得前场左路的任意球机会！！                   61'切尔西第61分钟扳回一城，马蒂奇突破分球后直插，阿扎尔直传，马蒂奇突入禁区左侧下底传中，迭戈-科斯塔前点近距离垫射破门，1-2
63'威廉任意球斜传禁区，米尼奥莱出击，双拳将球打出                   61'切尔西第61分钟扳回一城，马蒂奇突破分球后直插，阿扎尔直传，马蒂奇突入禁区左侧下底传中，迭戈-科斯塔前点近距离垫射破门，1-2
63'伊万这次争抢，被出击的米尼奥莱撞了一下，受伤倒地                   61'切尔西第61分钟扳回一城，马蒂奇突破分球后直插，阿扎尔直传，马蒂奇突入禁区左侧下底传中，迭戈-科斯塔前点近距离垫射破门，1-2
81'马蒂普再给洛夫伦，洛夫伦直塞拉拉纳                   81'第81分钟，奥里吉小禁区右侧的头球攻门又被库尔图瓦神勇救出
81'拉拉纳再给左侧的米尔纳，米尔纳斜传球到禁区                   81'第81分钟，奥里吉小禁区右侧的头球攻门又被库尔图瓦神勇救出
81'奥里吉的头球，被库尔图瓦倒地挡出                   81'第81分钟，奥里吉小禁区右侧的头球攻门又被库尔图瓦神勇救出
81'球出底线，利物浦获得右侧角球机会                   81'第81分钟，奥里吉小禁区右侧的头球攻门又被库尔图瓦神勇救出
82'利物浦换人：10号库蒂尼奥被换下                   81'第81分钟，奥里吉小禁区右侧的头球攻门又被库尔图瓦神勇救出
83'米尔纳角球开出到禁区，没能形成威胁！！                   81'第81分钟，奥里吉小禁区右侧的头球攻门又被库尔图瓦神勇救出
83'切尔西换人，一下换三个啊！！                   81'第81分钟，奥里吉小禁区右侧的头球攻门又被库尔图瓦神勇救出
84'奥斯卡、威廉、马蒂奇下，换上小法、佩德罗、摩西                   81'第81分钟，奥里吉小禁区右侧的头球攻门又被库尔图瓦神勇救出
84'全场比赛84分钟，切尔西一次用完三个换人名额！！                   81'第81分钟，奥里吉小禁区右侧的头球攻门又被库尔图瓦神勇救出
84'奥斯卡、威廉、马蒂奇下，换上小法、佩德罗、摩西                   84'摩西、小法和佩德罗第84分钟一齐替补出场，但切尔西难挽败局
84'全场比赛84分钟，切尔西一次用完三个换人名额！！                   84'摩西、小法和佩德罗第84分钟一齐替补出场，但切尔西难挽败局
85'坎特后场拿球，分球右侧给伊万                   84'摩西、小法和佩德罗第84分钟一齐替补出场，但切尔西难挽败局
85'伊万带球攻中线，再横传给坎特                   84'摩西、小法和佩德罗第84分钟一齐替补出场，但切尔西难挽败局
