16'虽然成功断球的几率很低，但是你不得不佩服他的斗志                   16'第16分钟，席尔瓦传中，哲科12码处头球攻门被施瓦泽稳稳摘下
16'游客4260: 这批德国国脚技术好的也就罗伊斯，格策，娃娃脸，霍尔特比勉强也算一个，其余的还是那样---你把272防哪里去了？                   16'第16分钟，席尔瓦传中，哲科12码处头球攻门被施瓦泽稳稳摘下
16'哲科又是一脚远射，这次攻门打得比较正                   16'第16分钟，席尔瓦传中，哲科12码处头球攻门被施瓦泽稳稳摘下
17'施瓦泽不费吹灰之力将球接住                   16'第16分钟，席尔瓦传中，哲科12码处头球攻门被施瓦泽稳稳摘下
17'安麦詹韦兽纳邓:啥也不想说，贝巴……---贝巴咋了？                   16'第16分钟，席尔瓦传中，哲科12码处头球攻门被施瓦泽稳稳摘下
18'今天曼城没有亚亚图雷                   16'第16分钟，席尔瓦传中，哲科12码处头球攻门被施瓦泽稳稳摘下
18'受到的影响还是比较明显的                   16'第16分钟，席尔瓦传中，哲科12码处头球攻门被施瓦泽稳稳摘下
19'席尔瓦抬脚过高，踢倒了卡拉古尼斯                   16'第16分钟，席尔瓦传中，哲科12码处头球攻门被施瓦泽稳稳摘下
19'贝巴带球突破，被加西亚摁到在地                   16'第16分钟，席尔瓦传中，哲科12码处头球攻门被施瓦泽稳稳摘下
31'客家小子3036897341:主播。你觉得巴神今天回不回上场啊?---但愿上吧                   31'第31分钟，前切尔西边锋达夫右路传中，西德维尔远点力压萨巴莱塔头球攻门打中近角立柱外侧弹出
31'特维斯自己带球，禁区里面打门了！被后卫的腿挡了一下                   31'第31分钟，前切尔西边锋达夫右路传中，西德维尔远点力压萨巴莱塔头球攻门打中近角立柱外侧弹出
31'这个机会也是不太好，难道想乱中取胜？                   31'第31分钟，前切尔西边锋达夫右路传中，西德维尔远点力压萨巴莱塔头球攻门打中近角立柱外侧弹出
31'哇！好险                   31'第31分钟，前切尔西边锋达夫右路传中，西德维尔远点力压萨巴莱塔头球攻门打中近角立柱外侧弹出
32'富勒姆右路下底传中，后面的西德维尔力压萨巴莱塔头球攻门，擦着立柱飞出底线                   31'第31分钟，前切尔西边锋达夫右路传中，西德维尔远点力压萨巴莱塔头球攻门打中近角立柱外侧弹出
32'距离球门不到2米，这球要是顶正了哈特恐怕也没办法                   31'第31分钟，前切尔西边锋达夫右路传中，西德维尔远点力压萨巴莱塔头球攻门打中近角立柱外侧弹出
32'小龙就是我刘璋龙:特维斯还毒啊！看球了吗？---不独就不是特维斯了，今天打得够独了                   31'第31分钟，前切尔西边锋达夫右路传中，西德维尔远点力压萨巴莱塔头球攻门打中近角立柱外侧弹出
33'曼奇尼一直站在场边                   31'第31分钟，前切尔西边锋达夫右路传中，西德维尔远点力压萨巴莱塔头球攻门打中近角立柱外侧弹出
34'从比赛开始站到现在                   31'第31分钟，前切尔西边锋达夫右路传中，西德维尔远点力压萨巴莱塔头球攻门打中近角立柱外侧弹出
34'看他的表情显得很着急                   31'第31分钟，前切尔西边锋达夫右路传中，西德维尔远点力压萨巴莱塔头球攻门打中近角立柱外侧弹出
34'更像是落后一方的主帅啊                   31'第31分钟，前切尔西边锋达夫右路传中，西德维尔远点力压萨巴莱塔头球攻门打中近角立柱外侧弹出
34'巴里在中场踢倒了西德维尔                   31'第31分钟，前切尔西边锋达夫右路传中，西德维尔远点力压萨巴莱塔头球攻门打中近角立柱外侧弹出
47'感觉他俩的配合还比较默契                   47'第47分钟，西德维尔禁区前射门偏出
47'贝巴今天很多时候都要回来组织                   47'第47分钟，西德维尔禁区前射门偏出
48'达夫在右路下底传中，低平球被纳斯塔西奇解围出去                   47'第47分钟，西德维尔禁区前射门偏出
48'西德维尔尝试了一脚远射，球打偏了                   47'第47分钟，西德维尔禁区前射门偏出
48'场边纳斯里起来热身了                   47'第47分钟，西德维尔禁区前射门偏出
49'上半场两队的控球时间都是50%                   47'第47分钟，西德维尔禁区前射门偏出
49'这是在曼城的主场啊                   47'第47分钟，西德维尔禁区前射门偏出
49'难怪曼奇尼这么着急                   47'第47分钟，西德维尔禁区前射门偏出
49'特维斯前场抢断，没办法传出去                   47'第47分钟，西德维尔禁区前射门偏出
49'富勒姆3人围抢，特维斯也没办法了                   47'第47分钟，西德维尔禁区前射门偏出
50'贝巴太贼了，想轻挑把球越过后卫头顶                   47'第47分钟，西德维尔禁区前射门偏出
50'但是萨巴莱塔把球断走，反抢的时候贝巴压人犯规了                   47'第47分钟，西德维尔禁区前射门偏出
60'曼城的角球，传中球被孔帕尼顶到，太正了                   60'第60分钟，席尔瓦开出角球，孔帕尼头球摆渡，哲科近距离射门被施瓦泽得到
60'刚才萨巴莱塔被付出场外接受治疗                   60'第60分钟，席尔瓦开出角球，孔帕尼头球摆渡，哲科近距离射门被施瓦泽得到
61'西德维尔示意裁判加西亚铲球犯规                   60'第60分钟，席尔瓦开出角球，孔帕尼头球摆渡，哲科近距离射门被施瓦泽得到
61'裁判没有理会，曼城的反击了                   60'第60分钟，席尔瓦开出角球，孔帕尼头球摆渡，哲科近距离射门被施瓦泽得到
62'加西亚带球狂奔了几十米，下底传中落点不太好啊                   60'第60分钟，席尔瓦开出角球，孔帕尼头球摆渡，哲科近距离射门被施瓦泽得到
62'白跑了这么远                   60'第60分钟，席尔瓦开出角球，孔帕尼头球摆渡，哲科近距离射门被施瓦泽得到
62'禁区里面3点包抄，加西亚却传到对方球员的控制范围内                   60'第60分钟，席尔瓦开出角球，孔帕尼头球摆渡，哲科近距离射门被施瓦泽得到
62'萨巴莱塔还是无法坚持比赛                   60'第60分钟，席尔瓦开出角球，孔帕尼头球摆渡，哲科近距离射门被施瓦泽得到
63'这一脚踢得太狠了                   60'第60分钟，席尔瓦开出角球，孔帕尼头球摆渡，哲科近距离射门被施瓦泽得到
63'不过这次受伤也不怪汉格兰德                   60'第60分钟，席尔瓦开出角球，孔帕尼头球摆渡，哲科近距离射门被施瓦泽得到
63'科拉罗夫换下萨巴莱塔                   60'第60分钟，席尔瓦开出角球，孔帕尼头球摆渡，哲科近距离射门被施瓦泽得到
63'纳斯里也上场了                   60'第60分钟，席尔瓦开出角球，孔帕尼头球摆渡，哲科近距离射门被施瓦泽得到
69'席尔瓦！！！                   69'曼城第69分钟扩大比分，特维斯传球，席尔瓦禁区左侧小角度挑射入网，2-0
69'这状态飘红啊！                   69'曼城第69分钟扩大比分，特维斯传球，席尔瓦禁区左侧小角度挑射入网，2-0
69'镜头对准曼奇尼，好严肃的表情                   69'曼城第69分钟扩大比分，特维斯传球，席尔瓦禁区左侧小角度挑射入网，2-0
