1'上半场比赛开始！！                   1'第1分钟华夏幸福迅速形成威胁攻势，拉维奇禁区右侧攻门被挡偏出底线
1'华夏幸福开球，从右向左进攻！！                   1'第1分钟华夏幸福迅速形成威胁攻势，拉维奇禁区右侧攻门被挡偏出底线
1'拉维奇开球，回传后场                   1'第1分钟华夏幸福迅速形成威胁攻势，拉维奇禁区右侧攻门被挡偏出底线
1'埃尔纳内斯的过顶长传找拉维奇                   1'第1分钟华夏幸福迅速形成威胁攻势，拉维奇禁区右侧攻门被挡偏出底线
1'传大了，球被曾诚出击控制！！                   1'第1分钟华夏幸福迅速形成威胁攻势，拉维奇禁区右侧攻门被挡偏出底线
1'张琳芃右路拿球，横传给到古德利                   1'第1分钟华夏幸福迅速形成威胁攻势，拉维奇禁区右侧攻门被挡偏出底线
2'古德利过顶球找郜林                   1'第1分钟华夏幸福迅速形成威胁攻势，拉维奇禁区右侧攻门被挡偏出底线
2'高准翼回防将球控制！！                   1'第1分钟华夏幸福迅速形成威胁攻势，拉维奇禁区右侧攻门被挡偏出底线
2'华夏幸福的反击，拉维奇右路拿球                   1'第1分钟华夏幸福迅速形成威胁攻势，拉维奇禁区右侧攻门被挡偏出底线
2'强突到禁区，面对三人围堵                   1'第1分钟华夏幸福迅速形成威胁攻势，拉维奇禁区右侧攻门被挡偏出底线
2'起脚抽射，被挡出了底线！！                   1'第1分钟华夏幸福迅速形成威胁攻势，拉维奇禁区右侧攻门被挡偏出底线
2'华夏幸福获得了左侧角球机会！                   1'第1分钟华夏幸福迅速形成威胁攻势，拉维奇禁区右侧攻门被挡偏出底线
3'角球开出到前点，恒大球员的头球解围后蹭                   1'第1分钟华夏幸福迅速形成威胁攻势，拉维奇禁区右侧攻门被挡偏出底线
3'直奔球门啊，被曾诚单掌打了出来！1                   1'第1分钟华夏幸福迅速形成威胁攻势，拉维奇禁区右侧攻门被挡偏出底线
3'这球曾诚的注意力很集中，不然危险了！                   1'第1分钟华夏幸福迅速形成威胁攻势，拉维奇禁区右侧攻门被挡偏出底线
4'姜至鹏左路拿球，强突被逼抢的杨立瑜碰出边线                   1'第1分钟华夏幸福迅速形成威胁攻势，拉维奇禁区右侧攻门被挡偏出底线
4'张呈栋右路拿球，过顶长传找拉维奇                   1'第1分钟华夏幸福迅速形成威胁攻势，拉维奇禁区右侧攻门被挡偏出底线
4'金英权力压拉维奇头球解围                   1'第1分钟华夏幸福迅速形成威胁攻势，拉维奇禁区右侧攻门被挡偏出底线
4'黄博文拿球，再给左侧郜林                   1'第1分钟华夏幸福迅速形成威胁攻势，拉维奇禁区右侧攻门被挡偏出底线
4'可惜传大了，球直接出边线！！                   1'第1分钟华夏幸福迅速形成威胁攻势，拉维奇禁区右侧攻门被挡偏出底线
18'恒大后场抢断，过顶长传打身后                   18'第18分钟，恒大取得入球：恒大中场长传策动快攻，高准翼在与高拉特拼抢落点时滑倒，任航护球时与郜林接触倒地，裁判示意比赛继续，郜林横敲中路，高拉特内切调整后施射破门，恒大1-0领先
18'高拉特前插接应，和高准翼相撞                   18'第18分钟，恒大取得入球：恒大中场长传策动快攻，高准翼在与高拉特拼抢落点时滑倒，任航护球时与郜林接触倒地，裁判示意比赛继续，郜林横敲中路，高拉特内切调整后施射破门，恒大1-0领先
18'双双倒地，球弹到了右侧                   18'第18分钟，恒大取得入球：恒大中场长传策动快攻，高准翼在与高拉特拼抢落点时滑倒，任航护球时与郜林接触倒地，裁判示意比赛继续，郜林横敲中路，高拉特内切调整后施射破门，恒大1-0领先
