2'今天巴萨又在中卫线上派出小马哥+布斯克茨的组合                   2'开场仅2分钟，比利亚左路传球，法布雷加斯25码处凌空抽射高出横梁
3'因为周中还有欧冠的比赛任务，所以巴萨还是有所轮换调整的                   2'开场仅2分钟，比利亚左路传球，法布雷加斯25码处凌空抽射高出横梁
3'法布雷加斯尝试了一脚远射~~~球打高了                   2'开场仅2分钟，比利亚左路传球，法布雷加斯25码处凌空抽射高出横梁
3'广谱抗生素:个人感觉桑切斯和比利亚是可以一起首发的---唉，希望桑切斯尽快摆脱心魔吧                   2'开场仅2分钟，比利亚左路传球，法布雷加斯25码处凌空抽射高出横梁
3'塞尔塔估计很难对巴萨形成什么威胁                   2'开场仅2分钟，比利亚左路传球，法布雷加斯25码处凌空抽射高出横梁
4'历史战绩来看，塞尔塔在诺坎普就赢过一场，还是在遥远的40年代                   2'开场仅2分钟，比利亚左路传球，法布雷加斯25码处凌空抽射高出横梁
5'梅西在边路拿球                   2'开场仅2分钟，比利亚左路传球，法布雷加斯25码处凌空抽射高出横梁
5'转移到另一侧比利亚的脚下                   2'开场仅2分钟，比利亚左路传球，法布雷加斯25码处凌空抽射高出横梁
5'塞尔塔在禁区前密集防守                   2'开场仅2分钟，比利亚左路传球，法布雷加斯25码处凌空抽射高出横梁
5'断球反击了                   2'开场仅2分钟，比利亚左路传球，法布雷加斯25码处凌空抽射高出横梁
5'马斯切拉诺中路拦截犯规，阻止了对方的反击势头                   2'开场仅2分钟，比利亚左路传球，法布雷加斯25码处凌空抽射高出横梁
12'这一次突然的杀出反越位                   12'第12分钟，梅西直传，比利亚禁区左侧传中，哈维12码处推射被巴拉斯神勇扑出
12'接到了小白的挑传，可惜梅西的吊射力量太小了                   12'第12分钟，梅西直传，比利亚禁区左侧传中，哈维12码处推射被巴拉斯神勇扑出
12'被回追的后卫在门前解围了                   12'第12分钟，梅西直传，比利亚禁区左侧传中，哈维12码处推射被巴拉斯神勇扑出
12'今天梅西看起来状态不错                   12'第12分钟，梅西直传，比利亚禁区左侧传中，哈维12码处推射被巴拉斯神勇扑出
12'哈维！中路的推射被门将扑出                   12'第12分钟，梅西直传，比利亚禁区左侧传中，哈维12码处推射被巴拉斯神勇扑出
12'巴萨连续获得了进球良机                   12'第12分钟，梅西直传，比利亚禁区左侧传中，哈维12码处推射被巴拉斯神勇扑出
13'可惜临门一脚都差了一些                   12'第12分钟，梅西直传，比利亚禁区左侧传中，哈维12码处推射被巴拉斯神勇扑出
13'塞尔塔的反扑来得真快                   12'第12分钟，梅西直传，比利亚禁区左侧传中，哈维12码处推射被巴拉斯神勇扑出
13'阿斯帕斯右路突破之后的一脚远射，球打偏了一些                   12'第12分钟，梅西直传，比利亚禁区左侧传中，哈维12码处推射被巴拉斯神勇扑出
14'塞尔塔的进攻速度不得不让巴萨小心一些                   12'第12分钟，梅西直传，比利亚禁区左侧传中，哈维12码处推射被巴拉斯神勇扑出
14'他们的速度真快                   12'第12分钟，梅西直传，比利亚禁区左侧传中，哈维12码处推射被巴拉斯神勇扑出
14'阿尔巴传球出现了失误                   12'第12分钟，梅西直传，比利亚禁区左侧传中，哈维12码处推射被巴拉斯神勇扑出
14'塞尔塔在中场控制住皮球，连续的传递                   12'第12分钟，梅西直传，比利亚禁区左侧传中，哈维12码处推射被巴拉斯神勇扑出
14'最后是比利亚回撤防守把球铲断了                   12'第12分钟，梅西直传，比利亚禁区左侧传中，哈维12码处推射被巴拉斯神勇扑出
15'狙击皇02:你们好，请问下这场比赛哪里有直播---风云足球                   12'第12分钟，梅西直传，比利亚禁区左侧传中，哈维12码处推射被巴拉斯神勇扑出
15'梅西又一次在禁区内接到了挑传球                   12'第12分钟，梅西直传，比利亚禁区左侧传中，哈维12码处推射被巴拉斯神勇扑出
15'可惜他的打门还是没力量，这个转身的打门难度太高了                   12'第12分钟，梅西直传，比利亚禁区左侧传中，哈维12码处推射被巴拉斯神勇扑出
15'哈维重新组织进攻                   12'第12分钟，梅西直传，比利亚禁区左侧传中，哈维12码处推射被巴拉斯神勇扑出
15'比利亚横传中路，梅西在两名后卫的围抢下球丢了                   12'第12分钟，梅西直传，比利亚禁区左侧传中，哈维12码处推射被巴拉斯神勇扑出
19'低平球横传门前，可惜包抄的队友都没赶上                   19'第19分钟，梅西禁区右侧10码处左脚射门被巴拉斯扑出
19'巴萨再次把球打入禁区                   19'第19分钟，梅西禁区右侧10码处左脚射门被巴拉斯扑出
19'梅西！左脚的搓射被门将扑了一下                   19'第19分钟，梅西禁区右侧10码处左脚射门被巴拉斯扑出
19'小白再次把球挑入禁区，门将把球没收                   19'第19分钟，梅西禁区右侧10码处左脚射门被巴拉斯扑出
19'巴尔德斯！！！                   19'第19分钟，梅西禁区右侧10码处左脚射门被巴拉斯扑出
19'这一次扑救真神了！！！                   19'第19分钟，梅西禁区右侧10码处左脚射门被巴拉斯扑出
19'塞尔塔的反击，速度真快啊                   19'第19分钟，梅西禁区右侧10码处左脚射门被巴拉斯扑出
20'巴萨中路造越位失误了                   19'第19分钟，梅西禁区右侧10码处左脚射门被巴拉斯扑出
20'不过阿斯帕斯的单刀推射被巴尔德斯出击扑了一下                   19'第19分钟，梅西禁区右侧10码处左脚射门被巴拉斯扑出
20'巴萨险些先丢球了                   19'第19分钟，梅西禁区右侧10码处左脚射门被巴拉斯扑出
21'阿德！！！                   19'第19分钟，梅西禁区右侧10码处左脚射门被巴拉斯扑出
21'Goooooooooooooooooal！！！                   19'第19分钟，梅西禁区右侧10码处左脚射门被巴拉斯扑出
21'又是阿德的进球！                   19'第19分钟，梅西禁区右侧10码处左脚射门被巴拉斯扑出
21'这个赛季阿德第三个进球了                   19'第19分钟，梅西禁区右侧10码处左脚射门被巴拉斯扑出
22'阿德中路策动进攻，分给了右翼的佩德罗，佩刀低平球传门前，阿德抢点铲射破门！！！                   19'第19分钟，梅西禁区右侧10码处左脚射门被巴拉斯扑出
22'阿尔维斯这下压力大了                   19'第19分钟，梅西禁区右侧10码处左脚射门被巴拉斯扑出
22'A2状态这个赛季明显下滑，而且还经常受伤                   19'第19分钟，梅西禁区右侧10码处左脚射门被巴拉斯扑出
21'阿德！！！                   21'巴萨第21分钟取得领先，阿德里亚诺分球右路，佩德罗禁区右侧传中，阿德里亚诺前点铲射破门
21'Goooooooooooooooooal！！！                   21'巴萨第21分钟取得领先，阿德里亚诺分球右路，佩德罗禁区右侧传中，阿德里亚诺前点铲射破门
