5'莱斯特城有机会                   5'第5分钟，坎比亚索开出角球，摩尔12码处头球攻门偏出
5'纽金特下底传的点，乌罗阿准备跳顶，埃文斯头球将球顶出底线                   5'第5分钟，坎比亚索开出角球，摩尔12码处头球攻门偏出
6'莱斯特城的角球没有什么威胁                   5'第5分钟，坎比亚索开出角球，摩尔12码处头球攻门偏出
7'布林德今天的位置很活，很好时候回后防线站在右边                   5'第5分钟，坎比亚索开出角球，摩尔12码处头球攻门偏出
7'莱斯特城进攻很简捷，纽金特斜塞到中路                   5'第5分钟，坎比亚索开出角球，摩尔12码处头球攻门偏出
7'德林克沃特弧顶得球再顺到禁区左侧                   5'第5分钟，坎比亚索开出角球，摩尔12码处头球攻门偏出
8'跟进的乌罗阿包抄上来停球停大了，被埃文斯解围                   5'第5分钟，坎比亚索开出角球，摩尔12码处头球攻门偏出
8'罗霍左路斜吊禁区，脚法没有掌握好，直接飞出底线                   5'第5分钟，坎比亚索开出角球，摩尔12码处头球攻门偏出
11'迪马利亚左路加速为送出美妙直传                   11'曼联首次威胁出现在第11分钟，迪马利亚直传，范佩西禁区左肋8码处推射被舒梅切尔及时出击用腿挡出
11'范佩西斜插上来面对出击的舒梅切尔左脚要门被门将封出底线                   11'曼联首次威胁出现在第11分钟，迪马利亚直传，范佩西禁区左肋8码处推射被舒梅切尔及时出击用腿挡出
11'鲁尼的角球第一点被摩尔头球解围                   11'曼联首次威胁出现在第11分钟，迪马利亚直传，范佩西禁区左肋8码处推射被舒梅切尔及时出击用腿挡出
12'德林克沃特中路带球被埃雷拉断下                   11'曼联首次威胁出现在第11分钟，迪马利亚直传，范佩西禁区左肋8码处推射被舒梅切尔及时出击用腿挡出
12'法尔考左路得球，横扫中路，范佩西有点跑过了，左脚停球没有停在脚下                   11'曼联首次威胁出现在第11分钟，迪马利亚直传，范佩西禁区左肋8码处推射被舒梅切尔及时出击用腿挡出
12'法尔考左路转身摆脱很漂亮                   11'曼联首次威胁出现在第11分钟，迪马利亚直传，范佩西禁区左肋8码处推射被舒梅切尔及时出击用腿挡出
12'范佩西头球破门！                   11'曼联首次威胁出现在第11分钟，迪马利亚直传，范佩西禁区左肋8码处推射被舒梅切尔及时出击用腿挡出
13'[此时此刻值得来杯嘉士伯]                   11'曼联首次威胁出现在第11分钟，迪马利亚直传，范佩西禁区左肋8码处推射被舒梅切尔及时出击用腿挡出
14'曼联左路进攻，法尔考背身突破转身连停带过过了德莱特，前面一片开阔地法尔考看准了弧线球送到后点，范佩西跃起头球攻门球进                   11'曼联首次威胁出现在第11分钟，迪马利亚直传，范佩西禁区左肋8码处推射被舒梅切尔及时出击用腿挡出
14'这球显示了法尔考在边路的能力                   11'曼联首次威胁出现在第11分钟，迪马利亚直传，范佩西禁区左肋8码处推射被舒梅切尔及时出击用腿挡出
16'迪马利亚打进漂亮一球！                   16'曼联第16分钟扩大比分，鲁尼传球，迪马利亚禁区边缘内面对2人防守轻巧挑射破门，2-0
16'[此时此刻值得来杯嘉士伯]                   16'曼联第16分钟扩大比分，鲁尼传球，迪马利亚禁区边缘内面对2人防守轻巧挑射破门，2-0
17'曼联快速反击，迪马利亚交给左路鲁尼，鲁尼喧了几步左脚斜塞到禁区，迪马利亚插上得球脚尖挑射，球越过舒梅切尔头顶入网！                   16'曼联第16分钟扩大比分，鲁尼传球，迪马利亚禁区边缘内面对2人防守轻巧挑射破门，2-0
18'莱斯特城迅速扳回一球！                   16'曼联第16分钟扩大比分，鲁尼传球，迪马利亚禁区边缘内面对2人防守轻巧挑射破门，2-0
18'[此时此刻值得来杯嘉士伯]                   16'曼联第16分钟扩大比分，鲁尼传球，迪马利亚禁区边缘内面对2人防守轻巧挑射破门，2-0
19'罗霍左路解围踢在了纽金特身上，纽金特得球下底传中，点球点附近乌罗阿低头甩头攻门顶进了球门左下角！                   16'曼联第16分钟扩大比分，鲁尼传球，迪马利亚禁区边缘内面对2人防守轻巧挑射破门，2-0
19'乌罗阿，这位面孔像亚洲人的阿根廷前锋在门前的能力相当好                   16'曼联第16分钟扩大比分，鲁尼传球，迪马利亚禁区边缘内面对2人防守轻巧挑射破门，2-0
19'曼联又有机会，鲁尼斜向送过顶球，范佩西有机会，可惜先越位了                   16'曼联第16分钟扩大比分，鲁尼传球，迪马利亚禁区边缘内面对2人防守轻巧挑射破门，2-0
18'莱斯特城迅速扳回一球！                   18'莱斯特城第18分钟扳回一城，瓦尔迪右路摆脱罗霍后下底传中，乌略亚12码处头球顶入近角，1-2
18'[此时此刻值得来杯嘉士伯]                   18'莱斯特城第18分钟扳回一城，瓦尔迪右路摆脱罗霍后下底传中，乌略亚12码处头球顶入近角，1-2
19'罗霍左路解围踢在了纽金特身上，纽金特得球下底传中，点球点附近乌罗阿低头甩头攻门顶进了球门左下角！                   18'莱斯特城第18分钟扳回一城，瓦尔迪右路摆脱罗霍后下底传中，乌略亚12码处头球顶入近角，1-2
19'乌罗阿，这位面孔像亚洲人的阿根廷前锋在门前的能力相当好                   18'莱斯特城第18分钟扳回一城，瓦尔迪右路摆脱罗霍后下底传中，乌略亚12码处头球顶入近角，1-2
19'曼联又有机会，鲁尼斜向送过顶球，范佩西有机会，可惜先越位了                   18'莱斯特城第18分钟扳回一城，瓦尔迪右路摆脱罗霍后下底传中，乌略亚12码处头球顶入近角，1-2
20'更正一下，刚才助攻乌罗阿破门的是9号瓦尔迪！                   18'莱斯特城第18分钟扳回一城，瓦尔迪右路摆脱罗霍后下底传中，乌略亚12码处头球顶入近角，1-2
21'布莱克特右路长传，范佩西中线接应分到左路                   18'莱斯特城第18分钟扳回一城，瓦尔迪右路摆脱罗霍后下底传中，乌略亚12码处头球顶入近角，1-2
20'更正一下，刚才助攻乌罗阿破门的是9号瓦尔迪！                   20'第20分钟，瓦尔迪传球，德林克沃特禁区边缘低射偏出右侧立柱
21'布莱克特右路长传，范佩西中线接应分到左路                   20'第20分钟，瓦尔迪传球，德林克沃特禁区边缘低射偏出右侧立柱
22'迪马利亚变向过人被德莱特拦截出边线                   20'第20分钟，瓦尔迪传球，德林克沃特禁区边缘低射偏出右侧立柱
22'罗霍再次斜吊禁区，摩尔头球解围                   20'第20分钟，瓦尔迪传球，德林克沃特禁区边缘低射偏出右侧立柱
34'德莱特挑球过人后，被迪马利亚要到位置                   34'第34分钟，罗霍传球失误，德林克沃特远射高出
34'德莱特发力将迪马利亚撞出边线                   34'第34分钟，罗霍传球失误，德林克沃特远射高出
34'迪马利亚被撞得失去平衡，手支撑地时擦伤了                   34'第34分钟，罗霍传球失误，德林克沃特远射高出
35'德林克沃特分左路孔切斯基                   34'第34分钟，罗霍传球失误，德林克沃特远射高出
35'孔切斯基人球分过过了拉斐尔传中被布莱克特破坏                   34'第34分钟，罗霍传球失误，德林克沃特远射高出
35'迪马利亚中场过顶长传，球传得太深了，小舒梅切尔将球没收                   34'第34分钟，罗霍传球失误，德林克沃特远射高出
36'迪马利亚左路得球，急停交给法尔考                   34'第34分钟，罗霍传球失误，德林克沃特远射高出
36'法尔考横拔给埃雷拉                   34'第34分钟，罗霍传球失误，德林克沃特远射高出
36'鲁尼接应后没有找到队友传球                   34'第34分钟，罗霍传球失误，德林克沃特远射高出
36'迂回后到了罗霍脚下，罗霍远距离轰门，没有命中目标                   34'第34分钟，罗霍传球失误，德林克沃特远射高出
37'孔切斯基左路带不突进球被拉斐尔拦截出边线                   34'第34分钟，罗霍传球失误，德林克沃特远射高出
37'坎比亚索长传上前场，布林德头球顶到中场                   34'第34分钟，罗霍传球失误，德林克沃特远射高出
37'左路迪马利亚斜长传，法尔考胸部停球下来回敲传到鲁尼身后                   34'第34分钟，罗霍传球失误，德林克沃特远射高出
41'鲁尼角球发前点，德莱特头球蹭得比较薄                   41'第41分钟，范佩西角球混战回敲，迪马利亚禁区弧边缘射偏，但裁判误判角球，罗霍近距离头球攻门高出
41'埃雷拉后点拿球回做，迪马利亚远射偏出球门右门柱                   41'第41分钟，范佩西角球混战回敲，迪马利亚禁区弧边缘射偏，但裁判误判角球，罗霍近距离头球攻门高出
41'裁判给了曼联一个角球                   41'第41分钟，范佩西角球混战回敲，迪马利亚禁区弧边缘射偏，但裁判误判角球，罗霍近距离头球攻门高出
41'迪马利亚角球旋向门前，罗霍抢点头球攻门顶高了                   41'第41分钟，范佩西角球混战回敲，迪马利亚禁区弧边缘射偏，但裁判误判角球，罗霍近距离头球攻门高出
42'罗霍长传前场左路，法尔考接应回给鲁尼                   41'第41分钟，范佩西角球混战回敲，迪马利亚禁区弧边缘射偏，但裁判误判角球，罗霍近距离头球攻门高出
42'转移到右路拉斐尔，斜传球传起来                   41'第41分钟，范佩西角球混战回敲，迪马利亚禁区弧边缘射偏，但裁判误判角球，罗霍近距离头球攻门高出
42'中场还是曼联的控球                   41'第41分钟，范佩西角球混战回敲，迪马利亚禁区弧边缘射偏，但裁判误判角球，罗霍近距离头球攻门高出
42'鲁尼中路盘带过不了坎比亚索                   41'第41分钟，范佩西角球混战回敲，迪马利亚禁区弧边缘射偏，但裁判误判角球，罗霍近距离头球攻门高出
43'莱斯特城的反击                   41'第41分钟，范佩西角球混战回敲，迪马利亚禁区弧边缘射偏，但裁判误判角球，罗霍近距离头球攻门高出
43'瓦尔迪中路带球直冲向禁区，布莱克特的暴发力也不错，起动后倒地将球铲出边线！                   41'第41分钟，范佩西角球混战回敲，迪马利亚禁区弧边缘射偏，但裁判误判角球，罗霍近距离头球攻门高出
44'德林克沃特左路长传到前场右路                   41'第41分钟，范佩西角球混战回敲，迪马利亚禁区弧边缘射偏，但裁判误判角球，罗霍近距离头球攻门高出
44'乌罗阿这边很空，看准了横传中路，布林德抢在纽金特之前将球解围                   41'第41分钟，范佩西角球混战回敲，迪马利亚禁区弧边缘射偏，但裁判误判角球，罗霍近距离头球攻门高出
44'迪马利亚左路弧线传中范佩西来迟半步，翻身拿到球                   41'第41分钟，范佩西角球混战回敲，迪马利亚禁区弧边缘射偏，但裁判误判角球，罗霍近距离头球攻门高出
49'鲁尼长传禁区，法尔考禁区左侧胸部停球下来左脚弹射打在横梁上                   49'曼联第49分钟险些扩大比分，鲁尼传球，法尔考禁区左侧18码处半凌空抽射打中横梁
50'迪马利亚左路带球内工急停再外脚背一弹                   49'曼联第49分钟险些扩大比分，鲁尼传球，法尔考禁区左侧18码处半凌空抽射打中横梁
50'罗霍与法尔考误会了，大家都没有跑                   49'曼联第49分钟险些扩大比分，鲁尼传球，法尔考禁区左侧18码处半凌空抽射打中横梁
51'迪马利亚左路加速，德莱特绊人犯规，犯规地点将将在禁区外                   49'曼联第49分钟险些扩大比分，鲁尼传球，法尔考禁区左侧18码处半凌空抽射打中横梁
51'曼联获得一个对方禁区左犄角上的任意球机会                   49'曼联第49分钟险些扩大比分，鲁尼传球，法尔考禁区左侧18码处半凌空抽射打中横梁
51'鲁尼一脚似传似射，球偏出了球门右门柱                   49'曼联第49分钟险些扩大比分，鲁尼传球，法尔考禁区左侧18码处半凌空抽射打中横梁
52'乌罗阿回后场断球，转移球差点失误                   49'曼联第49分钟险些扩大比分，鲁尼传球，法尔考禁区左侧18码处半凌空抽射打中横梁
49'[此时此刻值得来杯嘉士伯]                   49'曼联第49分钟险些扩大比分，鲁尼传球，法尔考禁区左侧18码处半凌空抽射打中横梁
49'这球埃雷拉大力低射，门前的迪马利亚脚后跟一磕改变了方向球进，这球算在迪马利亚帐下！                   49'曼联第49分钟险些扩大比分，鲁尼传球，法尔考禁区左侧18码处半凌空抽射打中横梁
50'迪马利亚又来了，斜传很漂亮，范这里完全空了，但自己没有停好                   49'曼联第49分钟险些扩大比分，鲁尼传球，法尔考禁区左侧18码处半凌空抽射打中横梁
50'范佩西虽然打进一球，但今天的状态似乎是一般                   49'曼联第49分钟险些扩大比分，鲁尼传球，法尔考禁区左侧18码处半凌空抽射打中横梁
