6'贵州队右侧一记直塞，打穿了对手防线                   6'第6分钟，陈昌源的一脚远射迫使阿尔滨门将做出飞身扑救
6'尤里得球下底，传中被挡出来                   6'第6分钟，陈昌源的一脚远射迫使阿尔滨门将做出飞身扑救
6'贵州队在前场形成了围攻，陈昌源的远射，非常漂亮，被张翀扑出底线                   6'第6分钟，陈昌源的一脚远射迫使阿尔滨门将做出飞身扑救
7'米西角球开出，张翀出击摘下                   6'第6分钟，陈昌源的一脚远射迫使阿尔滨门将做出飞身扑救
7'贵州的球迷也是非常的热烈，兴奋的为主队呐喊                   6'第6分钟，陈昌源的一脚远射迫使阿尔滨门将做出飞身扑救
8'萨利后场带球，交给陈杰，陈杰大脚踢给前场的汉克                   6'第6分钟，陈昌源的一脚远射迫使阿尔滨门将做出飞身扑救
8'大连队后场断球，快速反击交给陈涛                   6'第6分钟，陈昌源的一脚远射迫使阿尔滨门将做出飞身扑救
9'陈涛带球被陈杰从身后绊倒                   6'第6分钟，陈昌源的一脚远射迫使阿尔滨门将做出飞身扑救
9'大连队任意球罚入禁区内，落点不错，张佳祺和萨利争顶                   6'第6分钟，陈昌源的一脚远射迫使阿尔滨门将做出飞身扑救
25'索拉里在前场显得孤单影只                   25'随着比赛的继续，两队在场上逐渐陷入僵局，第25分钟，贵州人和再次在禁区外完成一脚远射，球在弹地后稍有加速，张不敢怠慢将球扑出，人和组织二次进攻，萨利的头球攻门正中张下怀，2分钟后，米西莫维奇的任意球直接攻门再次考验了阿尔滨门将的反应速度
26'贵州队获得连续射门的机会                   25'随着比赛的继续，两队在场上逐渐陷入僵局，第25分钟，贵州人和再次在禁区外完成一脚远射，球在弹地后稍有加速，张不敢怠慢将球扑出，人和组织二次进攻，萨利的头球攻门正中张下怀，2分钟后，米西莫维奇的任意球直接攻门再次考验了阿尔滨门将的反应速度
27'先是禁区内的射门被张翀侧扑封出，紧接着尤里的头球又被张翀没收                   25'随着比赛的继续，两队在场上逐渐陷入僵局，第25分钟，贵州人和再次在禁区外完成一脚远射，球在弹地后稍有加速，张不敢怠慢将球扑出，人和组织二次进攻，萨利的头球攻门正中张下怀，2分钟后，米西莫维奇的任意球直接攻门再次考验了阿尔滨门将的反应速度
