1'上半场比赛开始！                   1'双方第1分钟均显得小心谨慎
1'阿森纳开球！                   1'双方第1分钟均显得小心谨慎
1'张伯伦争顶撞到阿拉巴！犯规啦！                   1'双方第1分钟均显得小心谨慎
2'拜仁后场传导！回传诺伊尔！                   1'双方第1分钟均显得小心谨慎
2'拉姆直接起球向前场！莱万越来啦！                   1'双方第1分钟均显得小心谨慎
3'比达尔前场拼下球权！低平给胡梅尔斯！                   1'双方第1分钟均显得小心谨慎
3'阿隆索低平往前给！左路阿拉巴！                   1'双方第1分钟均显得小心谨慎
3'横敲！被后卫解围出来！                   1'双方第1分钟均显得小心谨慎
3'拜仁边线球！                   1'双方第1分钟均显得小心谨慎
4'胡梅后场回诺伊尔！                   1'双方第1分钟均显得小心谨慎
4'阿隆索中场完成抢断！扎卡反断回来！                   1'双方第1分钟均显得小心谨慎
4'给右侧贝莱林！                   1'双方第1分钟均显得小心谨慎
11'阿森纳界外球出来！比达尔回抢拿下！                   11'拜仁第11分钟取得领先，科斯塔传球，罗本右路内切后22码处弧线球射门，皮球擦横梁下沿入左上角
11'回传身后胡梅尔斯！                   11'拜仁第11分钟取得领先，科斯塔传球，罗本右路内切后22码处弧线球射门，皮球擦横梁下沿入左上角
11'蒂亚戈中场组织没机会！回身后胡梅！                   11'拜仁第11分钟取得领先，科斯塔传球，罗本右路内切后22码处弧线球射门，皮球擦横梁下沿入左上角
11'拉姆右路突破！回给罗本！内切！                   11'拜仁第11分钟取得领先，科斯塔传球，罗本右路内切后22码处弧线球射门，皮球擦横梁下沿入左上角
12'直接起脚！进了进了！！！                   11'拜仁第11分钟取得领先，科斯塔传球，罗本右路内切后22码处弧线球射门，皮球擦横梁下沿入左上角
12'罗本先下一城啊！招牌内切！                   11'拜仁第11分钟取得领先，科斯塔传球，罗本右路内切后22码处弧线球射门，皮球擦横梁下沿入左上角
12'继续回到比赛！                   11'拜仁第11分钟取得领先，科斯塔传球，罗本右路内切后22码处弧线球射门，皮球擦横梁下沿入左上角
13'蒂亚戈中场拿球！                   11'拜仁第11分钟取得领先，科斯塔传球，罗本右路内切后22码处弧线球射门，皮球擦横梁下沿入左上角
13'横敲右路罗本！                   11'拜仁第11分钟取得领先，科斯塔传球，罗本右路内切后22码处弧线球射门，皮球擦横梁下沿入左上角
