1'上半场比赛开始                   1'双方第1分钟打出快节奏，但进攻中均失误颇多
2'阿森纳从画面的左侧向右进攻                   1'双方第1分钟打出快节奏，但进攻中均失误颇多
2'阿森纳中场过顶球，被扬迈特解围                   1'双方第1分钟打出快节奏，但进攻中均失误颇多
3'阿森纳首发：奥斯皮纳/钱伯斯、加布里埃尔、科斯切尔尼、蒙雷亚尔/科奎林、拉姆塞/维尔贝克、卡索拉、桑切斯/吉鲁                   1'双方第1分钟打出快节奏，但进攻中均失误颇多
3'纽卡首发：克鲁尔/扬马特、威廉姆森、科尔巴克、瑞恩-泰勒/卡贝拉、西索科、阿尼塔、古弗兰/阿梅奥比、阿约塞-佩雷斯                   1'双方第1分钟打出快节奏，但进攻中均失误颇多
4'纽卡斯尔左路进攻，阿梅奥比拿球                   1'双方第1分钟打出快节奏，但进攻中均失误颇多
4'阿梅奥比斜塞打身后，佩雷斯越位在先                   1'双方第1分钟打出快节奏，但进攻中均失误颇多
23'拉姆塞反越位成功，面对出击的克鲁尔，准备挑射                   23'第23分钟，吉鲁外脚背直传，拉姆塞小禁区前面对克鲁尔错过单刀机会，他试图晃过门将却将皮球趟出底线
23'可惜球没控制好，转身时把球趟出了底线                   23'第23分钟，吉鲁外脚背直传，拉姆塞小禁区前面对克鲁尔错过单刀机会，他试图晃过门将却将皮球趟出底线
23'阿森纳非常好的一次机会，可惜啦                   23'第23分钟，吉鲁外脚背直传，拉姆塞小禁区前面对克鲁尔错过单刀机会，他试图晃过门将却将皮球趟出底线
24'科尔巴克后场拿球，没停好，被吉鲁抢断                   23'第23分钟，吉鲁外脚背直传，拉姆塞小禁区前面对克鲁尔错过单刀机会，他试图晃过门将却将皮球趟出底线
24'吉鲁拿球强突，科尔巴克反抢，放倒吉鲁，犯规                   23'第23分钟，吉鲁外脚背直传，拉姆塞小禁区前面对克鲁尔错过单刀机会，他试图晃过门将却将皮球趟出底线
24'阿森纳获得前场中路的任意球机会                   23'第23分钟，吉鲁外脚背直传，拉姆塞小禁区前面对克鲁尔错过单刀机会，他试图晃过门将却将皮球趟出底线
24'进球啦！！！                   23'第23分钟，吉鲁外脚背直传，拉姆塞小禁区前面对克鲁尔错过单刀机会，他试图晃过门将却将皮球趟出底线
24'此时此刻值得来杯嘉士伯！！！！                   23'第23分钟，吉鲁外脚背直传，拉姆塞小禁区前面对克鲁尔错过单刀机会，他试图晃过门将却将皮球趟出底线
25'吉鲁，先拔头筹，本赛季英超个人第12个进球                   23'第23分钟，吉鲁外脚背直传，拉姆塞小禁区前面对克鲁尔错过单刀机会，他试图晃过门将却将皮球趟出底线
26'卡索拉任意球斜传前点，维尔贝克头球攻门，吉鲁伸腿用膝盖将球碰进了球门，克鲁尔鞭长莫及                   23'第23分钟，吉鲁外脚背直传，拉姆塞小禁区前面对克鲁尔错过单刀机会，他试图晃过门将却将皮球趟出底线
26'阿森纳中场抢断，桑切斯拿球反击                   23'第23分钟，吉鲁外脚背直传，拉姆塞小禁区前面对克鲁尔错过单刀机会，他试图晃过门将却将皮球趟出底线
26'桑切斯单骑闯关，强突下底，接着挑传球到禁区弧顶                   23'第23分钟，吉鲁外脚背直传，拉姆塞小禁区前面对克鲁尔错过单刀机会，他试图晃过门将却将皮球趟出底线
26'卡索拉任意球斜传前点，维尔贝克头球攻门，吉鲁伸腿用膝盖将球碰进了球门，克鲁尔鞭长莫及                   26'第26分钟，桑切斯禁区右侧挑球摆脱古弗兰后传中，维尔贝克12码处凌空扫射偏出
26'阿森纳中场抢断，桑切斯拿球反击                   26'第26分钟，桑切斯禁区右侧挑球摆脱古弗兰后传中，维尔贝克12码处凌空扫射偏出
26'桑切斯单骑闯关，强突下底，接着挑传球到禁区弧顶                   26'第26分钟，桑切斯禁区右侧挑球摆脱古弗兰后传中，维尔贝克12码处凌空扫射偏出
27'维尔贝克跟进迎球抽射，打偏了一点点                   26'第26分钟，桑切斯禁区右侧挑球摆脱古弗兰后传中，维尔贝克12码处凌空扫射偏出
