8'孙铂试图突破辽宁的防守，但是辽宁防守很密集，没有给他向前的机会。                   8'第8分钟，孙铂前场反抢成功后稍做调整起脚远射，球高出球门
8'孙铂在前场断球了，直接打门，有点着急了。                   8'第8分钟，孙铂前场反抢成功后稍做调整起脚远射，球高出球门
9'辽宁大脚向前输送，但是詹姆斯今天拿球感觉不是很好啊。                   8'第8分钟，孙铂前场反抢成功后稍做调整起脚远射，球高出球门
10'大连迅速反击，于汉超在禁区内传中队友打门被后卫封堵了。                   8'第8分钟，孙铂前场反抢成功后稍做调整起脚远射，球高出球门
10'青岛小笨虎 :大连阿尔滨最近打的不好是因为于大宝状态差，加上磨合问题------球迷对于于大宝的期望还是很高的！                   8'第8分钟，孙铂前场反抢成功后稍做调整起脚远射，球高出球门
11'比赛进行了10分钟，大连有点反客为主的意思啊，压制住了辽宁。                   8'第8分钟，孙铂前场反抢成功后稍做调整起脚远射，球高出球门
24'青岛小笨虎 :球迷对于大宝的期望高是因为于大宝是国产前锋中最好的，至少他不会打飞机。------又黑大郜林。                   24'第24分钟，阿尔滨左路策动攻势，周通底线附近横传门前，于汉超人群中高高跃起头球攻门球高出
25'周通在左路传中给到中路，于汉超头球打高了，这是一次不错的机会！                   24'第24分钟，阿尔滨左路策动攻势，周通底线附近横传门前，于汉超人群中高高跃起头球攻门球高出
26'辽宁队的灵魂相信一定是肇俊哲，这名球员的职业素非常的高。                   24'第24分钟，阿尔滨左路策动攻势，周通底线附近横传门前，于汉超人群中高高跃起头球攻门球高出
27'双方在中场不断的倒脚让比赛显得有点沉闷啊。                   24'第24分钟，阿尔滨左路策动攻势，周通底线附近横传门前，于汉超人群中高高跃起头球攻门球高出
29'辽宁的任意球很有想法！一个低平球到禁区于大宝解围险些乌龙。                   29'第29分钟，于大宝解围辽足任意球险些造成乌龙，随后，杨善平接队友开出的角球头球攻门球击中门柱
30'之后角球杨善平的头球击中了立柱！这段时间辽宁的进攻非常有效啊。                   29'第29分钟，于大宝解围辽足任意球险些造成乌龙，随后，杨善平接队友开出的角球头球攻门球击中门柱
31'于大宝在前场带球直接打门，偏的有点多。                   29'第29分钟，于大宝解围辽足任意球险些造成乌龙，随后，杨善平接队友开出的角球头球攻门球击中门柱
32'现在于大宝的状态也不是太好啊。                   29'第29分钟，于大宝解围辽足任意球险些造成乌龙，随后，杨善平接队友开出的角球头球攻门球击中门柱
32'鹏宝1988 :今天天气怎么样？------有点阴天。                   29'第29分钟，于大宝解围辽足任意球险些造成乌龙，随后，杨善平接队友开出的角球头球攻门球击中门柱
37'詹姆斯的直塞有点大了，耶夫蒂奇拿不到啊。                   37'第37分钟，肇俊哲的远射造成阿尔滨门将张脱手，但第二反应较快的张迅速将球扑住，没有给及时跟进的詹姆斯射门的机会
