7'拉米雷斯拿球，他的技术还是稍微糙了一点啊，被断了。                   7'第7分钟，科拉罗夫左路传中，哲科10码处头球攻门偏出
7'切尔西在客场也是先稳固防守，不急着进攻。                   7'第7分钟，科拉罗夫左路传中，哲科10码处头球攻门偏出
8'科拉罗夫传中找到哲科，头球偏了，哲科本赛季还没有进球啊。                   7'第7分钟，科拉罗夫左路传中，哲科10码处头球攻门偏出
8'场上节奏还是挺快的，威廉拿球给伊万。                   7'第7分钟，科拉罗夫左路传中，哲科10码处头球攻门偏出
10'拉米雷斯又丢球了，米尔纳和阿斯皮利奎塔的单对单较量谁都没占便宜，米尔纳给哲科，打门又是角球。                   7'第7分钟，科拉罗夫左路传中，哲科10码处头球攻门偏出
10'角球开出来亚亚图雷头球！有点正，被库尔图瓦直接拿到了。                   7'第7分钟，科拉罗夫左路传中，哲科10码处头球攻门偏出
10'比赛10分钟，曼城攻的很凶猛啊。                   7'第7分钟，科拉罗夫左路传中，哲科10码处头球攻门偏出
29'席尔瓦这段时间拿球不多啊。                   29'第29分钟，科拉罗夫传中被挡出，费尔南迪尼奥禁区边缘外抽射离谱偏出
29'萨巴莱塔和米尔纳在右路风生水起啊。                   29'第29分钟，科拉罗夫传中被挡出，费尔南迪尼奥禁区边缘外抽射离谱偏出
30'曼城压的切尔西喘不来气啊，费尔南迪尼奥一个无人看防的打门居然打次了。                   29'第29分钟，科拉罗夫传中被挡出，费尔南迪尼奥禁区边缘外抽射离谱偏出
31'开场我们说到曼加拉今天还没有接受什么考验啊。                   29'第29分钟，科拉罗夫传中被挡出，费尔南迪尼奥禁区边缘外抽射离谱偏出
32'萨巴莱塔又边路进攻造成了角球。                   29'第29分钟，科拉罗夫传中被挡出，费尔南迪尼奥禁区边缘外抽射离谱偏出
32'阿奎罗禁区内一个侧身凌空打门，稍稍偏出。                   29'第29分钟，科拉罗夫传中被挡出，费尔南迪尼奥禁区边缘外抽射离谱偏出
32'萨巴莱塔又边路进攻造成了角球。                   32'第32分钟，萨巴莱塔对阿扎尔犯规被罚黄牌，法布雷加斯左路任意球传中，卡希尔头球攻门被亚亚-图雷封堵，切尔西球员投诉对方手球犯规，麦克-迪恩未予理会
32'阿奎罗禁区内一个侧身凌空打门，稍稍偏出。                   32'第32分钟，萨巴莱塔对阿扎尔犯规被罚黄牌，法布雷加斯左路任意球传中，卡希尔头球攻门被亚亚-图雷封堵，切尔西球员投诉对方手球犯规，麦克-迪恩未予理会
33'拉米雷斯拿球突破，一个单车过人失败了。                   32'第32分钟，萨巴莱塔对阿扎尔犯规被罚黄牌，法布雷加斯左路任意球传中，卡希尔头球攻门被亚亚-图雷封堵，切尔西球员投诉对方手球犯规，麦克-迪恩未予理会
33'萨巴莱塔吃到了一张黄牌，对阿扎尔的犯规。                   32'第32分钟，萨巴莱塔对阿扎尔犯规被罚黄牌，法布雷加斯左路任意球传中，卡希尔头球攻门被亚亚-图雷封堵，切尔西球员投诉对方手球犯规，麦克-迪恩未予理会
33'切尔西一个位置非常好的任意球。                   32'第32分钟，萨巴莱塔对阿扎尔犯规被罚黄牌，法布雷加斯左路任意球传中，卡希尔头球攻门被亚亚-图雷封堵，切尔西球员投诉对方手球犯规，麦克-迪恩未予理会
34'球传起来落点不好，但是切尔西球员示意有手球。                   32'第32分钟，萨巴莱塔对阿扎尔犯规被罚黄牌，法布雷加斯左路任意球传中，卡希尔头球攻门被亚亚-图雷封堵，切尔西球员投诉对方手球犯规，麦克-迪恩未予理会
35'曼城快速反击，哲科转身打门又是被后卫挡了出去。                   32'第32分钟，萨巴莱塔对阿扎尔犯规被罚黄牌，法布雷加斯左路任意球传中，卡希尔头球攻门被亚亚-图雷封堵，切尔西球员投诉对方手球犯规，麦克-迪恩未予理会
35'曼加拉的身体是真强壮啊，完全不惧科斯塔。                   32'第32分钟，萨巴莱塔对阿扎尔犯规被罚黄牌，法布雷加斯左路任意球传中，卡希尔头球攻门被亚亚-图雷封堵，切尔西球员投诉对方手球犯规，麦克-迪恩未予理会
39'亚亚图雷一个外脚背的挑传，险些给阿奎罗创造了机会。                   39'第39分钟，阿斯皮利奎塔犯规，马蒂奇踢开皮球被黄牌警告
40'切尔西前场找到科斯塔，孔帕尼经验老道的卡住身位，造成了科斯塔的犯规。                   39'第39分钟，阿斯皮利奎塔犯规，马蒂奇踢开皮球被黄牌警告
40'席尔瓦拿球出色的盘带，造成了马蒂奇的黄牌。                   39'第39分钟，阿斯皮利奎塔犯规，马蒂奇踢开皮球被黄牌警告
41'比赛进行了40分钟了。                   39'第39分钟，阿斯皮利奎塔犯规，马蒂奇踢开皮球被黄牌警告
41'席尔瓦又吃到了一张黄牌，今天的拼抢真是激烈啊。                   39'第39分钟，阿斯皮利奎塔犯规，马蒂奇踢开皮球被黄牌警告
42'刚才切尔西的任意球亚亚图雷确实有个手球，不过这种球吹不吹你都说不出什么。                   39'第39分钟，阿斯皮利奎塔犯规，马蒂奇踢开皮球被黄牌警告
42'今天上半场已经出示了5张黄牌了，曼城就吃到了4张。                   39'第39分钟，阿斯皮利奎塔犯规，马蒂奇踢开皮球被黄牌警告
45'这样下去曼城有吃红牌的危险啊                   45'第45分钟，法布雷加斯开出角球，伊娃诺维奇头球摆渡，迭戈-科斯塔小禁区内铲射错过皮球
45'两队最近8场仅有一张红牌，今天会不会出现第二张啊。                   45'第45分钟，法布雷加斯开出角球，伊娃诺维奇头球摆渡，迭戈-科斯塔小禁区内铲射错过皮球
46'上半场比赛时间马上就要到了。                   45'第45分钟，法布雷加斯开出角球，伊娃诺维奇头球摆渡，迭戈-科斯塔小禁区内铲射错过皮球
47'切尔西获得一个角球险些进球啊！                   45'第45分钟，法布雷加斯开出角球，伊娃诺维奇头球摆渡，迭戈-科斯塔小禁区内铲射错过皮球
47'头球蹭下来科斯塔铲射差一点就碰到球了啊。                   45'第45分钟，法布雷加斯开出角球，伊娃诺维奇头球摆渡，迭戈-科斯塔小禁区内铲射错过皮球
