3'C罗中场拿球，比达尔身后上抢犯规                   3'第3分钟，斯图拉罗左侧禁区前沿低射被卡西利亚斯没收
3'皇马获得前场左侧的任意球机会                   3'第3分钟，斯图拉罗左侧禁区前沿低射被卡西利亚斯没收
3'克罗斯任意球斜传禁区，布冯出击将球拿到                   3'第3分钟，斯图拉罗左侧禁区前沿低射被卡西利亚斯没收
3'基耶利尼后场拿球，分球左侧给埃弗拉                   3'第3分钟，斯图拉罗左侧禁区前沿低射被卡西利亚斯没收
4'尤文前场进攻，莫拉塔禁区外的远射，被卡西倒地拿到                   3'第3分钟，斯图拉罗左侧禁区前沿低射被卡西利亚斯没收
5'马塞洛左路拿球，内切后大范围转移球到右路给J罗                   3'第3分钟，斯图拉罗左侧禁区前沿低射被卡西利亚斯没收
5'J罗拿球强突，面对逼抢，转身回敲给拉莫斯                   3'第3分钟，斯图拉罗左侧禁区前沿低射被卡西利亚斯没收
5'拉莫斯再过度球给到左侧的马塞洛，马塞洛禁区外的起球，被布冯后退中拿到                   3'第3分钟，斯图拉罗左侧禁区前沿低射被卡西利亚斯没收
6'皮尔洛后场拿球，传球失误                   3'第3分钟，斯图拉罗左侧禁区前沿低射被卡西利亚斯没收
6'贝尔拿球强突，博努奇上抢绊倒了贝尔，犯规                   3'第3分钟，斯图拉罗左侧禁区前沿低射被卡西利亚斯没收
6'博努奇被主裁判出示了黄牌警告！！！                   3'第3分钟，斯图拉罗左侧禁区前沿低射被卡西利亚斯没收
6'皇马获得前场中路的任意球机会                   3'第3分钟，斯图拉罗左侧禁区前沿低射被卡西利亚斯没收
8'球没顶好，莫拉塔再抢，一脚吊门，卡西后退中将球拦截                   8'尤文第8分钟取得领先
8'皮尔洛后场拿球，分球左侧给埃弗拉                   8'尤文第8分钟取得领先
8'埃弗拉大范围转移球到右侧给前插的利希施泰纳                   8'尤文第8分钟取得领先
9'尤文进球啦！！！                   8'尤文第8分钟取得领先
9'莫拉塔，攻破了老东家的球门！！！                   8'尤文第8分钟取得领先
10'利希施泰纳斜塞禁区给特维斯，特维斯停球，小禁区右侧劲射被卡西一扑，后点的莫拉塔跟进补射打进！！！                   8'尤文第8分钟取得领先
10'比赛开始不到10分钟，皇马先丢一球，接下来的比赛会更好看                   8'尤文第8分钟取得领先
11'瓦拉内中场拿球，被莫拉塔上抢拦截                   8'尤文第8分钟取得领先
10'利希施泰纳斜塞禁区给特维斯，特维斯停球，小禁区右侧劲射被卡西一扑，后点的莫拉塔跟进补射打进！！！                   10'尤文欧冠主场前10分钟进球总战绩为9胜1负(1999年2比3不敌曼联)
10'比赛开始不到10分钟，皇马先丢一球，接下来的比赛会更好看                   10'尤文欧冠主场前10分钟进球总战绩为9胜1负(1999年2比3不敌曼联)
11'瓦拉内中场拿球，被莫拉塔上抢拦截                   10'尤文欧冠主场前10分钟进球总战绩为9胜1负(1999年2比3不敌曼联)
12'莫拉塔拿球反击，面对拉莫斯的上抢，挑球直接出了边线                   10'尤文欧冠主场前10分钟进球总战绩为9胜1负(1999年2比3不敌曼联)
12'皇马前场进攻赢得右侧角球机会                   10'尤文欧冠主场前10分钟进球总战绩为9胜1负(1999年2比3不敌曼联)
12'角球开出到禁区，伊斯科后点上来拿球                   10'尤文欧冠主场前10分钟进球总战绩为9胜1负(1999年2比3不敌曼联)
13'伊斯科连续变向，内切后的起球被后卫挡出边线                   10'尤文欧冠主场前10分钟进球总战绩为9胜1负(1999年2比3不敌曼联)
13'克罗斯禁区外的远射，被布冯奋力扑出底线                   10'尤文欧冠主场前10分钟进球总战绩为9胜1负(1999年2比3不敌曼联)
13'皇马再次获得左侧角球机会                   10'尤文欧冠主场前10分钟进球总战绩为9胜1负(1999年2比3不敌曼联)
13'J罗角球开出到后点，第一点被皇马球员头球解围                   10'尤文欧冠主场前10分钟进球总战绩为9胜1负(1999年2比3不敌曼联)
10'利希施泰纳斜塞禁区给特维斯，特维斯停球，小禁区右侧劲射被卡西一扑，后点的莫拉塔跟进补射打进！！！                   10'前10分钟尤文就有4次射正门框范围，而在1/4决赛中，马竞对阵皇马180分钟也只有4次射正
10'比赛开始不到10分钟，皇马先丢一球，接下来的比赛会更好看                   10'前10分钟尤文就有4次射正门框范围，而在1/4决赛中，马竞对阵皇马180分钟也只有4次射正
11'瓦拉内中场拿球，被莫拉塔上抢拦截                   10'前10分钟尤文就有4次射正门框范围，而在1/4决赛中，马竞对阵皇马180分钟也只有4次射正
12'莫拉塔拿球反击，面对拉莫斯的上抢，挑球直接出了边线                   10'前10分钟尤文就有4次射正门框范围，而在1/4决赛中，马竞对阵皇马180分钟也只有4次射正
12'皇马前场进攻赢得右侧角球机会                   10'前10分钟尤文就有4次射正门框范围，而在1/4决赛中，马竞对阵皇马180分钟也只有4次射正
12'角球开出到禁区，伊斯科后点上来拿球                   10'前10分钟尤文就有4次射正门框范围，而在1/4决赛中，马竞对阵皇马180分钟也只有4次射正
13'伊斯科连续变向，内切后的起球被后卫挡出边线                   10'前10分钟尤文就有4次射正门框范围，而在1/4决赛中，马竞对阵皇马180分钟也只有4次射正
13'克罗斯禁区外的远射，被布冯奋力扑出底线                   10'前10分钟尤文就有4次射正门框范围，而在1/4决赛中，马竞对阵皇马180分钟也只有4次射正
13'皇马再次获得左侧角球机会                   10'前10分钟尤文就有4次射正门框范围，而在1/4决赛中，马竞对阵皇马180分钟也只有4次射正
13'J罗角球开出到后点，第一点被皇马球员头球解围                   10'前10分钟尤文就有4次射正门框范围，而在1/4决赛中，马竞对阵皇马180分钟也只有4次射正
23'皇马阵型压的很上，而尤文踢得相对较稳                   23'第23分钟，伊斯科后场左路长距离直传，C罗反越位突入禁区左侧斜射滑出远门柱
23'尤文再次后场起球到前场找莫拉塔                   23'第23分钟，伊斯科后场左路长距离直传，C罗反越位突入禁区左侧斜射滑出远门柱
24'佩佩转身卡住身位，将球护送到禁区，卡西出击将球拿到                   23'第23分钟，伊斯科后场左路长距离直传，C罗反越位突入禁区左侧斜射滑出远门柱
24'皇马前场进攻，伊斯科左路直塞给到C罗                   23'第23分钟，伊斯科后场左路长距离直传，C罗反越位突入禁区左侧斜射滑出远门柱
24'C罗拿球进入禁区，小禁区左侧的低射，球滑门而过，出了底线                   23'第23分钟，伊斯科后场左路长距离直传，C罗反越位突入禁区左侧斜射滑出远门柱
25'利希施泰纳右路拿球，内切一趟，摆脱伊斯科和马塞洛的夹击                   23'第23分钟，伊斯科后场左路长距离直传，C罗反越位突入禁区左侧斜射滑出远门柱
25'利希施泰纳拿球强突，进入禁区，面对上抢的瓦拉内，起脚劲射，打在边网上                   23'第23分钟，伊斯科后场左路长距离直传，C罗反越位突入禁区左侧斜射滑出远门柱
26'马塞洛左路拿球，横传找拉莫斯                   23'第23分钟，伊斯科后场左路长距离直传，C罗反越位突入禁区左侧斜射滑出远门柱
26'拉莫斯停球没停好，被博努奇上抢拦截                   23'第23分钟，伊斯科后场左路长距离直传，C罗反越位突入禁区左侧斜射滑出远门柱
26'博努奇的直塞打身后，卡西出击到禁区外，轻松将球控制                   23'第23分钟，伊斯科后场左路长距离直传，C罗反越位突入禁区左侧斜射滑出远门柱
27'皇马扳平比分！！！！                   27'皇马第27分钟扳平比分
27'C罗，头球顶进网窝！！！                   27'皇马第27分钟扳平比分
28'卡瓦哈尔右路挑传球到禁区，J罗凌空抢在博努奇之前起球到门前，球越过出击的布冯，C罗后点跟进，头球顶进空门！！！                   27'皇马第27分钟扳平比分
29'这是C罗本赛季欧冠的第9粒进球                   27'皇马第27分钟扳平比分
29'C罗前场左路拿球，马尔基西奥防守，上抢出脚将球破坏出边线                   27'皇马第27分钟扳平比分
