1'上半场比赛开始                   1'提前出线的皇马第1分钟轻松控制比赛节奏
1'克罗斯中场争抢被吹犯规                   1'提前出线的皇马第1分钟轻松控制比赛节奏
1'巴塞尔的球衣颜色很想西甲的巴萨啊                   1'提前出线的皇马第1分钟轻松控制比赛节奏
2'拉莫斯后场过顶长传找贝尔                   1'提前出线的皇马第1分钟轻松控制比赛节奏
2'瓦茨利克出击，大禁区线上将球解围                   1'提前出线的皇马第1分钟轻松控制比赛节奏
2'不过主裁判同时鸣哨，吹罚了贝尔的越位在先                   1'提前出线的皇马第1分钟轻松控制比赛节奏
3'巴塞尔右路的直塞给到前插的冈萨雷斯                   1'提前出线的皇马第1分钟轻松控制比赛节奏
3'冈萨雷斯横传球找加什，瓦拉内上抢失误                   1'提前出线的皇马第1分钟轻松控制比赛节奏
4'冈萨雷斯中路拿球，摆脱补防球员再给冈萨雷斯                   1'提前出线的皇马第1分钟轻松控制比赛节奏
4'冈萨雷斯停球准备打门，裁判鸣哨，越位在先                   1'提前出线的皇马第1分钟轻松控制比赛节奏
4'C罗前场左路拿球，强突被放倒在地                   1'提前出线的皇马第1分钟轻松控制比赛节奏
20'科恩特朗左路拿球，直塞，克罗斯故意一漏，J罗前插拿到                   20'第20分钟，本泽马传球，C-罗纳尔多禁区左侧的射门被瓦茨利克救下
20'J罗拿球强突，横传再给跟进的科恩特朗                   20'第20分钟，本泽马传球，C-罗纳尔多禁区左侧的射门被瓦茨利克救下
20'科恩特朗的下底传中，被后卫挡出禁区                   20'第20分钟，本泽马传球，C-罗纳尔多禁区左侧的射门被瓦茨利克救下
20'C罗左路拿球，强突，内切后小角度打门，被瓦茨利克控制                   20'第20分钟，本泽马传球，C-罗纳尔多禁区左侧的射门被瓦茨利克救下
21'上半场比赛20分钟，比分依旧是0-0                   20'第20分钟，本泽马传球，C-罗纳尔多禁区左侧的射门被瓦茨利克救下
21'巴塞尔右后场的抢断，德根直塞找前插的冈萨雷斯                   20'第20分钟，本泽马传球，C-罗纳尔多禁区左侧的射门被瓦茨利克救下
22'瓦拉内卡住身位，等待回防的拉莫斯将球控制                   20'第20分钟，本泽马传球，C-罗纳尔多禁区左侧的射门被瓦茨利克救下
23'C罗左路拿球，趟出两步后横传给到本泽马                   20'第20分钟，本泽马传球，C-罗纳尔多禁区左侧的射门被瓦茨利克救下
23'本泽马背身拿球，靠着对手转身分边右侧给贝尔                   20'第20分钟，本泽马传球，C-罗纳尔多禁区左侧的射门被瓦茨利克救下
35'加什拿球，内切后横传中间，祖菲的起脚打门，打偏                   35'皇马第35分钟打破僵局，本泽马强突禁区左侧底线附近传中，C-罗纳尔多近距离推射空门入网
35'进球啦！！！                   35'皇马第35分钟打破僵局，本泽马强突禁区左侧底线附近传中，C-罗纳尔多近距离推射空门入网
35'C罗进球！！！                   35'皇马第35分钟打破僵局，本泽马强突禁区左侧底线附近传中，C-罗纳尔多近距离推射空门入网
36'本泽马左路拿球，强突摆脱德根，前点面对出击的瓦茨利克，横传门前，C罗跟进推射空门打进！！！保姆式的助攻啊，太轻松                   35'皇马第35分钟打破僵局，本泽马强突禁区左侧底线附近传中，C-罗纳尔多近距离推射空门入网
37'伊斯科后场拿球，挑传找阿韦洛亚，直接出了边线                   35'皇马第35分钟打破僵局，本泽马强突禁区左侧底线附近传中，C-罗纳尔多近距离推射空门入网
38'恩博洛前场左路和祖菲的配合，恩博洛被吹越位在先                   35'皇马第35分钟打破僵局，本泽马强突禁区左侧底线附近传中，C-罗纳尔多近距离推射空门入网
44'巴塞尔前场右侧角球机会，不过并未形成威胁                   44'第44分钟，德根右路传中，埃姆博洛前点小禁区边缘射门偏出近角
44'巴塞尔前场抢断，斜传球到禁区，恩博洛的包抄打门，踢偏                   44'第44分钟，德根右路传中，埃姆博洛前点小禁区边缘射门偏出近角
44'德根回防中犯规，被主裁判出示黄牌警告！！！                   44'第44分钟，德根右路传中，埃姆博洛前点小禁区边缘射门偏出近角
45'贝尔前场右路拿球，转身回敲阿韦洛亚，加什回防争抢将球碰出边线                   44'第44分钟，德根右路传中，埃姆博洛前点小禁区边缘射门偏出近角
46'下半场比赛开始，皇马开球                   44'第44分钟，德根右路传中，埃姆博洛前点小禁区边缘射门偏出近角
46'德国主帅勒夫场边遇到粉丝，求合影中。。。                   44'第44分钟，德根右路传中，埃姆博洛前点小禁区边缘射门偏出近角
46'科恩特朗左路的斜传球，直接出了底线                   44'第44分钟，德根右路传中，埃姆博洛前点小禁区边缘射门偏出近角
47'冈萨雷斯中场拿球强突，拉莫斯上抢，冈萨雷斯摔倒在地                   44'第44分钟，德根右路传中，埃姆博洛前点小禁区边缘射门偏出近角
56'巴塞尔前场进攻，弗雷中路拿球，摆脱后斜塞禁区左侧给加什                   56'巴塞尔第56分钟险些扳平，弗雷中路连过2人传球，加希晃过阿韦罗亚后15码处劲射被瓦拉内挡高出横梁
