1'上半场比赛开始                   1'第1分钟国安率先展开快速冲击，第2分钟，邵佳一中路大力远射打高
1'首先由客队国安开球，国安从右向左进攻                   1'第1分钟国安率先展开快速冲击，第2分钟，邵佳一中路大力远射打高
1'国安右路的斜传球到前插，孙继海转身在乌塔卡之前将球拦截                   1'第1分钟国安率先展开快速冲击，第2分钟，邵佳一中路大力远射打高
2'现场球迷很嗨啊，比赛才开始，烟火已经起来啦                   1'第1分钟国安率先展开快速冲击，第2分钟，邵佳一中路大力远射打高
2'国安前场抢断，邵佳一禁区外得球直接一脚怒射，打高                   1'第1分钟国安率先展开快速冲击，第2分钟，邵佳一中路大力远射打高
3'人和右路的直塞球找曲波，徐云龙回防将球拦截                   1'第1分钟国安率先展开快速冲击，第2分钟，邵佳一中路大力远射打高
3'徐云龙面对曲波的上抢，转身将球踢向前场                   1'第1分钟国安率先展开快速冲击，第2分钟，邵佳一中路大力远射打高
4'开场来看，双方打的都很小心，毕竟为了亚冠资格都输不起                   1'第1分钟国安率先展开快速冲击，第2分钟，邵佳一中路大力远射打高
4'邵佳一前场争顶，头球后蹭给格隆                   1'第1分钟国安率先展开快速冲击，第2分钟，邵佳一中路大力远射打高
4'可惜太靠边线，格隆停球时球先出边线                   1'第1分钟国安率先展开快速冲击，第2分钟，邵佳一中路大力远射打高
10'人和前场再组织进攻，右边路的传中，徐云龙前点头球解围                   10'第10分钟，国安反击受阻，但格隆单兵抢断孙继海后分球，邵佳一右翼低射被张烈没收
11'国安后场过顶长传，孙继海转身，在格隆之前拦截                   10'第10分钟，国安反击受阻，但格隆单兵抢断孙继海后分球，邵佳一右翼低射被张烈没收
11'格隆原地反抢，从孙继海脚下抢断，带球进入禁区                   10'第10分钟，国安反击受阻，但格隆单兵抢断孙继海后分球，邵佳一右翼低射被张烈没收
11'小禁区右侧回传乌塔卡，萨利伸脚解围                   10'第10分钟，国安反击受阻，但格隆单兵抢断孙继海后分球，邵佳一右翼低射被张烈没收
11'张辛昕禁区外拔脚怒射，太正，也没什么力量，直接被张烈没收                   10'第10分钟，国安反击受阻，但格隆单兵抢断孙继海后分球，邵佳一右翼低射被张烈没收
12'人和的右路进攻，赢得角球机会                   10'第10分钟，国安反击受阻，但格隆单兵抢断孙继海后分球，邵佳一右翼低射被张烈没收
12'米西角球开出到前点，国安球员头球后蹭，直接顶出了左侧边线                   10'第10分钟，国安反击受阻，但格隆单兵抢断孙继海后分球，邵佳一右翼低射被张烈没收
13'张成林前场左路拿球，一扣摆脱防守，斜传门前                   10'第10分钟，国安反击受阻，但格隆单兵抢断孙继海后分球，邵佳一右翼低射被张烈没收
13'杨智出击，在米西之前将球封堵出底线                   10'第10分钟，国安反击受阻，但格隆单兵抢断孙继海后分球，邵佳一右翼低射被张烈没收
13'人和再次获得右侧角球机会，米西主罚                   10'第10分钟，国安反击受阻，但格隆单兵抢断孙继海后分球，邵佳一右翼低射被张烈没收
13'角球开出到禁区，第一点被国安球员解围                   10'第10分钟，国安反击受阻，但格隆单兵抢断孙继海后分球，邵佳一右翼低射被张烈没收
13'纳诺禁区外得到第二落点，再次斜传禁区，直接出了底线                   10'第10分钟，国安反击受阻，但格隆单兵抢断孙继海后分球，邵佳一右翼低射被张烈没收
17'陈昌源右路45度斜传球到禁区，杨智出击直接揽入怀中                   17'第17分钟，人和在前场传递、拼抢形成连续控制，米西莫维奇外围远射被克里梅茨挡出底线
18'李春郁中圈拿球，横传给到右路的陈昌源                   17'第17分钟，人和在前场传递、拼抢形成连续控制，米西莫维奇外围远射被克里梅茨挡出底线
18'陈昌源和于海的配合，于海拿球连续的摆脱，差点失误啊                   17'第17分钟，人和在前场传递、拼抢形成连续控制，米西莫维奇外围远射被克里梅茨挡出底线
19'米西前场拿球，禁区外直接一脚远射，球打在邵佳一身上出了底线                   17'第17分钟，人和在前场传递、拼抢形成连续控制，米西莫维奇外围远射被克里梅茨挡出底线
19'人和左侧角球机会，米西主罚                   17'第17分钟，人和在前场传递、拼抢形成连续控制，米西莫维奇外围远射被克里梅茨挡出底线
19'米西角球开出到后点，克里梅茨力压拉法将球解围出边线                   17'第17分钟，人和在前场传递、拼抢形成连续控制，米西莫维奇外围远射被克里梅茨挡出底线
20'人和界外球直接掷到禁区，国安球员抢先解围                   17'第17分钟，人和在前场传递、拼抢形成连续控制，米西莫维奇外围远射被克里梅茨挡出底线
20'张成林外围得球，25米开外的起脚打门，偏出球门出了底线                   17'第17分钟，人和在前场传递、拼抢形成连续控制，米西莫维奇外围远射被克里梅茨挡出底线
26'克里梅茨后场的过顶长传找乌塔卡，直接传出了边线                   26'第26分钟，曲波禁区前调整攻门被杨智侧扑挡出
26'人和的前场机会，曲波禁区弧顶的打门，被杨智封堵                    26'第26分钟，曲波禁区前调整攻门被杨智侧扑挡出
27'徐云龙和周挺合力抢到第二落点，将球解围                   26'第26分钟，曲波禁区前调整攻门被杨智侧扑挡出
27'人和前场控球再攻，周挺和拉法争抢中后者倒在禁区                   26'第26分钟，曲波禁区前调整攻门被杨智侧扑挡出
27'不过主裁判塔基并未表示，这让拉法很不满                   26'第26分钟，曲波禁区前调整攻门被杨智侧扑挡出
28'比赛暂时中断，塔基口头警告一翻拉法，拉法再抗议估计要领黄袍啦                   26'第26分钟，曲波禁区前调整攻门被杨智侧扑挡出
28'米西前场拿球，直塞给到纳诺                   26'第26分钟，曲波禁区前调整攻门被杨智侧扑挡出
29'纳诺停球转身，可惜脚下打滑，转身时自己摔倒在地，球被国安球员控制                   26'第26分钟，曲波禁区前调整攻门被杨智侧扑挡出
29'因为近期贵阳雨水不断，场地比较湿滑                   26'第26分钟，曲波禁区前调整攻门被杨智侧扑挡出
29'人和前场再攻，米西禁区外的挑传球到禁区                   26'第26分钟，曲波禁区前调整攻门被杨智侧扑挡出
33'国安中场的过顶球找前插的朴成                   33'第33分钟，邵佳一右翼突然远距离抽射制造威胁，张烈倒地将球扑出底线；张稀哲角球传中后，朴成禁区内凌空低射打偏
33'朴成稍慢，球落地后加速滚出底线                   33'第33分钟，邵佳一右翼突然远距离抽射制造威胁，张烈倒地将球扑出底线；张稀哲角球传中后，朴成禁区内凌空低射打偏
34'国安中场抢断，邵佳一拿球反击，禁区外再次发炮                   33'第33分钟，邵佳一右翼突然远距离抽射制造威胁，张烈倒地将球扑出底线；张稀哲角球传中后，朴成禁区内凌空低射打偏
34'角度很不错，张烈奋力将球扑出点                   33'第33分钟，邵佳一右翼突然远距离抽射制造威胁，张烈倒地将球扑出底线；张稀哲角球传中后，朴成禁区内凌空低射打偏
34'底线                   33'第33分钟，邵佳一右翼突然远距离抽射制造威胁，张烈倒地将球扑出底线；张稀哲角球传中后，朴成禁区内凌空低射打偏
34'国安右侧角球机会，张稀哲主罚                   33'第33分钟，邵佳一右翼突然远距离抽射制造威胁，张烈倒地将球扑出底线；张稀哲角球传中后，朴成禁区内凌空低射打偏
34'张稀哲角球开出到禁区，朴成插上打门，踢茨了。。。                   33'第33分钟，邵佳一右翼突然远距离抽射制造威胁，张烈倒地将球扑出底线；张稀哲角球传中后，朴成禁区内凌空低射打偏
35'李春郁 中场抢断，横传给到纳诺                   33'第33分钟，邵佳一右翼突然远距离抽射制造威胁，张烈倒地将球扑出底线；张稀哲角球传中后，朴成禁区内凌空低射打偏
35'纳诺转身直塞给到米西，米西带球到禁区弧顶分左侧给于海                   33'第33分钟，邵佳一右翼突然远距离抽射制造威胁，张烈倒地将球扑出底线；张稀哲角球传中后，朴成禁区内凌空低射打偏
