1'热那亚球员库奇卡拼抢犯规,对手获得控球权.                   1'赛前默哀1分钟，悼念25日在阿富汗遇袭受伤身亡的意大利士兵基耶罗蒂
1'德容为AC米兰赢得一个任意球.                   1'赛前默哀1分钟，悼念25日在阿富汗遇袭受伤身亡的意大利士兵基耶罗蒂
3'AC米兰球员耶佩斯一脚直塞球给安东尼尼,但是边裁举旗显示后者已经越位.                   1'赛前默哀1分钟，悼念25日在阿富汗遇袭受伤身亡的意大利士兵基耶罗蒂
4'热那亚球员扬科维奇拼抢犯规,对手获得控球权.                   1'赛前默哀1分钟，悼念25日在阿富汗遇袭受伤身亡的意大利士兵基耶罗蒂
4'安东尼尼为AC米兰赢得一个任意球.                   1'赛前默哀1分钟，悼念25日在阿富汗遇袭受伤身亡的意大利士兵基耶罗蒂
18'博沃为热那亚赢得一个任意球.                   17'第17分钟，萨帕塔解围踢到安东内利身上，安东内利禁区左侧传中，阿梅利亚前点击球又打在因莫比莱胸口上折射偏出近门柱
18'AC米兰球员埃马纽尔森危险动作,对手获得控球权.                   17'第17分钟，萨帕塔解围踢到安东内利身上，安东内利禁区左侧传中，阿梅利亚前点击球又打在因莫比莱胸口上折射偏出近门柱
20'热那亚球员贝尔托拉奇拼抢犯规,对手获得控球权.                   17'第17分钟，萨帕塔解围踢到安东内利身上，安东内利禁区左侧传中，阿梅利亚前点击球又打在因莫比莱胸口上折射偏出近门柱
20'沙拉维为AC米兰在左路,赢得一个任意球.                   17'第17分钟，萨帕塔解围踢到安东内利身上，安东内利禁区左侧传中，阿梅利亚前点击球又打在因莫比莱胸口上折射偏出近门柱
29'AC米兰球员沙拉维大禁区外右脚射门,被防守球员封堵.                   29'第29分钟，帕托左路内切禁区弧顶抽射被博沃挡出远门柱，埃马纽尔森右侧开出角球，德容禁区边缘推射被封堵
29'博沃将球处理出底线,AC米兰获得角球.                   29'第29分钟，帕托左路内切禁区弧顶抽射被博沃挡出远门柱，埃马纽尔森右侧开出角球，德容禁区边缘推射被封堵
30'AC米兰球员德容大禁区外右脚射门,被防守球员封堵.给他传球的是埃马纽尔森.                   29'第29分钟，帕托左路内切禁区弧顶抽射被博沃挡出远门柱，埃马纽尔森右侧开出角球，德容禁区边缘推射被封堵
32'热那亚球员博沃拼抢犯规,对手获得控球权.                   29'第29分钟，帕托左路内切禁区弧顶抽射被博沃挡出远门柱，埃马纽尔森右侧开出角球，德容禁区边缘推射被封堵
