1'上半场比赛开始                   1'周中欧冠输球令阿森纳倍感压力，酋长球场第1分钟也显得十分安静
1'身穿红白球衣的阿森纳，从画面的左侧向右进攻                   1'周中欧冠输球令阿森纳倍感压力，酋长球场第1分钟也显得十分安静
2'在刚刚结束的一场本轮焦点战中，利物浦2-1战胜了曼城！！！                   1'周中欧冠输球令阿森纳倍感压力，酋长球场第1分钟也显得十分安静
2'桑切斯左路拿球，直塞找前插的吉布斯                   1'周中欧冠输球令阿森纳倍感压力，酋长球场第1分钟也显得十分安静
3'吉布斯停球横传找吉鲁，被后卫出脚破坏                   1'周中欧冠输球令阿森纳倍感压力，酋长球场第1分钟也显得十分安静
3'周中欧冠吉鲁浪费多次良机，本场比赛，温格选择继续信任爱将                   1'周中欧冠输球令阿森纳倍感压力，酋长球场第1分钟也显得十分安静
4'同时欧冠替补登场打进一球，之后因为失误，被对手反击进球的小将张伯伦，同样得到首发机会                   1'周中欧冠输球令阿森纳倍感压力，酋长球场第1分钟也显得十分安静
4'看看这两人对于温格的信任，会有怎样的回报了                   1'周中欧冠输球令阿森纳倍感压力，酋长球场第1分钟也显得十分安静
4'埃弗顿右路的过顶球找卢卡库                   1'周中欧冠输球令阿森纳倍感压力，酋长球场第1分钟也显得十分安静
27'卡索拉中场抢断，带球强突，分边左侧给吉布斯                   27'阿森纳首次射门出现在第27分钟，桑切斯左路传中，但吉鲁小禁区边缘的头球攻门偏出左侧立柱，场边一片叹息
27'吉布斯再给桑切斯，桑切斯横传厄齐尔                   27'阿森纳首次射门出现在第27分钟，桑切斯左路传中，但吉鲁小禁区边缘的头球攻门偏出左侧立柱，场边一片叹息
27'厄齐尔直塞还给桑切斯，桑切斯左路下底传中到门前                   27'阿森纳首次射门出现在第27分钟，桑切斯左路传中，但吉鲁小禁区边缘的头球攻门偏出左侧立柱，场边一片叹息
28'吉鲁跟进，抢点头球攻门，可惜顶偏了！！！                   27'阿森纳首次射门出现在第27分钟，桑切斯左路传中，但吉鲁小禁区边缘的头球攻门偏出左侧立柱，场边一片叹息
28'这是上半场至今，阿森纳最具威胁的一次进攻                   27'阿森纳首次射门出现在第27分钟，桑切斯左路传中，但吉鲁小禁区边缘的头球攻门偏出左侧立柱，场边一片叹息
28'贝莱林右路拿球，直塞给到前插的张伯伦                   27'阿森纳首次射门出现在第27分钟，桑切斯左路传中，但吉鲁小禁区边缘的头球攻门偏出左侧立柱，场边一片叹息
