7'吴曦为江苏舜天赢得一个任意球.                   7'比赛第7分钟，达纳拉赫禁区外远射被挡出，刘建业禁区外得球再射，球被杨程没收
7'山东鲁能球员韩鹏手球犯规,对手获得球权.                   7'比赛第7分钟，达纳拉赫禁区外远射被挡出，刘建业禁区外得球再射，球被杨程没收
7'江苏舜天球员达纳拉赫大禁区外左脚射门,被防守球员封堵.                   7'比赛第7分钟，达纳拉赫禁区外远射被挡出，刘建业禁区外得球再射，球被杨程没收
7'射门!!!江苏舜天球员刘建业大禁区外右脚射门,被对方守门员横身扑出.                   7'比赛第7分钟，达纳拉赫禁区外远射被挡出，刘建业禁区外得球再射，球被杨程没收
8'山东鲁能球员Vágner Love球门左侧小角度尝试左脚射门,可惜皮球稍稍偏出了左球门.                   7'比赛第7分钟，达纳拉赫禁区外远射被挡出，刘建业禁区外得球再射，球被杨程没收
9'郑铮将球处理出底线,江苏舜天获得角球.                   7'比赛第7分钟，达纳拉赫禁区外远射被挡出，刘建业禁区外得球再射，球被杨程没收
9'安塔尔将球处理出底线,江苏舜天获得角球.                   7'比赛第7分钟，达纳拉赫禁区外远射被挡出，刘建业禁区外得球再射，球被杨程没收
9'江苏舜天球员达纳拉赫小禁区左侧头球,被防守球员封堵.给他传球的是邓卓翔.                   7'比赛第7分钟，达纳拉赫禁区外远射被挡出，刘建业禁区外得球再射，球被杨程没收
10'周云为江苏舜天赢得一个任意球.                   7'比赛第7分钟，达纳拉赫禁区外远射被挡出，刘建业禁区外得球再射，球被杨程没收
10'山东鲁能球员韩鹏手球犯规,对手获得球权.                   7'比赛第7分钟，达纳拉赫禁区外远射被挡出，刘建业禁区外得球再射，球被杨程没收
9'郑铮将球处理出底线,江苏舜天获得角球.                   9'第9分钟，江苏舜天快速反击中送出妙传，郑铮在门前抢先一脚将球踢出底线
9'安塔尔将球处理出底线,江苏舜天获得角球.                   9'第9分钟，江苏舜天快速反击中送出妙传，郑铮在门前抢先一脚将球踢出底线
9'江苏舜天球员达纳拉赫小禁区左侧头球,被防守球员封堵.给他传球的是邓卓翔.                   9'第9分钟，江苏舜天快速反击中送出妙传，郑铮在门前抢先一脚将球踢出底线
10'周云为江苏舜天赢得一个任意球.                   9'第9分钟，江苏舜天快速反击中送出妙传，郑铮在门前抢先一脚将球踢出底线
10'山东鲁能球员韩鹏手球犯规,对手获得球权.                   9'第9分钟，江苏舜天快速反击中送出妙传，郑铮在门前抢先一脚将球踢出底线
11'江苏舜天球员达纳拉赫大禁区左侧右脚射门,被防守球员封堵.给他传球的是耶夫蒂奇.                   9'第9分钟，江苏舜天快速反击中送出妙传，郑铮在门前抢先一脚将球踢出底线
11'王彤将球处理出底线,江苏舜天获得角球.                   9'第9分钟，江苏舜天快速反击中送出妙传，郑铮在门前抢先一脚将球踢出底线
11'江苏舜天球员吴曦大禁区外尝试右脚射门,可惜皮球高出球门.                   9'第9分钟，江苏舜天快速反击中送出妙传，郑铮在门前抢先一脚将球踢出底线
13'李炽将球处理出底线,山东鲁能获得角球.                   13'第13分钟，山东鲁能角球进攻，蒿俊闵弧线球传中，安塔尔头球攻门，关震飞身将球
13'射门!!!山东鲁能球员安塔尔大禁区中央头球,被对方守门员横身扑出.给他传球的是蒿俊闵.                   13'第13分钟，山东鲁能角球进攻，蒿俊闵弧线球传中，安塔尔头球攻门，关震飞身将球
13'关震将球处理出底线,山东鲁能获得角球.                   13'第13分钟，山东鲁能角球进攻，蒿俊闵弧线球传中，安塔尔头球攻门，关震飞身将球
14'耶夫蒂奇将球处理出底线,山东鲁能获得角球.                   13'第13分钟，山东鲁能角球进攻，蒿俊闵弧线球传中，安塔尔头球攻门，关震飞身将球
14'山东鲁能受伤倒地,比赛暂停                   13'第13分钟，山东鲁能角球进攻，蒿俊闵弧线球传中，安塔尔头球攻门，关震飞身将球
15'暂停结束,球员们重新开始比赛.                   13'第13分钟，山东鲁能角球进攻，蒿俊闵弧线球传中，安塔尔头球攻门，关震飞身将球
17'黄牌！山东鲁能球员Vágner Love因为故意手球,被主裁判出示黄牌.                   17'第17分钟，山东鲁能中路长传，蒿俊闵利用速度突破成功，在底线附近回传，马塞纳禁区线远射打飞
17'山东鲁能球员马塞纳大禁区中央尝试右脚射门,可惜皮球高出球门.给他传球的是蒿俊闵.                   17'第17分钟，山东鲁能中路长传，蒿俊闵利用速度突破成功，在底线附近回传，马塞纳禁区线远射打飞
18'江苏舜天球员吉翔大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是吴曦.                   17'第17分钟，山东鲁能中路长传，蒿俊闵利用速度突破成功，在底线附近回传，马塞纳禁区线远射打飞
20'江苏舜天球员李炽拼抢犯规,对手获得控球权.                   17'第17分钟，山东鲁能中路长传，蒿俊闵利用速度突破成功，在底线附近回传，马塞纳禁区线远射打飞
20'崔鹏为山东鲁能在对方半场,赢得一个任意球.                   17'第17分钟，山东鲁能中路长传，蒿俊闵利用速度突破成功，在底线附近回传，马塞纳禁区线远射打飞
20'江苏舜天球员李炽拼抢犯规,对手获得控球权.                   20'第20分钟，崔鹏与安塔尔二过二配合后被放倒，山东鲁能获得禁区线上的任意球，郑铮大力远射被人墙挡出
20'崔鹏为山东鲁能在对方半场,赢得一个任意球.                   20'第20分钟，崔鹏与安塔尔二过二配合后被放倒，山东鲁能获得禁区线上的任意球，郑铮大力远射被人墙挡出
21'山东鲁能球员郑铮大禁区外左脚射门,被防守球员封堵.                   20'第20分钟，崔鹏与安塔尔二过二配合后被放倒，山东鲁能获得禁区线上的任意球，郑铮大力远射被人墙挡出
21'刘建业将球处理出底线,山东鲁能获得角球.                   20'第20分钟，崔鹏与安塔尔二过二配合后被放倒，山东鲁能获得禁区线上的任意球，郑铮大力远射被人墙挡出
22'山东鲁能球员麦克格文大禁区外右脚射门,被防守球员封堵.                   20'第20分钟，崔鹏与安塔尔二过二配合后被放倒，山东鲁能获得禁区线上的任意球，郑铮大力远射被人墙挡出
22'江苏舜天球员达纳拉赫大禁区中央尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是耶夫蒂奇.                   20'第20分钟，崔鹏与安塔尔二过二配合后被放倒，山东鲁能获得禁区线上的任意球，郑铮大力远射被人墙挡出
24'达纳拉赫为江苏舜天在左路,赢得一个任意球.                   24'第24分钟，邓卓翔任意球送出妙传，周云包抄射门未能碰到皮球
24'山东鲁能球员崔鹏手球犯规,对手获得球权.                   24'第24分钟，邓卓翔任意球送出妙传，周云包抄射门未能碰到皮球
25'江苏舜天球员邓卓翔拼抢犯规,对手获得控球权.                   24'第24分钟，邓卓翔任意球送出妙传，周云包抄射门未能碰到皮球
25'安塔尔为山东鲁能在对方半场,赢得一个任意球.                   24'第24分钟，邓卓翔任意球送出妙传，周云包抄射门未能碰到皮球
26'山东鲁能球员Vágner Love大禁区外尝试左脚射门,可惜皮球高出球门.给他传球的是安塔尔.                   24'第24分钟，邓卓翔任意球送出妙传，周云包抄射门未能碰到皮球
26'吉翔为江苏舜天在右路,赢得一个任意球.                   24'第24分钟，邓卓翔任意球送出妙传，周云包抄射门未能碰到皮球
26'山东鲁能球员郑铮手球犯规,对手获得球权.                   24'第24分钟，邓卓翔任意球送出妙传，周云包抄射门未能碰到皮球
27'江苏舜天球员刘建业一脚直塞球给达纳拉赫,但是边裁举旗显示后者已经越位.                   24'第24分钟，邓卓翔任意球送出妙传，周云包抄射门未能碰到皮球
28'耶夫蒂奇为江苏舜天赢得一个任意球.                   28'第28分钟，邓卓翔边路拿球后直接弧线球吊门，杨程在门线上将球托出底线
28'山东鲁能球员王彤手球犯规,对手获得球权.                   28'第28分钟，邓卓翔边路拿球后直接弧线球吊门，杨程在门线上将球托出底线
28'射门!!!江苏舜天球员李炽左侧很远处右脚射门,被对方守门员横身扑出.给他传球的是耶夫蒂奇.                   28'第28分钟，邓卓翔边路拿球后直接弧线球吊门，杨程在门线上将球托出底线
28'杨程将球处理出底线,江苏舜天获得角球.                   28'第28分钟，邓卓翔边路拿球后直接弧线球吊门，杨程在门线上将球托出底线
28'江苏舜天球员李炽球门线跟前头球,命中门柱横梁.给他传球的是邓卓翔.                   28'第28分钟，邓卓翔边路拿球后直接弧线球吊门，杨程在门线上将球托出底线
30'江苏舜天邓卓翔受伤倒地,比赛暂停                   28'第28分钟，邓卓翔边路拿球后直接弧线球吊门，杨程在门线上将球托出底线
30'暂停结束,球员们重新开始比赛.                   28'第28分钟，邓卓翔边路拿球后直接弧线球吊门，杨程在门线上将球托出底线
30'江苏舜天球员达纳拉赫拼抢犯规,对手获得控球权.                   28'第28分钟，邓卓翔边路拿球后直接弧线球吊门，杨程在门线上将球托出底线
30'麦克格文为山东鲁能赢得一个任意球.                   28'第28分钟，邓卓翔边路拿球后直接弧线球吊门，杨程在门线上将球托出底线
31'山东鲁能球员韩鹏小禁区左侧尝试左脚射门,可惜皮球稍稍偏出了左球门.给他传球的是马塞纳.                   28'第28分钟，邓卓翔边路拿球后直接弧线球吊门，杨程在门线上将球托出底线
31'山东鲁能球员韩鹏小禁区左侧尝试左脚射门,可惜皮球稍稍偏出了左球门.给他传球的是马塞纳.                   31'第31分钟，马塞纳边路突破到底线附近后横扫门前，韩鹏跟进不停球直接射门，球打偏了
33'山东鲁能球员蒿俊闵大禁区外右脚射门,被防守球员封堵.                   31'第31分钟，马塞纳边路突破到底线附近后横扫门前，韩鹏跟进不停球直接射门，球打偏了
34'李炽将球处理出底线,山东鲁能获得角球.                   31'第31分钟，马塞纳边路突破到底线附近后横扫门前，韩鹏跟进不停球直接射门，球打偏了
37'射门!!!江苏舜天球员达纳拉赫大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是耶夫蒂奇.                   37'第37分钟，江苏舜天打破僵局，达纳拉赫与耶夫蒂奇二过一配合杀入禁区后射门被杨程扑出，邓卓翔门前铲射打在杨程头上反弹入球门，江苏舜天1-0领先
37'进球啦！！！江苏舜天球员邓卓翔球门线跟前右脚射门,球从中路飞进球门,球进了! 江苏舜天 1-0 山东鲁能.                   37'第37分钟，江苏舜天打破僵局，达纳拉赫与耶夫蒂奇二过一配合杀入禁区后射门被杨程扑出，邓卓翔门前铲射打在杨程头上反弹入球门，江苏舜天1-0领先
41'达纳拉赫为江苏舜天赢得一个任意球.                   41'第41分钟，李松益防守犯规被吹后仍然踢球，被主裁判黄牌警告
41'山东鲁能球员李松益手球犯规,对手获得球权.                   41'第41分钟，李松益防守犯规被吹后仍然踢球，被主裁判黄牌警告
41'黄牌！山东鲁能球员李松益因为恶意犯规,被主裁判出示黄牌.                   41'第41分钟，李松益防守犯规被吹后仍然踢球，被主裁判黄牌警告
42'江苏舜天球员刘建业拼抢犯规,对手获得控球权.                   41'第41分钟，李松益防守犯规被吹后仍然踢球，被主裁判黄牌警告
