1'比赛开始！切尔西开球！                   1'双方第1分钟均小心谨慎
1'禁区右侧佩德罗往里突！兰多夫出来解围！                   1'双方第1分钟均小心谨慎
2'后场小法低平往前给！左侧克雷斯维尔出脚踢出界！                   1'双方第1分钟均小心谨慎
3'左侧卡希尔给到前场坎特！再分右侧阿隆索！                   1'双方第1分钟均小心谨慎
3'费古利拦截下来！低平给摩西！                   1'双方第1分钟均小心谨慎
3'中场被阿扎尔拦截下来！往前走！                   1'双方第1分钟均小心谨慎
4'遭遇逼抢！被放倒了！西汉姆联犯规了！                   1'双方第1分钟均小心谨慎
4'任意球！禁区中路！                   1'双方第1分钟均小心谨慎
4'兰多夫出来把球没收！                   1'双方第1分钟均小心谨慎
4'左侧冯特往前给中路！                   1'双方第1分钟均小心谨慎
25'小禁区前沿！卡希尔解围！外围阿扎尔拿到！                   25'切尔西第25分钟打破僵局，坎特后场抢断，阿扎尔反击中横传后继续前插，佩德罗直传，阿扎尔速度甩开出击的兰道夫后射入空门
25'直接被放倒了！                   25'切尔西第25分钟打破僵局，坎特后场抢断，阿扎尔反击中横传后继续前插，佩德罗直传，阿扎尔速度甩开出击的兰道夫后射入空门
25'吹了阿扎尔犯规！                   25'切尔西第25分钟打破僵局，坎特后场抢断，阿扎尔反击中横传后继续前插，佩德罗直传，阿扎尔速度甩开出击的兰道夫后射入空门
25'西汉姆联前场任意球！                   25'切尔西第25分钟打破僵局，坎特后场抢断，阿扎尔反击中横传后继续前插，佩德罗直传，阿扎尔速度甩开出击的兰道夫后射入空门
25'右路直接发力打了！                   25'切尔西第25分钟打破僵局，坎特后场抢断，阿扎尔反击中横传后继续前插，佩德罗直传，阿扎尔速度甩开出击的兰道夫后射入空门
26'坎特断下来！往前给中路阿扎尔！                   25'切尔西第25分钟打破僵局，坎特后场抢断，阿扎尔反击中横传后继续前插，佩德罗直传，阿扎尔速度甩开出击的兰道夫后射入空门
26'直接杀了！禁区右侧骗过门将！推射！                   25'切尔西第25分钟打破僵局，坎特后场抢断，阿扎尔反击中横传后继续前插，佩德罗直传，阿扎尔速度甩开出击的兰道夫后射入空门
26'进了进了！！！！进了进了！！！                   25'切尔西第25分钟打破僵局，坎特后场抢断，阿扎尔反击中横传后继续前插，佩德罗直传，阿扎尔速度甩开出击的兰道夫后射入空门
27'阿扎尔的一个反击！目前１－０暂停领先！                   25'切尔西第25分钟打破僵局，坎特后场抢断，阿扎尔反击中横传后继续前插，佩德罗直传，阿扎尔速度甩开出击的兰道夫后射入空门
27'前场左侧克雷斯维尔给到中路兰奇尼！                   25'切尔西第25分钟打破僵局，坎特后场抢断，阿扎尔反击中横传后继续前插，佩德罗直传，阿扎尔速度甩开出击的兰道夫后射入空门
27'回传左侧里德！                   25'切尔西第25分钟打破僵局，坎特后场抢断，阿扎尔反击中横传后继续前插，佩德罗直传，阿扎尔速度甩开出击的兰道夫后射入空门
28'低平给到中路丰特！                   25'切尔西第25分钟打破僵局，坎特后场抢断，阿扎尔反击中横传后继续前插，佩德罗直传，阿扎尔速度甩开出击的兰道夫后射入空门
28'再分前场左边奥比昂！长传禁区里！                   25'切尔西第25分钟打破僵局，坎特后场抢断，阿扎尔反击中横传后继续前插，佩德罗直传，阿扎尔速度甩开出击的兰道夫后射入空门
28'库尔图瓦稳稳拿到！                   25'切尔西第25分钟打破僵局，坎特后场抢断，阿扎尔反击中横传后继续前插，佩德罗直传，阿扎尔速度甩开出击的兰道夫后射入空门
42'左路卡希尔低平给阿扎尔！内切进去！                   42'切尔西第42分钟险些扩大比分，卡希尔送出直传，阿扎尔突入禁区左侧横传，但中路包抄的科斯塔错过皮球，摩西远点12码处劲射被克雷斯维尔挡出，佩德罗12码处再射又被兰道夫扑出
42'分到中路！摩西插上！射了！                   42'切尔西第42分钟险些扩大比分，卡希尔送出直传，阿扎尔突入禁区左侧横传，但中路包抄的科斯塔错过皮球，摩西远点12码处劲射被克雷斯维尔挡出，佩德罗12码处再射又被兰道夫扑出
42'门将一档！坎特中路再补一脚！                   42'切尔西第42分钟险些扩大比分，卡希尔送出直传，阿扎尔突入禁区左侧横传，但中路包抄的科斯塔错过皮球，摩西远点12码处劲射被克雷斯维尔挡出，佩德罗12码处再射又被兰道夫扑出
42'兰多夫又一个侧扑出底线！                   42'切尔西第42分钟险些扩大比分，卡希尔送出直传，阿扎尔突入禁区左侧横传，但中路包抄的科斯塔错过皮球，摩西远点12码处劲射被克雷斯维尔挡出，佩德罗12码处再射又被兰道夫扑出
42'立功了啊！                   42'切尔西第42分钟险些扩大比分，卡希尔送出直传，阿扎尔突入禁区左侧横传，但中路包抄的科斯塔错过皮球，摩西远点12码处劲射被克雷斯维尔挡出，佩德罗12码处再射又被兰道夫扑出
43'克雷斯维尔这边倒在了地上！看看啥情况~                   42'切尔西第42分钟险些扩大比分，卡希尔送出直传，阿扎尔突入禁区左侧横传，但中路包抄的科斯塔错过皮球，摩西远点12码处劲射被克雷斯维尔挡出，佩德罗12码处再射又被兰道夫扑出
44'继续回到比赛！                   42'切尔西第42分钟险些扩大比分，卡希尔送出直传，阿扎尔突入禁区左侧横传，但中路包抄的科斯塔错过皮球，摩西远点12码处劲射被克雷斯维尔挡出，佩德罗12码处再射又被兰道夫扑出
44'左路路易斯横敲给坎特！                   42'切尔西第42分钟险些扩大比分，卡希尔送出直传，阿扎尔突入禁区左侧横传，但中路包抄的科斯塔错过皮球，摩西远点12码处劲射被克雷斯维尔挡出，佩德罗12码处再射又被兰道夫扑出
45'再转移到小法这一边！给到身前佩德罗！                   42'切尔西第42分钟险些扩大比分，卡希尔送出直传，阿扎尔突入禁区左侧横传，但中路包抄的科斯塔错过皮球，摩西远点12码处劲射被克雷斯维尔挡出，佩德罗12码处再射又被兰道夫扑出
45'回给小法！给插上的坎特！                   42'切尔西第42分钟险些扩大比分，卡希尔送出直传，阿扎尔突入禁区左侧横传，但中路包抄的科斯塔错过皮球，摩西远点12码处劲射被克雷斯维尔挡出，佩德罗12码处再射又被兰道夫扑出
45'倒三角！传禁区！                   42'切尔西第42分钟险些扩大比分，卡希尔送出直传，阿扎尔突入禁区左侧横传，但中路包抄的科斯塔错过皮球，摩西远点12码处劲射被克雷斯维尔挡出，佩德罗12码处再射又被兰道夫扑出
45'中路阿扎尔挑到右路！                   42'切尔西第42分钟险些扩大比分，卡希尔送出直传，阿扎尔突入禁区左侧横传，但中路包抄的科斯塔错过皮球，摩西远点12码处劲射被克雷斯维尔挡出，佩德罗12码处再射又被兰道夫扑出
45'摩西继续传中！                   42'切尔西第42分钟险些扩大比分，卡希尔送出直传，阿扎尔突入禁区左侧横传，但中路包抄的科斯塔错过皮球，摩西远点12码处劲射被克雷斯维尔挡出，佩德罗12码处再射又被兰道夫扑出
67'往中间带一步！被破坏了啊！                   67'第67分钟，阿扎尔传球，科斯塔12码处转身劲射被兰道夫神勇扑出
67'中场兰奇尼分右路奥比昂！低平往前给！被坎特断了！                   67'第67分钟，阿扎尔传球，科斯塔12码处转身劲射被兰道夫神勇扑出
68'找前场阿扎尔！                   67'第67分钟，阿扎尔传球，科斯塔12码处转身劲射被兰道夫神勇扑出
68'右侧内切！再分中间科斯塔！左脚转身过来！射了！                   67'第67分钟，阿扎尔传球，科斯塔12码处转身劲射被兰道夫神勇扑出
68'兰多夫侧扑出底线！                   67'第67分钟，阿扎尔传球，科斯塔12码处转身劲射被兰道夫神勇扑出
68'角球！                   67'第67分钟，阿扎尔传球，科斯塔12码处转身劲射被兰道夫神勇扑出
69'禁区右侧解围出来！                   67'第67分钟，阿扎尔传球，科斯塔12码处转身劲射被兰道夫神勇扑出
69'分右路身前队友兰奇尼！小法上来逼抢犯规了！                   67'第67分钟，阿扎尔传球，科斯塔12码处转身劲射被兰道夫神勇扑出
70'中路诺布尔长传给前场！卡罗尔中间顶一下！门将出来拿到！                   67'第67分钟，阿扎尔传球，科斯塔12码处转身劲射被兰道夫神勇扑出
70'中圈争抢！吹了切尔西队员犯规！                   67'第67分钟，阿扎尔传球，科斯塔12码处转身劲射被兰道夫神勇扑出
92'库亚特分球到右路！斜传前场阿尤！                   92'西汉姆第92分钟扳回一城，法布雷加斯中后场丢球，阿尤突破横传，兰奇尼12码处劲射左下角入网，1-2
92'祖玛出脚挡出边线！                   92'西汉姆第92分钟扳回一城，法布雷加斯中后场丢球，阿尤突破横传，兰奇尼12码处劲射左下角入网，1-2
92'中路马蒂奇拿到！往前长传！这边吹了拜拉姆拉人犯规！                   92'西汉姆第92分钟扳回一城，法布雷加斯中后场丢球，阿尤突破横传，兰奇尼12码处劲射左下角入网，1-2
93'任意球！禁区右侧兰奇尼拿到！直接射了！                   92'西汉姆第92分钟扳回一城，法布雷加斯中后场丢球，阿尤突破横传，兰奇尼12码处劲射左下角入网，1-2
93'进了进了进了！！！！好球！                   92'西汉姆第92分钟扳回一城，法布雷加斯中后场丢球，阿尤突破横传，兰奇尼12码处劲射左下角入网，1-2
93'兰奇尼右脚爆射扳回一球！                   92'西汉姆第92分钟扳回一城，法布雷加斯中后场丢球，阿尤突破横传，兰奇尼12码处劲射左下角入网，1-2
93'继续回到比赛！                   92'西汉姆第92分钟扳回一城，法布雷加斯中后场丢球，阿尤突破横传，兰奇尼12码处劲射左下角入网，1-2
