1'上半场比赛开始了！                   1'巴萨第1分钟控制比赛，莱加内斯则回收退守摆出铁桶阵
1'莱加内斯先开球！                   1'巴萨第1分钟控制比赛，莱加内斯则回收退守摆出铁桶阵
1'开球回给后场！                   1'巴萨第1分钟控制比赛，莱加内斯则回收退守摆出铁桶阵
2'长传球传出了边线！                   1'巴萨第1分钟控制比赛，莱加内斯则回收退守摆出铁桶阵
2'巴塞罗那开球给中场的拉基蒂奇                   1'巴萨第1分钟控制比赛，莱加内斯则回收退守摆出铁桶阵
2'分球给右侧！卡莱斯-阿莱尼亚争抢犯规！                   1'巴萨第1分钟控制比赛，莱加内斯则回收退守摆出铁桶阵
3'边线发球给接应的阿图尔！                   1'巴萨第1分钟控制比赛，莱加内斯则回收退守摆出铁桶阵
3'回给右路罗贝托！                   1'巴萨第1分钟控制比赛，莱加内斯则回收退守摆出铁桶阵
3'再给身前卡莱斯-阿莱尼亚！                   1'巴萨第1分钟控制比赛，莱加内斯则回收退守摆出铁桶阵
4'莱加内斯大脚开球给中场！                   1'巴萨第1分钟控制比赛，莱加内斯则回收退守摆出铁桶阵
4'皮克把球抢断！                   1'巴萨第1分钟控制比赛，莱加内斯则回收退守摆出铁桶阵
4'横敲给右路罗贝托！                   1'巴萨第1分钟控制比赛，莱加内斯则回收退守摆出铁桶阵
32'奎利亚尔大脚开球给前场中路！                   32'巴萨第32分钟打破僵局，皮克后场策动反击，登贝莱分球，阿尔巴左路低传，无人防守的登贝莱12码处第一时间射入右下角
32'维尔马伦后场把球断下啦！                   32'巴萨第32分钟打破僵局，皮克后场策动反击，登贝莱分球，阿尔巴左路低传，无人防守的登贝莱12码处第一时间射入右下角
32'回传给特尔施特根！                   32'巴萨第32分钟打破僵局，皮克后场策动反击，登贝莱分球，阿尔巴左路低传，无人防守的登贝莱12码处第一时间射入右下角
34'卡莱斯-阿莱尼亚给前场左侧阿尔巴！                   32'巴萨第32分钟打破僵局，皮克后场策动反击，登贝莱分球，阿尔巴左路低传，无人防守的登贝莱12码处第一时间射入右下角
34'横敲给禁区内！                   32'巴萨第32分钟打破僵局，皮克后场策动反击，登贝莱分球，阿尔巴左路低传，无人防守的登贝莱12码处第一时间射入右下角
34'奥斯曼-登贝莱跟进一脚推射！                   32'巴萨第32分钟打破僵局，皮克后场策动反击，登贝莱分球，阿尔巴左路低传，无人防守的登贝莱12码处第一时间射入右下角
34'GOOOOOOOOOOOOOAL！！！1-0！                   32'巴萨第32分钟打破僵局，皮克后场策动反击，登贝莱分球，阿尔巴左路低传，无人防守的登贝莱12码处第一时间射入右下角
34'奥斯曼-登贝莱的破门！巴塞罗那1-0领先莱加内斯！                   32'巴萨第32分钟打破僵局，皮克后场策动反击，登贝莱分球，阿尔巴左路低传，无人防守的登贝莱12码处第一时间射入右下角
35'继续比赛！                   32'巴萨第32分钟打破僵局，皮克后场策动反击，登贝莱分球，阿尔巴左路低传，无人防守的登贝莱12码处第一时间射入右下角
35'莱加内斯中场开球给左侧锡瓦斯！                   32'巴萨第32分钟打破僵局，皮克后场策动反击，登贝莱分球，阿尔巴左路低传，无人防守的登贝莱12码处第一时间射入右下角
35'长传球给前场中路！                   32'巴萨第32分钟打破僵局，皮克后场策动反击，登贝莱分球，阿尔巴左路低传，无人防守的登贝莱12码处第一时间射入右下角
35'皮克后场把球断下来！                   32'巴萨第32分钟打破僵局，皮克后场策动反击，登贝莱分球，阿尔巴左路低传，无人防守的登贝莱12码处第一时间射入右下角
35'回传给门将特尔施特根！                   32'巴萨第32分钟打破僵局，皮克后场策动反击，登贝莱分球，阿尔巴左路低传，无人防守的登贝莱12码处第一时间射入右下角
52'奥斯曼-登贝莱右路带球推进！                   52'梅西第52分钟开始热身引来球迷欢呼
52'给身前的罗贝托！                   52'梅西第52分钟开始热身引来球迷欢呼
53'罗贝托的传中球被解围出底线！                   52'梅西第52分钟开始热身引来球迷欢呼
53'角球传中被解围！                   52'梅西第52分钟开始热身引来球迷欢呼
53'莱加内斯后场开球给中场这边的维斯加！                   52'梅西第52分钟开始热身引来球迷欢呼
54'维斯加把球传出了边线！                   52'梅西第52分钟开始热身引来球迷欢呼
55'边线发球给出来！                   52'梅西第52分钟开始热身引来球迷欢呼
55'卡莱斯-阿莱尼亚铲倒了对方球员！                   52'梅西第52分钟开始热身引来球迷欢呼
55'卡莱斯-阿莱尼亚被罚一张黄牌！                   52'梅西第52分钟开始热身引来球迷欢呼
59'罗德里直传球给前场右路恩内斯里！                   57'莱加内斯第57分钟扳平，阿尔巴解围长传球失误，恩内斯里禁区右侧传中，布雷思韦特近距离捅射破门，1-1
59'横敲给禁区内中路！                   57'莱加内斯第57分钟扳平，阿尔巴解围长传球失误，恩内斯里禁区右侧传中，布雷思韦特近距离捅射破门，1-1
59'布雷思韦特插上直接打门！                   57'莱加内斯第57分钟扳平，阿尔巴解围长传球失误，恩内斯里禁区右侧传中，布雷思韦特近距离捅射破门，1-1
59'GOOOOOOOOOOAL！1-1！！                   57'莱加内斯第57分钟扳平，阿尔巴解围长传球失误，恩内斯里禁区右侧传中，布雷思韦特近距离捅射破门，1-1
59'布雷思韦特的破门扳平了比分！！巴塞罗那1-1莱加内斯！                   57'莱加内斯第57分钟扳平，阿尔巴解围长传球失误，恩内斯里禁区右侧传中，布雷思韦特近距离捅射破门，1-1
60'奥斯曼-登贝莱右路带球过来！                   57'莱加内斯第57分钟扳平，阿尔巴解围长传球失误，恩内斯里禁区右侧传中，布雷思韦特近距离捅射破门，1-1
60'分球给中路布斯克茨！                   57'莱加内斯第57分钟扳平，阿尔巴解围长传球失误，恩内斯里禁区右侧传中，布雷思韦特近距离捅射破门，1-1
60'再给右侧奥斯曼-登贝莱！                   57'莱加内斯第57分钟扳平，阿尔巴解围长传球失误，恩内斯里禁区右侧传中，布雷思韦特近距离捅射破门，1-1
60'带球加速突破！                   57'莱加内斯第57分钟扳平，阿尔巴解围长传球失误，恩内斯里禁区右侧传中，布雷思韦特近距离捅射破门，1-1
60'禁区内右侧打门偏出了左侧底线！                   57'莱加内斯第57分钟扳平，阿尔巴解围长传球失误，恩内斯里禁区右侧传中，布雷思韦特近距离捅射破门，1-1
71'梅西把球卸下！                   71'巴萨第71分钟再次超出，梅西横切至禁区弧顶劲射被奎利亚尔单掌勉强扑出，苏亚雷斯近距离捅射入网，2-1
71'防守球员上前把球解围！                   71'巴萨第71分钟再次超出，梅西横切至禁区弧顶劲射被奎利亚尔单掌勉强扑出，苏亚雷斯近距离捅射入网，2-1
72'梅西禁区右侧远射打门！                   71'巴萨第71分钟再次超出，梅西横切至禁区弧顶劲射被奎利亚尔单掌勉强扑出，苏亚雷斯近距离捅射入网，2-1
72'奎利亚尔跃起把球挡下来！                   71'巴萨第71分钟再次超出，梅西横切至禁区弧顶劲射被奎利亚尔单掌勉强扑出，苏亚雷斯近距离捅射入网，2-1
72'禁区中路苏亚雷斯插上补射！！                   71'巴萨第71分钟再次超出，梅西横切至禁区弧顶劲射被奎利亚尔单掌勉强扑出，苏亚雷斯近距离捅射入网，2-1
72'GOOOOOOOOOAL！！！                   71'巴萨第71分钟再次超出，梅西横切至禁区弧顶劲射被奎利亚尔单掌勉强扑出，苏亚雷斯近距离捅射入网，2-1
72'苏亚雷斯的破门！巴塞罗那2-1莱加内斯！                   71'巴萨第71分钟再次超出，梅西横切至禁区弧顶劲射被奎利亚尔单掌勉强扑出，苏亚雷斯近距离捅射入网，2-1
73'奎利亚尔这边倒地不起                   71'巴萨第71分钟再次超出，梅西横切至禁区弧顶劲射被奎利亚尔单掌勉强扑出，苏亚雷斯近距离捅射入网，2-1
73'队医进场治疗。                   71'巴萨第71分钟再次超出，梅西横切至禁区弧顶劲射被奎利亚尔单掌勉强扑出，苏亚雷斯近距离捅射入网，2-1
92'梅西给前场左侧阿尔巴！                   92'巴萨第92分钟锁定胜局，梅西同阿尔巴连续踢墙配合后12码处劲射入网，3-1
92'直塞球给禁区内！                   92'巴萨第92分钟锁定胜局，梅西同阿尔巴连续踢墙配合后12码处劲射入网，3-1
92'梅西跟进推射！！                   92'巴萨第92分钟锁定胜局，梅西同阿尔巴连续踢墙配合后12码处劲射入网，3-1
92'GOOOOOOOOOOAL！！！3-1！！                   92'巴萨第92分钟锁定胜局，梅西同阿尔巴连续踢墙配合后12码处劲射入网，3-1
92'梅西和阿尔巴撞墙配合！梅西推射破门！巴塞罗那3-1莱加内斯！                   92'巴萨第92分钟锁定胜局，梅西同阿尔巴连续踢墙配合后12码处劲射入网，3-1
94'继续比赛！                   92'巴萨第92分钟锁定胜局，梅西同阿尔巴连续踢墙配合后12码处劲射入网，3-1
94'莱加内斯中场争抢犯规！                   92'巴萨第92分钟锁定胜局，梅西同阿尔巴连续踢墙配合后12码处劲射入网，3-1
94'巴塞罗那开定位球给前场左侧拉基蒂奇！                   92'巴萨第92分钟锁定胜局，梅西同阿尔巴连续踢墙配合后12码处劲射入网，3-1
94'拉基蒂奇给身前梅西！                   92'巴萨第92分钟锁定胜局，梅西同阿尔巴连续踢墙配合后12码处劲射入网，3-1
94'梅西的球被解围出去底线！                   92'巴萨第92分钟锁定胜局，梅西同阿尔巴连续踢墙配合后12码处劲射入网，3-1
94'巴塞罗那的左侧角球！                   92'巴萨第92分钟锁定胜局，梅西同阿尔巴连续踢墙配合后12码处劲射入网，3-1
94'开出战术角球给禁区左侧拉基蒂奇！                   92'巴萨第92分钟锁定胜局，梅西同阿尔巴连续踢墙配合后12码处劲射入网，3-1
94'回给禁区左侧梅西！                   92'巴萨第92分钟锁定胜局，梅西同阿尔巴连续踢墙配合后12码处劲射入网，3-1
94'传中到禁区前点！                   92'巴萨第92分钟锁定胜局，梅西同阿尔巴连续踢墙配合后12码处劲射入网，3-1
95'拉基蒂奇迎球打门！这球打飞出了横梁！                   92'巴萨第92分钟锁定胜局，梅西同阿尔巴连续踢墙配合后12码处劲射入网，3-1
