1'上半场比赛开始                   1'双方均有着处理球与传递配合速度快的特点，第1分钟迅速形成快节奏对峙
1'上半场由北京中赫国安中圈开球                   1'双方均有着处理球与传递配合速度快的特点，第1分钟迅速形成快节奏对峙
1'奥古斯托传球失误                   1'双方均有着处理球与传递配合速度快的特点，第1分钟迅速形成快节奏对峙
1'唐淼控球，转移到左侧的弋腾                   1'双方均有着处理球与传递配合速度快的特点，第1分钟迅速形成快节奏对峙
1'张晨龙的长传，也是传大了                   1'双方均有着处理球与传递配合速度快的特点，第1分钟迅速形成快节奏对峙
2'池忠国控球交给奥古斯托                   1'双方均有着处理球与传递配合速度快的特点，第1分钟迅速形成快节奏对峙
2'分左侧的王子铭                   1'双方均有着处理球与传递配合速度快的特点，第1分钟迅速形成快节奏对峙
2'这是金泰延，硬突，唐淼断球                   1'双方均有着处理球与传递配合速度快的特点，第1分钟迅速形成快节奏对峙
2'陈志钊带球出重围                   1'双方均有着处理球与传递配合速度快的特点，第1分钟迅速形成快节奏对峙
2'交给卢琳                   1'双方均有着处理球与传递配合速度快的特点，第1分钟迅速形成快节奏对峙
2'长传出了边线                   1'双方均有着处理球与传递配合速度快的特点，第1分钟迅速形成快节奏对峙
3'张稀哲分球短了，雷纳迪尼奥断球                   1'双方均有着处理球与传递配合速度快的特点，第1分钟迅速形成快节奏对峙
3'右路的推进，往中路带                   1'双方均有着处理球与传递配合速度快的特点，第1分钟迅速形成快节奏对峙
3'直接远射，球稍稍偏出右门柱                   1'双方均有着处理球与传递配合速度快的特点，第1分钟迅速形成快节奏对峙
3'比埃拉接应交给池忠国，分左侧的金泰延                   1'双方均有着处理球与传递配合速度快的特点，第1分钟迅速形成快节奏对峙
3'回传给于大宝                   1'双方均有着处理球与传递配合速度快的特点，第1分钟迅速形成快节奏对峙
4'交给右侧的吕鹏                   1'双方均有着处理球与传递配合速度快的特点，第1分钟迅速形成快节奏对峙
4'富力反击                   1'双方均有着处理球与传递配合速度快的特点，第1分钟迅速形成快节奏对峙
4'雷纳迪尼奥右侧拿球，往底线带                   1'双方均有着处理球与传递配合速度快的特点，第1分钟迅速形成快节奏对峙
4'走底线，强行传中，被金泰延铲出底线                   1'双方均有着处理球与传递配合速度快的特点，第1分钟迅速形成快节奏对峙
4'广州富力右路的角球                   1'双方均有着处理球与传递配合速度快的特点，第1分钟迅速形成快节奏对峙
4'于大宝今天出现在中赫国安的左中后卫位置                   1'双方均有着处理球与传递配合速度快的特点，第1分钟迅速形成快节奏对峙
29'唐淼控球交给陈志钊，交给肖智，没有护好球                   29'第29分钟，肖智中后场拼抢中对王子铭亮鞋底放铲，主裁判伊尔马托夫先向其出示黄牌，视频裁判介入后伊尔马托夫观看了视频回放，向肖智改判红牌将其罚下
29'肖智停大了，放飞铲                   29'第29分钟，肖智中后场拼抢中对王子铭亮鞋底放铲，主裁判伊尔马托夫先向其出示黄牌，视频裁判介入后伊尔马托夫观看了视频回放，向肖智改判红牌将其罚下
29'铲翻了王子铭                   29'第29分钟，肖智中后场拼抢中对王子铭亮鞋底放铲，主裁判伊尔马托夫先向其出示黄牌，视频裁判介入后伊尔马托夫观看了视频回放，向肖智改判红牌将其罚下
29'主裁判马上拔出黄牌！                   29'第29分钟，肖智中后场拼抢中对王子铭亮鞋底放铲，主裁判伊尔马托夫先向其出示黄牌，视频裁判介入后伊尔马托夫观看了视频回放，向肖智改判红牌将其罚下
29'这球黄牌算轻判了                   29'第29分钟，肖智中后场拼抢中对王子铭亮鞋底放铲，主裁判伊尔马托夫先向其出示黄牌，视频裁判介入后伊尔马托夫观看了视频回放，向肖智改判红牌将其罚下
