4'什克里尼亚尔将球处理出底线,国际米兰获得角球.                   4'开场4分钟，巴内加右侧开出角球，佩里希奇争顶高出
4'国际米兰球员佩里西奇大禁区中央尝试头球,可惜皮球高出右上角球门.给他传球的是巴内加.                   4'开场4分钟，巴内加右侧开出角球，佩里希奇争顶高出
6'国际米兰球员米兰达一脚直塞球给佩里西奇,但是边裁举旗显示后者已经越位.                   4'开场4分钟，巴内加右侧开出角球，佩里希奇争顶高出
9'射门!!!国际米兰球员巴内加大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是佩里西奇.                   9'国米第9分钟险些破门，普利希奇左路突破萨拉，切入禁区底线回传，巴内加中路距门9米处推射太正被维维亚诺下意识封出，坎德雷瓦右侧补射滑出远门柱
9'国际米兰球员坎德雷瓦大禁区中央尝试右脚射门,可惜皮球稍稍偏出了左球门.                   9'国米第9分钟险些破门，普利希奇左路突破萨拉，切入禁区底线回传，巴内加中路距门9米处推射太正被维维亚诺下意识封出，坎德雷瓦右侧补射滑出远门柱
10'桑普多利亚球员夸利亚雷拉拼抢犯规,对手获得控球权.                   9'国米第9分钟险些破门，普利希奇左路突破萨拉，切入禁区底线回传，巴内加中路距门9米处推射太正被维维亚诺下意识封出，坎德雷瓦右侧补射滑出远门柱
10'安萨尔迪为国际米兰赢得一个任意球.                   9'国米第9分钟险些破门，普利希奇左路突破萨拉，切入禁区底线回传，巴内加中路距门9米处推射太正被维维亚诺下意识封出，坎德雷瓦右侧补射滑出远门柱
10'多多将球处理出底线,国际米兰获得角球.                   9'国米第9分钟险些破门，普利希奇左路突破萨拉，切入禁区底线回传，巴内加中路距门9米处推射太正被维维亚诺下意识封出，坎德雷瓦右侧补射滑出远门柱
11'桑普多利亚球员托雷亚拼抢犯规,对手获得控球权.                   9'国米第9分钟险些破门，普利希奇左路突破萨拉，切入禁区底线回传，巴内加中路距门9米处推射太正被维维亚诺下意识封出，坎德雷瓦右侧补射滑出远门柱
11'坎德雷瓦为国际米兰在对方半场,赢得一个任意球.                   9'国米第9分钟险些破门，普利希奇左路突破萨拉，切入禁区底线回传，巴内加中路距门9米处推射太正被维维亚诺下意识封出，坎德雷瓦右侧补射滑出远门柱
25'桑普多利亚球员夸利亚雷拉大禁区外右脚射门,命中门柱右侧立柱.                   25'桑普第25分钟几乎破门，夸利亚雷拉中路抢断加利亚尔迪尼，在门前27米处外脚背抽射击中右门柱弹回
