18'射门!!!塞维利亚球员特罗霍夫斯基大禁区外右脚射门,被对方守门员横身扑出.给他传球的是巴卡.                   18'第18分钟，特洛肖夫斯基开出角球，姆比亚小禁区前冲顶破门
18'Germán将球处理出底线,塞维利亚获得角球.                   18'第18分钟，特洛肖夫斯基开出角球，姆比亚小禁区前冲顶破门
18'进球啦！！！塞维利亚球员姆比亚大禁区中央头球,球从中路飞进球门,球进了!助攻的是特罗霍夫斯基. 塞维利亚 1-0 西班牙人.                   18'第18分钟，特洛肖夫斯基开出角球，姆比亚小禁区前冲顶破门
20'塞维利亚球员莫雷诺大禁区左侧尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是加梅罗.                   18'第18分钟，特洛肖夫斯基开出角球，姆比亚小禁区前冲顶破门
47'进球啦！！！西班牙人球员塞尔吉奥-加西亚右脚射门,球从右下角飞进球门,球进了! 塞维利亚 2-1 西班牙人.                   47'西班牙人第47分钟扳回一城，法齐奥禁区内对斯图亚尼犯规，塞尔吉奥-加西亚主罚点球命中
47'西班牙人球员哈维-洛佩兹大禁区外右脚射门,被防守球员封堵.                   47'西班牙人第47分钟扳回一城，法齐奥禁区内对斯图亚尼犯规，塞尔吉奥-加西亚主罚点球命中
48'维托洛将球处理出底线,西班牙人获得角球.                   47'西班牙人第47分钟扳回一城，法齐奥禁区内对斯图亚尼犯规，塞尔吉奥-加西亚主罚点球命中
49'西班牙人球员D-洛佩斯拼抢犯规,对手获得控球权.                   47'西班牙人第47分钟扳回一城，法齐奥禁区内对斯图亚尼犯规，塞尔吉奥-加西亚主罚点球命中
49'姆比亚为塞维利亚赢得一个任意球.                   47'西班牙人第47分钟扳回一城，法齐奥禁区内对斯图亚尼犯规，塞尔吉奥-加西亚主罚点球命中
49'斯图亚尼将球处理出底线,塞维利亚获得角球.                   47'西班牙人第47分钟扳回一城，法齐奥禁区内对斯图亚尼犯规，塞尔吉奥-加西亚主罚点球命中
50'塞维利亚球员帕雷哈大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.                   47'西班牙人第47分钟扳回一城，法齐奥禁区内对斯图亚尼犯规，塞尔吉奥-加西亚主罚点球命中
89'西班牙人球员Jhon Córdoba拼抢犯规,对手获得控球权.                   89'第89分钟，帕雷霍长传，拉基蒂奇禁区右侧12码处射入近角
89'姆比亚为塞维利亚赢得一个任意球.                   89'第89分钟，帕雷霍长传，拉基蒂奇禁区右侧12码处射入近角
89'进球啦！！！塞维利亚球员拉基蒂奇大禁区右侧右脚射门,球从右下角飞进球门,球进了!助攻的是帕雷哈. 塞维利亚 4-1 西班牙人.                   89'第89分钟，帕雷霍长传，拉基蒂奇禁区右侧12码处射入近角
90'西班牙人球员兰萨罗特拼抢犯规,对手获得控球权.                   89'第89分钟，帕雷霍长传，拉基蒂奇禁区右侧12码处射入近角
90'拉基蒂奇为塞维利亚赢得一个任意球.                   89'第89分钟，帕雷霍长传，拉基蒂奇禁区右侧12码处射入近角
90'+1'西班牙人球员希德内拼抢犯规,对手获得控球权.                   89'第89分钟，帕雷霍长传，拉基蒂奇禁区右侧12码处射入近角
90'+1'拉基蒂奇为塞维利亚在右路,赢得一个任意球.                   89'第89分钟，帕雷霍长传，拉基蒂奇禁区右侧12码处射入近角
90'+2'下半场结束,塞维利亚 4-1 西班牙人                   89'第89分钟，帕雷霍长传，拉基蒂奇禁区右侧12码处射入近角
