1'上半场比赛开始                   1'第1分钟主队攻势占优，但射门多在外围
4'比赛进行了2分钟                   1'第1分钟主队攻势占优，但射门多在外围
4'场上比分还是0：0                   1'第1分钟主队攻势占优，但射门多在外围
4'博洛尼亚是红蓝相间球衣                   1'第1分钟主队攻势占优，但射门多在外围
4'尤文图斯是黑白间条                   1'第1分钟主队攻势占优，但射门多在外围
4'尤文图斯后场控球                   1'第1分钟主队攻势占优，但射门多在外围
4'德希利奥长传上来                   1'第1分钟主队攻势占优，但射门多在外围
4'本坦库尔长传到对方禁区                   1'第1分钟主队攻势占优，但射门多在外围
67'迪巴拉拿球了，分给马图伊迪，传中                   67'第67分钟，曼朱基奇左路与姆巴耶拼抢，马图伊迪左路回敲，迪巴拉摆脱防守后分球，马图伊迪左路传中，赫兰德伸左脚解围不远，迪巴拉在门前11米处左脚推进右下角，1比0
67'赫兰德解围踢嗤了，将球停在点球点附近                   67'第67分钟，曼朱基奇左路与姆巴耶拼抢，马图伊迪左路回敲，迪巴拉摆脱防守后分球，马图伊迪左路传中，赫兰德伸左脚解围不远，迪巴拉在门前11米处左脚推进右下角，1比0
67'迪巴拉就在球前一脚低射，球进了！                   67'第67分钟，曼朱基奇左路与姆巴耶拼抢，马图伊迪左路回敲，迪巴拉摆脱防守后分球，马图伊迪左路传中，赫兰德伸左脚解围不远，迪巴拉在门前11米处左脚推进右下角，1比0
68'迪巴拉上场，问题解决了                   67'第67分钟，曼朱基奇左路与姆巴耶拼抢，马图伊迪左路回敲，迪巴拉摆脱防守后分球，马图伊迪左路传中，赫兰德伸左脚解围不远，迪巴拉在门前11米处左脚推进右下角，1比0
68'德希利奥控球                   67'第67分钟，曼朱基奇左路与姆巴耶拼抢，马图伊迪左路回敲，迪巴拉摆脱防守后分球，马图伊迪左路传中，赫兰德伸左脚解围不远，迪巴拉在门前11米处左脚推进右下角，1比0
68'分左侧的曼祖基奇                   67'第67分钟，曼朱基奇左路与姆巴耶拼抢，马图伊迪左路回敲，迪巴拉摆脱防守后分球，马图伊迪左路传中，赫兰德伸左脚解围不远，迪巴拉在门前11米处左脚推进右下角，1比0
68'被姆巴耶推倒了                   67'第67分钟，曼朱基奇左路与姆巴耶拼抢，马图伊迪左路回敲，迪巴拉摆脱防守后分球，马图伊迪左路传中，赫兰德伸左脚解围不远，迪巴拉在门前11米处左脚推进右下角，1比0
69'德希利奥放长传上来，迪巴拉拿球，姆巴耶断下                   67'第67分钟，曼朱基奇左路与姆巴耶拼抢，马图伊迪左路回敲，迪巴拉摆脱防守后分球，马图伊迪左路传中，赫兰德伸左脚解围不远，迪巴拉在门前11米处左脚推进右下角，1比0
69'本坦库尔中场拦截，曼祖基奇分右侧的坎赛罗                   67'第67分钟，曼朱基奇左路与姆巴耶拼抢，马图伊迪左路回敲，迪巴拉摆脱防守后分球，马图伊迪左路传中，赫兰德伸左脚解围不远，迪巴拉在门前11米处左脚推进右下角，1比0
69'坎赛罗仙切，再突入禁区，倒地了                   67'第67分钟，曼朱基奇左路与姆巴耶拼抢，马图伊迪左路回敲，迪巴拉摆脱防守后分球，马图伊迪左路传中，赫兰德伸左脚解围不远，迪巴拉在门前11米处左脚推进右下角，1比0
69'裁判没有吹                   67'第67分钟，曼朱基奇左路与姆巴耶拼抢，马图伊迪左路回敲，迪巴拉摆脱防守后分球，马图伊迪左路传中，赫兰德伸左脚解围不远，迪巴拉在门前11米处左脚推进右下角，1比0
69'贝尔纳代斯基反断                   67'第67分钟，曼朱基奇左路与姆巴耶拼抢，马图伊迪左路回敲，迪巴拉摆脱防守后分球，马图伊迪左路传中，赫兰德伸左脚解围不远，迪巴拉在门前11米处左脚推进右下角，1比0
69'回给马图伊迪                   67'第67分钟，曼朱基奇左路与姆巴耶拼抢，马图伊迪左路回敲，迪巴拉摆脱防守后分球，马图伊迪左路传中，赫兰德伸左脚解围不远，迪巴拉在门前11米处左脚推进右下角，1比0
69'回传给博努奇                   67'第67分钟，曼朱基奇左路与姆巴耶拼抢，马图伊迪左路回敲，迪巴拉摆脱防守后分球，马图伊迪左路传中，赫兰德伸左脚解围不远，迪巴拉在门前11米处左脚推进右下角，1比0
69'放长传，曼祖基奇越位                   67'第67分钟，曼朱基奇左路与姆巴耶拼抢，马图伊迪左路回敲，迪巴拉摆脱防守后分球，马图伊迪左路传中，赫兰德伸左脚解围不远，迪巴拉在门前11米处左脚推进右下角，1比0
70'姆巴耶控球直传                   67'第67分钟，曼朱基奇左路与姆巴耶拼抢，马图伊迪左路回敲，迪巴拉摆脱防守后分球，马图伊迪左路传中，赫兰德伸左脚解围不远，迪巴拉在门前11米处左脚推进右下角，1比0
70'接应的奥索里尼被推倒                   67'第67分钟，曼朱基奇左路与姆巴耶拼抢，马图伊迪左路回敲，迪巴拉摆脱防守后分球，马图伊迪左路传中，赫兰德伸左脚解围不远，迪巴拉在门前11米处左脚推进右下角，1比0
70'普尔加接应回传给赫兰德                   67'第67分钟，曼朱基奇左路与姆巴耶拼抢，马图伊迪左路回敲，迪巴拉摆脱防守后分球，马图伊迪左路传中，赫兰德伸左脚解围不远，迪巴拉在门前11米处左脚推进右下角，1比0
